# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,3410750.1731691,461339.2427678,300221.7611188,1797872.5519579,31404.5143479,1268296.8739502,461397.3510296,461281.1345059,543844.6005797,343957.5262033,9306726.0866271
0.0025000,0.0025000,0.0025000,inf,nan,2342385.1783130,396711.7061352,258119.0589684,1546746.0648379,26957.2222774,1091116.9389356,396767.0067550,396656.4055154,467659.1526748,295773.6182153,8006531.8393647
0.0050000,0.0050000,0.0050000,inf,nan,1661957.2194032,345423.3558312,224698.3972988,1347556.5130208,23423.8863195,950574.9187781,345475.8021894,345370.9094730,407198.4552103,257534.9156333,6975188.5794495
0.0075000,0.0075000,0.0075000,inf,nan,1230760.3352781,304754.7117391,198187.9357304,1189741.5005127,20616.9547369,839218.5661891,304804.2520136,304705.1714647,359256.6795016,227213.8743709,6158009.3575609
0.0100000,0.0100000,0.0100000,inf,nan,967170.6885874,272648.2504945,177246.7136142,1065315.7462728,18394.2734000,751413.6204673,272694.8275761,272601.6734130,321408.3371693,203276.4808845,5513647.7198837
0.0125000,0.0125000,0.0125000,inf,nan,824399.5912383,247550.6396128,160861.8499282,968258.4618851,16648.1961858,682911.5692763,247594.1910027,247507.0882229,291822.2996071,184564.6277573,5010925.7974284
0.0150000,0.0150000,0.0150000,inf,nan,778595.6601356,228297.5092383,148273.4306888,894066.3544149,15297.6124694,630534.2472508,228337.9669282,228257.0515485,269125.9624483,170210.2037643,4626519.7495171
0.0175000,0.0175000,0.0175000,inf,nan,823156.1734598,214029.4867033,138919.7363935,839428.4849659,14282.1128782,591944.3891559,214066.7770381,213992.1963686,252306.2638464,159572.4923364,4343275.9359257
0.0200000,0.0200000,0.0200000,inf,nan,684446.5251188,204131.5040969,132397.5999558,801992.0078368,13557.7396153,565480.2806760,204165.5476213,204097.4605726,240638.1378815,152192.9215215,4148997.4203529
0.0225000,0.0225000,0.0225000,inf,nan,563678.4320749,195322.4188222,126597.1660991,768593.6624951,12917.5665693,541873.2639744,195352.6961813,195292.1414631,230253.6463435,145625.1924009,3975699.5781894
