# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,403214.4917023
0.0050000,0.0050000,0.0050000,301750.0157082
0.0100000,0.0100000,0.0100000,238006.3909918
0.0150000,0.0150000,0.0150000,199093.0615617
0.0200000,0.0200000,0.0200000,177779.7728019
0.0250000,0.0250000,0.0250000,164404.0882965
0.0300000,0.0300000,0.0300000,155913.7502685
0.0350000,0.0350000,0.0350000,149021.1391544
0.0400000,0.0400000,0.0400000,133989.9862940
0.0450000,0.0450000,0.0450000,120855.6470513
0.0500000,0.0500000,0.0500000,109762.3258575
0.0550000,0.0550000,0.0550000,100468.2884333
0.0600000,0.0600000,0.0600000,92755.6788219
0.0650000,0.0650000,0.0650000,86190.0694838
0.0700000,0.0700000,0.0700000,76754.8395428
0.0750000,0.0750000,0.0750000,68251.6134607
0.0800000,0.0800000,0.0800000,60631.1273590
0.0850000,0.0850000,0.0850000,52857.8929814
0.0900000,0.0900000,0.0900000,45810.7493832
0.0950000,0.0950000,0.0950000,39871.3473083
0.1000000,0.1000000,0.1000000,34893.0784324
0.1050000,0.1050000,0.1050000,30729.2865471
0.1100000,0.1100000,0.1100000,27239.8979454
0.1150000,0.1150000,0.1150000,24296.4338556
0.1200000,0.1200000,0.1200000,21785.4902437
0.1250000,0.1250000,0.1250000,19610.7978679
0.1300000,0.1300000,0.1300000,17693.9830425
0.1350000,0.1350000,0.1350000,15974.1689005
0.1400000,0.1400000,0.1400000,14406.5969993
0.1450000,0.1450000,0.1450000,12921.5689432
0.1500000,0.1500000,0.1500000,11316.3600069
0.1550000,0.1550000,0.1550000,9863.0924401
0.1600000,0.1600000,0.1600000,8551.4206836
0.1650000,0.1650000,0.1650000,7373.3237435
0.1700000,0.1700000,0.1700000,6321.7896807
0.1750000,0.1750000,0.1750000,5389.9155401
0.1800000,0.1800000,0.1800000,4570.3916939
0.1850000,0.1850000,0.1850000,3855.3029222
0.1900000,0.1900000,0.1900000,3236.1608652
0.1950000,0.1950000,0.1950000,2704.0815007
0.2000000,0.2000000,0.2000000,2250.0322875
0.2050000,0.2050000,0.2050000,1865.0910657
0.2100000,0.2100000,0.2100000,1555.9352755
0.2150000,0.2150000,0.2150000,1283.9958715
0.2200000,0.2200000,0.2200000,1057.1286113
0.2250000,0.2250000,0.2250000,868.6572942
0.2300000,0.2300000,0.2300000,712.6568046
0.2350000,0.2350000,0.2350000,583.9418030
0.2400000,0.2400000,0.2400000,478.0288083
0.2450000,0.2450000,0.2450000,391.0811052
0.2500000,0.2500000,0.2500000,319.8439192
0.2550000,0.2550000,0.2550000,261.5682102
0.2600000,0.2600000,0.2600000,213.8882451
0.2650000,0.2650000,0.2650000,174.6907292
0.2700000,0.2700000,0.2700000,142.3004970
0.2750000,0.2750000,0.2750000,115.6782859
0.2800000,0.2800000,0.2800000,94.0330567
0.2850000,0.2850000,0.2850000,76.5718916
0.2900000,0.2900000,0.2900000,62.5473299
0.2950000,0.2950000,0.2950000,51.3105454
0.3000000,0.3000000,0.3000000,42.3193947
0.3050000,0.3050000,0.3050000,35.1267664
0.3100000,0.3100000,0.3100000,29.3665624
0.3150000,0.3150000,0.3150000,24.7431248
0.3200000,0.3200000,0.3200000,21.0218781
0.3250000,0.3250000,0.3250000,18.0173716
0.3300000,0.3300000,0.3300000,15.5798806
0.3350000,0.3350000,0.3350000,13.5865383
0.3400000,0.3400000,0.3400000,11.9396914
0.3450000,0.3450000,0.3450000,10.5672980
0.3500000,0.3500000,0.3500000,9.4193860
0.3550000,0.3550000,0.3550000,8.4609412
0.3600000,0.3600000,0.3600000,7.6646088
0.3650000,0.3650000,0.3650000,7.0044381
0.3700000,0.3700000,0.3700000,6.4507193
0.3750000,0.3750000,0.3750000,5.9670805
0.3800000,0.3800000,0.3800000,5.5127009
0.3850000,0.3850000,0.3850000,5.0523799
0.3900000,0.3900000,0.3900000,4.5693186
0.3950000,0.3950000,0.3950000,4.0678490
0.4000000,0.4000000,0.4000000,3.5635370
0.4050000,0.4050000,0.4050000,3.0720065
0.4100000,0.4100000,0.4100000,2.6041364
0.4150000,0.4150000,0.4150000,2.1659713
0.4200000,0.4200000,0.4200000,1.7601702
0.4250000,0.4250000,0.4250000,1.3876600
0.4300000,0.4300000,0.4300000,1.0486971
0.4350000,0.4350000,0.4350000,0.7429403
0.4400000,0.4400000,0.4400000,0.4694752
0.4450000,0.4450000,0.4450000,0.2274434
0.4500000,0.4500000,0.4500000,0.0162130
0.4550000,0.4550000,0.4550000,-0.1657335
0.4600000,0.4600000,0.4600000,-0.3220868
0.4650000,0.4650000,0.4650000,-0.4584838
0.4700000,0.4700000,0.4700000,-0.5806846
0.4750000,0.4750000,0.4750000,-0.6927681
0.4800000,0.4800000,0.4800000,-0.7966642
0.4850000,0.4850000,0.4850000,-0.8928548
0.4900000,0.4900000,0.4900000,-0.9813535
0.4950000,0.4950000,0.4950000,-1.0622934
0.5000000,0.5000000,0.5000000,-1.1358923
0.5050000,0.5050000,0.5050000,-1.2020292
0.5100000,0.5100000,0.5100000,-1.2599292
0.5150000,0.5150000,0.5150000,-1.3083084
0.5200000,0.5200000,0.5200000,-1.3458937
0.5250000,0.5250000,0.5250000,-1.3719569
0.5300000,0.5300000,0.5300000,-1.3865834
0.5350000,0.5350000,0.5350000,-1.3906264
0.5400000,0.5400000,0.5400000,-1.3854549
0.5450000,0.5450000,0.5450000,-1.3726515
0.5500000,0.5500000,0.5500000,-1.3537706
0.5550000,0.5550000,0.5550000,-1.3302150
0.5600000,0.5600000,0.5600000,-1.3032134
0.5650000,0.5650000,0.5650000,-1.2737821
0.5700000,0.5700000,0.5700000,-1.2426370
0.5750000,0.5750000,0.5750000,-1.2101713
0.5800000,0.5800000,0.5800000,-1.1765821
0.5850000,0.5850000,0.5850000,-1.1421023
0.5900000,0.5900000,0.5900000,-1.1072247
0.5950000,0.5950000,0.5950000,-1.0727197
0.6000000,0.6000000,0.6000000,-1.0393377
0.6050000,0.6050000,0.6050000,-1.0074206
0.6100000,0.6100000,0.6100000,-0.9767622
0.6150000,0.6150000,0.6150000,-0.9467855
0.6200000,0.6200000,0.6200000,-0.9168457
0.6250000,0.6250000,0.6250000,-0.8864628
0.6300000,0.6300000,0.6300000,-0.8554133
0.6350000,0.6350000,0.6350000,-0.8237107
0.6400000,0.6400000,0.6400000,-0.7915350
0.6450000,0.6450000,0.6450000,-0.7591547
0.6500000,0.6500000,0.6500000,-0.7268644
0.6550000,0.6550000,0.6550000,-0.6949438
0.6600000,0.6600000,0.6600000,-0.6636350
0.6650000,0.6650000,0.6650000,-0.6331337
0.6700000,0.6700000,0.6700000,-0.6035881
0.6750000,0.6750000,0.6750000,-0.5751036
0.6800000,0.6800000,0.6800000,-0.5477484
0.6850000,0.6850000,0.6850000,-0.5215600
0.6900000,0.6900000,0.6900000,-0.4965521
0.6950000,0.6950000,0.6950000,-0.4727196
0.7000000,0.7000000,0.7000000,-0.4500432
0.7050000,0.7050000,0.7050000,-0.4284936
0.7100000,0.7100000,0.7100000,-0.4080343
0.7150000,0.7150000,0.7150000,-0.3886241
0.7200000,0.7200000,0.7200000,-0.3702187
0.7250000,0.7250000,0.7250000,-0.3527725
0.7300000,0.7300000,0.7300000,-0.3362393
0.7350000,0.7350000,0.7350000,-0.3205733
0.7400000,0.7400000,0.7400000,-0.3057294
0.7450000,0.7450000,0.7450000,-0.2916641
0.7500000,0.7500000,0.7500000,-0.2783352
0.7550000,0.7550000,0.7550000,-0.2657023
0.7600000,0.7600000,0.7600000,-0.2537268
0.7650000,0.7650000,0.7650000,-0.2423720
