# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2325000,0.2325000,0.2325000,1316.7177484
0.2575000,0.2575000,0.2575000,468.2405798
0.2825000,0.2825000,0.2825000,154.2975060
0.3075000,0.3075000,0.3075000,49.7500855
0.3325000,0.3325000,0.3325000,10.9938267
0.3575000,0.3575000,0.3575000,-1.9562672
0.3825000,0.3825000,0.3825000,-4.6693078
0.4075000,0.4075000,0.4075000,-4.8688365
0.4325000,0.4325000,0.4325000,-4.5650838
0.4575000,0.4575000,0.4575000,-4.1399857
0.4825000,0.4825000,0.4825000,-3.7730898
0.5075000,0.5075000,0.5075000,-3.4396038
0.5325000,0.5325000,0.5325000,-3.1733196
0.5575000,0.5575000,0.5575000,-2.8509236
0.5825000,0.5825000,0.5825000,-2.4242661
0.6075000,0.6075000,0.6075000,-1.9631664
0.6325000,0.6325000,0.6325000,-1.5645606
0.6575000,0.6575000,0.6575000,-1.2505063
0.6825000,0.6825000,0.6825000,-0.9944727
0.7075000,0.7075000,0.7075000,-0.7884056
0.7325000,0.7325000,0.7325000,-0.6267936
0.7575000,0.7575000,0.7575000,-0.5013877
0.7825000,0.7825000,0.7825000,-0.4040425
0.8075000,0.8075000,0.8075000,-0.3280711
0.8325000,0.8325000,0.8325000,-0.2683470
0.8575000,0.8575000,0.8575000,-0.2210277
0.8825000,0.8825000,0.8825000,-0.1832461
0.9075000,0.9075000,0.9075000,-0.1528551
0.9325000,0.9325000,0.9325000,-0.1282368
0.9575000,0.9575000,0.9575000,-0.1081622
0.9825000,0.9825000,0.9825000,-0.0916906
1.0075000,1.0075000,1.0075000,-0.0780961
1.0325000,1.0325000,1.0325000,-0.0668141
1.0575000,1.0575000,1.0575000,-0.0574027
1.0825000,1.0825000,1.0825000,-0.0495132
1.1075000,1.1075000,1.1075000,-0.0428688
1.1325000,1.1325000,1.1325000,-0.0372485
1.1575000,1.1575000,1.1575000,-0.0324747
1.1825000,1.1825000,1.1825000,-0.0284040
1.2075000,1.2075000,1.2075000,-0.0249197
1.2325000,1.2325000,1.2325000,-0.0219267
1.2575000,1.2575000,1.2575000,-0.0193471
1.2825000,1.2825000,1.2825000,-0.0171164
1.3075000,1.3075000,1.3075000,-0.0151816
1.3325000,1.3325000,1.3325000,-0.0134983
1.3575000,1.3575000,1.3575000,-0.0120298
1.3825000,1.3825000,1.3825000,-0.0107452
1.4075000,1.4075000,1.4075000,-0.0096184
1.4325000,1.4325000,1.4325000,-0.0086277
1.4575000,1.4575000,1.4575000,-0.0077544
1.4825000,1.4825000,1.4825000,-0.0069830
1.5075000,1.5075000,1.5075000,-0.0062999
1.5325000,1.5325000,1.5325000,-0.0056938
1.5575000,1.5575000,1.5575000,-0.0051549
1.5825000,1.5825000,1.5825000,-0.0046747
