# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol]
0.2275000,0.2275000,0.2275000,1719.6261977,-0.9573677,inf
0.2300000,0.2300000,0.2300000,1562.1568765,-0.9490558,inf
0.2325000,0.2325000,0.2325000,1418.9339348,-0.9405415,inf
0.2350000,0.2350000,0.2350000,1288.7099474,-0.9318432,inf
0.2375000,0.2375000,0.2375000,1170.3385914,-0.9229785,inf
0.2400000,0.2400000,0.2400000,1062.7680250,-0.9139644,1541.4810214
0.2425000,0.2425000,0.2425000,965.0343938,-0.9048170,1254.2303870
0.2450000,0.2450000,0.2450000,876.2555301,-0.8955518,1024.6631989
0.2475000,0.2475000,0.2475000,795.6248963,-0.8861836,840.2362527
0.2500000,0.2500000,0.2500000,722.4058062,-0.8767263,691.3382028
0.2525000,0.2525000,0.2525000,655.9259477,-0.8671933,570.5587498
0.2550000,0.2550000,0.2550000,595.5722217,-0.8575973,472.1507807
0.2575000,0.2575000,0.2575000,540.7859007,-0.8479502,391.6318046
0.2600000,0.2600000,0.2600000,491.0581077,-0.8382636,325.4866677
0.2625000,0.2625000,0.2625000,445.9256094,-0.8285481,270.9444141
0.2650000,0.2650000,0.2650000,404.9669147,-0.8188139,225.8097856
0.2675000,0.2675000,0.2675000,367.7986663,-0.8090707,188.3352416
0.2700000,0.2700000,0.2700000,334.0723119,-0.7993276,157.1232097
0.2725000,0.2725000,0.2725000,303.4710402,-0.7895930,131.0510257
0.2750000,0.2750000,0.2750000,275.7069651,-0.7798749,109.2129962
0.2775000,0.2775000,0.2775000,250.5185439,-0.7701810,90.8754543
0.2800000,0.2800000,0.2800000,227.6682121,-0.7605182,75.4417268
0.2825000,0.2825000,0.2825000,206.9402204,-0.7508931,62.4246995
0.2850000,0.2850000,0.2850000,188.1386582,-0.7413119,51.4252368
0.2875000,0.2875000,0.2875000,171.0856466,-0.7317799,42.1151316
0.2900000,0.2900000,0.2900000,155.6196698,-0.7222997,34.2235789
0.2925000,0.2925000,0.2925000,141.5939534,-0.7128585,27.5264007
0.2950000,0.2950000,0.2950000,128.8746552,-0.7033771,21.8374292
0.2975000,0.2975000,0.2975000,117.3384784,-0.6935563,17.0015894
0.3000000,0.3000000,0.3000000,106.8692228,-0.6824394,12.8893256
0.3025000,0.3025000,0.3025000,97.3514722,-0.6667765,9.3920942
0.3050000,0.3050000,0.3050000,88.6532281,-0.6348859,6.4187039
0.3075000,0.3075000,0.3075000,80.5872685,-0.5550516,3.8923289
0.3100000,0.3100000,0.3100000,72.9034423,-0.3910266,1.7480531
0.3125000,0.3125000,0.3125000,65.4487578,-0.1773637,-0.0691658
0.3150000,0.3150000,0.3150000,58.3280873,-0.0017342,-1.6061940
0.3175000,0.3175000,0.3175000,51.7405089,0.1061840,-2.9031286
0.3200000,0.3200000,0.3200000,45.7913885,0.1650658,-3.9944383
0.3225000,0.3225000,0.3225000,40.4887670,0.1962381,-4.9098559
0.3250000,0.3250000,0.3250000,35.7928007,0.2125443,-5.6750635
0.3275000,0.3275000,0.3275000,31.6472628,0.2207081,-6.3122520
0.3300000,0.3300000,0.3300000,27.9935021,0.2242070,-6.8406711
0.3325000,0.3325000,0.3325000,24.7758637,0.2248937,-7.2772636
0.3350000,0.3350000,0.3350000,21.9435287,0.2237982,-7.6373682
0.3375000,0.3375000,0.3375000,19.4509057,0.2215195,-7.9353276
0.3400000,0.3400000,0.3400000,17.2574484,0.2184217,-8.1847531
0.3425000,0.3425000,0.3425000,15.3272644,0.2147362,-8.3982750
0.3450000,0.3450000,0.3450000,13.6286660,0.2106171,-8.5868314
0.3475000,0.3475000,0.3475000,12.1337261,0.2061723,-8.7588068
0.3500000,0.3500000,0.3500000,10.8178621,0.2014822,-8.9194597
0.3525000,0.3525000,0.3525000,9.6594532,0.1966094,-9.0709540
0.3550000,0.3550000,0.3550000,8.6394878,0.1916058,-9.2130090
0.3575000,0.3575000,0.3575000,7.7412375,0.1865156,-9.3439027
0.3600000,0.3600000,0.3600000,6.9499536,0.1813764,-9.4614745
0.3625000,0.3625000,0.3625000,6.2525818,0.1762171,-9.5638767
0.3650000,0.3650000,0.3650000,5.6374918,0.1710525,-9.6499882
0.3675000,0.3675000,0.3675000,5.0942200,0.1658737,-9.7195270
0.3700000,0.3700000,0.3700000,4.6132319,0.1606373,-9.7729494
0.3725000,0.3725000,0.3725000,4.1857328,0.1552590,-9.8112330
0.3750000,0.3750000,0.3750000,3.8035592,0.1496181,-9.8356301
0.3775000,0.3775000,0.3775000,3.4591796,0.1435754,-9.8474553
0.3800000,0.3800000,0.3800000,3.1458004,0.1370042,-9.8479442
0.3825000,0.3825000,0.3825000,2.8575360,0.1298256,-9.8381911
0.3850000,0.3850000,0.3850000,2.5895733,0.1220366,-9.8191486
0.3875000,0.3875000,0.3875000,2.3382634,0.1137214,-9.7916623
0.3900000,0.3900000,0.3900000,2.1010983,0.1050413,-9.7565137
0.3925000,0.3925000,0.3925000,1.8765708,0.0962073,-9.7144540
0.3950000,0.3950000,0.3950000,1.6639503,0.0874450,-9.6662208
0.3975000,0.3975000,0.3975000,1.4630239,0.0789616,-9.6125372
0.4000000,0.4000000,0.4000000,1.2738495,0.0709227,-9.5540968
0.4025000,0.4025000,0.4025000,1.0965566,0.0634411,-9.4915434
0.4050000,0.4050000,0.4050000,0.9312084,0.0565774,-9.4254595
0.4075000,0.4075000,0.4075000,0.7777276,0.0503473,-9.3563727
0.4100000,0.4100000,0.4100000,0.6358728,0.0447326,-9.2847854
0.4125000,0.4125000,0.4125000,0.5052490,0.0396925,-9.2112180
0.4150000,0.4150000,0.4150000,0.3853360,0.0351741,-9.1362504
0.4175000,0.4175000,0.4175000,0.2755203,0.0311198,-9.0605446
0.4200000,0.4200000,0.4200000,0.1751239,0.0274736,-8.9848369
0.4225000,0.4225000,0.4225000,0.0834302,0.0241848,-8.9098986
0.4250000,0.4250000,0.4250000,-0.0002931,0.0212100,-8.8364722
0.4275000,0.4275000,0.4275000,-0.0767717,0.0185140,-8.7652006
0.4300000,0.4300000,0.4300000,-0.1467037,0.0160696,-8.6965648
0.4325000,0.4325000,0.4325000,-0.2107417,0.0138569,-8.6308411
0.4350000,0.4350000,0.4350000,-0.2694808,0.0118620,-8.5680845
0.4375000,0.4375000,0.4375000,-0.3234525,0.0100754,-8.5081377
0.4400000,0.4400000,0.4400000,-0.3731233,0.0084911,-8.4506643
0.4425000,0.4425000,0.4425000,-0.4188974,0.0071046,-8.3952000
0.4450000,0.4450000,0.4450000,-0.4611214,0.0059114,-8.3412094
0.4475000,0.4475000,0.4475000,-0.5000928,0.0049060,-8.2881391
0.4500000,0.4500000,0.4500000,-0.5360704,0.0040807,-8.2354554
0.4525000,0.4525000,0.4525000,-0.5692869,0.0034252,-8.1826684
0.4550000,0.4550000,0.4550000,-0.5999621,0.0029270,-8.1293422
0.4575000,0.4575000,0.4575000,-0.6283129,0.0025716,-8.0750988
0.4600000,0.4600000,0.4600000,-0.6545604,0.0023432,-8.0196210
0.4625000,0.4625000,0.4625000,-0.6789310,0.0022258,-7.9626549
0.4650000,0.4650000,0.4650000,-0.7016515,0.0022037,-7.9040129
0.4675000,0.4675000,0.4675000,-0.7229411,0.0022620,-7.8435728
0.4700000,0.4700000,0.4700000,-0.7429998,0.0023869,-7.7812716
0.4725000,0.4725000,0.4725000,-0.7619974,0.0025658,-7.7170943
0.4750000,0.4750000,0.4750000,-0.7800657,0.0027870,-7.6510600
0.4775000,0.4775000,0.4775000,-0.7972947,0.0030397,-7.5832106
0.4800000,0.4800000,0.4800000,-0.8137361,0.0033137,-7.5136029
0.4825000,0.4825000,0.4825000,-0.8294131,0.0036001,-7.4423075
0.4850000,0.4850000,0.4850000,-0.8443333,0.0038905,-7.3694131
0.4875000,0.4875000,0.4875000,-0.8585036,0.0041776,-7.2950315
0.4900000,0.4900000,0.4900000,-0.8719413,0.0044551,-7.2193016
0.4925000,0.4925000,0.4925000,-0.8846806,0.0047168,-7.1423875
0.4950000,0.4950000,0.4950000,-0.8967729,0.0049566,-7.0644732
0.4975000,0.4975000,0.4975000,-0.9082807,0.0051687,-6.9857536
0.5000000,0.5000000,0.5000000,-0.9192687,0.0053472,-6.9064269
0.5025000,0.5025000,0.5025000,-0.9297924,0.0054870,-6.8266868
0.5050000,0.5050000,0.5050000,-0.9398866,0.0055845,-6.7467187
0.5075000,0.5075000,0.5075000,-0.9495560,0.0056381,-6.6666964
0.5100000,0.5100000,0.5100000,-0.9587689,0.0056482,-6.5867818
0.5125000,0.5125000,0.5125000,-0.9674558,0.0056177,-6.5071258
0.5150000,0.5150000,0.5150000,-0.9755127,0.0055509,-6.4278696
0.5175000,0.5175000,0.5175000,-0.9828093,0.0054536,-6.3491466
0.5200000,0.5200000,0.5200000,-0.9892006,0.0053317,-6.2710823
0.5225000,0.5225000,0.5225000,-0.9945414,0.0051910,-6.1937918
0.5250000,0.5250000,0.5250000,-0.9987000,0.0050365,-6.1173755
0.5275000,0.5275000,0.5275000,-1.0015714,0.0048717,-6.0419145
0.5300000,0.5300000,0.5300000,-1.0030854,0.0046990,-5.9674659
0.5325000,0.5325000,0.5325000,-1.0032113,0.0045191,-5.8940598
0.5350000,0.5350000,0.5350000,-1.0019561,0.0043321,-5.8216988
0.5375000,0.5375000,0.5375000,-0.9993601,0.0041372,-5.7503574
0.5400000,0.5400000,0.5400000,-0.9954897,0.0039338,-5.6799845
0.5425000,0.5425000,0.5425000,-0.9904289,0.0037214,-5.6105065
0.5450000,0.5450000,0.5450000,-0.9842737,0.0035000,-5.5418323
0.5475000,0.5475000,0.5475000,-0.9771263,0.0032704,-5.4738596
0.5500000,0.5500000,0.5500000,-0.9690928,0.0030338,-5.4064825
0.5525000,0.5525000,0.5525000,-0.9602817,0.0027921,-5.3395988
0.5550000,0.5550000,0.5550000,-0.9508026,0.0025473,-5.2731167
0.5575000,0.5575000,0.5575000,-0.9407641,0.0023015,-5.2069602
0.5600000,0.5600000,0.5600000,-0.9302704,0.0020567,-5.1410718
0.5625000,0.5625000,0.5625000,-0.9194165,0.0018149,-5.0754143
0.5650000,0.5650000,0.5650000,-0.9082842,0.0015783,-5.0099707
0.5675000,0.5675000,0.5675000,-0.8969390,0.0013488,-4.9447420
0.5700000,0.5700000,0.5700000,-0.8854300,0.0011286,-4.8797452
0.5725000,0.5725000,0.5725000,-0.8737926,0.0009199,-4.8150102
0.5750000,0.5750000,0.5750000,-0.8620531,0.0007248,-4.7505766
0.5775000,0.5775000,0.5775000,-0.8502339,0.0005455,-4.6864910
0.5800000,0.5800000,0.5800000,-0.8383570,0.0003836,-4.6228039
0.5825000,0.5825000,0.5825000,-0.8264460,0.0002407,-4.5595676
0.5850000,0.5850000,0.5850000,-0.8145255,0.0001173,-4.4968343
0.5875000,0.5875000,0.5875000,-0.8026200,0.0000137,-4.4346544
0.5900000,0.5900000,0.5900000,-0.7907519,-0.0000707,-4.3730757
0.5925000,0.5925000,0.5925000,-0.7789406,-0.0001369,-4.3121421
0.5950000,0.5950000,0.5950000,-0.7672020,-0.0001865,-4.2518935
0.5975000,0.5975000,0.5975000,-0.7555491,-0.0002214,-4.1923654
0.6000000,0.6000000,0.6000000,-0.7439914,-0.0002434,-4.1335886
0.6025000,0.6025000,0.6025000,-0.7325345,-0.0002546,-4.0755897
0.6050000,0.6050000,0.6050000,-0.7211797,-0.0002568,-4.0183908
0.6075000,0.6075000,0.6075000,-0.7099232,-0.0002518,-3.9620097
0.6100000,0.6100000,0.6100000,-0.6987562,-0.0002409,-3.9064607
0.6125000,0.6125000,0.6125000,-0.6876652,-0.0002255,-3.8517542
0.6150000,0.6150000,0.6150000,-0.6766335,-0.0002066,-3.7978976
0.6175000,0.6175000,0.6175000,-0.6656424,-0.0001851,-3.7448951
0.6200000,0.6200000,0.6200000,-0.6546733,-0.0001616,-3.6927486
0.6225000,0.6225000,0.6225000,-0.6437096,-0.0001366,-3.6414573
0.6250000,0.6250000,0.6250000,-0.6327374,-0.0001106,-3.5910186
0.6275000,0.6275000,0.6275000,-0.6217472,-0.0000838,-3.5414278
0.6300000,0.6300000,0.6300000,-0.6107339,-0.0000566,-3.4926789
0.6325000,0.6325000,0.6325000,-0.5996969,-0.0000289,-3.4447643
0.6350000,0.6350000,0.6350000,-0.5886400,-0.0000011,-3.3976754
0.6375000,0.6375000,0.6375000,-0.5775706,0.0000267,-3.3514024
0.6400000,0.6400000,0.6400000,-0.5664993,0.0000546,-3.3059350
0.6425000,0.6425000,0.6425000,-0.5554392,0.0000823,-3.2612619
0.6450000,0.6450000,0.6450000,-0.5444047,0.0001099,-3.2173713
0.6475000,0.6475000,0.6475000,-0.5334115,0.0001373,-3.1742510
0.6500000,0.6500000,0.6500000,-0.5224755,0.0001644,-3.1318884
0.6525000,0.6525000,0.6525000,-0.5116125,0.0001911,-3.0902708
0.6550000,0.6550000,0.6550000,-0.5008380,0.0002175,-3.0493849
0.6575000,0.6575000,0.6575000,-0.4901663,0.0002434,-3.0092178
0.6600000,0.6600000,0.6600000,-0.4796111,0.0002690,-2.9697560
0.6625000,0.6625000,0.6625000,-0.4691847,0.0002940,-2.9309865
0.6650000,0.6650000,0.6650000,-0.4588982,0.0003185,-2.8928959
0.6675000,0.6675000,0.6675000,-0.4487613,0.0003425,-2.8554710
0.6700000,0.6700000,0.6700000,-0.4387826,0.0003660,-2.8186988
0.6725000,0.6725000,0.6725000,-0.4289694,0.0003889,-2.7825663
0.6750000,0.6750000,0.6750000,-0.4193277,0.0004112,-2.7470607
0.6775000,0.6775000,0.6775000,-0.4098625,0.0004329,-2.7121694
0.6800000,0.6800000,0.6800000,-0.4005777,0.0004540,-2.6778797
0.6825000,0.6825000,0.6825000,-0.3914761,0.0004746,-2.6441795
0.6850000,0.6850000,0.6850000,-0.3825599,0.0004945,-2.6110567
0.6875000,0.6875000,0.6875000,-0.3738304,0.0005138,-2.5784993
0.6900000,0.6900000,0.6900000,-0.3652880,0.0005326,-2.5464956
0.6925000,0.6925000,0.6925000,-0.3569327,0.0005507,-2.5150343
0.6950000,0.6950000,0.6950000,-0.3487638,0.0005683,-2.4841041
0.6975000,0.6975000,0.6975000,-0.3407803,0.0005852,-2.4536940
0.7000000,0.7000000,0.7000000,-0.3329806,0.0006016,-2.4237931
0.7025000,0.7025000,0.7025000,-0.3253628,0.0006175,-2.3943910
0.7050000,0.7050000,0.7050000,-0.3179246,0.0006328,-2.3654773
0.7075000,0.7075000,0.7075000,-0.3106635,0.0006475,-2.3370419
0.7100000,0.7100000,0.7100000,-0.3035769,0.0006617,-2.3090750
0.7125000,0.7125000,0.7125000,-0.2966618,0.0006754,-2.2815668
0.7150000,0.7150000,0.7150000,-0.2899152,0.0006886,-2.2545079
0.7175000,0.7175000,0.7175000,-0.2833339,0.0007012,-2.2278891
0.7200000,0.7200000,0.7200000,-0.2769146,0.0007134,-2.2017014
0.7225000,0.7225000,0.7225000,-0.2706539,0.0007251,-2.1759359
0.7250000,0.7250000,0.7250000,-0.2645485,0.0007364,-2.1505841
0.7275000,0.7275000,0.7275000,-0.2585950,0.0007472,-2.1256376
0.7300000,0.7300000,0.7300000,-0.2527899,0.0007576,-2.1010880
0.7325000,0.7325000,0.7325000,-0.2471298,0.0007675,-2.0769275
0.7350000,0.7350000,0.7350000,-0.2416113,0.0007770,-2.0531481
0.7375000,0.7375000,0.7375000,-0.2362308,0.0007862,-2.0297423
0.7400000,0.7400000,0.7400000,-0.2309852,0.0007949,-2.0067025
0.7425000,0.7425000,0.7425000,-0.2258709,0.0008033,-1.9840215
0.7450000,0.7450000,0.7450000,-0.2208847,0.0008113,-1.9616922
0.7475000,0.7475000,0.7475000,-0.2160234,0.0008190,-1.9397075
0.7500000,0.7500000,0.7500000,-0.2112838,0.0008263,-1.9180607
0.7525000,0.7525000,0.7525000,-0.2066627,0.0008332,-1.8967452
0.7550000,0.7550000,0.7550000,-0.2021570,0.0008399,-1.8757545
0.7575000,0.7575000,0.7575000,-0.1977637,0.0008462,-1.8550823
0.7600000,0.7600000,0.7600000,-0.1934799,0.0008523,-1.8347223
0.7625000,0.7625000,0.7625000,-0.1893026,0.0008580,-1.8146686
0.7650000,0.7650000,0.7650000,-0.1852290,0.0008635,-1.7949153
0.7675000,0.7675000,0.7675000,-0.1812564,0.0008687,-1.7754565
0.7700000,0.7700000,0.7700000,-0.1773821,0.0008736,-1.7562868
0.7725000,0.7725000,0.7725000,-0.1736034,0.0008783,-1.7374005
0.7750000,0.7750000,0.7750000,-0.1699177,0.0008827,-1.7187924
0.7775000,0.7775000,0.7775000,-0.1663226,0.0008869,-1.7004571
0.7800000,0.7800000,0.7800000,-0.1628157,0.0008909,-1.6823896
0.7825000,0.7825000,0.7825000,-0.1593945,0.0008946,-1.6645848
0.7850000,0.7850000,0.7850000,-0.1560567,0.0008981,-1.6470379
0.7875000,0.7875000,0.7875000,-0.1528001,0.0009014,-1.6297440
0.7900000,0.7900000,0.7900000,-0.1496225,0.0009045,-1.6126985
0.7925000,0.7925000,0.7925000,-0.1465218,0.0009074,-1.5958969
0.7950000,0.7950000,0.7950000,-0.1434959,0.0009101,-1.5793346
0.7975000,0.7975000,0.7975000,-0.1405428,0.0009126,-1.5630073
0.8000000,0.8000000,0.8000000,-0.1376605,0.0009150,-1.5469108
0.8025000,0.8025000,0.8025000,-0.1348472,0.0009172,-1.5310407
0.8050000,0.8050000,0.8050000,-0.1321010,0.0009192,-1.5153932
0.8075000,0.8075000,0.8075000,-0.1294200,0.0009210,-1.4999641
0.8100000,0.8100000,0.8100000,-0.1268026,0.0009227,-1.4847496
0.8125000,0.8125000,0.8125000,-0.1242471,0.0009243,-1.4697458
0.8150000,0.8150000,0.8150000,-0.1217518,0.0009257,-1.4549490
0.8175000,0.8175000,0.8175000,-0.1193150,0.0009270,-1.4403556
0.8200000,0.8200000,0.8200000,-0.1169354,0.0009281,-1.4259619
0.8225000,0.8225000,0.8225000,-0.1146112,0.0009291,-1.4117646
0.8250000,0.8250000,0.8250000,-0.1123412,0.0009299,-1.3977600
0.8275000,0.8275000,0.8275000,-0.1101238,0.0009307,-1.3839450
0.8300000,0.8300000,0.8300000,-0.1079576,0.0009313,-1.3703162
0.8325000,0.8325000,0.8325000,-0.1058414,0.0009318,-1.3568704
0.8350000,0.8350000,0.8350000,-0.1037737,0.0009322,-1.3436045
0.8375000,0.8375000,0.8375000,-0.1017535,0.0009325,-1.3305153
0.8400000,0.8400000,0.8400000,-0.0997793,0.0009327,-1.3176000
0.8425000,0.8425000,0.8425000,-0.0978500,0.0009328,-1.3048554
0.8450000,0.8450000,0.8450000,-0.0959645,0.0009328,-1.2922788
0.8475000,0.8475000,0.8475000,-0.0941216,0.0009326,-1.2798674
0.8500000,0.8500000,0.8500000,-0.0923203,0.0009324,-1.2676182
0.8525000,0.8525000,0.8525000,-0.0905593,0.0009321,-1.2555287
0.8550000,0.8550000,0.8550000,-0.0888378,0.0009318,-1.2435961
0.8575000,0.8575000,0.8575000,-0.0871547,0.0009313,-1.2318180
0.8600000,0.8600000,0.8600000,-0.0855091,0.0009308,-1.2201916
0.8625000,0.8625000,0.8625000,-0.0838999,0.0009302,-1.2087145
0.8650000,0.8650000,0.8650000,-0.0823263,0.0009295,-1.1973844
0.8675000,0.8675000,0.8675000,-0.0807873,0.0009287,-1.1861987
0.8700000,0.8700000,0.8700000,-0.0792821,0.0009279,-1.1751551
0.8725000,0.8725000,0.8725000,-0.0778099,0.0009270,-1.1642513
0.8750000,0.8750000,0.8750000,-0.0763697,0.0009260,-1.1534851
0.8775000,0.8775000,0.8775000,-0.0749609,0.0009250,-1.1428542
0.8800000,0.8800000,0.8800000,-0.0735826,0.0009239,-1.1323565
0.8825000,0.8825000,0.8825000,-0.0722341,0.0009227,-1.1219899
0.8850000,0.8850000,0.8850000,-0.0709146,0.0009215,-1.1117522
