# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.1950000,0.1950000,0.1950000,1702.3487048,-0.0371653,55.1358171,1702.3487048,1069.6100382,inf
0.1975000,0.1975000,0.1975000,1466.2411778,-0.0355865,48.7617623,1466.2411778,920.7580625,inf
0.2000000,0.2000000,0.2000000,1264.9287280,-0.0340888,43.2015862,1264.9287280,793.9388878,inf
0.2025000,0.2025000,0.2025000,1092.9880221,-0.0326673,38.3190849,1092.9880221,685.7045663,inf
0.2050000,0.2050000,0.2050000,945.8887093,-0.0313168,34.0059827,945.8887093,593.1759467,inf
0.2075000,0.2075000,0.2075000,819.8379836,-0.0300325,30.1794237,819.8379836,513.9439410,inf
0.2100000,0.2100000,0.2100000,711.6536471,-0.0288092,26.7760913,711.6536471,445.9890660,inf
0.2125000,0.2125000,0.2125000,618.6602943,-0.0276420,23.7451523,618.6602943,387.6155854,inf
0.2150000,0.2150000,0.2150000,538.6042900,-0.0265260,21.0427931,538.6042900,337.3973153,inf
0.2175000,0.2175000,0.2175000,469.5839994,-0.0254571,18.6295406,469.5839994,294.1328000,inf
0.2200000,0.2200000,0.2200000,409.9923384,-0.0244319,16.4698463,409.9923384,256.8081126,1748.2301193
0.2225000,0.2225000,0.2225000,358.4692345,-0.0234483,14.5326714,358.4692345,224.5659513,1528.9923381
0.2250000,0.2250000,0.2250000,313.8620669,-0.0225048,12.7919281,313.8620669,196.6799797,1338.8888572
0.2275000,0.2275000,0.2275000,275.1925881,-0.0216009,11.2261489,275.1925881,172.5335423,1173.8332144
0.2300000,0.2300000,0.2300000,241.6291970,-0.0207363,9.8173681,241.6291970,151.6019956,1030.3433637
0.2325000,0.2325000,0.2325000,212.4636943,-0.0199105,8.5497053,212.4636943,133.4379863,905.4473998
0.2350000,0.2350000,0.2350000,187.0918252,-0.0191230,7.4082977,187.0918252,117.6590990,796.6046812
0.2375000,0.2375000,0.2375000,164.9970080,-0.0183729,6.3789760,164.9970080,103.9374115,701.6397571
0.2400000,0.2400000,0.2400000,145.7367103,-0.0176589,5.4485991,145.7367103,91.9906291,618.6869874
0.2425000,0.2425000,0.2425000,128.9309862,-0.0169792,4.6056217,128.9309862,81.5746166,546.1441120
0.2450000,0.2450000,0.2450000,114.2527624,-0.0163317,3.8404544,114.2527624,72.4772894,482.6332930
0.2475000,0.2475000,0.2475000,101.4195525,-0.0157135,3.1454221,101.4195525,64.5139155,426.9683532
0.2500000,0.2500000,0.2500000,90.1863966,-0.0151212,2.5144026,90.1863966,57.5238545,378.1271138
0.2525000,0.2525000,0.2525000,80.3399352,-0.0145505,1.9423528,80.3399352,51.3685425,335.2279108
0.2550000,0.2550000,0.2550000,71.6936353,-0.0139967,1.4249054,71.6936353,45.9301809,297.5095471
0.2575000,0.2575000,0.2575000,64.0842196,-0.0134548,0.9581085,64.0842196,41.1103392,264.3141155
