# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,14086474.6759926,1054200.1641373,685726.8766203,4111201.4169706,71807.4939137,2899938.7122775,48761042.9313801,478473866.2838830,3257535771.6918216
0.0025000,0.0025000,0.0025000,inf,nan,9847407.1544269,877486.6859573,570643.6455424,3424102.5563363,59659.3512513,2415192.4350275,40667810.0732966,399470707.8396014,2721846417.1292272
0.0050000,0.0050000,0.0050000,inf,nan,7961050.3517349,734287.8183473,477387.4793742,2867305.7489718,49816.5380789,2022374.1493972,34109291.8446161,335448776.2288525,2287738568.0632486
0.0075000,0.0075000,0.0075000,inf,nan,7808292.8051240,618128.9329900,401741.9826893,2415632.9598483,41833.7639796,1703721.0656313,28788753.0492859,283509917.6674876,1935552637.3654382
0.0100000,0.0100000,0.0100000,inf,nan,9343140.1355038,523872.1919033,340361.3252887,2049104.2926652,35357.6998669,1445137.6268370,24470715.8187844,241354235.5941428,1649687150.8893354
0.0125000,0.0125000,0.0125000,inf,nan,13072272.6620084,447431.6221649,290584.6780920,1751830.1974267,30107.3689695,1235413.9664159,20967908.7333013,207152660.2539430,1417734507.9349725
0.0150000,0.0150000,0.0150000,inf,nan,12826003.2293250,385553.3618909,250293.0934960,1511157.0625701,25859.0232434,1065623.1272302,18131201.0370720,179448665.0534574,1229814416.3889403
0.0175000,0.0175000,0.0175000,inf,nan,8364475.1746903,335645.8731655,217798.9281787,1317007.0748647,22434.4588602,928655.3359927,15841825.4110134,157082327.9134882,1078058868.7631471
0.0200000,0.0200000,0.0200000,inf,nan,6002439.5607819,295648.6656364,191760.3472728,1161367.8032120,19691.9823534,818857.9074681,14005364.4711060,139131612.5859848,956213898.1101471
0.0225000,0.0225000,0.0225000,inf,nan,5189370.6750059,263930.9127643,171115.2972939,1037897.9983394,17519.4343331,731757.1387915,12547106.1951307,124867014.7441980,859331965.8682456
0.0250000,0.0250000,0.0250000,inf,nan,6202504.5808397,239213.4989718,155030.7394809,941624.4844906,15828.8260558,663844.4691351,11408472.2729707,113716682.4379481,783535377.7558185
0.0275000,0.0275000,0.0275000,inf,nan,10525343.2797633,220509.6856051,142864.0095565,868711.4337259,14552.2576560,612413.7053347,10544298.9629678,105239858.6948614,725836131.0517422
0.0300000,0.0300000,0.0300000,inf,nan,8249635.6391190,207080.8619286,134134.0024093,816288.2840194,13625.8654934,575439.6207820,9920808.6113291,99107066.1067216,684001477.0227484
0.0325000,0.0325000,0.0325000,inf,nan,9425056.8662447,195760.5152394,126604.9719877,774466.6436541,12769.3954237,545825.5584797,9493317.5902322,95085906.1209461,656457554.3178507
0.0350000,0.0350000,0.0350000,inf,nan,13408727.0877967,187138.2737689,120998.1977164,740823.3865534,12182.4939817,522095.8284208,9093668.0645027,91514382.2439513,635095674.6941384
0.0375000,0.0375000,0.0375000,inf,nan,18751242.1595993,180130.3638749,116222.9034940,716530.8848163,11578.5287895,504810.0422321,8857821.9477158,89177838.7953238,619066806.8900549
0.0400000,0.0400000,0.0400000,inf,nan,13172844.8692898,171284.9977453,110463.1587600,682117.2625165,10972.6263517,480531.3350824,8489786.0261728,86306292.6688945,603470792.8127749
0.0425000,0.0425000,0.0425000,inf,nan,10803853.5258358,164833.4421511,106265.6889984,656961.5180502,10533.2431137,462786.3967483,8191528.3330749,83380186.8660325,583550749.1285590
