# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,25003529678.1875725
0.0050000,0.0050000,0.0050000,7982686860.2316399
0.0100000,0.0100000,0.0100000,2811293853.9452553
0.0150000,0.0150000,0.0150000,1075604248.8703954
0.0200000,0.0200000,0.0200000,441838717.5018971
0.0250000,0.0250000,0.0250000,193100361.4794312
0.0300000,0.0300000,0.0300000,89174487.1231277
0.0350000,0.0350000,0.0350000,43309382.9752106
0.0400000,0.0400000,0.0400000,22062879.6649317
0.0450000,0.0450000,0.0450000,11782529.4004342
0.0500000,0.0500000,0.0500000,6532353.9692605
0.0550000,0.0550000,0.0550000,3703239.2550353
0.0600000,0.0600000,0.0600000,2173436.6806013
0.0650000,0.0650000,0.0650000,1302836.0503542
0.0700000,0.0700000,0.0700000,795496.6806359
0.0750000,0.0750000,0.0750000,498141.2136694
0.0800000,0.0800000,0.0800000,319485.8944395
0.0850000,0.0850000,0.0850000,209598.9925866
0.0900000,0.0900000,0.0900000,140492.2952587
0.0950000,0.0950000,0.0950000,96110.9783005
0.1000000,0.1000000,0.1000000,67041.0909116
0.1050000,0.1050000,0.1050000,47645.6589894
0.1100000,0.1100000,0.1100000,34480.7979257
0.1150000,0.1150000,0.1150000,25401.4799971
0.1200000,0.1200000,0.1200000,18674.5985542
0.1250000,0.1250000,0.1250000,13908.4382016
0.1300000,0.1300000,0.1300000,10564.9975270
0.1350000,0.1350000,0.1350000,8191.0504779
0.1400000,0.1400000,0.1400000,6484.7669402
0.1450000,0.1450000,0.1450000,5242.4162036
0.1500000,0.1500000,0.1500000,4166.1922394
0.1550000,0.1550000,0.1550000,3288.2145295
0.1600000,0.1600000,0.1600000,2633.1737449
0.1650000,0.1650000,0.1650000,2137.3444094
0.1700000,0.1700000,0.1700000,1768.1104507
0.1750000,0.1750000,0.1750000,1382.5663316
0.1800000,0.1800000,0.1800000,1079.7489362
0.1850000,0.1850000,0.1850000,849.0727834
0.1900000,0.1900000,0.1900000,671.8388676
0.1950000,0.1950000,0.1950000,534.5461458
0.2000000,0.2000000,0.2000000,427.3674981
0.2050000,0.2050000,0.2050000,343.0921234
0.2100000,0.2100000,0.2100000,276.3859698
0.2150000,0.2150000,0.2150000,223.2708070
0.2200000,0.2200000,0.2200000,180.7518286
0.2250000,0.2250000,0.2250000,146.4826369
0.2300000,0.2300000,0.2300000,118.2742375
0.2350000,0.2350000,0.2350000,94.4980611
0.2400000,0.2400000,0.2400000,74.9005609
0.2450000,0.2450000,0.2450000,59.1890686
0.2500000,0.2500000,0.2500000,46.7260709
0.2550000,0.2550000,0.2550000,36.8703608
0.2600000,0.2600000,0.2600000,29.0840740
0.2650000,0.2650000,0.2650000,22.9358989
0.2700000,0.2700000,0.2700000,18.0834070
0.2750000,0.2750000,0.2750000,14.2550356
0.2800000,0.2800000,0.2800000,11.2360453
0.2850000,0.2850000,0.2850000,8.8580928
0.2900000,0.2900000,0.2900000,6.9905401
0.2950000,0.2950000,0.2950000,5.5320391
0.3000000,0.3000000,0.3000000,4.4022981
0.3050000,0.3050000,0.3050000,3.5349686
0.3100000,0.3100000,0.3100000,2.8726622
0.3150000,0.3150000,0.3150000,2.3643036
0.3200000,0.3200000,0.3200000,1.9633748
0.3250000,0.3250000,0.3250000,1.6236207
0.3300000,0.3300000,0.3300000,1.2926673
0.3350000,0.3350000,0.3350000,0.9173604
0.3400000,0.3400000,0.3400000,0.4706081
0.3450000,0.3450000,0.3450000,-0.0278574
0.3500000,0.3500000,0.3500000,-0.5279835
0.3550000,0.3550000,0.3550000,-0.9829317
0.3600000,0.3600000,0.3600000,-1.3664591
0.3650000,0.3650000,0.3650000,-1.6718970
0.3700000,0.3700000,0.3700000,-1.9045702
0.3750000,0.3750000,0.3750000,-2.0748224
0.3800000,0.3800000,0.3800000,-2.1935818
0.3850000,0.3850000,0.3850000,-2.2703304
0.3900000,0.3900000,0.3900000,-2.3127343
0.3950000,0.3950000,0.3950000,-2.3271181
0.4000000,0.4000000,0.4000000,-2.3191072
0.4050000,0.4050000,0.4050000,-2.2941489
0.4100000,0.4100000,0.4100000,-2.2578786
0.4150000,0.4150000,0.4150000,-2.2161178
0.4200000,0.4200000,0.4200000,-2.1743799
0.4250000,0.4250000,0.4250000,-2.1371652
0.4300000,0.4300000,0.4300000,-2.1073319
0.4350000,0.4350000,0.4350000,-2.0857834
0.4400000,0.4400000,0.4400000,-2.0718577
0.4450000,0.4450000,0.4450000,-2.0642678
0.4500000,0.4500000,0.4500000,-2.0616533
0.4550000,0.4550000,0.4550000,-2.0623787
0.4600000,0.4600000,0.4600000,-2.0643649
0.4650000,0.4650000,0.4650000,-2.0655516
0.4700000,0.4700000,0.4700000,-2.0646502
0.4750000,0.4750000,0.4750000,-2.0615975
0.4800000,0.4800000,0.4800000,-2.0574266
0.4850000,0.4850000,0.4850000,-2.0536044
0.4900000,0.4900000,0.4900000,-2.0512226
0.4950000,0.4950000,0.4950000,-2.0505220
0.5000000,0.5000000,0.5000000,-2.0509248
0.5050000,0.5050000,0.5050000,-2.0513471
0.5100000,0.5100000,0.5100000,-2.0504669
0.5150000,0.5150000,0.5150000,-2.0468397
0.5200000,0.5200000,0.5200000,-2.0389771
0.5250000,0.5250000,0.5250000,-2.0255974
0.5300000,0.5300000,0.5300000,-2.0061375
