# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1925000,0.1925000,0.1925000,1630.4567363,-0.1101293,177.5775374,1630.4567363,1032.2562639,inf,91.9114386,inf,inf,inf,inf
0.1950000,0.1950000,0.1950000,1407.6612987,-0.1144034,153.5747971,1407.6612987,890.6304750,inf,79.7359976,inf,inf,inf,inf
0.1975000,0.1975000,0.1975000,1217.6231258,-0.1182356,133.0511702,1217.6231258,769.9031584,inf,69.3011930,inf,inf,inf,inf
0.2000000,0.2000000,0.2000000,1055.1813219,-0.1216584,115.4643703,1055.1813219,666.7759115,inf,60.3649774,inf,inf,inf,inf
0.2025000,0.2025000,0.2025000,916.0438501,-0.1247019,100.3633702,916.0438501,578.5061578,inf,52.7091347,inf,inf,inf,inf
0.2050000,0.2050000,0.2050000,796.6319732,-0.1273942,87.3716170,796.6319732,502.8075847,inf,46.1428657,inf,inf,inf,inf
0.2075000,0.2075000,0.2075000,693.9541584,-0.1297611,76.1735848,693.9541584,437.7694381,inf,40.5028660,inf,inf,inf,inf
0.2100000,0.2100000,0.2100000,605.5035714,-0.1318269,66.5040003,605.5035714,381.7909182,inf,35.6511258,1775.9775967,inf,inf,inf
0.2125000,0.2125000,0.2125000,529.1745129,-0.1336141,58.1391956,529.1745129,333.5277025,inf,31.4716938,1554.0862255,inf,inf,inf
0.2150000,0.2150000,0.2150000,463.1941108,-0.1351435,50.8901254,463.1941108,291.8482323,inf,27.8672101,1361.9797258,inf,inf,inf
0.2175000,0.2175000,0.2175000,406.0663315,-0.1364345,44.5966770,406.0663315,255.7978838,1698.3967401,24.7556604,1195.3738303,inf,inf,inf
0.2200000,0.2200000,0.2200000,356.5259700,-0.1375050,39.1230030,356.5259700,224.5695209,1492.4529678,22.0675740,1050.6434881,inf,inf,inf
0.2225000,0.2225000,0.2225000,313.5007407,-0.1383712,34.3536980,313.5007407,197.4792309,1313.2454554,19.7437280,924.7147862,inf,inf,inf
0.2250000,0.2250000,0.2250000,276.0799642,-0.1390478,30.1906809,276.0799642,173.9462767,1157.0610164,17.7333297,814.9756626,inf,inf,inf
0.2275000,0.2275000,0.2275000,243.4886366,-0.1395470,26.5506388,243.4886366,153.4764947,1020.7377953,15.9925990,719.2019634,inf,inf,inf
0.2300000,0.2300000,0.2300000,215.0659019,-0.1398781,23.3628746,215.0659019,135.6485105,901.5780339,14.4836610,635.4960595,inf,inf,inf
0.2325000,0.2325000,0.2325000,190.2471351,-0.1400461,20.5674095,190.2471351,120.1022686,797.2754830,13.1736659,562.2357691,inf,inf,inf
0.2350000,0.2350000,0.2350000,168.5489947,-0.1400498,18.1132580,168.5489947,106.5294581,705.8548630,12.0340784,498.0317608,inf,inf,inf
0.2375000,0.2375000,0.2375000,149.5569226,-0.1398805,15.9568679,149.5569226,94.6654943,625.6212606,11.0400999,441.6919461,inf,inf,inf
0.2400000,0.2400000,0.2400000,132.9146706,-0.1395200,14.0607736,132.9146706,84.2827774,555.1177370,10.1702051,392.1916532,inf,inf,inf
0.2425000,0.2425000,0.2425000,118.3155067,-0.1389402,12.3925098,118.3155067,75.1850157,493.0897405,9.4057805,348.6485859,inf,inf,inf
0.2450000,0.2450000,0.2450000,105.4948157,-0.1381030,10.9237876,105.4948157,67.2024599,438.4551681,8.7308362,310.3017595,inf,inf,inf
0.2475000,0.2475000,0.2475000,94.2238568,-0.1369641,9.6298817,94.2238568,60.1879477,390.2791278,8.1317525,276.4937421,inf,inf,inf
0.2500000,0.2500000,0.2500000,84.3044835,-0.1354773,8.4891441,84.3044835,54.0136854,347.7526219,7.5970132,246.6556537,inf,inf,inf
0.2525000,0.2525000,0.2525000,75.5646692,-0.1336027,7.4825651,75.5646692,48.5686904,310.1745061,7.1169002,220.2944667,inf,inf,inf
0.2550000,0.2550000,0.2550000,67.8547267,-0.1313152,6.5933411,67.8547267,43.7567845,276.9361916,6.6831599,196.9822324,inf,inf,inf
0.2575000,0.2575000,0.2575000,61.0441402,-0.1286133,5.8064555,61.0441402,39.4949892,247.5086490,6.2886885,176.3469210,inf,inf,inf
0.2600000,0.2600000,0.2600000,55.0189520,-0.1255256,5.1083159,55.0189520,35.7121470,221.4313437,5.9272971,158.0646167,inf,inf,inf
0.2625000,0.2625000,0.2625000,49.6796442,-0.1221129,4.4865019,49.6796442,32.3476117,198.3027991,5.5935901,141.8528563,inf,inf,inf
0.2650000,0.2650000,0.2650000,44.9394414,-0.1184646,3.9296605,44.9394414,29.3499133,177.7725287,5.2829561,127.4649353,inf,inf,inf
0.2675000,0.2675000,0.2675000,40.7229305,-0.1146892,3.4275382,40.7229305,26.6753881,159.5341245,4.9916245,114.6850340,inf,inf,inf
0.2700000,0.2700000,0.2700000,36.9648816,-0.1108993,2.9710897,36.9648816,24.2868359,143.3193262,4.7167226,103.3240437,inf,inf,inf
0.2725000,0.2725000,0.2725000,33.6091564,-0.1071962,2.5525736,33.6091564,22.1522904,128.8929216,4.4562733,93.2159853,inf,inf,inf
0.2750000,0.2750000,0.2750000,30.6076287,-0.1036564,2.1655637,30.6076287,20.2439745,116.0483610,4.2090968,84.2149337,1707.5383087,inf,inf
0.2775000,0.2775000,0.2775000,27.9190936,-0.1003234,1.8048593,27.9190936,18.5374673,104.6039806,3.9746226,76.1923776,1542.4132218,inf,inf
0.2800000,0.2800000,0.2800000,25.5081903,-0.0972067,1.4663347,25.5081903,17.0110688,94.3997500,3.7526501,69.0349596,1394.3156896,inf,inf
0.2825000,0.2825000,0.2825000,23.3443948,-0.0942857,1.1467932,23.3443948,15.6453264,85.2944698,3.5431196,62.6425577,1261.3753448,inf,inf
0.2850000,0.2850000,0.2850000,21.4011343,-0.0915183,0.8438620,21.4011343,14.4226805,77.1633577,3.3459403,56.9266744,1141.9407490,inf,inf
0.2875000,0.2875000,0.2875000,19.6550532,-0.0888499,0.5559029,19.6550532,13.3272005,69.8959768,3.1608934,51.8091005,1034.5521292,inf,inf
0.2900000,0.2900000,0.2900000,18.0854341,-0.0862228,0.2818790,18.0854341,12.3443944,63.3944674,2.9875950,47.2208088,937.9177170,inf,inf
0.2925000,0.2925000,0.2925000,16.6737522,-0.0835852,0.0211361,16.6737522,11.4610815,57.5720552,2.8254896,43.1010247,850.8931885,inf,inf
0.2950000,0.2950000,0.2950000,15.4033357,-0.0808987,-0.2268773,15.4033357,10.6653183,52.3518059,2.6738457,39.3964122,772.4637728,inf,inf
0.2975000,0.2975000,0.2975000,14.2591075,-0.0781450,-0.4628554,14.2591075,9.9463572,47.6655898,2.5317452,36.0603204,701.7286643,inf,inf
0.3000000,0.3000000,0.3000000,13.2273928,-0.0753302,-0.6877504,13.2273928,9.2946110,43.4532118,2.3980643,33.0520499,637.8874238,inf,inf
0.3025000,0.3025000,0.3025000,12.2957812,-0.0724863,-0.9027227,12.2957812,8.7015962,39.6616530,2.2714538,30.3361242,580.2281005,inf,inf
0.3050000,0.3050000,0.3050000,11.4530341,-0.0696700,-1.1089749,11.4530341,8.1598420,36.2443725,2.1503362,27.8815758,528.1168440,inf,inf
0.3075000,0.3075000,0.3075000,10.6890212,-0.0669570,-1.3075637,10.6890212,7.6627715,33.1606292,2.0329509,25.6612707,480.9888095,inf,inf
0.3100000,0.3100000,0.3100000,9.9946675,-0.0644352,-1.4992722,9.9946675,7.2045806,30.3748039,1.9174794,23.6513024,438.3401849,inf,inf
0.3125000,0.3125000,0.3125000,9.3618901,-0.0621964,-1.6845771,9.3618901,6.7801426,27.8557257,1.8022546,21.8304737,399.7211940,inf,inf
0.3150000,0.3150000,0.3150000,8.7835122,-0.0603290,-1.8637043,8.7835122,6.3849594,25.5760252,1.6860152,20.1798736,364.7299493,inf,inf
0.3175000,0.3175000,0.3175000,8.2531576,-0.0589116,-2.0367338,8.2531576,6.0151550,23.5115424,1.5681250,18.6825401,333.0070452,inf,inf
0.3200000,0.3200000,0.3200000,7.7651383,-0.0580073,-2.2037080,7.7651383,5.6674931,21.6408147,1.4486729,17.3231946,304.2307973,inf,inf
0.3225000,0.3225000,0.3225000,7.3143594,-0.0576573,-2.3647018,7.3143594,5.3393863,19.9446566,1.3284052,16.0880305,278.1130450,inf,inf
0.3250000,0.3250000,0.3250000,6.8962561,-0.0578737,-2.5198361,6.8962561,5.0288699,18.4058267,1.2085005,14.9645445,254.3954469,inf,inf
0.3275000,0.3275000,0.3275000,6.5067706,-0.0586334,-2.6692504,6.5067706,4.7345292,17.0087705,1.0902473,13.9414014,232.8462052,inf,inf
0.3300000,0.3300000,0.3300000,6.1423581,-0.0598743,-2.8130791,6.1423581,4.4553857,15.7394194,0.9747228,13.0083303,213.2571675,inf,inf
0.3325000,0.3325000,0.3325000,5.8000042,-0.0614969,-2.9514655,5.8000042,4.1907635,14.5850325,0.8625735,12.1560406,195.4412563,inf,inf
0.3350000,0.3350000,0.3350000,5.4772282,-0.0633726,-3.0846025,5.4772282,3.9401604,13.5340678,0.7539654,11.3761529,179.2301887,inf,inf
0.3375000,0.3375000,0.3375000,5.1720576,-0.0653561,-3.2127496,5.1720576,3.7031370,12.5760794,0.6487045,10.6611298,164.4724515,inf,inf
0.3400000,0.3400000,0.3400000,4.8829687,-0.0673018,-3.3361779,4.8829687,3.4792333,11.7016308,0.5464630,10.0042006,151.0315030,1735.4981079,inf
0.3425000,0.3425000,0.3425000,4.6088020,-0.0690775,-3.4550517,4.6088020,3.2679082,10.9022199,0.4470167,9.3992764,138.7841777,1596.3541688,inf
0.3450000,0.3450000,0.3450000,4.3486662,-0.0705768,-3.5693034,4.3486662,3.0685052,10.1702059,0.3504079,8.8408635,127.6192710,1469.0655877,inf
0.3475000,0.3475000,0.3475000,4.1018473,-0.0717252,-3.6785665,4.1018473,2.8802384,9.4987306,0.2569955,8.3239857,117.4362855,1352.5603219,inf
0.3500000,0.3500000,0.3500000,3.8677279,-0.0724836,-3.7821989,3.8677279,2.7021996,8.8816318,0.1673968,7.8441280,108.1443195,1245.8692323,inf
0.3525000,0.3525000,0.3525000,3.6457231,-0.0728464,-3.8793849,3.6457231,2.5333789,8.3133520,0.0823628,7.3972080,99.6610842,1148.1156140,inf
0.3550000,0.3550000,0.3550000,3.4352304,-0.0728368,-3.9692729,3.4352304,2.3726937,7.7888523,0.0026339,6.9795721,91.9120344,1058.5058545,inf
0.3575000,0.3575000,0.3575000,3.2355954,-0.0724991,-4.0511073,3.2355954,2.2190226,7.3035428,-0.0711822,6.5880045,84.8296026,976.3210896,inf
