# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,657078908884348416.0000000
0.0050000,0.0050000,0.0050000,9635851810417506.0000000
0.0100000,0.0100000,0.0100000,425095818171153.3125000
0.0150000,0.0150000,0.0150000,35746894913014.5859375
0.0200000,0.0200000,0.0200000,4592805084549.5400391
0.0250000,0.0250000,0.0250000,796430926510.7565918
0.0300000,0.0300000,0.0300000,172672604310.8937683
0.0350000,0.0350000,0.0350000,44501711368.5524063
0.0400000,0.0400000,0.0400000,13166053840.8890915
0.0450000,0.0450000,0.0450000,4364681872.7131128
0.0500000,0.0500000,0.0500000,1600317655.8445022
0.0550000,0.0550000,0.0550000,657292687.3442137
0.0600000,0.0600000,0.0600000,316851050.5307562
0.0650000,0.0650000,0.0650000,159030799.6639064
0.0700000,0.0700000,0.0700000,84034101.7697229
0.0750000,0.0750000,0.0750000,44364985.1512719
0.0800000,0.0800000,0.0800000,23886551.9984444
0.0850000,0.0850000,0.0850000,13395575.5579040
0.0900000,0.0900000,0.0900000,7616306.3902181
0.0950000,0.0950000,0.0950000,4535774.3919872
0.1000000,0.1000000,0.1000000,2661355.5827701
0.1050000,0.1050000,0.1050000,1621987.0051229
0.1100000,0.1100000,0.1100000,979415.6627752
0.1150000,0.1150000,0.1150000,609171.6210831
0.1200000,0.1200000,0.1200000,388858.8461326
0.1250000,0.1250000,0.1250000,252943.5829128
0.1300000,0.1300000,0.1300000,168442.9311209
0.1350000,0.1350000,0.1350000,114645.5046821
0.1400000,0.1400000,0.1400000,79613.0319859
0.1450000,0.1450000,0.1450000,54394.4729511
0.1500000,0.1500000,0.1500000,36807.4212171
0.1550000,0.1550000,0.1550000,25256.0524915
0.1600000,0.1600000,0.1600000,17556.5662816
0.1650000,0.1650000,0.1650000,12352.9066057
0.1700000,0.1700000,0.1700000,8789.8086915
0.1750000,0.1750000,0.1750000,6319.8523037
0.1800000,0.1800000,0.1800000,4587.7273170
0.1850000,0.1850000,0.1850000,3359.7352027
0.1900000,0.1900000,0.1900000,2480.2135993
0.1950000,0.1950000,0.1950000,1856.7824274
0.2000000,0.2000000,0.2000000,1392.4616917
0.2050000,0.2050000,0.2050000,1051.1037544
0.2100000,0.2100000,0.2100000,798.0366685
0.2150000,0.2150000,0.2150000,609.0875784
0.2200000,0.2200000,0.2200000,467.0878982
0.2250000,0.2250000,0.2250000,359.7244530
0.2300000,0.2300000,0.2300000,278.0711140
0.2350000,0.2350000,0.2350000,215.6064392
0.2400000,0.2400000,0.2400000,167.5690398
0.2450000,0.2450000,0.2450000,130.4807244
0.2500000,0.2500000,0.2500000,101.7652704
0.2550000,0.2550000,0.2550000,79.4804199
0.2600000,0.2600000,0.2600000,62.1474128
0.2650000,0.2650000,0.2650000,48.6359050
0.2700000,0.2700000,0.2700000,38.0786671
0.2750000,0.2750000,0.2750000,29.8082399
