# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1875000,0.1875000,0.1875000,1622.7270367
0.2125000,0.2125000,0.2125000,396.5467526
0.2375000,0.2375000,0.2375000,111.4473768
0.2625000,0.2625000,0.2625000,36.0737516
0.2875000,0.2875000,0.2875000,13.8223437
0.3125000,0.3125000,0.3125000,6.4281000
0.3375000,0.3375000,0.3375000,3.2293133
0.3625000,0.3625000,0.3625000,1.0636819
0.3875000,0.3875000,0.3875000,-0.2912395
0.4125000,0.4125000,0.4125000,-0.9394490
0.4375000,0.4375000,0.4375000,-1.1102129
0.4625000,0.4625000,0.4625000,-1.0758091
0.4875000,0.4875000,0.4875000,-0.9197901
0.5125000,0.5125000,0.5125000,-0.7281940
0.5375000,0.5375000,0.5375000,-0.5601576
0.5625000,0.5625000,0.5625000,-0.4282801
0.5875000,0.5875000,0.5875000,-0.3285097
0.6125000,0.6125000,0.6125000,-0.2537462
0.6375000,0.6375000,0.6375000,-0.1976475
0.6625000,0.6625000,0.6625000,-0.1553044
0.6875000,0.6875000,0.6875000,-0.1230928
0.7125000,0.7125000,0.7125000,-0.0983787
0.7375000,0.7375000,0.7375000,-0.0792522
0.7625000,0.7625000,0.7625000,-0.0643240
0.7875000,0.7875000,0.7875000,-0.0525773
0.8125000,0.8125000,0.8125000,-0.0432616
0.8375000,0.8375000,0.8375000,-0.0358191
0.8625000,0.8625000,0.8625000,-0.0298313
0.8875000,0.8875000,0.8875000,-0.0249821
0.9125000,0.9125000,0.9125000,-0.0210302
0.9375000,0.9375000,0.9375000,-0.0177906
0.9625000,0.9625000,0.9625000,-0.0151200
0.9875000,0.9875000,0.9875000,-0.0129068
1.0125000,1.0125000,1.0125000,-0.0110634
1.0375000,1.0375000,1.0375000,-0.0095208
1.0625000,1.0625000,1.0625000,-0.0082239
1.0875000,1.0875000,1.0875000,-0.0071291
1.1125000,1.1125000,1.1125000,-0.0062010
1.1375000,1.1375000,1.1375000,-0.0054111
1.1625000,1.1625000,1.1625000,-0.0047365
1.1875000,1.1875000,1.1875000,-0.0041581
1.2125000,1.2125000,1.2125000,-0.0036607
1.2375000,1.2375000,1.2375000,-0.0032315
1.2625000,1.2625000,1.2625000,-0.0028600
1.2875000,1.2875000,1.2875000,-0.0025375
1.3125000,1.3125000,1.3125000,-0.0022567
1.3375000,1.3375000,1.3375000,-0.0020115
1.3625000,1.3625000,1.3625000,-0.0017969
1.3875000,1.3875000,1.3875000,-0.0016086
1.4125000,1.4125000,1.4125000,-0.0014430
1.4375000,1.4375000,1.4375000,-0.0012970
1.4625000,1.4625000,1.4625000,-0.0011679
1.4875000,1.4875000,1.4875000,-0.0010536
1.5125000,1.5125000,1.5125000,-0.0009522
1.5375000,1.5375000,1.5375000,-0.0008620
1.5625000,1.5625000,1.5625000,-0.0007816
1.5875000,1.5875000,1.5875000,-0.0007098
