# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1925000,0.1925000,0.1925000,1804.4166586,-3.7845821,124.3373498,1804.4166586,1154.2313421,inf,111.3654242,inf,inf,inf,inf
0.1950000,0.1950000,0.1950000,1558.0541234,-3.7624358,108.6037480,1558.0541234,995.1499098,inf,95.4746121,inf,inf,inf,inf
0.1975000,0.1975000,0.1975000,1347.9293335,-3.7401518,94.9851949,1347.9293335,859.5598894,inf,81.9408781,inf,inf,inf,inf
0.2000000,0.2000000,0.2000000,1168.3292530,-3.7177574,83.1768496,1168.3292530,743.7506014,inf,70.3954432,inf,inf,inf,inf
0.2025000,0.2025000,0.2025000,1014.5025050,-3.6952784,72.9200826,1014.5025050,644.6363577,inf,60.5323573,inf,inf,inf,inf
0.2050000,0.2050000,0.2050000,882.4874257,-3.6727407,63.9951202,882.4874257,559.6436794,inf,52.0965608,inf,inf,inf,inf
0.2075000,0.2075000,0.2075000,768.9723358,-3.6501877,56.2148712,768.9723358,486.6184113,inf,44.8742790,inf,inf,inf,inf
0.2100000,0.2100000,0.2100000,671.1809053,-3.6277501,49.4197966,671.1809053,423.7492944,inf,38.6854899,inf,inf,inf,inf
0.2125000,0.2125000,0.2125000,586.7766475,-3.6058144,43.4737436,586.7766475,369.5076281,inf,33.3780413,1669.6042108,inf,inf,inf
0.2150000,0.2150000,0.2150000,513.7834361,-3.5852125,38.2605868,513.7834361,322.6033166,inf,28.8230009,1464.0360141,inf,inf,inf
0.2175000,0.2175000,0.2175000,450.5234620,-3.5671195,33.6814186,450.5234620,281.9534903,1829.3455252,24.9109105,1285.7131403,inf,inf,inf
0.2200000,0.2200000,0.2200000,395.5750527,-3.5523719,29.6520485,395.5750527,246.6549486,1609.2762235,21.5487113,1130.7558329,inf,inf,inf
0.2225000,0.2225000,0.2225000,347.7450793,-3.5406177,26.1007012,347.7450793,215.9538100,1417.7027313,18.6571824,995.8516131,inf,inf,inf
0.2250000,0.2250000,0.2250000,306.0415117,-3.5303166,22.9658928,306.0415117,189.2142447,1250.6207294,16.1687918,878.1281397,inf,inf,inf
0.2275000,0.2275000,0.2275000,269.6371695,-3.5197231,20.1944154,269.6371695,165.8925268,1104.4970672,14.0258872,775.0821457,inf,inf,inf
0.2300000,0.2300000,0.2300000,237.8313720,-3.5077767,17.7392935,237.8313720,145.5194693,976.2070402,12.1791777,684.6352021,inf,inf,inf
0.2325000,0.2325000,0.2325000,210.0201534,-3.4942428,15.5577802,210.0201534,127.6898593,863.3035948,10.5864585,605.1722395,inf,inf,inf
0.2350000,0.2350000,0.2350000,185.6774265,-3.4793943,13.6099096,185.6774265,112.0558339,764.0149164,9.2115444,535.3878231,inf,inf,inf
0.2375000,0.2375000,0.2375000,164.3434416,-3.4636679,11.8583588,164.3434416,98.3214529,676.8080132,8.0233785,474.1247054,inf,inf,inf
0.2400000,0.2400000,0.2400000,145.6168742,-3.4474472,10.2699163,145.6168742,86.2367697,600.2287131,6.9952905,420.3309961,inf,inf,inf
0.2425000,0.2425000,0.2425000,129.1487348,-3.4309603,8.8178116,129.1487348,75.5909917,532.9444105,6.1043808,373.0648550,inf,inf,inf
0.2450000,0.2450000,0.2450000,114.6374087,-3.4142552,7.4833570,114.6374087,66.2053790,473.7733849,5.3310072,331.4960326,inf,inf,inf
0.2475000,0.2475000,0.2475000,101.8243179,-3.3972323,6.2556611,101.8243179,57.9268409,421.6830177,4.6583486,294.8990254,inf,inf,inf
0.2500000,0.2500000,0.2500000,90.4895783,-3.3797172,5.1294489,90.4895783,50.6228282,375.7757047,4.0720287,262.6424378,inf,inf,inf
0.2525000,0.2525000,0.2525000,80.4471692,-3.3615443,4.1021255,80.4471692,44.1775733,335.2722288,3.5597859,234.1777132,inf,inf,inf
0.2550000,0.2550000,0.2550000,71.5396242,-3.3426182,3.1712759,71.5396242,38.4894013,299.4960273,3.1111843,209.0285200,inf,inf,inf
0.2575000,0.2575000,0.2575000,63.6327416,-3.3229347,2.3331459,63.6327416,33.4687642,267.8593176,2.7173626,186.7811129,inf,inf,inf
0.2600000,0.2600000,0.2600000,56.6109174,-3.3025670,1.5820570,56.6109174,29.0367221,239.8511343,2.3708163,167.0756691,inf,inf,inf
0.2625000,0.2625000,0.2625000,50.3734520,-3.2816359,0.9105142,50.3734520,25.1236953,215.0270063,2.0652038,149.5985885,inf,inf,inf
0.2650000,0.2650000,0.2650000,44.8318377,-3.2602814,0.3097865,44.8318377,21.6683877,192.9999304,1.7951707,134.0758388,inf,inf,inf
0.2675000,0.2675000,0.2675000,39.9078281,-3.2386419,-0.2292382,39.9078281,18.6168293,173.4323736,1.5561894,120.2674763,inf,inf,inf
0.2700000,0.2700000,0.2700000,35.5320399,-3.2168426,-0.7151460,35.5320399,15.9215132,156.0291881,1.3444154,107.9633937,inf,inf,inf
0.2725000,0.2725000,0.2725000,31.6428843,-3.1949908,-1.1552709,31.6428843,13.5406172,140.5314717,1.1565649,96.9801510,inf,inf,inf
0.2750000,0.2750000,0.2750000,28.1856950,-3.1731746,-1.5553128,28.1856950,11.4373046,126.7114816,0.9898152,87.1585183,1697.0581573,inf,inf
0.2775000,0.2775000,0.2775000,25.1119731,-3.1514648,-1.9193365,25.1119731,9.5791026,114.3686736,0.8417245,78.3612364,1531.6901874,inf,inf
0.2800000,0.2800000,0.2800000,22.3787124,-3.1299175,-2.2500680,22.3787124,7.9373545,103.3267920,0.7101690,70.4705975,1383.5396567,inf,inf
0.2825000,0.2825000,0.2825000,19.9477855,-3.1085778,-2.5493342,19.9477855,6.4867402,93.4317331,0.5932907,63.3857320,1250.6947031,inf,inf
0.2850000,0.2850000,0.2850000,17.7853873,-3.0874829,-2.8185105,17.7853873,5.2048573,84.5497455,0.4894542,57.0197825,1131.4698175,inf,inf
0.2875000,0.2875000,0.2875000,15.8615321,-3.0666651,-3.0588814,15.8615321,4.0718594,76.5655386,0.3972066,51.2972719,1024.3772906,inf,inf
0.2900000,0.2900000,0.2900000,14.1496040,-3.0461538,-3.2718817,14.1496040,3.0701455,69.3800708,0.3152396,46.1519073,928.1024255,inf,inf
0.2925000,0.2925000,0.2925000,12.6259569,-3.0259765,-3.4592175,12.6259569,2.1840972,62.9080827,0.2423528,41.5249017,841.4819648,inf,inf
0.2950000,0.2950000,0.2950000,11.2695611,-3.0061600,-3.6228866,11.2695611,1.3998567,57.0756375,0.1774237,37.3637593,763.4852901,inf,inf
0.2975000,0.2975000,0.2975000,10.0616921,-2.9867300,-3.7651276,10.0616921,0.7051399,51.8179507,0.1193876,33.6214064,693.1980670,inf,inf
0.3000000,0.3000000,0.3000000,8.9856606,-2.9677112,-3.8883212,8.9856606,0.0890752,47.0776612,0.0672314,30.2555499,629.8081004,inf,inf
0.3025000,0.3025000,0.3025000,8.0265788,-2.9491262,-3.9948678,8.0265788,-0.4579362,42.8035552,0.0200001,27.2281709,572.5931990,inf,inf
0.3050000,0.3050000,0.3050000,7.1711627,-2.9309950,-4.0870611,7.1711627,-0.9443432,38.9496574,-0.0231812,24.5050958,520.9108283,inf,inf
0.3075000,0.3075000,0.3075000,6.4075631,-2.9133332,-4.1669783,6.4075631,-1.3775523,35.4745765,-0.0630737,22.0556150,474.1892633,inf,inf
0.3100000,0.3100000,0.3100000,5.7252211,-2.8961518,-4.2364031,5.7252211,-1.7640240,32.3410072,-0.1002864,19.8521339,431.9199042,inf,inf
0.3125000,0.3125000,0.3125000,5.1147440,-2.8794564,-4.2967926,5.1147440,-2.1093612,29.5153233,-0.1352452,17.8698536,393.6504257,inf,inf
0.3150000,0.3150000,0.3150000,4.5677955,-2.8632469,-4.3492892,4.5677955,-2.4183946,26.9672211,-0.1681836,16.0864794,358.9785142,inf,inf
