# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2200000,0.2200000,0.2200000,950.9084263
0.2450000,0.2450000,0.2450000,422.0755627
0.2700000,0.2700000,0.2700000,182.3743825
0.2950000,0.2950000,0.2950000,74.4482099
0.3200000,0.3200000,0.3200000,27.1432323
0.3450000,0.3450000,0.3450000,7.8312425
0.3700000,0.3700000,0.3700000,0.9525321
0.3950000,0.3950000,0.3950000,-0.8720394
0.4200000,0.4200000,0.4200000,-2.0194352
0.4450000,0.4450000,0.4450000,-3.6057509
0.4700000,0.4700000,0.4700000,-4.4340991
0.4950000,0.4950000,0.4950000,-4.9357074
0.5200000,0.5200000,0.5200000,-4.6702870
0.5450000,0.5450000,0.5450000,-4.0370344
0.5700000,0.5700000,0.5700000,-3.5426231
0.5950000,0.5950000,0.5950000,-3.1953477
0.6200000,0.6200000,0.6200000,-2.7894951
0.6450000,0.6450000,0.6450000,-2.4326757
0.6700000,0.6700000,0.6700000,-2.0252980
0.6950000,0.6950000,0.6950000,-1.6250681
0.7200000,0.7200000,0.7200000,-1.2942696
0.7450000,0.7450000,0.7450000,-1.0267660
0.7700000,0.7700000,0.7700000,-0.8163058
0.7950000,0.7950000,0.7950000,-0.6532080
0.8200000,0.8200000,0.8200000,-0.5268459
0.8450000,0.8450000,0.8450000,-0.4283406
0.8700000,0.8700000,0.8700000,-0.3509223
0.8950000,0.8950000,0.8950000,-0.2895594
0.9200000,0.9200000,0.9200000,-0.2405220
0.9450000,0.9450000,0.9450000,-0.2010302
0.9700000,0.9700000,0.9700000,-0.1689945
0.9950000,0.9950000,0.9950000,-0.1428307
1.0200000,1.0200000,1.0200000,-0.1213272
1.0450000,1.0450000,1.0450000,-0.1035489
1.0700000,1.0700000,1.0700000,-0.0887687
1.0950000,1.0950000,1.0950000,-0.0764168
1.1200000,1.1200000,1.1200000,-0.0660435
1.1450000,1.1450000,1.1450000,-0.0572915
1.1700000,1.1700000,1.1700000,-0.0498750
1.1950000,1.1950000,1.1950000,-0.0435642
1.2200000,1.2200000,1.2200000,-0.0381732
1.2450000,1.2450000,1.2450000,-0.0335506
1.2700000,1.2700000,1.2700000,-0.0295729
1.2950000,1.2950000,1.2950000,-0.0261387
1.3200000,1.3200000,1.3200000,-0.0231639
1.3450000,1.3450000,1.3450000,-0.0205794
1.3700000,1.3700000,1.3700000,-0.0183272
1.3950000,1.3950000,1.3950000,-0.0163592
1.4200000,1.4200000,1.4200000,-0.0146348
1.4450000,1.4450000,1.4450000,-0.0131200
1.4700000,1.4700000,1.4700000,-0.0117860
1.4950000,1.4950000,1.4950000,-0.0106084
1.5200000,1.5200000,1.5200000,-0.0095665
1.5450000,1.5450000,1.5450000,-0.0086427
1.5700000,1.5700000,1.5700000,-0.0078218
1.5950000,1.5950000,1.5950000,-0.0070908
