# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2000000,0.2000000,0.2000000,1573.4796650
0.2250000,0.2250000,0.2250000,450.0327168
0.2500000,0.2500000,0.2500000,132.5454956
0.2750000,0.2750000,0.2750000,40.4890330
0.3000000,0.3000000,0.3000000,12.5347965
0.3250000,0.3250000,0.3250000,3.8006644
0.3500000,0.3500000,0.3500000,0.1291929
0.3750000,0.3750000,0.3750000,-1.3946830
0.4000000,0.4000000,0.4000000,-2.2459927
0.4250000,0.4250000,0.4250000,-2.7756998
0.4500000,0.4500000,0.4500000,-2.8266430
0.4750000,0.4750000,0.4750000,-2.5126284
0.5000000,0.5000000,0.5000000,-2.1778637
0.5250000,0.5250000,0.5250000,-1.9702699
0.5500000,0.5500000,0.5500000,-1.7669351
0.5750000,0.5750000,0.5750000,-1.4654037
0.6000000,0.6000000,0.6000000,-1.1538335
0.6250000,0.6250000,0.6250000,-0.8950736
0.6500000,0.6500000,0.6500000,-0.6954498
0.6750000,0.6750000,0.6750000,-0.5442892
0.7000000,0.7000000,0.7000000,-0.4297688
0.7250000,0.7250000,0.7250000,-0.3424008
0.7500000,0.7500000,0.7500000,-0.2751488
0.7750000,0.7750000,0.7750000,-0.2228990
0.8000000,0.8000000,0.8000000,-0.1819375
0.8250000,0.8250000,0.8250000,-0.1495498
0.8500000,0.8500000,0.8500000,-0.1237352
0.8750000,0.8750000,0.8750000,-0.1030044
0.9000000,0.9000000,0.9000000,-0.0862386
0.9250000,0.9250000,0.9250000,-0.0725899
0.9500000,0.9500000,0.9500000,-0.0614099
0.9750000,0.9750000,0.9750000,-0.0521985
1.0000000,1.0000000,1.0000000,-0.0445676
1.0250000,1.0250000,1.0250000,-0.0382132
1.0500000,1.0500000,1.0500000,-0.0328960
1.0750000,1.0750000,1.0750000,-0.0284260
1.1000000,1.1000000,1.1000000,-0.0246518
1.1250000,1.1250000,1.1250000,-0.0214519
1.1500000,1.1500000,1.1500000,-0.0187281
1.1750000,1.1750000,1.1750000,-0.0164008
1.2000000,1.2000000,1.2000000,-0.0144053
1.2250000,1.2250000,1.2250000,-0.0126883
1.2500000,1.2500000,1.2500000,-0.0112062
1.2750000,1.2750000,1.2750000,-0.0099228
1.3000000,1.3000000,1.3000000,-0.0088082
1.3250000,1.3250000,1.3250000,-0.0078374
1.3500000,1.3500000,1.3500000,-0.0069895
1.3750000,1.3750000,1.3750000,-0.0062470
1.4000000,1.4000000,1.4000000,-0.0055951
1.4250000,1.4250000,1.4250000,-0.0050214
1.4500000,1.4500000,1.4500000,-0.0045154
1.4750000,1.4750000,1.4750000,-0.0040680
1.5000000,1.5000000,1.5000000,-0.0036716
1.5250000,1.5250000,1.5250000,-0.0033196
1.5500000,1.5500000,1.5500000,-0.0030065
1.5750000,1.5750000,1.5750000,-0.0027274
