# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,63674986.8227747,63674986.8227747
0.0050000,0.0050000,0.0050000,32521213.5857969,32521213.5857969
0.0100000,0.0100000,0.0100000,18016529.0114648,18016529.0114648
0.0150000,0.0150000,0.0150000,10718051.1825286,10718051.1825286
0.0200000,0.0200000,0.0200000,7017529.6752260,7017529.6752260
0.0250000,0.0250000,0.0250000,5163757.0314214,5163757.0314214
0.0300000,0.0300000,0.0300000,3993682.9945516,3993682.9945516
0.0350000,0.0350000,0.0350000,3091487.4854464,3091487.4854464
0.0400000,0.0400000,0.0400000,2585060.6993948,2585060.6993948
0.0450000,0.0450000,0.0450000,2203862.1663089,2203862.1663089
0.0500000,0.0500000,0.0500000,1650418.0148424,1650418.0148424
0.0550000,0.0550000,0.0550000,1275478.7325521,1275478.7325521
0.0600000,0.0600000,0.0600000,989961.0391915,989961.0391915
0.0650000,0.0650000,0.0650000,714566.1458511,714566.1458511
0.0700000,0.0700000,0.0700000,515711.4094109,515711.4094109
0.0750000,0.0750000,0.0750000,377213.2922820,377213.2922820
0.0800000,0.0800000,0.0800000,280221.9319336,280221.9319336
0.0850000,0.0850000,0.0850000,211928.1198965,211928.1198965
0.0900000,0.0900000,0.0900000,163604.4696478,163604.4696478
0.0950000,0.0950000,0.0950000,129280.4198903,129280.4198903
0.1000000,0.1000000,0.1000000,104848.4590036,104848.4590036
0.1050000,0.1050000,0.1050000,87461.7903618,87461.7903618
0.1100000,0.1100000,0.1100000,75128.1996359,75128.1996359
0.1150000,0.1150000,0.1150000,66435.8991586,66435.8991586
0.1200000,0.1200000,0.1200000,60368.3792693,60368.3792693
0.1250000,0.1250000,0.1250000,56179.6748898,56179.6748898
0.1300000,0.1300000,0.1300000,53311.0792094,53311.0792094
0.1350000,0.1350000,0.1350000,51336.7065107,51336.7065107
0.1400000,0.1400000,0.1400000,49929.4485202,49929.4485202
0.1450000,0.1450000,0.1450000,48841.4702270,48841.4702270
0.1500000,0.1500000,0.1500000,47894.9180312,47894.9180312
0.1550000,0.1550000,0.1550000,46979.2997302,46979.2997302
0.1600000,0.1600000,0.1600000,43474.9677062,43474.9677062
0.1650000,0.1650000,0.1650000,38291.2546711,38291.2546711
0.1700000,0.1700000,0.1700000,33998.3464086,33998.3464086
0.1750000,0.1750000,0.1750000,30310.0095489,30310.0095489
0.1800000,0.1800000,0.1800000,27047.2780571,27047.2780571
0.1850000,0.1850000,0.1850000,21496.6940534,21496.6940534
0.1900000,0.1900000,0.1900000,16638.1615235,16638.1615235
0.1950000,0.1950000,0.1950000,13111.1688976,13111.1688976
0.2000000,0.2000000,0.2000000,10502.6566881,10502.6566881
0.2050000,0.2050000,0.2050000,8537.4655348,8537.4655348
0.2100000,0.2100000,0.2100000,7030.4629029,7030.4629029
0.2150000,0.2150000,0.2150000,5855.5373904,5855.5373904
0.2200000,0.2200000,0.2200000,4925.5060272,4925.5060272
0.2250000,0.2250000,0.2250000,4179.0767855,4179.0767855
0.2300000,0.2300000,0.2300000,3572.3725711,3572.3725711
0.2350000,0.2350000,0.2350000,3055.7650757,3055.7650757
0.2400000,0.2400000,0.2400000,2575.2329076,2575.2329076
0.2450000,0.2450000,0.2450000,2179.0180355,2179.0180355
0.2500000,0.2500000,0.2500000,1848.6829891,1848.6829891
0.2550000,0.2550000,0.2550000,1552.1735829,1529.5984537
0.2600000,0.2600000,0.2600000,1258.7359086,1236.1607794
0.2650000,0.2650000,0.2650000,1018.4593949,995.8842656
