# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,967427.2683353,103239124.9323897,67222054.5980623,401632557.8460492,7096868.7034555,283338435.8727003,103239111.4631413,103239138.4016381,121702286.4263795,76971284.3115107,2079175862.8631713,103239124.9323897,67222054.5980623,401632557.8460492,7096868.7034555,283338435.8727003,103239111.4631413,103239138.4016381,121702286.4263795,76971284.3115107,2079175862.8631713
0.0025000,0.0025000,0.0025000,inf,nan,706186.7660585,73692134.7142629,47946398.4110652,287209088.4672531,5040398.2626820,202592937.4033498,73692118.2583996,73692151.1701263,86871147.8544589,54942138.0346679,1486615571.0163674,73692134.7142629,47946398.4110652,287209088.4672531,5040398.2626820,202592937.4033498,73692118.2583996,73692151.1701263,86871147.8544589,54942138.0346679,1486615571.0163674
0.0050000,0.0050000,0.0050000,inf,nan,537559.0181899,54378951.9778202,35342522.7961156,212480990.2047677,3693146.4811592,149856478.1475625,54378932.5276966,54378971.4279437,64104018.6412380,40542941.2152408,1099598115.3637950,54378951.9778202,35342522.7961156,212480990.2047677,3693146.4811592,149856478.1475625,54378932.5276966,54378971.4279437,64104018.6412380,40542941.2152408,1099598115.3637950
0.0075000,0.0075000,0.0075000,inf,nan,433124.1282817,41726512.5811733,27080885.9060632,163590800.6062183,2807398.0996401,115351152.3659779,41726490.1675471,41726534.9947994,49188832.1317480,31109748.9959999,846368716.4914888,41726512.5811733,27080885.9060632,163590800.6062183,2807398.0996401,115351152.3659779,41726490.1675471,41726534.9947994,49188832.1317480,31109748.9959999,846368716.4914888
0.0100000,0.0100000,0.0100000,inf,nan,376080.1929637,33344538.6388091,21656069.5999218,130513339.6381256,2225535.3196788,92037181.4554645,33344535.4552880,33344541.8223301,39307836.0053268,24860458.3338415,675322425.3546333,33344538.6388091,21656069.5999218,130513339.6381256,2225535.3196788,92037181.4554645,33344535.4552880,33344541.8223301,39307836.0053268,24860458.3338415,675322425.3546333
0.0125000,0.0125000,0.0125000,inf,nan,357462.7236447,26091588.9254910,16930080.5079537,102345493.8385985,1752902.9433992,72163523.1665312,26091588.7477265,26091589.1032555,30757777.4492858,19452926.5008615,529483223.2621337,26091588.9254910,16930080.5079537,102345493.8385985,1752902.9433992,72163523.1665312,26091588.7477265,26091589.1032555,30757777.4492858,19452926.5008615,529483223.2621337
0.0150000,0.0150000,0.0150000,inf,nan,374199.5050591,20735615.3319978,13441424.8858912,81526719.4043569,1383886.3452866,57475774.7861789,20735618.3306991,20735612.3332965,24443947.9510765,15459710.1064016,421701216.7926704,20735615.3319978,13441424.8858912,81526719.4043569,1383886.3452866,57475774.7861789,20735618.3306991,20735612.3332965,24443947.9510765,15459710.1064016,421701216.7926704
0.0175000,0.0175000,0.0175000,inf,nan,428437.5051435,16728213.4589745,10832456.5075772,65931583.9615626,1108669.5799383,46474153.2913213,16728219.8009850,16728207.1169640,19719867.1251718,12471939.0542839,340970198.4278463,16728213.4589745,10832456.5075772,65931583.9615626,1108669.5799383,46474153.2913213,16728219.8009850,16728207.1169640,19719867.1251718,12471939.0542839,340970198.4278463
0.0200000,0.0200000,0.0200000,inf,nan,527948.4165026,13685746.4947000,8852952.9973329,54073678.4997858,900586.8053497,38109774.0974140,13685756.3418025,13685736.6475974,16133289.0117731,10203587.8853940,279592860.9900123,13685746.4947000,8852952.9973329,54073678.4997858,900586.8053497,38109774.0974140,13685756.3418025,13685736.6475974,16133289.0117731,10203587.8853940,279592860.9900123
0.0225000,0.0225000,0.0225000,inf,nan,687717.9999872,11339042.0381759,7327321.6497535,44910494.9940633,740909.1315139,31646972.9802883,11339055.5460259,11339028.5303258,13366902.7399697,8453971.5840499,232170454.7571267,11339042.0381759,7327321.6497535,44910494.9940633,740909.1315139,31646972.9802883,11339055.5460259,11339028.5303258,13366902.7399697,8453971.5840499,232170454.7571267
0.0250000,0.0250000,0.0250000,inf,nan,933158.8521381,9498682.4396595,6131972.0729442,37708776.8774444,616439.8839212,26568298.1550411,9498699.7568601,9498665.1224589,11197415.4343300,7081867.3359212,194905578.1290357,9498682.4396595,6131972.0729442,37708776.8774444,616439.8839212,26568298.1550411,9498699.7568601,9498665.1224589,11197415.4343300,7081867.3359212,194905578.1290357
0.0275000,0.0275000,0.0275000,inf,nan,1305879.3807558,8030958.3662847,5179640.8682952,31951226.3543450,517849.0753778,22508683.9111651,8030979.6336111,8030937.0989582,9467205.3449890,5987586.3933371,165119115.8887857,8030958.3662847,5179640.8682952,31951226.3543450,517849.0753778,22508683.9111651,8030979.6336111,8030937.0989582,9467205.3449890,5987586.3933371,165119115.8887857
0.0300000,0.0300000,0.0300000,inf,nan,1873789.3888902,6840220.9667774,4408490.8127064,26783778.9964538,438515.3842061,18887156.6570120,6840298.2691440,6840143.6644108,8063517.8946320,5099816.5001125,138583301.9698828,6840220.9667774,4408490.8127064,26783778.9964538,438515.3842061,18887156.6570120,6840298.2691440,6840143.6644108,8063517.8946320,5099816.5001125,138583301.9698828
0.0325000,0.0325000,0.0325000,inf,nan,2748892.4247082,5489974.1681009,3564254.6659373,21515418.7112397,370273.4741103,15171189.4638291,5490058.9263317,5489889.4098702,6471794.5751400,4093122.2812329,111316150.2235399,5489974.1681009,3564254.6659373,21515418.7112397,370273.4741103,15171189.4638291,5490058.9263317,5489889.4098702,6471794.5751400,4093122.2812329,111316150.2235399
0.0350000,0.0350000,0.0350000,inf,nan,4119150.1269912,4417811.4432384,2867186.1808879,17330145.1441274,297317.9816926,12219249.0597049,4417903.5597178,4417719.3267589,5207887.5522709,3293757.2926431,89655439.8197581,4417811.4432384,2867186.1808879,17330145.1441274,297317.9816926,12219249.0597049,4417903.5597178,4417719.3267589,5207887.5522709,3293757.2926431,89655439.8197581
