# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol]
0.1750000,0.1750000,0.1750000,1692.9387140,0.7908241,928.8709338
0.1775000,0.1775000,0.1775000,1497.8042062,0.7754942,795.4618430
0.1800000,0.1800000,0.1800000,1326.0867311,0.7604477,682.4454218
0.1825000,0.1825000,0.1825000,1174.8537272,0.7456824,586.4662083
0.1850000,0.1850000,0.1850000,1041.5550849,0.7311957,504.7629998
0.1875000,0.1875000,0.1875000,923.9714376,0.7169851,435.0560495
0.1900000,0.1900000,0.1900000,820.1696627,0.7030474,375.4571093
0.1925000,0.1925000,0.1925000,728.4645629,0.6893797,324.3974038
0.1950000,0.1950000,0.1950000,647.3858450,0.6759784,280.5697359
0.1975000,0.1975000,0.1975000,575.6496449,0.6628403,242.8817802
0.2000000,0.2000000,0.2000000,512.1339536,0.6499616,210.4182688
0.2025000,0.2025000,0.2025000,455.8573955,0.6373388,182.4102704
0.2050000,0.2050000,0.2050000,405.9608874,0.6249680,158.2101519
0.2075000,0.2075000,0.2075000,361.6917751,0.6128453,137.2711052
0.2100000,0.2100000,0.2100000,322.3901033,0.6009669,119.1303572
0.2125000,0.2125000,0.2125000,287.4767217,0.5893287,103.3953569
0.2150000,0.2150000,0.2150000,256.4429749,0.5779268,89.7323765
0.2175000,0.2175000,0.2175000,228.8417574,0.5667572,77.8570644
0.2200000,0.2200000,0.2200000,204.2797479,0.5558157,67.5265714
0.2225000,0.2225000,0.2225000,182.4106604,0.5450984,58.5329448
0.2250000,0.2250000,0.2250000,162.9293769,0.5346013,50.6975655
0.2275000,0.2275000,0.2275000,145.5668404,0.5243202,43.8664903
0.2300000,0.2300000,0.2300000,130.0856067,0.5142512,37.9066178
0.2325000,0.2325000,0.2325000,116.2759678,0.5043902,32.7026082
0.2350000,0.2350000,0.2350000,103.9525698,0.4947334,28.1544419
0.2375000,0.2375000,0.2375000,92.9514592,0.4852767,24.1754296
0.2400000,0.2400000,0.2400000,83.1275010,0.4760164,20.6904563
0.2425000,0.2425000,0.2425000,74.3521153,0.4669486,17.6342928
0.2450000,0.2450000,0.2450000,66.5112856,0.4580701,14.9499175
0.2475000,0.2475000,0.2475000,59.5037970,0.4493783,12.5867908
0.2500000,0.2500000,0.2500000,53.2396689,0.4408718,10.4988081
0.2525000,0.2525000,0.2525000,47.6387626,0.4325514,8.6415597
0.2550000,0.2550000,0.2550000,42.6295543,0.4244208,6.9693176
0.2575000,0.2575000,0.2575000,38.1480767,0.4164866,5.4340147
0.2600000,0.2600000,0.2600000,34.1370361,0.4087587,3.9896116
0.2625000,0.2625000,0.2625000,30.5450995,0.4012488,2.6023031
0.2650000,0.2650000,0.2650000,27.3263364,0.3939686,1.2600281
0.2675000,0.2675000,0.2675000,24.4397761,0.3869275,-0.0276747
0.2700000,0.2700000,0.2700000,21.8490374,0.3801293,-1.2399100
0.2725000,0.2725000,0.2725000,19.5219778,0.3735709,-2.3563006
0.2750000,0.2750000,0.2750000,17.4303298,0.3672403,-3.3636488
0.2775000,0.2775000,0.2775000,15.5493070,0.3611169,-4.2570380
0.2800000,0.2800000,0.2800000,13.8571873,0.3551724,-5.0380978
0.2825000,0.2825000,0.2825000,12.3348938,0.3493736,-5.7126812
0.2850000,0.2850000,0.2850000,10.9655991,0.3436843,-6.2889400
0.2875000,0.2875000,0.2875000,9.7343708,0.3380690,-6.7760030
0.2900000,0.2900000,0.2900000,8.6278679,0.3324946,-7.1831629
0.2925000,0.2925000,0.2925000,7.6340876,0.3269321,-7.5194173
0.2950000,0.2950000,0.2950000,6.7421614,0.3213573,-7.7932367
0.2975000,0.2975000,0.2975000,5.9421945,0.3157512,-8.0124620
0.3000000,0.3000000,0.3000000,5.2251460,0.3101001,-8.1842680
0.3025000,0.3025000,0.3025000,4.5827449,0.3043952,-8.3151571
0.3050000,0.3050000,0.3050000,4.0074353,0.2986337,-8.4109623
0.3075000,0.3075000,0.3075000,3.4923412,0.2928185,-8.4768581
0.3100000,0.3100000,0.3100000,3.0312405,0.2869584,-8.5173778
0.3125000,0.3125000,0.3125000,2.6185377,0.2810680,-8.5364409
0.3150000,0.3150000,0.3150000,2.2492290,0.2751666,-8.5373960
0.3175000,0.3175000,0.3175000,1.9188556,0.2692774,-8.5230813
0.3200000,0.3200000,0.3200000,1.6234476,0.2634252,-8.4959049
0.3225000,0.3225000,0.3225000,1.3594625,0.2576357,-8.4579353
0.3250000,0.3250000,0.3250000,1.1237241,0.2519335,-8.4109909
0.3275000,0.3275000,0.3275000,0.9133675,0.2463416,-8.3567090
0.3300000,0.3300000,0.3300000,0.7257939,0.2408805,-8.2965817
0.3325000,0.3325000,0.3325000,0.5586361,0.2355678,-8.2319543
0.3350000,0.3350000,0.3350000,0.4097347,0.2304180,-8.1639944
0.3375000,0.3375000,0.3375000,0.2771243,0.2254422,-8.0936530
0.3400000,0.3400000,0.3400000,0.1590250,0.2206478,-8.0216361
0.3425000,0.3425000,0.3425000,0.0538364,0.2160382,-7.9484013
0.3450000,0.3450000,0.3450000,-0.0398688,0.2116124,-7.8741833
0.3475000,0.3475000,0.3475000,-0.1233548,0.2073647,-7.7990460
0.3500000,0.3500000,0.3500000,-0.1977365,0.2032850,-7.7229538
0.3525000,0.3525000,0.3525000,-0.2639964,0.1993591,-7.6458539
0.3550000,0.3550000,0.3550000,-0.3230017,0.1955697,-7.5677521
0.3575000,0.3575000,0.3575000,-0.3755211,0.1918970,-7.4887696
0.3600000,0.3600000,0.3600000,-0.4222379,0.1883204,-7.4091667
0.3625000,0.3625000,0.3625000,-0.4637611,0.1848190,-7.3293328
0.3650000,0.3650000,0.3650000,-0.5006349,0.1813723,-7.2497528
0.3675000,0.3675000,0.3675000,-0.5333473,0.1779613,-7.1709707
0.3700000,0.3700000,0.3700000,-0.5623406,0.1745680,-7.0935669
0.3725000,0.3725000,0.3725000,-0.5880203,0.1711761,-7.0181521
0.3750000,0.3750000,0.3750000,-0.6107622,0.1677706,-6.9453646
0.3775000,0.3775000,0.3775000,-0.6309147,0.1643380,-6.8758507
0.3800000,0.3800000,0.3800000,-0.6487971,0.1608662,-6.8102245
0.3825000,0.3825000,0.3825000,-0.6646936,0.1573451,-6.7490183
0.3850000,0.3850000,0.3850000,-0.6788469,0.1537675,-6.6926439
0.3875000,0.3875000,0.3875000,-0.6914517,0.1501302,-6.6413747
0.3900000,0.3900000,0.3900000,-0.7026520,0.1464350,-6.5953407
0.3925000,0.3925000,0.3925000,-0.7125410,0.1426894,-6.5545169
0.3950000,0.3950000,0.3950000,-0.7211664,0.1389069,-6.5186962
0.3975000,0.3975000,0.3975000,-0.7285381,0.1351056,-6.4874553
0.4000000,0.4000000,0.4000000,-0.7346409,0.1313077,-6.4601365
0.4025000,0.4025000,0.4025000,-0.7394491,0.1275364,-6.4358665
0.4050000,0.4050000,0.4050000,-0.7429437,0.1238146,-6.4136181
0.4075000,0.4075000,0.4075000,-0.7451313,0.1201620,-6.3922990
0.4100000,0.4100000,0.4100000,-0.7460630,0.1165942,-6.3708474
0.4125000,0.4125000,0.4125000,-0.7458513,0.1131221,-6.3483120
0.4150000,0.4150000,0.4150000,-0.7446819,0.1097526,-6.3239031
0.4175000,0.4175000,0.4175000,-0.7428163,0.1064899,-6.2970151
0.4200000,0.4200000,0.4200000,-0.7405832,0.1033377,-6.2672248
0.4225000,0.4225000,0.4225000,-0.7383573,0.1003002,-6.2342751
0.4250000,0.4250000,0.4250000,-0.7365266,0.0973834,-6.1980510
0.4275000,0.4275000,0.4275000,-0.7354537,0.0945950,-6.1585526
0.4300000,0.4300000,0.4300000,-0.7354368,0.0919437,-6.1158683
0.4325000,0.4325000,0.4325000,-0.7366785,0.0894373,-6.0701493
0.4350000,0.4350000,0.4350000,-0.7392688,0.0870819,-6.0215861
0.4375000,0.4375000,0.4375000,-0.7431849,0.0848801,-5.9703887
0.4400000,0.4400000,0.4400000,-0.7483062,0.0828306,-5.9167715
0.4425000,0.4425000,0.4425000,-0.7544414,0.0809281,-5.8609427
0.4450000,0.4450000,0.4450000,-0.7613623,0.0791632,-5.8030987
0.4475000,0.4475000,0.4475000,-0.7688397,0.0775239,-5.7434226
0.4500000,0.4500000,0.4500000,-0.7766775,0.0759963,-5.6820848
0.4525000,0.4525000,0.4525000,-0.7847407,0.0745660,-5.6192460
0.4550000,0.4550000,0.4550000,-0.7929695,0.0732187,-5.5550602
0.4575000,0.4575000,0.4575000,-0.8013768,0.0719404,-5.4896774
0.4600000,0.4600000,0.4600000,-0.8100275,0.0707169,-5.4232453
0.4625000,0.4625000,0.4625000,-0.8190054,0.0695327,-5.3559109
0.4650000,0.4650000,0.4650000,-0.8283757,0.0683704,-5.2878202
0.4675000,0.4675000,0.4675000,-0.8381530,0.0672108,-5.2191179
0.4700000,0.4700000,0.4700000,-0.8482818,0.0660343,-5.1499465
0.4725000,0.4725000,0.4725000,-0.8586314,0.0648222,-5.0804451
0.4750000,0.4750000,0.4750000,-0.8690053,0.0635592,-5.0107480
0.4775000,0.4775000,0.4775000,-0.8791599,0.0622342,-4.9409835
0.4800000,0.4800000,0.4800000,-0.8888295,0.0608414,-4.8712734
0.4825000,0.4825000,0.4825000,-0.8977513,0.0593800,-4.8017315
0.4850000,0.4850000,0.4850000,-0.9056874,0.0578529,-4.7324633
0.4875000,0.4875000,0.4875000,-0.9124412,0.0562659,-4.6635660
0.4900000,0.4900000,0.4900000,-0.9178668,0.0546260,-4.5951277
0.4925000,0.4925000,0.4925000,-0.9218730,0.0529408,-4.5272281
0.4950000,0.4950000,0.4950000,-0.9244207,0.0512172,-4.4599382
0.4975000,0.4975000,0.4975000,-0.9255172,0.0494618,-4.3933209
0.5000000,0.5000000,0.5000000,-0.9252067,0.0476805,-4.3274312
0.5025000,0.5025000,0.5025000,-0.9235601,0.0458794,-4.2623170
0.5050000,0.5050000,0.5050000,-0.9206640,0.0440652,-4.1980189
0.5075000,0.5075000,0.5075000,-0.9166111,0.0422459,-4.1345716
0.5100000,0.5100000,0.5100000,-0.9114922,0.0404309,-4.0720037
0.5125000,0.5125000,0.5125000,-0.9053915,0.0386312,-4.0103386
0.5150000,0.5150000,0.5150000,-0.8983841,0.0368587,-3.9495946
0.5175000,0.5175000,0.5175000,-0.8905355,0.0351258,-3.8897860
0.5200000,0.5200000,0.5200000,-0.8819031,0.0334446,-3.8309229
0.5225000,0.5225000,0.5225000,-0.8725383,0.0318262,-3.7730120
0.5250000,0.5250000,0.5250000,-0.8624888,0.0302801,-3.7160568
0.5275000,0.5275000,0.5275000,-0.8518009,0.0288139,-3.6600582
0.5300000,0.5300000,0.5300000,-0.8405213,0.0274331,-3.6050146
0.5325000,0.5325000,0.5325000,-0.8286976,0.0261410,-3.5509220
0.5350000,0.5350000,0.5350000,-0.8163792,0.0249389,-3.4977750
0.5375000,0.5375000,0.5375000,-0.8036174,0.0238261,-3.4455661
0.5400000,0.5400000,0.5400000,-0.7904646,0.0228007,-3.3942868
0.5425000,0.5425000,0.5425000,-0.7769739,0.0218594,-3.3439271
0.5450000,0.5450000,0.5450000,-0.7631984,0.0209981,-3.2944761
0.5475000,0.5475000,0.5475000,-0.7491903,0.0202118,-3.2459221
0.5500000,0.5500000,0.5500000,-0.7350006,0.0194953,-3.1982526
0.5525000,0.5525000,0.5525000,-0.7206780,0.0188434,-3.1514545
0.5550000,0.5550000,0.5550000,-0.7062688,0.0182504,-3.1055142
0.5575000,0.5575000,0.5575000,-0.6918161,0.0177111,-3.0604178
0.5600000,0.5600000,0.5600000,-0.6773603,0.0172204,-3.0161511
0.5625000,0.5625000,0.5625000,-0.6629380,0.0167734,-2.9726995
0.5650000,0.5650000,0.5650000,-0.6485829,0.0163655,-2.9300484
0.5675000,0.5675000,0.5675000,-0.6343250,0.0159925,-2.8881833
0.5700000,0.5700000,0.5700000,-0.6201912,0.0156506,-2.8470892
0.5725000,0.5725000,0.5725000,-0.6062053,0.0153362,-2.8067515
0.5750000,0.5750000,0.5750000,-0.5923880,0.0150461,-2.7671556
