# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,25903227041043111936.0000000,872976613350832595452035072.0000000,524709696050228344557404160.0000000,4084458400974687223930683392.0000000,34517179683125801141665792.0000000,2848525046509815294838439936.0000000,71249089259935027356764209152.0000000,899665414318615686577385373696.0000000,7290687894379343666576093085696.0000000
0.0025000,0.0025000,0.0025000,inf,nan,18109566112152960.0000000,56850092222738918801408.0000000,34170210466473835495424.0000000,265988610949697387888640.0000000,2247832093256442183680.0000000,185502004426227977289728.0000000,4639892103996398561656832.0000000,58588123658827112910946304.0000000,474785089118307378329026560.0000000
0.0050000,0.0050000,0.0050000,inf,nan,411239908078403.2500000,288779204591561637888.0000000,173573090437231804416.0000000,1351132012339290177536.0000000,11418225338288502784.0000000,942287324399132999680.0000000,23569079644328583757824.0000000,297607815396389952684032.0000000,2411747370142579147407360.0000000
0.0075000,0.0075000,0.0075000,inf,nan,25199967197654.8671875,7457648344908935168.0000000,4482480212131980288.0000000,34892635133954699264.0000000,294872718028947008.0000000,24334326698383908864.0000000,608665392643060137984.0000000,7685644944953914163200.0000000,62282752754700815171584.0000000
0.0100000,0.0100000,0.0100000,inf,nan,3000971493849.5253906,453981366034022528.0000000,272869193307720672.0000000,2124075238711392256.0000000,17950258750692290.0000000,1481342426225872896.0000000,37052262923102273536.0000000,467860569624568332288.0000000,3791437724790817292288.0000000
0.0125000,0.0125000,0.0125000,inf,nan,537693574475.3448486,46989887699232984.0000000,28243654195570996.0000000,219854965102732160.0000000,1857963063960181.0000000,153328131422527200.0000000,3835139102791607808.0000000,48426471827993214976.0000000,392437328819049463808.0000000
0.0150000,0.0150000,0.0150000,inf,nan,127160733664.9886169,6980059940881592.0000000,4195421771875051.0000000,32658108505853620.0000000,275989005184067.0937500,22775954812323308.0000000,569686429867429184.0000000,7193455871470288896.0000000,58294162302500765696.0000000
0.0175000,0.0175000,0.0175000,inf,nan,36907128340.0374146,1347195565302149.2500000,809742835269088.1250000,6303220932402231.0000000,53267607427198.4453125,4395902933290660.0000000,109953076450746816.0000000,1388382388788428800.0000000,11251141291924752384.0000000
0.0200000,0.0200000,0.0200000,inf,nan,12791004892.9892540,317123858066211.6875000,190609865268515.6875000,1483750300174420.2500000,12538953883299.8476562,1034776085703882.6250000,25882468358679472.0000000,326819081946787584.0000000,2648468969471291392.0000000
0.0225000,0.0225000,0.0225000,inf,nan,5661998486.1445208,87229838625347.1875000,52430199095971.2265625,408128576671247.8750000,3449031661792.1357422,284631241183941.5625000,7119375592102105.0000000,89896674139960592.0000000,728502605296539264.0000000
