# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,11199455.6390751
0.0050000,0.0050000,0.0050000,6416375.3027354
0.0100000,0.0100000,0.0100000,3875780.4660217
0.0150000,0.0150000,0.0150000,2469717.0944278
0.0200000,0.0200000,0.0200000,1660344.7823121
0.0250000,0.0250000,0.0250000,1178330.1210515
0.0300000,0.0300000,0.0300000,885167.7880499
0.0350000,0.0350000,0.0350000,708278.5172369
0.0400000,0.0400000,0.0400000,608220.6851766
0.0450000,0.0450000,0.0450000,531168.8469166
0.0500000,0.0500000,0.0500000,466821.8925102
0.0550000,0.0550000,0.0550000,391398.3703928
0.0600000,0.0600000,0.0600000,339148.2493855
0.0650000,0.0650000,0.0650000,288723.2593449
0.0700000,0.0700000,0.0700000,232166.4343055
0.0750000,0.0750000,0.0750000,189010.6863087
0.0800000,0.0800000,0.0800000,155733.8613670
0.0850000,0.0850000,0.0850000,129763.7122058
0.0900000,0.0900000,0.0900000,109218.9013463
0.0950000,0.0950000,0.0950000,92723.4955484
0.1000000,0.1000000,0.1000000,71846.6177789
0.1050000,0.1050000,0.1050000,55815.5148711
0.1100000,0.1100000,0.1100000,43522.4305494
0.1150000,0.1150000,0.1150000,34059.5763804
0.1200000,0.1200000,0.1200000,26746.7334172
0.1250000,0.1250000,0.1250000,21073.1221503
0.1300000,0.1300000,0.1300000,16654.1647361
0.1350000,0.1350000,0.1350000,13199.3859137
0.1400000,0.1400000,0.1400000,10488.6050685
0.1450000,0.1450000,0.1450000,8354.2788042
0.1500000,0.1500000,0.1500000,6668.3955985
0.1550000,0.1550000,0.1550000,5332.7349941
0.1600000,0.1600000,0.1600000,4271.6123559
0.1650000,0.1650000,0.1650000,3426.4603774
0.1700000,0.1700000,0.1700000,2751.7692842
0.1750000,0.1750000,0.1750000,2212.0338374
0.1800000,0.1800000,0.1800000,1794.7055224
0.1850000,0.1850000,0.1850000,1447.4150478
0.1900000,0.1900000,0.1900000,1168.1849516
0.1950000,0.1950000,0.1950000,943.3812031
0.2000000,0.2000000,0.2000000,762.1872465
0.2050000,0.2050000,0.2050000,615.9991115
0.2100000,0.2100000,0.2100000,497.9562029
0.2150000,0.2150000,0.2150000,402.5752284
0.2200000,0.2200000,0.2200000,325.4614762
0.2250000,0.2250000,0.2250000,263.0788091
0.2300000,0.2300000,0.2300000,212.5713334
0.2350000,0.2350000,0.2350000,171.6356412
0.2400000,0.2400000,0.2400000,138.4294120
0.2450000,0.2450000,0.2450000,111.4884989
0.2500000,0.2500000,0.2500000,89.6417024
0.2550000,0.2550000,0.2550000,71.9388909
0.2600000,0.2600000,0.2600000,57.6030178
0.2650000,0.2650000,0.2650000,45.9979876
0.2700000,0.2700000,0.2700000,36.6023904
0.2750000,0.2750000,0.2750000,28.9878434
0.2800000,0.2800000,0.2800000,22.8064271
0.2850000,0.2850000,0.2850000,17.7862599
0.2900000,0.2900000,0.2900000,13.7234572
0.2950000,0.2950000,0.2950000,10.4636391
0.3000000,0.3000000,0.3000000,7.8815324
0.3050000,0.3050000,0.3050000,5.8682468
0.3100000,0.3100000,0.3100000,4.3257808
0.3150000,0.3150000,0.3150000,3.1630251
0.3200000,0.3200000,0.3200000,2.2899967
0.3250000,0.3250000,0.3250000,1.6139984
0.3300000,0.3300000,0.3300000,1.0467533
0.3350000,0.3350000,0.3350000,0.5247619
0.3400000,0.3400000,0.3400000,0.0259154
0.3450000,0.3450000,0.3450000,-0.4376385
0.3500000,0.3500000,0.3500000,-0.8435255
0.3550000,0.3550000,0.3550000,-1.1778317
0.3600000,0.3600000,0.3600000,-1.4400352
0.3650000,0.3650000,0.3650000,-1.6393691
0.3700000,0.3700000,0.3700000,-1.7891060
0.3750000,0.3750000,0.3750000,-1.9023789
0.3800000,0.3800000,0.3800000,-1.9905980
0.3850000,0.3850000,0.3850000,-2.0634397
0.3900000,0.3900000,0.3900000,-2.1285549
