# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,18847666315416309760.0000000
0.0050000,0.0050000,0.0050000,145779721775596992.0000000
0.0100000,0.0100000,0.0100000,4576447056541274.0000000
0.0150000,0.0150000,0.0150000,311728842720369.8750000
0.0200000,0.0200000,0.0200000,34708057964113.8476562
0.0250000,0.0250000,0.0250000,5426298651004.9472656
0.0300000,0.0300000,0.0300000,1087749877354.8927002
0.0350000,0.0350000,0.0350000,263707240271.8432617
0.0400000,0.0400000,0.0400000,74406984024.9309845
0.0450000,0.0450000,0.0450000,24000574410.5649261
0.0500000,0.0500000,0.0500000,9199040660.8490276
0.0550000,0.0550000,0.0550000,4105844913.3595572
0.0600000,0.0600000,0.0600000,1926588092.2594075
0.0650000,0.0650000,0.0650000,923153093.4728272
0.0700000,0.0700000,0.0700000,450679328.7414929
0.0750000,0.0750000,0.0750000,231053941.0397798
0.0800000,0.0800000,0.0800000,122206081.3872368
0.0850000,0.0850000,0.0850000,65084795.3139538
0.0900000,0.0900000,0.0900000,36038557.1176814
0.0950000,0.0950000,0.0950000,20508736.5206140
0.1000000,0.1000000,0.1000000,11892890.5770478
0.1050000,0.1050000,0.1050000,7045331.7089200
0.1100000,0.1100000,0.1100000,4237807.3682284
0.1150000,0.1150000,0.1150000,2621174.7658208
0.1200000,0.1200000,0.1200000,1642876.3232446
0.1250000,0.1250000,0.1250000,1047369.0763388
0.1300000,0.1300000,0.1300000,681705.5085092
0.1350000,0.1350000,0.1350000,445870.6830376
0.1400000,0.1400000,0.1400000,296085.2120977
0.1450000,0.1450000,0.1450000,199787.7365833
0.1500000,0.1500000,0.1500000,136811.8907774
0.1550000,0.1550000,0.1550000,94967.0334814
0.1600000,0.1600000,0.1600000,66748.0898973
0.1650000,0.1650000,0.1650000,46942.8578280
0.1700000,0.1700000,0.1700000,33368.4698652
0.1750000,0.1750000,0.1750000,23960.4896299
0.1800000,0.1800000,0.1800000,17366.0474549
0.1850000,0.1850000,0.1850000,12694.7061758
0.1900000,0.1900000,0.1900000,9352.9055135
0.1950000,0.1950000,0.1950000,6940.1985668
0.2000000,0.2000000,0.2000000,5183.3331759
0.2050000,0.2050000,0.2050000,3893.8337661
0.2100000,0.2100000,0.2100000,2940.3694880
0.2150000,0.2150000,0.2150000,2230.5432408
0.2200000,0.2200000,0.2200000,1712.3703573
0.2250000,0.2250000,0.2250000,1311.6435506
0.2300000,0.2300000,0.2300000,1008.0547476
0.2350000,0.2350000,0.2350000,776.9036526
0.2400000,0.2400000,0.2400000,600.0747169
0.2450000,0.2450000,0.2450000,464.2212607
0.2500000,0.2500000,0.2500000,359.4708787
0.2550000,0.2550000,0.2550000,278.4688162
0.2600000,0.2600000,0.2600000,215.6862218
0.2650000,0.2650000,0.2650000,166.9350509
0.2700000,0.2700000,0.2700000,129.0246341
0.2750000,0.2750000,0.2750000,99.5105404
0.2800000,0.2800000,0.2800000,76.5067656
0.2850000,0.2850000,0.2850000,58.5476455
0.2900000,0.2900000,0.2900000,44.4927845
0.2950000,0.2950000,0.2950000,33.4635065
0.3000000,0.3000000,0.3000000,24.7921274
0.3050000,0.3050000,0.3050000,17.9723666
0.3100000,0.3100000,0.3100000,12.6144643
0.3150000,0.3150000,0.3150000,8.4119060
0.3200000,0.3200000,0.3200000,5.1203907
0.3250000,0.3250000,0.3250000,2.5455741
0.3300000,0.3300000,0.3300000,0.5349130
0.3350000,0.3350000,0.3350000,-1.0305403
0.3400000,0.3400000,0.3400000,-2.2453949
0.3450000,0.3450000,0.3450000,-3.1875155
0.3500000,0.3500000,0.3500000,-3.9211348
0.3550000,0.3550000,0.3550000,-4.4965931
0.3600000,0.3600000,0.3600000,-4.9508110
0.3650000,0.3650000,0.3650000,-5.3106650
0.3700000,0.3700000,0.3700000,-5.5970633
0.3750000,0.3750000,0.3750000,-5.8265202
0.3800000,0.3800000,0.3800000,-6.0102546
