# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.1900000,0.1900000,0.1900000,1648.5157555,-0.0560464,88.5696571,1648.5157555,1045.1936932,inf
0.1925000,0.1925000,0.1925000,1421.1238361,-0.0608994,77.9780566,1421.1238361,900.5305757,inf
0.1950000,0.1950000,0.1950000,1227.4689943,-0.0652908,68.7296365,1227.4689943,777.4008909,inf
0.1975000,0.1975000,0.1975000,1062.1935895,-0.0692546,60.6401587,1062.1935895,672.3796750,inf
0.2000000,0.2000000,0.2000000,920.8479426,-0.0728223,53.5514121,920.8479426,582.6223673,inf
0.2025000,0.2025000,0.2025000,799.7268842,-0.0760231,47.3278808,799.7268842,505.7600291,inf
0.2050000,0.2050000,0.2050000,695.7373269,-0.0788844,41.8539688,695.7373269,439.8141964,inf
0.2075000,0.2075000,0.2075000,606.2905742,-0.0814328,37.0314682,606.2905742,383.1277837,inf
0.2100000,0.2100000,0.2100000,529.2144170,-0.0836955,32.7770965,529.2144170,334.3092988,inf
0.2125000,0.2125000,0.2125000,462.6812437,-0.0857020,29.0200801,462.6812437,292.1880165,inf
0.2150000,0.2150000,0.2150000,405.1493592,-0.0874856,25.6998768,405.1493592,255.7778349,1686.0586859
0.2175000,0.2175000,0.2175000,355.3153190,-0.0890812,22.7641645,355.3153190,224.2476379,1479.6096427
0.2200000,0.2200000,0.2200000,312.0753107,-0.0905216,20.1671757,312.0753107,196.8963949,1300.2360945
0.2225000,0.2225000,0.2225000,274.4936565,-0.0918313,17.8683709,274.4936565,173.1318821,1144.1418005
0.2250000,0.2250000,0.2250000,241.7766622,-0.0930225,15.8313677,241.7766622,152.4525217,1008.0989360
0.2275000,0.2275000,0.2275000,213.2504323,-0.0940949,14.0230394,213.2504323,134.4321474,889.3574116
0.2300000,0.2300000,0.2300000,188.3418191,-0.0950402,12.4127897,188.3418191,118.7075044,785.5693985
0.2325000,0.2325000,0.2325000,166.5621305,-0.0958482,10.9721327,166.5621305,104.9681442,694.7263401
0.2350000,0.2350000,0.2350000,147.4934263,-0.0965129,9.6747378,147.4934263,92.9482585,615.1063420
0.2375000,0.2375000,0.2375000,130.7772135,-0.0970360,8.4969651,130.7772135,82.4199856,545.2303191
0.2400000,0.2400000,0.2400000,116.1052449,-0.0974270,7.4186762,116.1052449,73.1877944,483.8255715
0.2425000,0.2425000,0.2425000,103.2120388,-0.0977010,6.4239216,103.2120388,65.0836719,429.7955654
0.2450000,0.2450000,0.2450000,91.8687290,-0.0978753,5.5011335,91.8687290,57.9629547,382.1947181
0.2475000,0.2475000,0.2475000,81.8779003,-0.0979658,4.6426911,81.8779003,51.7007244,340.2070684
0.2500000,0.2500000,0.2500000,73.0691506,-0.0979851,3.8440088,73.0691506,46.1887297,303.1279281
0.2525000,0.2525000,0.2525000,65.2952161,-0.0979419,3.1024583,65.2952161,41.3328024,270.3479163
0.2550000,0.2550000,0.2550000,58.4285700,-0.0978420,2.4164050,58.4285700,37.0507158,241.3390666
0.2575000,0.2575000,0.2575000,52.3584574,-0.0976900,1.7845066,52.3584574,33.2704074,215.6428550
0.2600000,0.2600000,0.2600000,46.9883507,-0.0974906,1.2052902,46.9883507,29.9284698,192.8600312
0.2625000,0.2625000,0.2625000,42.2338024,-0.0972506,0.6769489,42.2338024,26.9688303,172.6420918
0.2650000,0.2650000,0.2650000,38.0206606,-0.0969794,0.1972830,38.0206606,24.3415876,154.6841882
0.2675000,0.2675000,0.2675000,34.2835836,-0.0966904,-0.2362775,34.2835836,22.0020562,138.7192447
0.2700000,0.2700000,0.2700000,30.9647811,-0.0964037,-0.6266110,30.9647811,19.9101254,124.5130641
0.2725000,0.2725000,0.2725000,28.0129116,-0.0961499,-0.9768283,28.0129116,18.0300253,111.8602201
0.2750000,0.2750000,0.2750000,25.3821030,-0.0959729,-1.2901929,25.3821030,16.3304878,100.5805558
0.2775000,0.2775000,0.2775000,23.0311231,-0.0959303,-1.5700422,23.0311231,14.7851189,90.5161397
0.2800000,0.2800000,0.2800000,20.9227761,-0.0960862,-1.8197077,20.9227761,13.3726720,81.5285620
0.2825000,0.2825000,0.2825000,19.0236131,-0.0964951,-2.0424330,19.0236131,12.0769239,73.4964950
0.2850000,0.2850000,0.2850000,17.3039802,-0.0971811,-2.2412929,17.3039802,10.8860386,66.3134789
0.2875000,0.2875000,0.2875000,15.7383078,-0.0981185,-2.4191183,15.7383078,9.7915402,59.8859219
0.2900000,0.2900000,0.2900000,14.3054224,-0.0992250,-2.5784369,14.3054224,8.7871645,54.1313183
0.2925000,0.2925000,0.2925000,12.9886230,-0.1003729,-2.7214373,12.9886230,7.8678510,48.9766924
0.2950000,0.2950000,0.2950000,11.7753530,-0.1014153,-2.8499611,11.7753530,7.0290188,44.3572652
0.2975000,0.2975000,0.2975000,10.6564781,-0.1022172,-2.9655228,10.6564781,6.2661444,40.2153307
0.3000000,0.3000000,0.3000000,9.6253415,-0.1026792,-3.0693521,9.6253415,5.5745781,36.4993124
0.3025000,0.3025000,0.3025000,8.6768227,-0.1027477,-3.1624516,8.6768227,4.9495152,33.1629599
0.3050000,0.3050000,0.3050000,7.8065735,-0.1024124,-3.2456591,7.8065735,4.3860458,30.1646459
0.3075000,0.3075000,0.3075000,7.0105029,-0.1016966,-3.3197044,7.0105029,3.8792361,27.4667339
0.3100000,0.3100000,0.3100000,6.2844951,-0.1006446,-3.3852538,6.2844951,3.4242104,25.0350169
0.3125000,0.3125000,0.3125000,5.6243006,-0.0993109,-3.4429381,5.6243006,3.0162229,22.8382578
0.3150000,0.3150000,0.3150000,5.0255347,-0.0977521,-3.4933646,5.0255347,2.6507130,20.8478872
0.3175000,0.3175000,0.3175000,4.4837280,-0.0960208,-3.5371166,4.4837280,2.3233458,19.0379064
0.3200000,0.3200000,0.3200000,3.9943956,-0.0941630,-3.5747450,3.9943956,2.0300390,17.3849979
0.3225000,0.3225000,0.3225000,3.5531049,-0.0922152,-3.6067572,3.5531049,1.7669802,15.8687780
0.3250000,0.3250000,0.3250000,3.1555331,-0.0902039,-3.6336059,3.1555331,1.5306384,14.4720537
0.3275000,0.3275000,0.3275000,2.7975138,-0.0881460,-3.6556821,2.7975138,1.3177738,13.1809257
0.3300000,0.3300000,0.3300000,2.4750712,-0.0860491,-3.6733122,2.4750712,1.1254488,11.9846268
0.3325000,0.3325000,0.3325000,2.1844480,-0.0839142,-3.6867605,2.1844480,0.9510402,10.8750839
0.3350000,0.3350000,0.3350000,1.9221265,-0.0817381,-3.6962355,1.9221265,0.7922506,9.8462933
0.3375000,0.3375000,0.3375000,1.6848480,-0.0795160,-3.7019003,1.6848480,0.6471131,8.8936480
0.3400000,0.3400000,0.3400000,1.4696317,-0.0772443,-3.7038837,1.4696317,0.5139866,8.0133422
0.3425000,0.3425000,0.3425000,1.2737918,-0.0749227,-3.7022920,1.2737918,0.3915380,7.2019254
0.3450000,0.3450000,0.3450000,1.0949528,-0.0725556,-3.6972199,1.0949528,0.2787086,6.4560187
0.3475000,0.3475000,0.3475000,0.9310581,-0.0701527,-3.6887605,0.9310581,0.1746707,5.7721687
0.3500000,0.3500000,0.3500000,0.7803692,-0.0677284,-3.6770123,0.7803692,0.0787750,5.1468000
0.3525000,0.3525000,0.3525000,0.6414520,-0.0653015,-3.6620851,0.6414520,-0.0095011,4.5762249
0.3550000,0.3550000,0.3550000,0.5131496,-0.0628932,-3.6441031,0.5131496,-0.0906018,4.0566832
0.3575000,0.3575000,0.3575000,0.3945430,-0.0605258,-3.6232065,0.3945430,-0.1649321,3.5843909
0.3600000,0.3600000,0.3600000,0.2849036,-0.0582203,-3.5995508,0.2849036,-0.2328875,3.1555892
