# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,12186161.1339647,5054994858.7856646,3238582296.0782132,20419481079.7482147,311162026.0944202,14371400096.0972538,5054995179.7616167,5054994537.8097124,5959024086.9505625,3768817749.3138070,105403324610.3702393
0.0025000,0.0025000,0.0025000,inf,nan,7578164.2349099,2961537580.5700841,1897360186.3792248,11963130325.2363091,182292179.5323280,8419746336.5481901,2961537861.1095490,2961537300.0306191,3491175415.6097960,2208013204.9023843,61752449458.2686462
0.0050000,0.0050000,0.0050000,inf,nan,4844409.1983151,1775918480.8151715,1137765191.0640540,7173927888.4639368,109307327.2657051,5049063196.3966799,1775918724.0762048,1775918237.5541382,2093521615.6046686,1324059327.2212512,37031039316.7398911
0.0075000,0.0075000,0.0075000,inf,nan,3185996.9150438,1089103575.6592150,697740038.6761206,4399614779.5518103,67027705.4793113,3096476343.0763607,1089103784.4222863,1089103366.8961437,1283877555.1388605,811995462.2014432,22710291222.6898270
0.0100000,0.0100000,0.0100000,inf,nan,2163876.2684660,683094827.8843684,437619139.6247572,2759606150.7711215,42033568.3031717,1942222443.0533228,683095004.6110637,683094651.1576731,805258689.0290439,509290312.5946042,14244710248.0795059
0.0125000,0.0125000,0.0125000,inf,nan,1530864.4812340,438811890.9544363,281110837.5099556,1772887306.9004834,26994445.8498849,1247759117.2692206,438812037.8361531,438811744.0727195,517288484.1402137,327161963.4517925,9151344264.7884445
0.0150000,0.0150000,0.0150000,inf,nan,1145697.3852195,288806243.9555628,185014811.6722565,1166828074.9444818,17766302.6211061,821214689.3912503,288806376.1756238,288806111.7355017,340456006.8348609,215323284.9368027,6022972679.0901480
0.0175000,0.0175000,0.0175000,inf,nan,927989.1885003,192300215.3439273,123185804.0694006,777003703.6909454,11825697.1027432,546852634.8019588,192300324.5096697,192300106.1781850,226690955.6136566,143371948.9398576,4010734337.9089117
0.0200000,0.0200000,0.0200000,inf,nan,834446.3191672,130845209.7583260,83813011.7975992,528765363.5928063,8042709.4290958,372140067.1679986,130845297.7514492,130845121.7652028,154245410.4096298,97553363.1043751,2729349544.9588561
0.0225000,0.0225000,0.0225000,inf,nan,846764.9914333,91147397.4024645,58379471.7374492,368413197.4594436,5599023.6012288,259282577.9913809,91147465.9652148,91147328.8397142,107448088.8225115,67956138.1822432,1901624958.3035889
0.0250000,0.0250000,0.0250000,inf,nan,966647.8527091,65149288.5337366,41722998.0064083,263399201.5932725,3998660.4672184,185372614.8527862,65149339.2856647,65149237.7818085,76800509.2914160,48572906.9643598,1359551050.5535691
0.0275000,0.0275000,0.0275000,inf,nan,1216125.7828554,47889593.6225241,30665051.5011722,193682302.5871696,2936233.5457693,136305108.9538392,47889628.0745146,47889559.1705336,56454111.2074344,35704714.9391862,999677842.8257377
0.0300000,0.0300000,0.0300000,inf,nan,1643263.8660884,36268184.8180097,23219483.7367315,146739518.6115150,2220921.8719009,103266286.8105609,36268204.3840456,36268165.2519737,42754343.5667138,27040221.1072366,757362996.4520084
0.0325000,0.0325000,0.0325000,inf,nan,2335247.2871034,28321375.3617152,18128227.8049723,114638508.9214907,1731857.4043427,80673304.9811164,28321381.3687625,28321369.3546678,33386336.2220256,21115373.0379564,591660593.3569604
0.0350000,0.0350000,0.0350000,inf,nan,3443672.9762778,22789873.0185416,14584497.8280445,92292355.5770620,1391529.0963647,64945950.1958971,22789866.7148790,22789879.3222042,26865586.6227049,16991288.8808596,476312486.3533590
0.0375000,0.0375000,0.0375000,inf,nan,5232039.8625569,17759598.8640517,11373533.0445906,71801525.8807837,1089665.6013914,50531901.4526152,17759621.3023782,17759576.4257253,20935704.2612081,13240901.9770221,370608813.7701083
0.0400000,0.0400000,0.0400000,inf,nan,8165810.1556624,13279143.2973825,8503379.6987403,53698122.2150170,814161.5135232,37790761.7861103,13279156.2335099,13279130.3612551,15653969.3854762,9900439.5361302,277162543.8090337
0.0425000,0.0425000,0.0425000,inf,nan,13087388.7730263,10043622.3360631,6430787.2597313,40624007.4717402,615260.5725880,28589261.5997446,10043626.7291759,10043617.9429503,11839811.7293461,7488154.4264622,209676817.7073626
0.0450000,0.0450000,0.0450000,inf,nan,10392416.1394973,7685124.2709187,4920047.7643024,31092995.4288502,470318.3063284,21881411.2944209,7685121.0385545,7685127.5032830,9059522.6940773,5729745.2454538,160480095.7727951
0.0475000,0.0475000,0.0475000,inf,nan,6923582.9999153,5949773.2837133,3808512.8328592,24079539.1606865,363709.7608832,16945423.2646061,5949763.3052571,5949783.2621696,7013823.6140679,4435931.5454257,124278614.5529187
0.0500000,0.0500000,0.0500000,inf,nan,4643255.0040913,4660962.9439372,2983038.3576444,18870216.0479780,284566.2580447,13279185.7246173,4660947.0638977,4660978.8239767,5494523.9762278,3475042.0846569,97389766.4363512
0.0525000,0.0525000,0.0525000,inf,nan,3265321.5290472,3694847.7913551,2364282.6029871,14964728.5171972,225266.7249495,10530586.1314021,3694826.8224320,3694868.7602782,4355629.9464942,2754742.2551518,77231074.6520025
0.0550000,0.0550000,0.0550000,inf,nan,2470325.1157577,2963884.4546723,1896161.4193615,12009420.3196750,180424.5295026,8450719.3255085,2963859.1806249,2963909.7287197,3493942.0018665,2209762.9476853,61977010.3477173
0.0575000,0.0575000,0.0575000,inf,nan,1929211.1491410,2405697.5619054,1538714.9054358,9752301.9023571,146202.0946426,6862233.9582488,2405668.7402372,2405726.3835735,2835929.6335182,1793599.3851768,50326837.5376107
