# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1800000,0.1800000,0.1800000,1641.1053418,-0.5104211,145.4871788,1641.1053418,1038.6425774,inf,94.5088579,inf,inf,inf,inf
0.1825000,0.1825000,0.1825000,1440.1578689,-0.4959620,127.4944128,1440.1578689,910.9241963,inf,83.1270366,inf,inf,inf,inf
0.1850000,0.1850000,0.1850000,1265.0689289,-0.4820069,111.8809310,1265.0689289,799.7089310,inf,73.2595028,inf,inf,inf,inf
0.1875000,0.1875000,0.1875000,1112.3523705,-0.4685356,98.3096635,1112.3523705,702.7667497,inf,64.7001666,inf,inf,inf,inf
0.1900000,0.1900000,0.1900000,979.0147270,-0.4555285,86.4955459,979.0147270,618.1832304,inf,57.2724303,inf,inf,inf,inf
0.1925000,0.1925000,0.1925000,862.4822469,-0.4429671,76.1970322,862.4822469,544.3127217,inf,50.8241096,inf,inf,inf,inf
0.1950000,0.1950000,0.1950000,760.5392434,-0.4308337,67.2088587,760.5392434,479.7386872,inf,45.2231534,inf,inf,inf,inf
0.1975000,0.1975000,0.1975000,671.2759152,-0.4191120,59.3559037,671.2759152,423.2400057,inf,40.3541913,inf,inf,inf,inf
0.2000000,0.2000000,0.2000000,593.0440752,-0.4077884,52.4880086,593.0440752,373.7622787,inf,36.1160370,1736.9983203,inf,inf,inf
0.2025000,0.2025000,0.2025000,524.4194661,-0.3968562,46.4756613,524.4194661,330.3935070,inf,32.4201591,1537.4793470,inf,inf,inf
0.2050000,0.2050000,0.2050000,464.1695630,-0.3863226,41.2064811,464.1695630,292.3437126,inf,29.1898512,1362.0610888,inf,inf,inf
0.2075000,0.2075000,0.2075000,411.2260483,-0.3762158,36.5824543,411.2260483,258.9281111,1716.1253878,26.3596218,1207.6926518,inf,inf,inf
0.2100000,0.2100000,0.2100000,364.6614351,-0.3665880,32.5178514,364.6614351,229.5532692,1522.6401166,23.8743611,1071.7277873,inf,inf,inf
0.2125000,0.2125000,0.2125000,323.6694953,-0.3575054,28.9377278,323.6694953,203.7054877,1352.0577920,21.6881012,951.8687164,inf,inf,inf
0.2150000,0.2150000,0.2150000,287.5491024,-0.3490266,25.7768768,287.5491024,180.9406330,1201.5393079,19.7624712,846.1180575,inf,inf,inf
0.2175000,0.2175000,0.2175000,255.6908779,-0.3411747,22.9790629,255.6908779,160.8748735,1068.6141369,18.0650885,752.7375469,inf,inf,inf
0.2200000,0.2200000,0.2200000,227.5658401,-0.3339177,20.4963334,227.5658401,143.1761400,951.1302167,16.5680740,670.2124322,inf,inf,inf
0.2225000,0.2225000,0.2225000,202.7152912,-0.3271688,18.2882264,202.7152912,127.5563966,847.2108071,15.2467786,597.2207000,inf,inf,inf
0.2250000,0.2250000,0.2250000,180.7414845,-0.3208056,16.3207834,180.7414845,113.7648528,755.2171734,14.0787554,532.6066805,inf,inf,inf
0.2275000,0.2275000,0.2275000,161.2989989,-0.3147003,14.5654006,161.2989989,101.5821653,673.7162381,13.0430443,475.3588506,inf,inf,inf
0.2300000,0.2300000,0.2300000,144.0869697,-0.3087452,12.9976538,144.0869697,90.8156016,601.4527651,12.1198574,424.5915999,inf,inf,inf
0.2325000,0.2325000,0.2325000,128.8423233,-0.3028693,11.5962557,128.8423233,81.2951343,537.3259532,11.2907013,379.5303078,inf,inf,inf
0.2350000,0.2350000,0.2350000,115.3340446,-0.2970443,10.3422626,115.3340446,72.8704437,480.3702438,10.5388507,339.4986357,inf,inf,inf
0.2375000,0.2375000,0.2375000,103.3584375,-0.2912824,9.2185691,103.3584375,65.4087391,429.7396433,9.8499624,303.9069022,inf,inf,inf
