# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,50952364.1310355,4490698.1663188,2875469.3712546,18162895.9816425,274963.6323294,12782356.5876889,4490778.5801110,4490617.7525267,5293809.2496393,3348098.9454654,93747311.8101117,4490698.1663188,2875469.3712546,18162895.9816425,274963.6323294,12782356.5876889,4490778.5801110,4490617.7525267,5293809.2496393,3348098.9454654,93747311.8101117
0.0025000,0.0025000,0.0025000,inf,nan,29621274.5394982,3476795.7397091,2225983.6140919,14065900.6499762,212650.7284574,9898900.3354715,3476866.8576517,3476724.6217666,4098581.7270071,2592170.6867378,72599439.4471433,3476795.7397091,2225983.6140919,14065900.6499762,212650.7284574,9898900.3354715,3476866.8576517,3476724.6217666,4098581.7270071,2592170.6867378,72599439.4471433
0.0050000,0.0050000,0.0050000,inf,nan,18076225.9785963,2732884.4176756,1749469.9772823,11059555.1568462,166950.5616439,7783052.7415793,2732946.8756805,2732821.9596707,3221630.1948313,2037537.8388878,57081393.5579697,2732884.4176756,1749469.9772823,11059555.1568462,166950.5616439,7783052.7415793,2732946.8756805,2732821.9596707,3221630.1948313,2037537.8388878,57081393.5579697
0.0075000,0.0075000,0.0075000,inf,nan,11751527.6316471,2180744.1942200,1395815.5749281,8827892.0801713,133049.1405029,6212433.1629663,2180798.5899586,2180689.7984815,2570745.8748942,1625882.4500296,45562180.5564302,2180744.1942200,1395815.5749281,8827892.0801713,133049.1405029,6212433.1629663,2180798.5899586,2180689.7984815,2570745.8748942,1625882.4500296,45562180.5564302
0.0100000,0.0100000,0.0100000,inf,nan,8397978.2234773,1764232.5845153,1129320.6805653,7140315.4920612,107609.5376453,5024920.6526535,1764284.3968122,1764180.7722185,2079745.8276022,1315346.7538909,36853043.1864160,1764232.5845153,1129320.6805653,7140315.4920612,107609.5376453,5024920.6526535,1764284.3968122,1764180.7722185,2079745.8276022,1315346.7538909,36853043.1864160
0.0125000,0.0125000,0.0125000,inf,nan,6921614.7736044,1437902.8148545,920357.6385964,5820507.7155943,87665.9261037,4096089.2272833,1437948.6259004,1437857.0038086,1695055.6326521,1072047.3119757,30040882.6954460,1437902.8148545,920357.6385964,5820507.7155943,87665.9261037,4096089.2272833,1437948.6259004,1437857.0038086,1695055.6326521,1072047.3119757,30040882.6954460
0.0150000,0.0150000,0.0150000,inf,nan,6870017.1533382,1187508.8673697,760029.7237072,4807649.9187720,72332.8376136,3383283.4402796,1187549.0954595,1187468.6392799,1399881.5313975,885362.8187241,24813091.7516323,1187508.8673697,760029.7237072,4807649.9187720,72332.8376136,3383283.4402796,1187549.0954595,1187468.6392799,1399881.5313975,885362.8187241,24813091.7516323
0.0175000,0.0175000,0.0175000,inf,nan,8196481.2186007,994671.7537635,636563.8490106,4027476.3076963,60531.9139091,2834235.4190932,994706.7992620,994636.7082650,1172557.6592792,741590.5782396,20786326.8478750,994671.7537635,636563.8490106,4027476.3076963,60531.9139091,2834235.4190932,994706.7992620,994636.7082650,1172557.6592792,741590.5782396,20786326.8478750
0.0200000,0.0200000,0.0200000,inf,nan,10288561.6856381,845819.9949133,541266.7615599,3425143.3706264,51429.0239943,2410346.7531654,845850.2416381,845789.7481885,997085.4300975,630612.1961753,17677499.4469531,845819.9949133,541266.7615599,3425143.3706264,51429.0239943,2410346.7531654,845850.2416381,845789.7481885,997085.4300975,630612.1961753,17677499.4469531
0.0225000,0.0225000,0.0225000,inf,nan,14836570.1810794,730898.6425384,467697.9614074,2960014.9167370,44406.3422618,2083018.1640995,730924.4590344,730872.8260425,861611.6806600,544931.0738983,15276856.9001252,730898.6425384,467697.9614074,2960014.9167370,44406.3422618,2083018.1640995,730924.4590344,730872.8260425,861611.6806600,544931.0738983,15276856.9001252
