# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1825000,0.1825000,0.1825000,1586.6263636
0.2075000,0.2075000,0.2075000,453.6416697
0.2325000,0.2325000,0.2325000,136.2143127
0.2575000,0.2575000,0.2575000,41.2214042
0.2825000,0.2825000,0.2825000,11.1977520
0.3075000,0.3075000,0.3075000,0.9118222
0.3325000,0.3325000,0.3325000,-1.7847869
0.3575000,0.3575000,0.3575000,-2.8235686
0.3825000,0.3825000,0.3825000,-3.4756755
0.4075000,0.4075000,0.4075000,-3.3570517
0.4325000,0.4325000,0.4325000,-3.0844777
0.4575000,0.4575000,0.4575000,-2.8345969
0.4825000,0.4825000,0.4825000,-2.6021220
0.5075000,0.5075000,0.5075000,-2.2972903
0.5325000,0.5325000,0.5325000,-1.8963200
0.5575000,0.5575000,0.5575000,-1.4987088
0.5825000,0.5825000,0.5825000,-1.1658531
0.6075000,0.6075000,0.6075000,-0.9057304
0.6325000,0.6325000,0.6325000,-0.7070679
0.6575000,0.6575000,0.6575000,-0.5559823
0.6825000,0.6825000,0.6825000,-0.4406820
0.7075000,0.7075000,0.7075000,-0.3521110
0.7325000,0.7325000,0.7325000,-0.2835441
0.7575000,0.7575000,0.7575000,-0.2300343
0.7825000,0.7825000,0.7825000,-0.1879412
0.8075000,0.8075000,0.8075000,-0.1545732
0.8325000,0.8325000,0.8325000,-0.1279264
0.8575000,0.8575000,0.8575000,-0.1064977
0.8825000,0.8825000,0.8825000,-0.0891509
0.9075000,0.9075000,0.9075000,-0.0750201
0.9325000,0.9325000,0.9325000,-0.0634409
0.9575000,0.9575000,0.9575000,-0.0538991
0.9825000,0.9825000,0.9825000,-0.0459944
1.0075000,1.0075000,1.0075000,-0.0394130
1.0325000,1.0325000,1.0325000,-0.0339071
1.0575000,1.0575000,1.0575000,-0.0292801
1.0825000,1.0825000,1.0825000,-0.0253750
1.1075000,1.1075000,1.1075000,-0.0220655
1.1325000,1.1325000,1.1325000,-0.0192500
1.1575000,1.1575000,1.1575000,-0.0168457
1.1825000,1.1825000,1.1825000,-0.0147852
1.2075000,1.2075000,1.2075000,-0.0130135
1.2325000,1.2325000,1.2325000,-0.0114850
1.2575000,1.2575000,1.2575000,-0.0101624
1.2825000,1.2825000,1.2825000,-0.0090144
1.3075000,1.3075000,1.3075000,-0.0080151
1.3325000,1.3325000,1.3325000,-0.0071430
1.3575000,1.3575000,1.3575000,-0.0063797
1.3825000,1.3825000,1.3825000,-0.0057101
1.4075000,1.4075000,1.4075000,-0.0051212
1.4325000,1.4325000,1.4325000,-0.0046021
1.4575000,1.4575000,1.4575000,-0.0041434
1.4825000,1.4825000,1.4825000,-0.0037372
1.5075000,1.5075000,1.5075000,-0.0033768
1.5325000,1.5325000,1.5325000,-0.0030564
1.5575000,1.5575000,1.5575000,-0.0027709
1.5825000,1.5825000,1.5825000,-0.0025161
