# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2375000,0.2375000,0.2375000,832.0826551
0.2625000,0.2625000,0.2625000,256.2995353
0.2875000,0.2875000,0.2875000,80.7950667
0.3125000,0.3125000,0.3125000,24.4901662
0.3375000,0.3375000,0.3375000,5.8846416
0.3625000,0.3625000,0.3625000,-0.1185795
0.3875000,0.3875000,0.3875000,-1.9621993
0.4125000,0.4125000,0.4125000,-2.8400054
0.4375000,0.4375000,0.4375000,-3.2913538
0.4625000,0.4625000,0.4625000,-3.1445877
0.4875000,0.4875000,0.4875000,-2.6562415
0.5125000,0.5125000,0.5125000,-2.1177371
0.5375000,0.5375000,0.5375000,-1.6511046
0.5625000,0.5625000,0.5625000,-1.2797730
0.5875000,0.5875000,0.5875000,-0.9936540
0.6125000,0.6125000,0.6125000,-0.7755349
0.6375000,0.6375000,0.6375000,-0.6094171
0.6625000,0.6625000,0.6625000,-0.4824419
0.6875000,0.6875000,0.6875000,-0.3848144
0.7125000,0.7125000,0.7125000,-0.3092309
0.7375000,0.7375000,0.7375000,-0.2502840
0.7625000,0.7625000,0.7625000,-0.2039711
0.7875000,0.7875000,0.7875000,-0.1673188
0.8125000,0.8125000,0.8125000,-0.1381069
0.8375000,0.8375000,0.8375000,-0.1146668
0.8625000,0.8625000,0.8625000,-0.0957357
0.8875000,0.8875000,0.8875000,-0.0803516
0.9125000,0.9125000,0.9125000,-0.0677762
0.9375000,0.9375000,0.9375000,-0.0574391
0.9625000,0.9625000,0.9625000,-0.0488966
0.9875000,0.9875000,0.9875000,-0.0418015
1.0125000,1.0125000,1.0125000,-0.0358800
1.0375000,1.0375000,1.0375000,-0.0309155
1.0625000,1.0625000,1.0625000,-0.0267351
1.0875000,1.0875000,1.0875000,-0.0232003
1.1125000,1.1125000,1.1125000,-0.0201996
1.1375000,1.1375000,1.1375000,-0.0176426
1.1625000,1.1625000,1.1625000,-0.0154558
1.1875000,1.1875000,1.1875000,-0.0135793
1.2125000,1.2125000,1.2125000,-0.0119635
1.2375000,1.2375000,1.2375000,-0.0105680
1.2625000,1.2625000,1.2625000,-0.0093589
1.2875000,1.2875000,1.2875000,-0.0083084
1.3125000,1.3125000,1.3125000,-0.0073931
1.3375000,1.3375000,1.3375000,-0.0065934
1.3625000,1.3625000,1.3625000,-0.0058929
1.3875000,1.3875000,1.3875000,-0.0052779
1.4125000,1.4125000,1.4125000,-0.0047365
1.4375000,1.4375000,1.4375000,-0.0042589
1.4625000,1.4625000,1.4625000,-0.0038366
1.4875000,1.4875000,1.4875000,-0.0034624
1.5125000,1.5125000,1.5125000,-0.0031302
1.5375000,1.5375000,1.5375000,-0.0028346
1.5625000,1.5625000,1.5625000,-0.0025710
1.5875000,1.5875000,1.5875000,-0.0023357
