# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,5833497.1499208,6890948480.8327808,4585658318.2092638,25474640998.6095657,548401585.5618501,18029299868.4471207,268798755677.2405701,2435607654010.3110352,15666294495134.0957031
0.0025000,0.0025000,0.0025000,inf,nan,4059947.6331820,4279334302.8742008,2847725890.1370673,15819996105.7349911,340556508.1261159,11196366009.2504368,166927045085.4406738,1512540740024.6770020,9728953732709.9433594
0.0050000,0.0050000,0.0050000,inf,nan,2867035.6174551,2705930677.7808781,1800684889.8205593,10003412244.4681301,215338345.7246884,7079764051.1065912,105552838563.0361938,956424447717.3588867,6151908369833.1777344
0.0075000,0.0075000,0.0075000,inf,nan,2052803.5250154,1740189274.5341411,1158020852.7550864,6433238341.7785959,138481284.9969521,4553026020.0620613,67881765887.5757065,615083899343.5976562,3956341072773.0966797
0.0100000,0.0100000,0.0100000,inf,nan,1489635.2040136,1137151300.0539482,756722536.7909825,4203910297.3959279,90489984.0489384,2975252067.1418967,44358726141.3913269,401939695032.6899414,2585356895156.1083984
0.0125000,0.0125000,0.0125000,inf,nan,1095541.3670839,754620283.3548177,502163349.8816490,2789755645.2671742,60047605.6476504,1974405144.8051798,29437058891.8138351,266733171233.9291077,1715682668802.9729004
0.0150000,0.0150000,0.0150000,inf,nan,817049.3704736,508505193.0578310,338383783.4519532,1879906124.0914927,40461716.2083656,1330472767.0230722,19836619084.1316681,179742707733.5554810,1156143338781.4772949
0.0175000,0.0175000,0.0175000,inf,nan,618820.3118364,348223837.2190957,231723252.3690898,1287369016.4644988,27706722.7762582,911113565.8338028,13584340206.9624653,123090209558.6007843,791743628163.6706543
0.0200000,0.0200000,0.0200000,inf,nan,477243.8560180,242885233.8262567,161624956.9624964,897946149.3613595,19324175.1304212,635505453.9294540,9475251227.3111973,85857346813.4224091,552254778039.5804443
0.0225000,0.0225000,0.0225000,inf,nan,376429.9770692,173386439.3911762,115376606.3049172,641017447.5112137,13793780.7718855,453668108.1729611,6764198052.5064125,61292222800.9927368,394247313305.7422485
0.0250000,0.0250000,0.0250000,inf,nan,305672.6977360,127820986.6902450,85054899.1346440,472566837.8060735,10167979.9042068,334449799.7985467,4986740586.0204029,45186510439.0112076,290652479647.4248657
0.0275000,0.0275000,0.0275000,inf,nan,257836.6834465,98780165.0273263,65729623.6643327,365205612.9039091,7857165.1767932,258466574.9588108,3853883743.3154259,34921602954.4074707,224626905724.3500977
0.0300000,0.0300000,0.0300000,inf,nan,228337.5563598,81762062.7690871,54404933.3363911,302290971.3434690,6503064.1694750,213939737.0496988,3190018898.2734513,28906297120.5470619,185935676129.4201050
0.0325000,0.0325000,0.0325000,inf,nan,214519.0161109,72659044.3456199,48347373.9189207,268637464.0635187,5778801.3225468,190122017.4339297,2834909881.0387812,25688643596.7419891,165239369570.6489258
0.0350000,0.0350000,0.0350000,inf,nan,215312.4515735,64613932.2533767,42993814.6131729,238894814.3044284,5138727.6104700,169072154.1320007,2521064799.6196918,22844864513.5470848,146947761207.0411682
0.0375000,0.0375000,0.0375000,inf,nan,231119.9738546,57213380.3009528,38069170.3982880,211535185.8248613,4549942.1861773,149708827.7972135,2232370919.4660864,20229042965.2515678,130122785035.4219666
0.0400000,0.0400000,0.0400000,inf,nan,263903.6608188,50280917.6294532,33456029.1545497,185905720.7863891,3998419.8943852,131570005.7270774,1961922995.3693709,17778456563.3725510,114360070217.8257141
0.0425000,0.0425000,0.0425000,inf,nan,317502.3905431,43863030.8977591,29185341.5791566,162178417.8788079,3487852.3157850,114777428.3655372,1711541729.1401575,15509653328.1096401,99766360533.0340881
0.0450000,0.0450000,0.0450000,inf,nan,398242.2882834,38260892.3259029,25457473.2021439,141467119.9381276,3042187.6418904,100119363.4800535,1492993956.6792729,13529384231.7829018,87029087350.6639709
0.0475000,0.0475000,0.0475000,inf,nan,515968.9190490,33085115.8820277,22013298.9444570,122332703.4399521,2630423.6883164,86577287.8386952,1291108385.4032485,11700308842.5802021,75265626495.3967743
0.0500000,0.0500000,0.0500000,inf,nan,685726.0877589,28514815.7211367,18972135.9175981,105435171.0405884,2266898.5428937,74618405.0952534,1112775119.0948472,10084168878.3633213,64868933402.6210861
0.0525000,0.0525000,0.0525000,inf,nan,930466.4169100,24520064.6190870,16313915.3924873,90665979.2875355,1949147.9739492,64165779.0406917,956918742.6400326,8671873293.5369606,55784487519.8973160
0.0550000,0.0550000,0.0550000,inf,nan,1285454.5166770,20965854.5396481,13948826.7810628,77526286.5570574,1666415.2332079,54866383.4664718,818286701.7677617,7415925519.1593914,47707369528.9967117
0.0575000,0.0575000,0.0575000,inf,nan,1805510.3002301,17974497.6145727,11958297.5256768,66467099.5512997,1428480.8300851,47039440.3636017,701596404.7659919,6358687565.8355227,40907742110.6885147
0.0600000,0.0600000,0.0600000,inf,nan,2577119.7432561,15228018.9876029,10130810.4355200,56311585.0239358,1210095.1847115,39852125.8711027,594385595.3882719,5386823643.3363190,34654103818.6672363
0.0625000,0.0625000,0.0625000,inf,nan,3739067.4259238,12938129.4921636,8606904.6841855,47848438.0207340,1027862.4415562,33862360.7498134,505181910.7903580,4579512394.8021212,29467297173.0484505
0.0650000,0.0650000,0.0650000,inf,nan,5518327.2763961,10958334.1010227,7289591.2613375,40527423.5744740,870471.8723268,28681108.8033158,427883552.3529343,3878714385.4069304,24957355540.6293793
0.0675000,0.0675000,0.0675000,inf,nan,6012952.0418490,9308317.0303774,6191634.0427453,34427366.6498232,739246.2617500,24363897.5751742,363529521.3074393,3295768970.3424435,21208864475.0547180
0.0700000,0.0700000,0.0700000,inf,nan,6301031.2142227,7829127.7929026,5207453.3832063,28957534.0560013,621662.1521524,20492793.7324925,305781221.7179322,2772261642.9176784,17840161683.0778770
0.0725000,0.0725000,0.0725000,inf,nan,4900665.2118303,6604236.9750024,4392487.2825327,24427657.2519304,524316.5231916,17286924.7415873,257944046.1222693,2338492460.0442996,15048258288.6765194
0.0750000,0.0750000,0.0750000,inf,nan,4024565.0542760,5581736.4650740,3712070.5175949,20647856.4453792,442998.7011622,14611811.5341977,218083144.4122014,1977569581.7905653,12728377031.7148151
0.0775000,0.0775000,0.0775000,inf,nan,3873000.6021868,4690487.0370736,3118857.4035784,17354356.8072286,372013.4555278,12280848.3654005,183384526.8392644,1663704633.2733755,10707661393.6482601
0.0800000,0.0800000,0.0800000,inf,nan,2942923.2728991,3943871.2231029,2622395.2709986,14590213.4806129,312874.5413047,10324750.8925208,154100923.8217379,1397315410.3617253,8993132968.9237576
0.0825000,0.0825000,0.0825000,inf,nan,2030856.5774285,3329253.6699313,2213454.5864875,12317686.4583408,264026.6613697,8716428.7925875,130121324.5406497,1180067884.9232810,7596013192.4441395
0.0850000,0.0850000,0.0850000,inf,nan,1429517.6822042,2791211.2646929,1855514.3384326,10327674.3356889,221291.8403045,7308086.1098171,109102997.0131387,989465347.3242298,6369141642.1204424
0.0875000,0.0875000,0.0875000,inf,nan,1023828.8947627,2347254.7673090,1560138.2425993,8686063.0915764,186018.0036169,6146285.6495910,91779294.4120084,832509371.2576640,5359711422.1871252
0.0900000,0.0900000,0.0900000,inf,nan,744576.1655441,1982345.3556927,1317360.4612347,7336714.0776940,157029.4337909,5191327.8328775,77539803.3826189,703499808.4036745,4530034264.6733837
0.0925000,0.0925000,0.0925000,inf,nan,548917.2901381,1667473.9497127,1107651.3247833,6175992.9106421,131875.7313043,4369693.2860502,65413795.6150880,594786126.9523764,3837834783.8920822
0.0950000,0.0950000,0.0950000,inf,nan,409652.3506577,1400408.6238729,929954.1194232,5188798.3211369,110650.9904699,3671023.6398086,55009321.8744394,500345507.6274359,3226376181.1686563
0.0975000,0.0975000,0.0975000,inf,nan,309119.5403903,1178468.8801749,782459.1349162,4365655.9974892,93124.0041437,3088593.8042935,46241126.8956318,420215241.9259166,2705833175.5783186
0.1000000,0.1000000,0.1000000,inf,nan,235618.2273375,991990.4933095,658399.3911099,3673113.0824226,78315.0070895,2598612.0623710,38832612.3869097,352405500.2865553,2269658084.8574977
0.1025000,0.1025000,0.1025000,inf,nan,181256.5358338,833947.0495324,553457.2418917,3088547.8885370,65896.8194446,2184916.6583481,32661552.5580124,296481779.6971464,1909930330.4443507
0.1050000,0.1050000,0.1050000,inf,nan,140624.8116128,703121.2681541,466440.0243501,2604641.3006257,55518.8138301,1842459.9253513,27552753.9058290,250182729.8665227,1612104319.7922099
0.1075000,0.1075000,0.1075000,inf,nan,109037.3283065,594280.1560203,394082.5386441,2201883.2133870,46892.1279032,1557457.2636114,23296510.7163132,211569970.8938513,1363480664.6859903
0.1100000,0.1100000,0.1100000,inf,nan,84432.2628533,501129.3858284,332133.1457007,1857280.0790028,39507.7042000,1313589.5120317,19657577.7771446,178586293.5541196,1151278294.6160676
0.1125000,0.1125000,0.1125000,inf,nan,66006.4426084,423650.2953582,280610.5601351,1570628.2691261,33368.0818342,1110735.1619735,16630231.4748878,151143775.8948142,974712908.2813175
0.1150000,0.1150000,0.1150000,inf,nan,52051.0936697,359005.2650392,237626.6422793,1331435.9212036,28247.6792133,941468.8164593,14103750.5971893,128239173.3892202,827331695.3569885
0.1175000,0.1175000,0.1175000,inf,nan,41372.2523300,304908.5361226,201660.4720094,1131251.5327563,23964.8046496,799809.1047148,11988946.1133938,109064358.3101134,703936924.8537085
0.1200000,0.1200000,0.1200000,inf,nan,33123.4775551,258324.8259246,170684.7904257,958623.4980237,20288.5297834,677646.7871826,10156270.9855316,92367355.4814825,596003886.4220716
0.1225000,0.1225000,0.1225000,inf,nan,26696.6607929,218801.7421116,144413.7022301,812339.4594825,17162.3316268,574132.8816069,8610474.6688584,78349114.3208157,505779302.9279760
0.1250000,0.1250000,0.1250000,inf,nan,21649.5438482,185727.5178105,122432.6329641,689906.3402306,14547.8214856,487498.5178864,7316427.7815304,66611859.3584472,430224420.7424096
0.1275000,0.1275000,0.1275000,inf,nan,17656.8449482,157979.8105956,103994.8188151,587174.0938100,12355.8261549,414806.5989468,6230334.3718065,56758785.0509250,366787229.4919446
0.1300000,0.1300000,0.1300000,inf,nan,14476.8210615,134644.3054801,88491.9175529,500761.8375587,10513.7113560,353664.3874925,5316515.8534614,48466641.5641814,313388852.3201274
