# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.1925000,0.1925000,0.1925000,1673.7785043,-0.3677030,139.6870293,1673.7785043,1068.3574263,inf
0.1950000,0.1950000,0.1950000,1470.0765789,-0.3573507,119.7097983,1470.0765789,937.6397388,inf
0.1975000,0.1975000,0.1975000,1292.5932189,-0.3473653,102.7354596,1292.5932189,823.8304781,inf
0.2000000,0.2000000,0.2000000,1137.7663059,-0.3377323,88.5234225,1137.7663059,724.6257503,inf
0.2025000,0.2025000,0.2025000,1002.5448258,-0.3284379,76.6019085,1002.5448258,638.0527895,inf
0.2050000,0.2050000,0.2050000,884.3115332,-0.3194688,66.5426922,884.3115332,562.4196284,inf
0.2075000,0.2075000,0.2075000,780.8177301,-0.3108164,57.9996285,780.8177301,496.2715721,inf
0.2100000,0.2100000,0.2100000,690.1250252,-0.3025429,50.6984918,690.1250252,438.3489661,inf
0.2125000,0.2125000,0.2125000,610.5315576,-0.2952857,44.4212387,610.5315576,387.5397898,inf
0.2150000,0.2150000,0.2150000,540.4410235,-0.2916457,38.9929174,540.4410235,342.8404459,inf
0.2175000,0.2175000,0.2175000,478.3154413,-0.2943061,34.2721308,478.3154413,303.3723426,inf
0.2200000,0.2200000,0.2200000,423.0583884,-0.2983744,30.1443061,423.0583884,268.4500828,1719.2041019
0.2225000,0.2225000,0.2225000,374.1286435,-0.2983071,26.5167493,374.1286435,237.5775761,1519.4510238
0.2250000,0.2250000,0.2250000,331.0327945,-0.2946833,23.3146615,331.0327945,210.3493545,1344.3234679
0.2275000,0.2275000,0.2275000,293.1670718,-0.2893161,20.4776510,293.1670718,186.3803333,1190.6074736
0.2300000,0.2300000,0.2300000,259.9126701,-0.2832262,17.9566316,259.9126701,165.2973875,1055.5329182
0.2325000,0.2325000,0.2325000,230.6972430,-0.2768413,15.7112088,230.6972430,146.7514084,936.7088313
0.2350000,0.2350000,0.2350000,205.0115802,-0.2702445,13.7076528,205.0115802,130.4264011,832.0686234
0.2375000,0.2375000,0.2375000,182.4086088,-0.2632312,11.9174389,182.4086088,116.0425789,739.8236380
0.2400000,0.2400000,0.2400000,162.4971619,-0.2552890,10.3162103,162.4971619,103.3552726,658.4237012
0.2425000,0.2425000,0.2425000,144.9350325,-0.2456355,8.8829800,144.9350325,92.1514170,586.5235635
0.2450000,0.2450000,0.2450000,129.4229691,-0.2334075,7.5994490,129.4229691,82.2451898,522.9543110
0.2475000,0.2475000,0.2475000,115.6999744,-0.2179822,6.4494292,115.6999744,73.4742150,466.6989741
0.2500000,0.2500000,0.2500000,103.5394222,-0.1992598,5.4184250,103.5394222,65.6969989,416.8716866
