# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1950000,0.1950000,0.1950000,1718.4242772,-0.3068649,152.2609276,1718.4242772,1101.3149925,inf,107.3549923,inf,inf,inf,inf
0.1975000,0.1975000,0.1975000,1511.3937759,-0.2988248,133.2099089,1511.3937759,967.8801001,inf,94.2240462,inf,inf,inf,inf
0.2000000,0.2000000,0.2000000,1330.7509974,-0.2910535,116.7024191,1330.7509974,851.5379040,inf,82.7243427,inf,inf,inf,inf
0.2025000,0.2025000,0.2025000,1172.9408727,-0.2835447,102.3720259,1172.9408727,749.9739175,inf,72.6021343,inf,inf,inf,inf
0.2050000,0.2050000,0.2050000,1034.9063169,-0.2763258,89.9089173,1034.9063169,661.1861634,inf,63.6611880,inf,inf,inf,inf
0.2075000,0.2075000,0.2075000,913.9780184,-0.2695885,79.0503273,913.9780184,583.4211777,inf,55.7586330,inf,inf,inf,inf
0.2100000,0.2100000,0.2100000,807.7532197,-0.2638272,69.5724666,807.7532197,515.1474534,inf,48.7855932,inf,inf,inf,inf
0.2125000,0.2125000,0.2125000,714.1147167,-0.2592378,61.2837197,714.1147167,455.0827630,inf,42.6479995,inf,inf,inf,inf
0.2150000,0.2150000,0.2150000,631.4481117,-0.2549404,54.0190858,631.4481117,402.2032879,inf,37.2574853,1804.9567089,inf,inf,inf
0.2175000,0.2175000,0.2175000,558.5769548,-0.2501704,47.6358484,558.5769548,355.6721554,inf,32.5302851,1597.7059027,inf,inf,inf
0.2200000,0.2200000,0.2200000,494.4548987,-0.2449575,42.0103326,494.4548987,314.7552790,inf,28.3887926,1415.6825599,inf,inf,inf
0.2225000,0.2225000,0.2225000,438.0704303,-0.2395477,37.0355968,438.0704303,278.7851995,1781.2500071,24.7627567,1255.6417709,inf,inf,inf
0.2250000,0.2250000,0.2250000,388.4823293,-0.2341097,32.6199989,388.4823293,247.1553082,1581.1727467,21.5894869,1114.7748031,inf,inf,inf
0.2275000,0.2275000,0.2275000,344.8456566,-0.2287255,28.6863895,344.8456566,219.3183425,1404.8574926,18.8134648,990.6521982,inf,inf,inf
0.2300000,0.2300000,0.2300000,306.4139959,-0.2234107,25.1712160,306.4139959,194.7825853,1249.3203444,16.3857896,881.1702533,inf,inf,inf
0.2325000,0.2325000,0.2325000,272.5302265,-0.2180991,22.0226370,272.5302265,173.1090481,1111.9740550,14.2635792,784.5049182,inf,inf,inf
0.2350000,0.2350000,0.2350000,242.6140944,-0.2125944,19.1974429,242.6140944,153.9132282,990.5722744,12.4092947,699.0722522,inf,inf,inf
0.2375000,0.2375000,0.2375000,216.1516583,-0.2065378,16.6577045,216.1516583,136.8697274,883.1619019,10.7900092,623.4937748,inf,inf,inf
0.2400000,0.2400000,0.2400000,192.6901201,-0.1994859,14.3685819,192.6901201,121.7124354,788.0415217,9.3767113,556.5647817,inf,inf,inf
0.2425000,0.2425000,0.2425000,171.8384356,-0.1911430,12.2981924,171.8384356,108.2252233,703.7228962,8.1437233,497.2253773,inf,inf,inf
0.2450000,0.2450000,0.2450000,153.2688692,-0.1816032,10.4190439,153.2688692,96.2269794,628.8933489,7.0682549,444.5382948,inf,inf,inf
0.2475000,0.2475000,0.2475000,136.7123985,-0.1713495,8.7093412,136.7123985,85.5587918,562.3843861,6.1300698,397.6796325,inf,inf,inf
0.2500000,0.2500000,0.2500000,121.9463362,-0.1609970,7.1528599,121.9463362,76.0769191,503.1617044,5.3112327,355.9405497,inf,inf,inf
0.2525000,0.2525000,0.2525000,108.7798303,-0.1510336,5.7375597,108.7798303,67.6503320,450.3404511,4.5959132,318.7247140,inf,inf,inf
0.2550000,0.2550000,0.2550000,97.0432808,-0.1417331,4.4539234,97.0432808,60.1602937,403.1926928,3.9702271,285.5295213,inf,inf,inf
0.2575000,0.2575000,0.2575000,86.5830770,-0.1331998,3.2936943,86.5830770,53.5003015,361.1154534,3.4220947,255.9189829,inf,inf,inf
0.2600000,0.2600000,0.2600000,77.2598018,-0.1254416,2.2491206,77.2598018,47.5757342,323.5821324,2.9410944,229.5032062,inf,inf,inf
0.2625000,0.2625000,0.2625000,68.9477407,-0.1184142,1.3125751,68.9477407,42.3031200,290.1127437,2.5182855,205.9287887,inf,inf,inf
0.2650000,0.2650000,0.2650000,61.5344475,-0.1120345,0.4764135,61.5344475,37.6091260,260.2653648,2.1459955,184.8759092,inf,inf,inf
0.2675000,0.2675000,0.2675000,54.9199723,-0.1061838,-0.2670242,54.9199723,33.4293991,233.6359742,1.8176114,166.0575160,inf,inf,inf
0.2700000,0.2700000,0.2700000,49.0158091,-0.1007214,-0.9253459,49.0158091,29.7073692,209.8589233,1.5274257,149.2183492,inf,inf,inf
0.2725000,0.2725000,0.2725000,43.7437466,-0.0955125,-1.5060165,43.7437466,26.3931073,188.6062218,1.2705365,134.1332019,inf,inf,inf
0.2750000,0.2750000,0.2750000,39.0347437,-0.0904607,-2.0162673,39.0347437,23.4423107,169.5859192,1.0427578,120.6045379,inf,inf,inf
