# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,8888390971.5476074
0.0050000,0.0050000,0.0050000,3361464340.5024710
0.0100000,0.0100000,0.0100000,1368089955.1183636
0.0150000,0.0150000,0.0150000,594133209.9819039
0.0200000,0.0200000,0.0200000,274738248.8447849
0.0250000,0.0250000,0.0250000,137301364.4799606
0.0300000,0.0300000,0.0300000,78976302.9264343
0.0350000,0.0350000,0.0350000,56006156.6840451
0.0400000,0.0400000,0.0400000,43088567.9021620
0.0450000,0.0450000,0.0450000,31494816.2546603
0.0500000,0.0500000,0.0500000,22599789.4288788
0.0550000,0.0550000,0.0550000,16634141.9849620
0.0600000,0.0600000,0.0600000,12056759.7081153
0.0650000,0.0650000,0.0650000,8705439.4587828
0.0700000,0.0700000,0.0700000,6235630.4143598
0.0750000,0.0750000,0.0750000,4386206.1737006
0.0800000,0.0800000,0.0800000,3065666.3484894
0.0850000,0.0850000,0.0850000,2067485.3810621
0.0900000,0.0900000,0.0900000,1421097.2778467
0.0950000,0.0950000,0.0950000,993792.7833798
0.1000000,0.1000000,0.1000000,705605.4176096
0.1050000,0.1050000,0.1050000,503169.4269468
0.1100000,0.1100000,0.1100000,361604.8642903
0.1150000,0.1150000,0.1150000,262665.9266042
0.1200000,0.1200000,0.1200000,190950.3905629
0.1250000,0.1250000,0.1250000,139676.8924837
0.1300000,0.1300000,0.1300000,103397.0737202
0.1350000,0.1350000,0.1350000,77433.9002028
0.1400000,0.1400000,0.1400000,58644.9064866
0.1450000,0.1450000,0.1450000,44894.2391878
0.1500000,0.1500000,0.1500000,33644.6584643
0.1550000,0.1550000,0.1550000,25064.5346944
0.1600000,0.1600000,0.1600000,18805.2400241
0.1650000,0.1650000,0.1650000,14202.2843872
0.1700000,0.1700000,0.1700000,10734.4083784
0.1750000,0.1750000,0.1750000,8052.1349262
0.1800000,0.1800000,0.1800000,6072.8940107
0.1850000,0.1850000,0.1850000,4603.2314495
0.1900000,0.1900000,0.1900000,3503.0144786
0.1950000,0.1950000,0.1950000,2676.3066034
0.2000000,0.2000000,0.2000000,2053.1153346
0.2050000,0.2050000,0.2050000,1595.5371214
0.2100000,0.2100000,0.2100000,1235.7842385
0.2150000,0.2150000,0.2150000,960.4862447
0.2200000,0.2200000,0.2200000,748.9125783
0.2250000,0.2250000,0.2250000,585.6733973
0.2300000,0.2300000,0.2300000,459.2765165
0.2350000,0.2350000,0.2350000,361.0895095
0.2400000,0.2400000,0.2400000,284.5817988
0.2450000,0.2450000,0.2450000,224.7570279
0.2500000,0.2500000,0.2500000,177.7677012
0.2550000,0.2550000,0.2550000,140.6946074
0.2600000,0.2600000,0.2600000,111.3330240
0.2650000,0.2650000,0.2650000,87.9820889
0.2700000,0.2700000,0.2700000,69.3557955
0.2750000,0.2750000,0.2750000,54.5096498
0.2800000,0.2800000,0.2800000,42.7128710
0.2850000,0.2850000,0.2850000,33.3534077
0.2900000,0.2900000,0.2900000,25.9180293
0.2950000,0.2950000,0.2950000,20.0024119
0.3000000,0.3000000,0.3000000,15.3020784
0.3050000,0.3050000,0.3050000,11.5836840
0.3100000,0.3100000,0.3100000,8.6571649
0.3150000,0.3150000,0.3150000,6.3611219
0.3200000,0.3200000,0.3200000,4.5589890
0.3250000,0.3250000,0.3250000,3.1385179
0.3300000,0.3300000,0.3300000,2.0108213
0.3350000,0.3350000,0.3350000,1.1085707
0.3400000,0.3400000,0.3400000,0.3829248
0.3450000,0.3450000,0.3450000,-0.2012781
0.3500000,0.3500000,0.3500000,-0.6705845
0.3550000,0.3550000,0.3550000,-1.0462907
0.3600000,0.3600000,0.3600000,-1.3459936
0.3650000,0.3650000,0.3650000,-1.5842586
0.3700000,0.3700000,0.3700000,-1.7729946
0.3750000,0.3750000,0.3750000,-1.9216677
0.3800000,0.3800000,0.3800000,-2.0374435
0.3850000,0.3850000,0.3850000,-2.1254478
0.3900000,0.3900000,0.3900000,-2.1892382
0.3950000,0.3950000,0.3950000,-2.2313694
0.4000000,0.4000000,0.4000000,-2.2539402
0.4050000,0.4050000,0.4050000,-2.2591439
0.4100000,0.4100000,0.4100000,-2.2497588
0.4150000,0.4150000,0.4150000,-2.2294503
0.4200000,0.4200000,0.4200000,-2.2027969
0.4250000,0.4250000,0.4250000,-2.1746692
0.4300000,0.4300000,0.4300000,-2.1487027
0.4350000,0.4350000,0.4350000,-2.1257612
0.4400000,0.4400000,0.4400000,-2.1037787
0.4450000,0.4450000,0.4450000,-2.0791230
0.4500000,0.4500000,0.4500000,-2.0483500
0.4550000,0.4550000,0.4550000,-2.0093126
0.4600000,0.4600000,0.4600000,-1.9614019
0.4650000,0.4650000,0.4650000,-1.9052396
0.4700000,0.4700000,0.4700000,-1.8421963
0.4750000,0.4750000,0.4750000,-1.7739614
0.4800000,0.4800000,0.4800000,-1.7022435
0.4850000,0.4850000,0.4850000,-1.6285967
0.4900000,0.4900000,0.4900000,-1.5543407
0.4950000,0.4950000,0.4950000,-1.4805408
0.5000000,0.5000000,0.5000000,-1.4080216
0.5050000,0.5050000,0.5050000,-1.3373966
0.5100000,0.5100000,0.5100000,-1.2691019
0.5150000,0.5150000,0.5150000,-1.2034306
0.5200000,0.5200000,0.5200000,-1.1405628
0.5250000,0.5250000,0.5250000,-1.0805911
0.5300000,0.5300000,0.5300000,-1.0235421
0.5350000,0.5350000,0.5350000,-0.9693936
0.5400000,0.5400000,0.5400000,-0.9180874
0.5450000,0.5450000,0.5450000,-0.8695404
0.5500000,0.5500000,0.5500000,-0.8236526
0.5550000,0.5550000,0.5550000,-0.7803128
0.5600000,0.5600000,0.5600000,-0.7394040
0.5650000,0.5650000,0.5650000,-0.7008062
0.5700000,0.5700000,0.5700000,-0.6643992
0.5750000,0.5750000,0.5750000,-0.6300646
0.5800000,0.5800000,0.5800000,-0.5976870
0.5850000,0.5850000,0.5850000,-0.5671548
0.5900000,0.5900000,0.5900000,-0.5383609
0.5950000,0.5950000,0.5950000,-0.5112031
0.6000000,0.6000000,0.6000000,-0.4855843
0.6050000,0.6050000,0.6050000,-0.4614124
0.6100000,0.6100000,0.6100000,-0.4386003
0.6150000,0.6150000,0.6150000,-0.4170661
0.6200000,0.6200000,0.6200000,-0.3967325
0.6250000,0.6250000,0.6250000,-0.3775267
0.6300000,0.6300000,0.6300000,-0.3593807
0.6350000,0.6350000,0.6350000,-0.3422304
0.6400000,0.6400000,0.6400000,-0.3260159
0.6450000,0.6450000,0.6450000,-0.3106807
0.6500000,0.6500000,0.6500000,-0.2961723
0.6550000,0.6550000,0.6550000,-0.2824412
0.6600000,0.6600000,0.6600000,-0.2694412
0.6650000,0.6650000,0.6650000,-0.2571290
0.6700000,0.6700000,0.6700000,-0.2454640
0.6750000,0.6750000,0.6750000,-0.2344082
0.6800000,0.6800000,0.6800000,-0.2239262
0.6850000,0.6850000,0.6850000,-0.2139844
0.6900000,0.6900000,0.6900000,-0.2045518
0.6950000,0.6950000,0.6950000,-0.1955990
0.7000000,0.7000000,0.7000000,-0.1870987
0.7050000,0.7050000,0.7050000,-0.1790251
0.7100000,0.7100000,0.7100000,-0.1713541
0.7150000,0.7150000,0.7150000,-0.1640631
0.7200000,0.7200000,0.7200000,-0.1571310
0.7250000,0.7250000,0.7250000,-0.1505377
0.7300000,0.7300000,0.7300000,-0.1442646
0.7350000,0.7350000,0.7350000,-0.1382941
0.7400000,0.7400000,0.7400000,-0.1326098
0.7450000,0.7450000,0.7450000,-0.1271961
0.7500000,0.7500000,0.7500000,-0.1220385
0.7550000,0.7550000,0.7550000,-0.1171232
0.7600000,0.7600000,0.7600000,-0.1124374
0.7650000,0.7650000,0.7650000,-0.1079690
0.7700000,0.7700000,0.7700000,-0.1037065
0.7750000,0.7750000,0.7750000,-0.0996391
0.7800000,0.7800000,0.7800000,-0.0957568
0.7850000,0.7850000,0.7850000,-0.0920500
0.7900000,0.7900000,0.7900000,-0.0885097
0.7950000,0.7950000,0.7950000,-0.0851275
0.8000000,0.8000000,0.8000000,-0.0818952
0.8050000,0.8050000,0.8050000,-0.0788054
0.8100000,0.8100000,0.8100000,-0.0758510
0.8150000,0.8150000,0.8150000,-0.0730252
0.8200000,0.8200000,0.8200000,-0.0703216
0.8250000,0.8250000,0.8250000,-0.0677343
0.8300000,0.8300000,0.8300000,-0.0652575
0.8350000,0.8350000,0.8350000,-0.0628860
0.8400000,0.8400000,0.8400000,-0.0606145
0.8450000,0.8450000,0.8450000,-0.0584384
0.8500000,0.8500000,0.8500000,-0.0563531
0.8550000,0.8550000,0.8550000,-0.0543542
0.8600000,0.8600000,0.8600000,-0.0524377
0.8650000,0.8650000,0.8650000,-0.0505998
0.8700000,0.8700000,0.8700000,-0.0488367
0.8750000,0.8750000,0.8750000,-0.0471450
0.8800000,0.8800000,0.8800000,-0.0455214
0.8850000,0.8850000,0.8850000,-0.0439629
0.8900000,0.8900000,0.8900000,-0.0424663
0.8950000,0.8950000,0.8950000,-0.0410290
0.9000000,0.9000000,0.9000000,-0.0396483
0.9050000,0.9050000,0.9050000,-0.0383216
0.9100000,0.9100000,0.9100000,-0.0370464
0.9150000,0.9150000,0.9150000,-0.0358207
0.9200000,0.9200000,0.9200000,-0.0346421
0.9250000,0.9250000,0.9250000,-0.0335085
0.9300000,0.9300000,0.9300000,-0.0324182
0.9350000,0.9350000,0.9350000,-0.0313690
0.9400000,0.9400000,0.9400000,-0.0303594
0.9450000,0.9450000,0.9450000,-0.0293876
0.9500000,0.9500000,0.9500000,-0.0284519
0.9550000,0.9550000,0.9550000,-0.0275509
0.9600000,0.9600000,0.9600000,-0.0266831
0.9650000,0.9650000,0.9650000,-0.0258470
0.9700000,0.9700000,0.9700000,-0.0250415
0.9750000,0.9750000,0.9750000,-0.0242651
0.9800000,0.9800000,0.9800000,-0.0235168
0.9850000,0.9850000,0.9850000,-0.0227953
0.9900000,0.9900000,0.9900000,-0.0220995
0.9950000,0.9950000,0.9950000,-0.0214285
1.0000000,1.0000000,1.0000000,-0.0207811
1.0050000,1.0050000,1.0050000,-0.0201565
1.0100000,1.0100000,1.0100000,-0.0195538
1.0150000,1.0150000,1.0150000,-0.0189720
1.0200000,1.0200000,1.0200000,-0.0184103
1.0250000,1.0250000,1.0250000,-0.0178680
1.0300000,1.0300000,1.0300000,-0.0173443
1.0350000,1.0350000,1.0350000,-0.0168385
1.0400000,1.0400000,1.0400000,-0.0163498
1.0450000,1.0450000,1.0450000,-0.0158776
1.0500000,1.0500000,1.0500000,-0.0154213
1.0550000,1.0550000,1.0550000,-0.0149802
1.0600000,1.0600000,1.0600000,-0.0145538
1.0650000,1.0650000,1.0650000,-0.0141416
1.0700000,1.0700000,1.0700000,-0.0137429
1.0750000,1.0750000,1.0750000,-0.0133573
1.0800000,1.0800000,1.0800000,-0.0129843
1.0850000,1.0850000,1.0850000,-0.0126234
1.0900000,1.0900000,1.0900000,-0.0122742
1.0950000,1.0950000,1.0950000,-0.0119362
1.1000000,1.1000000,1.1000000,-0.0116091
1.1050000,1.1050000,1.1050000,-0.0112924
1.1100000,1.1100000,1.1100000,-0.0109857
1.1150000,1.1150000,1.1150000,-0.0106888
1.1200000,1.1200000,1.1200000,-0.0104012
1.1250000,1.1250000,1.1250000,-0.0101226
1.1300000,1.1300000,1.1300000,-0.0098526
1.1350000,1.1350000,1.1350000,-0.0095911
1.1400000,1.1400000,1.1400000,-0.0093376
1.1450000,1.1450000,1.1450000,-0.0090919
1.1500000,1.1500000,1.1500000,-0.0088538
1.1550000,1.1550000,1.1550000,-0.0086229
1.1600000,1.1600000,1.1600000,-0.0083990
1.1650000,1.1650000,1.1650000,-0.0081819
1.1700000,1.1700000,1.1700000,-0.0079713
1.1750000,1.1750000,1.1750000,-0.0077670
1.1800000,1.1800000,1.1800000,-0.0075689
1.1850000,1.1850000,1.1850000,-0.0073766
1.1900000,1.1900000,1.1900000,-0.0071899
1.1950000,1.1950000,1.1950000,-0.0070088
1.2000000,1.2000000,1.2000000,-0.0068330
1.2050000,1.2050000,1.2050000,-0.0066623
1.2100000,1.2100000,1.2100000,-0.0064966
1.2150000,1.2150000,1.2150000,-0.0063357
1.2200000,1.2200000,1.2200000,-0.0061794
1.2250000,1.2250000,1.2250000,-0.0060276
1.2300000,1.2300000,1.2300000,-0.0058802
1.2350000,1.2350000,1.2350000,-0.0057369
1.2400000,1.2400000,1.2400000,-0.0055977
1.2450000,1.2450000,1.2450000,-0.0054625
1.2500000,1.2500000,1.2500000,-0.0053310
1.2550000,1.2550000,1.2550000,-0.0052033
1.2600000,1.2600000,1.2600000,-0.0050791
1.2650000,1.2650000,1.2650000,-0.0049583
1.2700000,1.2700000,1.2700000,-0.0048409
1.2750000,1.2750000,1.2750000,-0.0047267
1.2800000,1.2800000,1.2800000,-0.0046157
1.2850000,1.2850000,1.2850000,-0.0045077
1.2900000,1.2900000,1.2900000,-0.0044026
1.2950000,1.2950000,1.2950000,-0.0043004
1.3000000,1.3000000,1.3000000,-0.0042009
1.3050000,1.3050000,1.3050000,-0.0041041
1.3100000,1.3100000,1.3100000,-0.0040100
1.3150000,1.3150000,1.3150000,-0.0039183
1.3200000,1.3200000,1.3200000,-0.0038291
1.3250000,1.3250000,1.3250000,-0.0037422
1.3300000,1.3300000,1.3300000,-0.0036576
1.3350000,1.3350000,1.3350000,-0.0035753
1.3400000,1.3400000,1.3400000,-0.0034951
1.3450000,1.3450000,1.3450000,-0.0034170
1.3500000,1.3500000,1.3500000,-0.0033410
1.3550000,1.3550000,1.3550000,-0.0032669
1.3600000,1.3600000,1.3600000,-0.0031947
1.3650000,1.3650000,1.3650000,-0.0031244
1.3700000,1.3700000,1.3700000,-0.0030559
1.3750000,1.3750000,1.3750000,-0.0029891
1.3800000,1.3800000,1.3800000,-0.0029240
1.3850000,1.3850000,1.3850000,-0.0028606
1.3900000,1.3900000,1.3900000,-0.0027988
1.3950000,1.3950000,1.3950000,-0.0027385
1.4000000,1.4000000,1.4000000,-0.0026798
1.4050000,1.4050000,1.4050000,-0.0026225
1.4100000,1.4100000,1.4100000,-0.0025666
