# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.2225000,0.2225000,0.2225000,1721.9023781,1.5306149,inf,1721.9023781,1059.4692903,inf
0.2250000,0.2250000,0.2250000,1584.8000879,1.5062817,inf,1584.8000879,975.1082653,inf
0.2275000,0.2275000,0.2275000,1457.4739650,1.4820042,inf,1457.4739650,896.7541697,inf
0.2300000,0.2300000,0.2300000,1339.3696312,1.4578201,inf,1339.3696312,824.0704685,inf
0.2325000,0.2325000,0.2325000,1229.9467821,1.4337637,inf,1229.9467821,756.7284575,inf
0.2350000,0.2350000,0.2350000,1128.6812738,1.4098656,inf,1128.6812738,694.4086130,inf
0.2375000,0.2375000,0.2375000,1035.0667535,1.3861537,inf,1035.0667535,636.8016724,inf
0.2400000,0.2400000,0.2400000,948.6159005,1.3626527,inf,948.6159005,583.6094788,inf
0.2425000,0.2425000,0.2425000,868.8613300,1.3393846,inf,868.8613300,534.5456204,inf
0.2450000,0.2450000,0.2450000,795.3562075,1.3163689,inf,795.3562075,489.3358883,inf
0.2475000,0.2475000,0.2475000,727.6746148,1.2936226,inf,727.6746148,447.7185761,inf
0.2500000,0.2500000,0.2500000,665.4117008,1.2711605,inf,665.4117008,409.4446411,inf
0.2525000,0.2525000,0.2525000,608.1836496,1.2489956,inf,608.1836496,374.2777457,inf
0.2550000,0.2550000,0.2550000,555.6274898,1.2271386,inf,555.6274898,341.9941937,inf
0.2575000,0.2575000,0.2575000,507.4007716,1.2055989,1817.3708605,507.4007716,312.3827777,inf
0.2600000,0.2600000,0.2600000,463.1811300,1.1843840,1500.7322727,463.1811300,285.2445496,inf
0.2625000,0.2625000,0.2625000,422.6657543,1.1635002,1243.8663477,422.6657543,260.3925276,inf
0.2650000,0.2650000,0.2650000,385.5707816,1.1429523,1034.5660337,385.5707816,237.6513493,1732.7264981
0.2675000,0.2675000,0.2675000,351.6306271,1.1227439,863.3027224,351.6306271,216.8568825,1580.8088875
0.2700000,0.2700000,0.2700000,320.5972684,1.1028777,722.5994725,320.5972684,197.8558015,1441.7939298
0.2725000,0.2725000,0.2725000,292.2394932,1.0833553,606.5596028,292.2394932,180.5051381,1314.6510039
0.2750000,0.2750000,0.2750000,266.3421232,1.0641774,510.4963058,266.3421232,164.6718148,1198.4225794
0.2775000,0.2775000,0.2775000,242.7052242,1.0453439,430.2631108,242.7052242,150.2321652,1092.2202740
0.2800000,0.2800000,0.2800000,221.1433096,1.0268540,361.4956452,221.1433096,137.0714507,995.2209624
0.2825000,0.2825000,0.2825000,201.4845468,1.0087064,303.1928813,201.4845468,125.0833742,906.6629598
0.2850000,0.2850000,0.2850000,183.5699722,0.9908990,254.8318574,183.5699722,114.1695997,825.8422991
0.2875000,0.2875000,0.2875000,167.2527194,0.9734293,214.7948557,167.2527194,104.2392782,752.1091170
0.2900000,0.2900000,0.2900000,152.3972677,0.9562944,181.5422106,152.3972677,95.2085847,684.8641638
0.2925000,0.2925000,0.2925000,138.8787123,0.9394909,153.8135761,138.8787123,87.0002683,623.5554452
0.2950000,0.2950000,0.2950000,126.5820606,0.9230153,130.5913386,126.5820606,79.5432178,567.6750065
0.2975000,0.2975000,0.2975000,115.4015565,0.9068634,111.0318407,115.4015565,72.7720443,516.7558619
0.3000000,0.3000000,0.3000000,105.2400345,0.8910312,94.4094329,105.2400345,66.6266813,470.3690757
0.3025000,0.3025000,0.3025000,96.0083050,0.8755140,80.1331941,96.0083050,61.0520040,428.1209944
0.3050000,0.3050000,0.3050000,87.6245712,0.8603074,67.8071134,87.6245712,55.9974674,389.6506314
0.3075000,0.3075000,0.3075000,80.0138776,0.8454065,57.1949778,80.0138776,51.4167622,354.6272029
0.3100000,0.3100000,0.3100000,73.1075907,0.8308064,48.1135319,73.1075907,47.2674872,322.7478123
0.3125000,0.3125000,0.3125000,66.8429105,0.8165022,40.3784430,66.8429105,43.5108358,293.7352791
0.3150000,0.3150000,0.3150000,61.1624124,0.8024891,33.8057699,61.1624124,40.1112934,267.3361094
0.3175000,0.3175000,0.3175000,56.0136169,0.7887630,28.2245615,56.0136169,37.0363461,243.3186023
0.3200000,0.3200000,0.3200000,51.3485847,0.7753217,23.4837885,51.3485847,34.2562025,221.4710859
0.3225000,0.3225000,0.3225000,47.1235323,0.7621670,19.4537134,47.1235323,31.7435343,201.6002795
0.3250000,0.3250000,0.3250000,43.2984656,0.7493086,16.0243982,43.2984656,29.4732453,183.5297728
0.3275000,0.3275000,0.3275000,39.8368287,0.7367688,13.1030826,39.8368287,27.4222763,167.0986192
0.3300000,0.3300000,0.3300000,36.7051700,0.7245884,10.6112776,36.7051700,25.5694521,152.1600340
0.3325000,0.3325000,0.3325000,33.8728333,0.7128310,8.4820650,33.8728333,23.8953675,138.5801934
0.3350000,0.3350000,0.3350000,31.3116834,0.7015847,6.6579879,31.3116834,22.3823062,126.2371272
0.3375000,0.3375000,0.3375000,28.9958771,0.6909585,5.0897421,28.9958771,21.0141715,115.0196990
0.3400000,0.3400000,0.3400000,26.9016862,0.6810736,3.7355638,26.9016862,19.7764055,104.8266686
0.3425000,0.3425000,0.3425000,25.0073723,0.6720490,2.5609294,25.0073723,18.6558632,95.5658311
0.3450000,0.3450000,0.3450000,23.2931024,0.6639835,1.5381268,23.2931024,17.6406135,87.1532257
0.3475000,0.3475000,0.3475000,21.7408893,0.6569382,0.6454376,21.7408893,16.7196540,79.5124114
0.3500000,0.3500000,0.3500000,20.3345297,0.6509210,-0.1340489,20.3345297,15.8825642,72.5738002
0.3525000,0.3525000,0.3525000,19.0595155,0.6458761,-0.8137719,19.0595155,15.1191656,66.2740453
0.3550000,0.3550000,0.3550000,17.9028893,0.6416773,-1.4049466,17.9028893,14.4192917,60.5554741
0.3575000,0.3575000,0.3575000,16.8530302,0.6381229,-1.9175609,16.8530302,13.7727741,55.3655615
0.3600000,0.3600000,0.3600000,15.8993708,0.6349314,-2.3610521,15.8993708,13.1697111,50.6564379
0.3625000,0.3625000,0.3625000,15.0320753,0.6317395,-2.7446455,15.0320753,12.6009949,46.3844293
0.3650000,0.3650000,0.3650000,14.2417342,0.6281065,-3.0773671,14.2417342,12.0589716,42.5096346
0.3675000,0.3675000,0.3675000,13.5191461,0.6235349,-3.3678004,13.5191461,11.5380148,38.9955441
0.3700000,0.3700000,0.3700000,12.8552524,0.6175124,-3.6237178,12.8552524,11.0347974,35.8087112
0.3725000,0.3725000,0.3725000,12.2412618,0.6095787,-3.8517558,12.2412618,10.5481384,32.9184809
0.3750000,0.3750000,0.3750000,11.6689508,0.5994054,-4.0572626,11.6689508,10.0784708,30.2967791
0.3775000,0.3775000,0.3775000,11.1310697,0.5868700,-4.2443567,11.1310697,9.6271013,27.9179552
0.3800000,0.3800000,0.3800000,10.6217340,0.5720964,-4.4161395,10.6217340,9.1954825,25.7586650
0.3825000,0.3825000,0.3825000,10.1366680,0.5554407,-4.5749608,10.1366680,8.7846621,23.7977743
0.3850000,0.3850000,0.3850000,9.6732077,0.5374205,-4.7226478,9.6732077,8.3949841,22.0162612
0.3875000,0.3875000,0.3875000,9.2300517,0.5186101,-4.8606571,9.2300517,8.0260276,20.3970954
0.3900000,0.3900000,0.3900000,8.8068329,0.4995341,-4.9901676,8.8068329,7.6767182,18.9250778
0.3925000,0.3925000,0.3925000,8.4036340,0.4805932,-5.1121519,8.4036340,7.3455289,17.5866332
0.3950000,0.3950000,0.3950000,8.0205665,0.4620343,-5.2274455,8.0205665,7.0306977,16.3695544
0.3975000,0.3975000,0.3975000,7.6574829,0.4439620,-5.3367994,7.6574829,6.7304158,15.2627173
0.4000000,0.4000000,0.4000000,7.3138388,0.4263776,-5.4408936,7.3138388,6.4429664,14.2557907
0.4025000,0.4025000,0.4025000,6.9886769,0.4092247,-5.5403075,6.9886769,6.1668133,13.3389822
0.4050000,0.4050000,0.4050000,6.6806905,0.3924313,-5.6354636,6.6806905,5.9006527,12.5028581
0.4075000,0.4075000,0.4075000,6.3883266,0.3759383,-5.7265721,6.3883266,5.6434359,11.7382723
