# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2425000,0.2425000,0.2425000,1715.2153065
0.2675000,0.2675000,0.2675000,544.5905294
0.2925000,0.2925000,0.2925000,185.9347697
0.3175000,0.3175000,0.3175000,46.8187073
0.3425000,0.3425000,0.3425000,12.2203662
0.3675000,0.3675000,0.3675000,0.7543245
0.3925000,0.3925000,0.3925000,-3.4769653
0.4175000,0.4175000,0.4175000,-3.8203698
0.4425000,0.4425000,0.4425000,-3.3653912
0.4675000,0.4675000,0.4675000,-3.3038590
0.4925000,0.4925000,0.4925000,-3.4580240
0.5175000,0.5175000,0.5175000,-3.4632574
0.5425000,0.5425000,0.5425000,-3.2856586
0.5675000,0.5675000,0.5675000,-3.1200356
0.5925000,0.5925000,0.5925000,-3.0866640
0.6175000,0.6175000,0.6175000,-2.7444666
0.6425000,0.6425000,0.6425000,-2.3357620
0.6675000,0.6675000,0.6675000,-1.9499143
0.6925000,0.6925000,0.6925000,-1.5942738
0.7175000,0.7175000,0.7175000,-1.3034819
0.7425000,0.7425000,0.7425000,-1.0588681
0.7675000,0.7675000,0.7675000,-0.8446573
0.7925000,0.7925000,0.7925000,-0.6673763
0.8175000,0.8175000,0.8175000,-0.5293125
0.8425000,0.8425000,0.8425000,-0.4235101
0.8675000,0.8675000,0.8675000,-0.3421080
0.8925000,0.8925000,0.8925000,-0.2788622
0.9175000,0.9175000,0.9175000,-0.2291950
0.9425000,0.9425000,0.9425000,-0.1897931
0.9675000,0.9675000,0.9675000,-0.1582432
0.9925000,0.9925000,0.9925000,-0.1327666
1.0175000,1.0175000,1.0175000,-0.1120358
1.0425000,1.0425000,1.0425000,-0.0950479
1.0675000,1.0675000,1.0675000,-0.0810368
1.0925000,1.0925000,1.0925000,-0.0694118
1.1175000,1.1175000,1.1175000,-0.0597127
1.1425000,1.1425000,1.1425000,-0.0515786
1.1675000,1.1675000,1.1675000,-0.0447238
1.1925000,1.1925000,1.1925000,-0.0389207
1.2175000,1.2175000,1.2175000,-0.0339867
1.2425000,1.2425000,1.2425000,-0.0297748
1.2675000,1.2675000,1.2675000,-0.0261654
1.2925000,1.2925000,1.2925000,-0.0230611
1.3175000,1.3175000,1.3175000,-0.0203820
1.3425000,1.3425000,1.3425000,-0.0180621
1.3675000,1.3675000,1.3675000,-0.0160471
1.3925000,1.3925000,1.3925000,-0.0142916
1.4175000,1.4175000,1.4175000,-0.0127579
1.4425000,1.4425000,1.4425000,-0.0114142
1.4675000,1.4675000,1.4675000,-0.0102340
1.4925000,1.4925000,1.4925000,-0.0091946
1.5175000,1.5175000,1.5175000,-0.0082772
1.5425000,1.5425000,1.5425000,-0.0074655
1.5675000,1.5675000,1.5675000,-0.0067458
1.5925000,1.5925000,1.5925000,-0.0061062
