# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.2100000,0.2100000,0.2100000,1741.9532338,-3.3831178,inf,1741.9532338,1098.1864629,inf,98.7788812,inf,inf,inf,inf
0.2125000,0.2125000,0.2125000,1572.8952642,-3.3710288,inf,1572.8952642,989.3007895,inf,88.3396498,inf,inf,inf,inf
0.2150000,0.2150000,0.2150000,1422.3756850,-3.3583870,inf,1422.3756850,892.5056748,inf,79.0459927,inf,inf,inf,inf
0.2175000,0.2175000,0.2175000,1287.8270525,-3.3668413,1816.2034073,1287.8270525,806.1425606,inf,70.7545766,inf,inf,inf,inf
0.2200000,0.2200000,0.2200000,1156.0538510,-3.5584772,1520.8189173,1156.0538510,724.8374284,inf,63.3506620,inf,inf,inf,inf
0.2225000,0.2225000,0.2225000,1033.9823739,-3.5445333,1278.4107041,1033.9823739,647.1972932,inf,56.7417471,inf,inf,inf,inf
0.2250000,0.2250000,0.2250000,925.5734044,-3.5282557,1078.4728926,925.5734044,577.9694369,inf,50.8493203,inf,inf,inf,inf
0.2275000,0.2275000,0.2275000,829.2112387,-3.5115807,912.7863144,829.2112387,516.5080478,inf,45.6031728,inf,inf,inf,inf
0.2300000,0.2300000,0.2300000,743.4693462,-3.4945519,774.8776505,743.4693462,461.8962727,inf,40.9388581,inf,inf,inf,inf
0.2325000,0.2325000,0.2325000,667.1021471,-3.4772050,659.6162508,667.1021471,413.3254274,inf,36.7969726,inf,inf,inf,inf
0.2350000,0.2350000,0.2350000,599.0204624,-3.4595736,562.9112340,599.0204624,370.0885441,inf,33.1230198,1769.9097542,inf,inf,inf
0.2375000,0.2375000,0.2375000,538.2704822,-3.4416890,481.4822340,538.2704822,331.5669608,inf,29.8672712,1594.7386892,inf,inf,inf
0.2400000,0.2400000,0.2400000,484.0157570,-3.4235808,412.6846530,484.0157570,297.2185070,inf,26.9844820,1437.8848296,inf,inf,inf
0.2425000,0.2425000,0.2425000,435.5217446,-3.4052764,354.3755619,435.5217446,266.5672911,1850.3849307,24.4334999,1297.3084068,inf,inf,inf
0.2450000,0.2450000,0.2450000,392.1425161,-3.3868014,304.8100630,392.1425161,239.1948208,1670.9754818,22.1768459,1171.2128815,inf,inf,inf
0.2475000,0.2475000,0.2475000,353.3092653,-3.3681788,262.5596142,353.3092653,214.7322460,1509.8904416,20.1803428,1058.0138844,inf,inf,inf
0.2500000,0.2500000,0.2500000,318.5202964,-3.3494281,226.4403045,318.5202964,192.8536318,1365.1394295,18.4128443,956.3123942,inf,inf,inf
0.2525000,0.2525000,0.2525000,287.3322111,-3.3305624,195.4361346,287.3322111,173.2702771,1234.9670976,16.8460867,864.8715371,inf,inf,inf
0.2550000,0.2550000,0.2550000,259.3521280,-3.3115865,168.6422623,259.3521280,155.7261327,1117.8195286,15.4546332,782.5964852,inf,inf,inf
0.2575000,0.2575000,0.2575000,234.2309339,-3.2924947,145.3131790,234.2309339,139.9942808,1012.3195189,14.2158395,708.5170036,inf,inf,inf
0.2600000,0.2600000,0.2600000,211.6577143,-3.2732738,124.9574651,211.6577143,125.8742536,917.2450953,13.1097434,641.7722294,inf,inf,inf
0.2625000,0.2625000,0.2625000,191.3555042,-3.2539103,107.2676088,191.3555042,113.1897954,831.5107993,12.1188168,581.5972137,inf,inf,inf
0.2650000,0.2650000,0.2650000,173.0782779,-3.2344019,91.9725115,173.0782779,101.7866436,754.1512610,11.2275881,527.3106556,inf,inf,inf
0.2675000,0.2675000,0.2675000,156.6087401,-3.2147675,78.7893099,156.6087401,91.5300733,684.3064092,10.4222370,478.3033106,inf,inf,inf
0.2700000,0.2700000,0.2700000,141.7562401,-3.1950499,67.4393637,141.7562401,82.3022257,621.2073507,9.6902928,434.0271764,inf,inf,inf
0.2725000,0.2725000,0.2725000,128.3542352,-3.1753091,57.6661532,128.3542352,73.9994447,564.1620977,9.0205162,393.9867871,inf,inf,inf
