# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2100000,0.2100000,0.2100000,1539.7271502
0.2350000,0.2350000,0.2350000,421.3832124
0.2600000,0.2600000,0.2600000,120.0960531
0.2850000,0.2850000,0.2850000,31.9373688
0.3100000,0.3100000,0.3100000,5.5722953
0.3350000,0.3350000,0.3350000,-1.8516509
0.3600000,0.3600000,0.3600000,-3.5714453
0.3850000,0.3850000,0.3850000,-3.7272512
0.4100000,0.4100000,0.4100000,-3.4668293
0.4350000,0.4350000,0.4350000,-3.1277920
0.4600000,0.4600000,0.4600000,-2.7255441
0.4850000,0.4850000,0.4850000,-2.3718864
0.5100000,0.5100000,0.5100000,-2.1117599
0.5350000,0.5350000,0.5350000,-1.8804363
0.5600000,0.5600000,0.5600000,-1.5756858
0.5850000,0.5850000,0.5850000,-1.2560555
0.6100000,0.6100000,0.6100000,-0.9804929
0.6350000,0.6350000,0.6350000,-0.7637584
0.6600000,0.6600000,0.6600000,-0.5982225
0.6850000,0.6850000,0.6850000,-0.4723233
0.7100000,0.7100000,0.7100000,-0.3761087
0.7350000,0.7350000,0.7350000,-0.3020005
0.7600000,0.7600000,0.7600000,-0.2444230
0.7850000,0.7850000,0.7850000,-0.1993008
0.8100000,0.8100000,0.8100000,-0.1636446
0.8350000,0.8350000,0.8350000,-0.1352460
0.8600000,0.8600000,0.8600000,-0.1124594
0.8850000,0.8850000,0.8850000,-0.0940482
0.9100000,0.9100000,0.9100000,-0.0790745
0.9350000,0.9350000,0.9350000,-0.0668213
0.9600000,0.9600000,0.9600000,-0.0567360
0.9850000,0.9850000,0.9850000,-0.0483896
1.0100000,1.0100000,1.0100000,-0.0414465
1.0350000,1.0350000,1.0350000,-0.0356425
1.0600000,1.0600000,1.0600000,-0.0307683
1.0850000,1.0850000,1.0850000,-0.0266568
1.1100000,1.1100000,1.1100000,-0.0231743
1.1350000,1.1350000,1.1350000,-0.0202128
1.1600000,1.1600000,1.1600000,-0.0176849
1.1850000,1.1850000,1.1850000,-0.0155193
1.2100000,1.2100000,1.2100000,-0.0136576
1.2350000,1.2350000,1.2350000,-0.0120521
1.2600000,1.2600000,1.2600000,-0.0106630
1.2850000,1.2850000,1.2850000,-0.0094577
1.3100000,1.3100000,1.3100000,-0.0084087
1.3350000,1.3350000,1.3350000,-0.0074932
1.3600000,1.3600000,1.3600000,-0.0066922
1.3850000,1.3850000,1.3850000,-0.0059896
1.4100000,1.4100000,1.4100000,-0.0053717
1.4350000,1.4350000,1.4350000,-0.0048270
1.4600000,1.4600000,1.4600000,-0.0043458
1.4850000,1.4850000,1.4850000,-0.0039198
1.5100000,1.5100000,1.5100000,-0.0035418
1.5350000,1.5350000,1.5350000,-0.0032057
1.5600000,1.5600000,1.5600000,-0.0029063
1.5850000,1.5850000,1.5850000,-0.0026390
