# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1950000,0.1950000,0.1950000,1824.3498762,4.6461925,147.7665124,1824.3498762,1182.5733493,inf,113.7922722,inf,inf,inf,inf
0.1975000,0.1975000,0.1975000,1594.7063831,4.6026071,125.4289964,1594.7063831,1034.1952491,inf,99.1442878,inf,inf,inf,inf
0.2000000,0.2000000,0.2000000,1395.5112031,4.5593781,107.0905142,1395.5112031,905.5353481,inf,86.5295459,inf,inf,inf,inf
0.2025000,0.2025000,0.2025000,1222.5239406,4.5165255,91.9040778,1222.5239406,793.8418669,inf,75.6418047,inf,inf,inf,inf
0.2050000,0.2050000,0.2050000,1072.1232108,4.4740746,79.2311464,1072.1232108,696.7655314,inf,66.2195701,inf,inf,inf,inf
0.2075000,0.2075000,0.2075000,941.2124587,4.4320537,68.5795268,941.2124587,612.2933599,inf,58.0392384,inf,inf,inf,inf
0.2100000,0.2100000,0.2100000,827.1405151,4.3904911,59.5568981,827.1405151,538.6794657,inf,50.9105165,inf,inf,inf,inf
0.2125000,0.2125000,0.2125000,727.6345370,4.3494151,51.8413963,727.6345370,474.3745169,inf,44.6739441,inf,inf,inf,inf
0.2150000,0.2150000,0.2150000,640.7430608,4.3088929,45.1724323,640.7430608,418.0102449,inf,39.1990610,1830.2163376,inf,inf,inf
0.2175000,0.2175000,0.2175000,564.7852032,4.2693436,39.3522161,564.7852032,368.4816003,inf,34.3812790,1614.5755254,inf,inf,inf
0.2200000,0.2200000,0.2200000,498.2979884,4.2327293,34.2411321,498.2979884,324.9732848,inf,30.1368173,1425.7123377,inf,inf,inf
0.2225000,0.2225000,0.2225000,439.9799485,4.2042782,29.7417778,439.9799485,286.8303294,1781.2558055,26.3969204,1260.1344689,inf,inf,inf
0.2250000,0.2250000,0.2250000,388.6667090,4.1900488,25.7806724,388.6667090,253.4472845,1574.7811554,23.1030811,1114.8273252,inf,inf,inf
0.2275000,0.2275000,0.2275000,343.3858799,4.1874992,22.2962152,343.3858799,224.2513437,1393.4061409,20.2040448,987.1855395,inf,inf,inf
0.2300000,0.2300000,0.2300000,303.4086580,4.1846841,19.2335689,303.4086580,198.7167958,1233.9279441,17.6543041,874.9547377,inf,inf,inf
0.2325000,0.2325000,0.2325000,268.1745715,4.1730665,16.5431824,268.1745715,176.3739786,1093.5724422,15.4133846,776.1819754,inf,inf,inf
0.2350000,0.2350000,0.2350000,237.1821885,4.1519684,14.1803032,237.1821885,156.8097710,969.9340556,13.4453793,689.1735150,inf,inf,inf
0.2375000,0.2375000,0.2375000,209.9525798,4.1239775,12.1044674,209.9525798,139.6636372,860.9244089,11.7184808,612.4587849,inf,inf,inf
0.2400000,0.2400000,0.2400000,186.0370970,4.0916409,10.2788948,186.0370970,124.6220653,764.7284724,10.2044876,544.7592317,inf,inf,inf
0.2425000,0.2425000,0.2425000,165.0281186,4.0567058,8.6699867,165.0281186,111.4127346,679.7669701,8.8783401,484.9596368,inf,inf,inf
0.2450000,0.2450000,0.2450000,146.5627626,4.0202513,7.2471193,146.5627626,99.7989113,604.6632378,7.7177385,432.0779793,inf,inf,inf
0.2475000,0.2475000,0.2475000,130.3215570,3.9829278,5.9828156,130.3215570,89.5742254,538.2097794,6.7028452,385.2346166,inf,inf,inf
0.2500000,0.2500000,0.2500000,116.0247889,3.9451304,4.8531916,116.0247889,80.5579476,479.3272252,5.8160377,343.6376796,inf,inf,inf
0.2525000,0.2525000,0.2525000,103.4280667,3.9071060,3.8383979,103.4280667,72.5910101,427.0247664,5.0416754,306.6050601,inf,inf,inf
0.2550000,0.2550000,0.2550000,92.3177681,3.8690231,2.9227478,92.3177681,65.5330932,380.4123227,4.3658620,273.5961414,inf,inf,inf
0.2575000,0.2575000,0.2575000,82.5066608,3.8310233,2.0943723,82.5066608,59.2609405,338.7820591,3.7762161,244.1931611,inf,inf,inf
0.2600000,0.2600000,0.2600000,73.8299075,3.7932623,1.3444773,73.8299075,53.6676604,301.6289664,3.2616786,218.0428584,inf,inf,inf
0.2625000,0.2625000,0.2625000,66.1417339,3.7559320,0.6664368,66.1417339,48.6623622,268.5494682,2.8123763,194.8168367,inf,inf,inf
0.2650000,0.2650000,0.2650000,59.3130453,3.7192514,0.0549586,59.3130453,44.1693908,239.1562362,2.4195443,174.2034614,inf,inf,inf
0.2675000,0.2675000,0.2675000,53.2300780,3.6834255,-0.4945406,53.2300780,40.1267592,213.0661691,2.0754817,155.9123099,inf,inf,inf
0.2700000,0.2700000,0.2700000,47.7938231,3.6485913,-0.9863280,47.7938231,36.4838937,189.9149448,1.7735082,139.6784713,inf,inf,inf
0.2725000,0.2725000,0.2725000,42.9196667,3.6147842,-1.4245600,42.9196667,33.1991326,169.3680947,1.5078901,125.2639038,inf,inf,inf
0.2750000,0.2750000,0.2750000,38.5366858,3.5819473,-1.8133614,38.5366858,30.2374277,151.1248688,1.2737249,112.4565606,inf,inf,inf
0.2775000,0.2775000,0.2775000,34.5863176,3.5499733,-2.1568296,34.5863176,27.5685015,134.9177537,1.0667977,101.0683152,inf,inf,inf
0.2800000,0.2800000,0.2800000,31.0204866,3.5187524,-2.4589997,31.0204866,25.1655160,120.5100317,0.8834393,90.9323764,inf,inf,inf
0.2825000,0.2825000,0.2825000,27.7995023,3.4881985,-2.7237986,27.7995023,23.0041863,107.6926276,0.7204198,81.9006194,1708.1584414,inf,inf
0.2850000,0.2850000,0.2850000,24.8900504,3.4582535,-2.9550000,24.8900504,21.0622334,96.2807996,0.5748947,73.8411467,1542.2461235,inf,inf
0.2875000,0.2875000,0.2875000,22.2634949,3.4288765,-3.1561833,22.2634949,19.3190728,86.1109339,0.4443990,66.6363235,1393.3973535,inf,inf
0.2900000,0.2900000,0.2900000,19.8945770,3.4000352,-3.3306933,19.8945770,17.7556535,77.0376209,0.3268658,60.1814169,1259.7587953,inf,inf
0.2925000,0.2925000,0.2925000,17.7605007,3.3717014,-3.4816002,17.7605007,16.3543803,68.9312019,0.2206383,54.3837816,1139.6896331,inf,inf
0.2950000,0.2950000,0.2950000,15.8403458,3.3438530,-3.6116653,15.8403458,15.0990687,61.6759371,0.1244535,49.1623697,1031.7358994,inf,inf
0.2975000,0.2975000,0.2975000,14.1147286,3.3164750,-3.7233263,14.1147286,13.9749000,55.1688198,0.0373896,44.4472711,934.6080228,inf,inf
0.3000000,0.3000000,0.3000000,12.5656321,3.2895603,-3.8187087,12.5656321,12.9683603,49.3188826,-0.0412176,40.1790459,847.1611909,inf,inf
0.3025000,0.3025000,0.3025000,11.1763313,3.2631074,-3.8996643,11.1763313,12.0671618,44.0467079,-0.1118750,36.3077443,768.3781735,inf,inf
0.3050000,0.3050000,0.3050000,9.9313614,3.2371183,-3.9678275,9.9313614,11.2601540,39.2838573,-0.1750332,32.7916401,697.3542918,inf,inf
0.3075000,0.3075000,0.3075000,8.8164863,3.2115972,-4.0246714,8.8164863,10.5372360,34.9720509,-0.2311725,29.5957999,633.2842504,inf,inf
0.3100000,0.3100000,0.3100000,7.8186536,3.1865519,-4.0715501,7.8186536,9.8892763,31.0620751,-0.2808599,26.6906450,575.4505170,inf,inf
0.3125000,0.3125000,0.3125000,6.9259316,3.1619946,-4.1097178,6.9259316,9.3080436,27.5125039,-0.3247653,24.0506516,523.2127508,inf,inf
0.3150000,0.3150000,0.3150000,6.1274383,3.1379425,-4.1403242,6.1274383,8.7861444,24.2883477,-0.3636353,21.6532884,475.9974812,inf,inf
0.3175000,0.3175000,0.3175000,5.4132732,3.1144159,-4.1643923,5.4132732,8.3169624,21.3597459,-0.3982383,19.4782284,433.2874773,inf,inf
0.3200000,0.3200000,0.3200000,4.7744553,3.0914334,-4.1827925,4.7744553,7.8945935,18.7007939,-0.4293053,17.5068176,394.6119686,inf,inf
0.3225000,0.3225000,0.3225000,4.2028711,3.0690064,-4.1962220,4.2028711,7.5137754,16.2885710,-0.4574866,15.7217547,359.5414532,inf,inf
0.3250000,0.3250000,0.3250000,3.6912240,3.0471348,-4.2051995,3.6912240,7.1698132,14.1023999,-0.4833265,14.1069163,327.6906627,inf,inf
0.3275000,0.3275000,0.3275000,3.2329817,3.0258039,-4.2100780,3.2329817,6.8585087,12.1233311,-0.5072476,12.6472730,298.7268004,inf,inf
0.3300000,0.3300000,0.3300000,2.8223147,3.0049849,-4.2110719,2.8223147,6.5761006,10.3338186,-0.5295357,11.3288461,272.3724826,inf,inf
0.3325000,0.3325000,0.3325000,2.4540264,2.9846380,-4.2082942,2.4540264,6.3192237,8.7175355,-0.5503289,10.1386773,248.3963078,inf,inf
0.3350000,0.3350000,0.3350000,2.1234793,2.9647163,-4.2017954,2.1234793,6.0848850,7.2592772,-0.5696228,9.0647933,226.5966757,inf,inf
0.3375000,0.3375000,0.3375000,1.8265236,2.9451705,-4.1915995,1.8265236,5.8704537,5.9449061,-0.5872959,8.0961650,206.7889703,inf,inf
0.3400000,0.3400000,0.3400000,1.5594370,2.9259517,-4.1777324,1.5594370,5.6736538,4.7613113,-0.6031519,7.2226617,188.7997600,inf,inf
0.3425000,0.3425000,0.3425000,1.3188812,2.9070148,-4.1602420,1.3188812,5.4925507,3.6963657,-0.6169700,6.4350048,172.4657507,inf,inf
0.3450000,0.3450000,0.3450000,1.1018745,2.8883189,-4.1392091,1.1018745,5.3255251,2.7388808,-0.6285494,5.7247247,157.6344174,inf,inf
0.3475000,0.3475000,0.3475000,0.9057777,2.8698286,-4.1147523,0.9057777,5.1712315,1.8785598,-0.6377419,5.0841182,144.1646358,1737.4678928,inf
0.3500000,0.3500000,0.3500000,0.7282840,2.8515136,-4.0870262,0.7282840,5.0285440,1.1059554,-0.6444692,4.5062047,131.9268107,1593.8603587,inf
0.3525000,0.3525000,0.3525000,0.5674051,2.8333484,-4.0562176,0.5674051,4.8964953,0.4124303,-0.6487268,3.9846785,120.8025231,1462.8772369,inf
0.3550000,0.3550000,0.3550000,0.4214489,2.8153122,-4.0225385,0.4214489,4.7742173,-0.2098788,-0.6505775,3.5138554,110.6838654,1343.3409475,inf
0.3575000,0.3575000,0.3575000,0.2889847,2.7973878,-3.9862188,0.2889847,4.6608920,-0.7680998,-0.6501405,3.0886148,101.4726414,1234.1900453,inf
0.3600000,0.3600000,0.3600000,0.1687987,2.7795608,-3.9475000,0.1687987,4.5557207,-1.2686702,-0.6475764,2.7043405,93.0795698,1134.4671838,inf
0.3625000,0.3625000,0.3625000,0.0598431,2.7618183,-3.9066278,0.0598431,4.4579114,-1.7173889,-0.6430738,2.3568651,85.4235836,1043.3083955,inf
0.3650000,0.3650000,0.3650000,-0.0388142,2.7441476,-3.8638476,-0.0388142,4.3666842,-2.1194758,-0.6368366,2.0424225,78.4312615,959.9335292,inf
0.3675000,0.3675000,0.3675000,-0.1280335,2.7265356,-3.8193991,-0.1280335,4.2812861,-2.4796327,-0.6290737,1.7576116,72.0363799,883.6377048,inf
0.3700000,0.3700000,0.3700000,-0.2086332,2.7089685,-3.7735137,-0.2086332,4.2010135,-2.8021023,-0.6199913,1.4993704,66.1795426,813.7836582,inf
0.3725000,0.3725000,0.3725000,-0.2814073,2.6914322,-3.7264111,-0.2814073,4.1252354,-3.0907185,-0.6097871,1.2649589,60.8078283,749.7948406,inf
0.3750000,0.3750000,0.3750000,-0.3471280,2.6739137,-3.6782985,-0.3471280,4.0534160,-3.3489457,-0.5986467,1.0519444,55.8744026,691.1490628,inf
0.3775000,0.3775000,0.3775000,-0.4065394,2.6564022,-3.6293687,-0.4065394,3.9851309,-3.5799070,-0.5867410,0.8581864,51.3380596,637.3723812,inf
0.3800000,0.3800000,0.3800000,-0.4603435,2.6388907,-3.5798002,-0.4603435,3.9200750,-3.7864030,-0.5742252,0.6818162,47.1626835,588.0329472,inf
0.3825000,0.3825000,0.3825000,-0.5091839,2.6213774,-3.5297566,-0.5091839,3.8580584,-3.9709270,-0.5612386,0.5212095,43.3166463,542.7349859,inf
0.3850000,0.3850000,0.3850000,-0.5536280,2.6038670,-3.4793873,-0.5536280,3.7989915,-4.1356803,-0.5479049,0.3749524,39.7721775,501.1139186,inf
0.3875000,0.3875000,0.3875000,-0.5941540,2.5863708,-3.4288275,-0.5941540,3.7428611,-4.2825917,-0.5343327,0.2418039,36.5047481,462.8342915,inf
0.3900000,0.3900000,0.3900000,-0.6311426,2.5689073,-3.3781992,-0.6311426,3.6897033,-4.4133429,-0.5206170,0.1206573,33.4925061,427.5914537,inf
0.3925000,0.3925000,0.3925000,-0.6648781,2.5515008,-3.3276119,-0.6648781,3.6395752,-4.5294010,-0.5068399,0.0105061,30.7157925,395.1152966,inf
0.3950000,0.3950000,0.3950000,-0.6955570,2.5341798,-3.2771632,-0.6955570,3.5925319,-4.6320537,-0.4930718,-0.0895835,28.1567455,365.1717980,inf
0.3975000,0.3975000,0.3975000,-0.7233037,2.5169753,-3.2269396,-0.7233037,3.5486083,-4.7224463,-0.4793729,-0.1804909,25.7989944,337.5591804,inf
0.4000000,0.4000000,0.4000000,-0.7481899,2.4999186,-3.1770179,-0.7481899,3.5078079,-4.8016157,-0.4657937,-0.2630507,23.6274311,312.0999475,inf
0.4025000,0.4025000,0.4025000,-0.7702552,2.4830392,-3.1274652,-0.7702552,3.4700974,-4.8705181,-0.4523770,-0.3380538,21.6280437,288.6328847,inf
0.4050000,0.4050000,0.4050000,-0.7895256,2.4663633,-3.0783404,-0.7895256,3.4354067,-4.9300493,-0.4391577,-0.4062428,19.7877974,267.0078331,inf
0.4075000,0.4075000,0.4075000,-0.8060292,2.4499130,-3.0296945,-0.8060292,3.4036313,-4.9810570,-0.4261649,-0.4683028,18.0945476,247.0833890,inf
0.4100000,0.4100000,0.4100000,-0.8198066,2.4337057,-2.9815716,-0.8198066,3.3746385,-5.0243450,-0.4134218,-0.5248513,16.5369743,228.7263598,1854.0422686
0.4125000,0.4125000,0.4125000,-0.8309179,2.4177536,-2.9340095,-0.8309179,3.3482730,-5.0606712,-0.4009469,-0.5764293,15.1045299,211.8118629,1721.1079309
0.4150000,0.4150000,0.4150000,-0.8394450,2.4020649,-2.8870401,-0.8394450,3.3243635,-5.0907414,-0.3887545,-0.6234956,13.7873947,196.2234588,1598.0547069
0.4175000,0.4175000,0.4175000,-0.8454919,2.3866431,-2.8406903,-0.8454919,3.3027291,-5.1152008,-0.3768553,-0.6664265,12.5764388,181.8531007,1484.3781280
0.4200000,0.4200000,0.4200000,-0.8491819,2.3714888,-2.7949823,-0.8491819,3.2831843,-5.1346257,-0.3652569,-0.7055207,11.4631861,168.6008804,1379.3186066
0.4225000,0.4225000,0.4225000,-0.8506545,2.3565994,-2.7499344,-0.8506545,3.2655438,-5.1495179,-0.3539644,-0.7410087,10.4397817,156.3746255,1282.1817398
0.4250000,0.4250000,0.4250000,-0.8500611,2.3419703,-2.7055610,-0.8500611,3.2496263,-5.1603029,-0.3429803,-0.7730659,9.4989589,145.0894147,1192.3323895
0.4275000,0.4275000,0.4275000,-0.8475609,2.3275950,-2.6618732,-0.8475609,3.2352567,-5.1673321,-0.3323056,-0.8018267,8.6340079,134.6670711,1109.1893298
0.4300000,0.4300000,0.4300000,-0.8433166,2.3134662,-2.6188792,-0.8433166,3.2222688,-5.1708905,-0.3219395,-0.8273985,7.8387421,125.0356786,1032.2203852
0.4325000,0.4325000,0.4325000,-0.8374916,2.2995756,-2.5765847,-0.8374916,3.2105060,-5.1712058,-0.3118798,-0.8498748,7.1074646,116.1291482,960.9379554
0.4350000,0.4350000,0.4350000,-0.8302464,2.2859146,-2.5349930,-0.8302464,3.1998227,-5.1684612,-0.3021233,-0.8693449,6.4349333,107.8868409,894.8947735
0.4375000,0.4375000,0.4375000,-0.8217367,2.2724744,-2.4941055,-0.8217367,3.1900842,-5.1628072,-0.2926657,-0.8859018,5.8163262,100.2532440,833.6797215
0.4400000,0.4400000,0.4400000,-0.8121117,2.2592463,-2.4539216,-0.8121117,3.1811671,-5.1543736,-0.2835022,-0.8996469,5.2472083,93.1776835,776.9136293
0.4425000,0.4425000,0.4425000,-0.8015122,2.2462218,-2.4144394,-0.8015122,3.1729588,-5.1432786,-0.2746271,-0.9106921,4.7235004,86.6140536,724.2452826
0.4450000,0.4450000,0.4450000,-0.7900706,2.2333926,-2.3756553,-0.7900706,3.1653575,-5.1296370,-0.2660345,-0.9191612,4.2414510,80.5205419,675.3483035
0.4475000,0.4475000,0.4475000,-0.7779099,2.2207510,-2.3375648,-0.7779099,3.1582710,-5.1135654,-0.2577179,-0.9251883,3.7976129,74.8593397,629.9198175
0.4500000,0.4500000,0.4500000,-0.7651434,2.2082895,-2.3001622,-0.7651434,3.1516170,-5.0951857,-0.2496706,-0.9289163,3.3888222,69.5963278,587.6813958
0.4525000,0.4525000,0.4525000,-0.7518753,2.1960010,-2.2634409,-0.7518753,3.1453217,-5.0746261,-0.2418857,-0.9304949,3.0121804,64.7007429,548.3814186
0.4550000,0.4550000,0.4550000,-0.7382004,2.1838790,-2.2273937,-0.7382004,3.1393194,-5.0520219,-0.2343561,-0.9300776,2.6650385,60.1448324,511.7965487
0.4575000,0.4575000,0.4575000,-0.7242047,2.1719173,-2.1920124,-0.7242047,3.1335520,-5.0275141,-0.2270747,-0.9278197,2.3449820,55.9035114,477.7301336
0.4600000,0.4600000,0.4600000,-0.7099657,2.1601102,-2.1572885,-0.7099657,3.1279682,-5.0012481,-0.2200343,-0.9238759,2.0498145,51.9540343,446.0074885
0.4625000,0.4625000,0.4625000,-0.6955531,2.1484522,-2.1232130,-0.6955531,3.1225228,-4.9733720,-0.2132277,-0.9183983,1.7775413,48.2756940,416.4701139
0.4650000,0.4650000,0.4650000,-0.6810292,2.1369385,-2.0897764,-0.6810292,3.1171763,-4.9440345,-0.2066478,-0.9115347,1.5263518,44.8495535,388.9710122
0.4675000,0.4675000,0.4675000,-0.6664491,2.1255643,-2.0569691,-0.6664491,3.1118941,-4.9133833,-0.2002875,-0.9034273,1.2946009,41.6582159,363.3719347
0.4700000,0.4700000,0.4700000,-0.6518620,2.1143254,-2.0247808,-0.6518620,3.1066466,-4.8815630,-0.1941399,-0.8942117,1.0807902,38.6856301,339.5422070
