# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,906756.8643509,828964928.8132905,531087327.6950073,3348624106.6229777,51021238.9795885,2356787427.7753448,42847357738.0824432,442147603344.7540894,3117408106486.2900391
0.0025000,0.0025000,0.0025000,inf,nan,964638.2609491,821999330.9294013,526624684.8796687,3320486817.1143627,50592478.8599874,2336984169.2977180,42487332969.7319946,438432483898.4786377,3091214363910.1850586
0.0050000,0.0050000,0.0050000,inf,nan,1153056.6131480,801907955.5632185,513752762.1366575,3239328422.6159654,49355774.8443237,2279864215.2398310,41448888353.6173172,427716709843.8181763,3015661981100.4414062
0.0075000,0.0075000,0.0075000,inf,nan,1509677.8931117,769795451.2981029,493179275.8064173,3109611090.6838870,47379124.9771404,2188568077.0416064,39789118392.4761047,410589443192.3226318,2894904894212.2226562
0.0100000,0.0100000,0.0100000,inf,nan,2109120.6249299,727369745.3279531,465998445.2212211,2938233901.2711267,44767662.7329725,2067951385.7416952,37596298486.6178665,387961603790.8994751,2735365620169.0903320
0.0125000,0.0125000,0.0125000,inf,nan,3085050.2076124,676713692.7683508,433544731.3463204,2733609836.4554930,41649621.2496216,1923935296.7087462,34978054807.4521255,360943626120.8144531,2544872429764.8422852
0.0150000,0.0150000,0.0150000,inf,nan,4672664.8298551,620169653.5841216,397318759.7508666,2505201663.9891157,38169154.9741333,1763179744.0827363,32055496692.0978889,330785504288.3995361,2332239965506.7382812
0.0175000,0.0175000,0.0175000,inf,nan,7290028.0963634,560258505.0660807,358935604.6631082,2263191968.6613150,34481450.7479482,1592851334.0989847,28958900335.3060989,298831461680.6672974,2106945192216.9584961
0.0200000,0.0200000,0.0200000,inf,nan,11696899.7778758,499278983.8158283,319867997.8652695,2016866393.6739407,30728007.7419565,1419485380.5478265,25807078036.6332283,266307530841.4196777,1877632355098.1105957
0.0225000,0.0225000,0.0225000,inf,nan,19314375.1785941,439246194.8284730,281406955.8854004,1774364875.2584968,27032865.0311086,1248810838.6519887,22704182596.9030457,234288472192.7592773,1651879143088.7702637
0.0250000,0.0250000,0.0250000,inf,nan,32891753.4377833,381801606.7347329,244604116.6464040,1542318072.4358799,23497061.3415660,1085494421.2749612,19735055338.4501457,203649769924.4056396,1435858231855.4709473
0.0275000,0.0275000,0.0275000,inf,nan,57956212.6958785,328173367.4847976,210246315.0334906,1325687062.7140937,20196192.4147772,933027775.4501636,16963174952.0045681,175046465963.2471619,1234188050858.1455078
0.0300000,0.0300000,0.0300000,inf,nan,106113968.4995028,279180475.8070808,178858255.6290909,1127780190.3335423,17180668.0178374,793739340.3949161,14430873046.7405548,148915384188.9956055,1049948465263.2519531
0.0325000,0.0325000,0.0325000,inf,nan,202973535.9275234,235270141.7826985,150726448.7663164,950403979.9857439,14478011.9668877,668900561.9492548,12161265098.1309319,125495055948.6249542,884821262326.1824951
0.0350000,0.0350000,0.0350000,inf,nan,380436330.4883690,196576195.0973483,125936631.2063854,794099071.6134819,12096457.7514767,558891945.5695546,10161269262.5812492,104856871343.7753296,739309786025.6387939
0.0375000,0.0375000,0.0375000,inf,nan,196779616.6215829,162987135.4242911,104417364.2167995,658415104.4254552,10029137.6541635,463396522.0979419,8425123561.0767021,86941373230.9398651,612994830840.3825684
0.0400000,0.0400000,0.0400000,inf,nan,107374261.5309557,134214571.3285825,85983880.5187196,542187170.7993886,8258295.7343517,381594418.4156566,6937923156.0615807,71594758578.6726379,504791997539.0039673
0.0425000,0.0425000,0.0425000,inf,nan,62132054.7671344,109855555.6767054,70378020.8533815,443787615.9694357,6759125.0480017,312340076.2315779,5678842178.3834352,58602124690.8000565,413186098403.8118896
0.0450000,0.0450000,0.0450000,inf,nan,39102312.7426915,89445054.2901251,57301849.1577874,361337981.9783640,5502997.4542368,254311420.0483643,4623845596.8390417,47715453159.3336487,336428460405.4603882
0.0475000,0.0475000,0.0475000,inf,nan,28555055.2801369,72497074.1549599,46444002.2078072,292875142.9364349,4459995.3024291,206126784.5663784,3747814959.8098607,38675545536.2585678,272691584489.0094910
0.0500000,0.0500000,0.0500000,inf,nan,20099457.0535631,58534648.5516818,37498900.1834265,236472428.7277447,3600757.1595244,166430162.5633783,3026098207.3027849,31228015958.3453293,220181902927.7345276
0.0525000,0.0525000,0.0525000,inf,nan,12442796.1612587,47109921.5572918,30179614.1692158,190320755.8787926,2897714.0695366,133948305.4677451,2435547767.7071199,25134003353.6631737,177215306657.3390503
0.0550000,0.0550000,0.0550000,inf,nan,7907135.9407343,37816089.4823461,24225516.6182288,152776865.0718050,2325824.5443675,107524673.3047280,1955137777.6214781,20176540594.0207176,142262051549.7426147
0.0575000,0.0575000,0.0575000,inf,nan,5143257.6313553,30293081.0882157,19405920.4304729,122386266.8367137,1862924.1336866,86135584.0426231,1566257687.1914842,16163584248.6591797,113968119977.5895691
0.0600000,0.0600000,0.0600000,inf,nan,3416085.4476903,24228731.8576038,15520831.2039978,97887985.6932893,1489797.6281550,68893552.5342715,1252772971.9310071,12928641093.2752457,91159638098.7193298
