# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,3800053.1885734,5165995647.3651495,3309708708.9957800,20867700081.7531471,318002402.0323182,14686867689.9787941,267005818160.8459167,2755241845514.4418945,19426019667743.1328125
0.0025000,0.0025000,0.0025000,inf,nan,2590000.5707419,3024204605.1762056,1937522879.4099696,12216073624.1756496,186158785.0751188,8597778750.0417252,156306310106.1699219,1612925220783.4653320,11372013256409.9843750
0.0050000,0.0050000,0.0050000,inf,nan,1831929.8103588,1810527745.2311842,1159954987.2051234,7313491088.0430212,111448681.3172641,5147299607.2216511,93576387815.3038483,965608892666.8354492,6808044315446.9531250
0.0075000,0.0075000,0.0075000,inf,nan,1362144.8221038,1106802913.5688179,709099688.3065279,4470819448.1040363,68130472.3545825,3146603728.6550384,57203315106.1109848,590269828812.6422119,4161670575718.3530273
0.0100000,0.0100000,0.0100000,inf,nan,1086256.7137817,690062426.9531630,442107595.5019329,2787397573.1210585,42478565.7734719,1961797996.5966918,35662969182.5356140,367989887063.6932983,2594449546772.6958008
0.0125000,0.0125000,0.0125000,inf,nan,951955.2061774,438459190.1890852,280914611.8873278,1771032632.1747680,26992266.4044007,1246472854.0216832,22657638878.7421646,233782512021.6585083,1648187615022.8815918
0.0150000,0.0150000,0.0150000,inf,nan,850401.7677186,283874249.3714052,181878839.0012263,1146562214.2093256,17478332.0356793,806966651.0098530,14666548123.8423328,151316461245.1071472,1066727637169.9796143
0.0175000,0.0175000,0.0175000,inf,nan,646412.6571792,187414644.8762425,120082699.8039004,756879892.1629816,11542642.3376677,532706572.8901780,9679462571.8455124,99847825026.8220520,703812083467.7026367
0.0200000,0.0200000,0.0200000,inf,nan,525528.5644650,126436924.8354075,81019249.2314816,510517735.0594404,7791379.6012378,359316755.5832577,6525999269.1306906,67299135709.3972321,474286728850.9821167
0.0225000,0.0225000,0.0225000,inf,nan,466533.8815777,87518830.2708032,56089321.2452347,353255973.0924132,5398374.1905268,248636921.0883899,4512367434.0801859,46510874675.6578140,327671590806.9762573
0.0250000,0.0250000,0.0250000,inf,nan,459196.5522654,62013583.6285790,39739532.8902817,250365152.3191015,3822341.6999926,176215476.4368815,3199581316.9400201,32989389898.0123444,232460223153.6388550
0.0275000,0.0275000,0.0275000,inf,nan,397292.0653280,43980876.2317732,28187606.4831066,177507302.1750666,2713164.8055485,124938153.4806998,2266951198.6929650,23362973140.9099274,164576173212.5429382
0.0300000,0.0300000,0.0300000,inf,nan,349005.2902343,31922018.9017840,20462926.6373755,128780777.4065075,1971681.5655445,90644654.2964474,1643090152.0588953,16922765582.9811516,119156731620.1613617
0.0325000,0.0325000,0.0325000,inf,nan,336766.8602579,23333338.2049932,14953577.0672701,94186921.9227425,1438580.7724361,66292799.5241355,1203177449.0509093,12401726170.3520985,87370659373.0965271
0.0350000,0.0350000,0.0350000,inf,nan,358332.6167803,17064769.4841592,10937555.5412536,68864559.4106300,1052834.7178257,48470714.1155060,879167895.3817955,9058304420.3118992,63797965977.7693863
0.0375000,0.0375000,0.0375000,inf,nan,416510.6602066,12683269.6388997,8130472.4850236,51165609.2755309,783204.5099248,36014023.3400081,652717806.0861356,6721701451.2067118,47324382912.9807129
0.0400000,0.0400000,0.0400000,inf,nan,519688.4617435,9586276.6793799,6146288.8196143,38655994.3161071,592603.6048383,27209605.2630867,492681411.8526239,5070516122.1357136,35683819048.7414780
0.0425000,0.0425000,0.0425000,inf,nan,683551.7170791,7371747.2120770,4727432.1532546,29711616.1983551,456288.5448281,20914408.2351231,378276608.9521896,3890288960.2002373,27364175787.5478134
0.0450000,0.0450000,0.0450000,inf,nan,934471.7638675,5768896.5613638,3700423.9261536,23238584.9273948,357595.5619026,16358545.9686333,295505260.5461730,3036563252.6385207,21346907425.5365372
0.0475000,0.0475000,0.0475000,inf,nan,1315552.9369038,4593749.2187605,2947401.8089092,18493668.4075013,285204.4157370,13018928.3587865,234855843.4918833,2411178793.2240968,16939879682.1005726
0.0500000,0.0500000,0.0500000,inf,nan,1897225.9710320,3720303.5443397,2387645.6908208,14967815.0650937,231363.3812953,10537283.6553313,189813134.3315522,1946893549.9364061,13668945083.1057205
0.0525000,0.0525000,0.0525000,inf,nan,2795942.0496956,3061631.5770735,1965468.7976387,12309808.8937267,190725.7980743,8666426.1706153,155881401.2329718,1597304246.5092897,11206878834.0050430
0.0550000,0.0550000,0.0550000,inf,nan,3109914.7239513,2557367.6911030,1642201.9559057,10275731.9013982,159579.8886449,7234687.4569558,129937807.2253301,1330174409.2802587,9326339273.6961994
0.0575000,0.0575000,0.0575000,inf,nan,2797984.7827805,2029154.1913330,1300508.2649245,8190369.8531566,124915.4132981,5764880.5710140,104575141.5161319,1077378085.4570863,7587412233.7879505
0.0600000,0.0600000,0.0600000,inf,nan,1938304.3429456,1587143.6288647,1017277.2703677,6405565.2144442,97701.4660879,4508678.8705969,81761558.0449241,842145842.8023746,5929815328.4908361
0.0625000,0.0625000,0.0625000,inf,nan,1376226.9145890,1251572.7295526,802242.4606734,5050661.9126131,77039.0057126,3555048.7858242,64446515.9585709,663636351.2095761,4672061004.9976292
0.0650000,0.0650000,0.0650000,inf,nan,1007137.1809978,995253.6852618,637985.6274470,4015834.7995116,61254.9594832,2826694.4136080,51224835.9045083,527350312.2051554,3711925575.2944098
0.0675000,0.0675000,0.0675000,inf,nan,767242.9030239,798351.0064113,511798.8399692,3220959.7100813,49128.6924538,2267223.5923475,41071400.9922921,422710470.2958543,2974838714.5262718
0.0700000,0.0700000,0.0700000,inf,nan,617753.6251223,646303.7435151,414353.3023836,2607220.0204530,39764.1350750,1835240.5406418,33233753.2427850,341953269.0910801,2406068815.0628133
0.0725000,0.0725000,0.0725000,inf,nan,535912.1598970,528357.3202417,338758.7662234,2131175.7627936,32499.4315888,1500171.6618080,27156200.3916627,279345672.4017938,1965200977.7682412
0.0750000,0.0750000,0.0750000,inf,nan,510048.9897081,436520.0451171,279895.0175753,1760548.2656975,26842.7258484,1239298.7474782,22425874.5226212,230628514.9264326,1622212202.0966938
0.0775000,0.0775000,0.0775000,inf,nan,537196.8021136,364817.1743376,233933.9924429,1471206.7895384,22426.2595551,1035638.1533087,18734171.6745181,192618576.8893239,1354665703.4002905
0.0800000,0.0800000,0.0800000,inf,nan,622600.3097147,308754.6306158,197996.2089891,1245002.1031183,18973.3729071,876416.0572635,15849029.2998439,162922501.1746602,1145693812.7971573
0.0825000,0.0825000,0.0825000,inf,nan,781010.6574725,264931.2649395,169902.3637633,1068200.1320983,16274.6462287,751966.0518654,13594882.6849577,139729955.4051948,982539624.3516091
0.0850000,0.0850000,0.0850000,inf,nan,776805.3578470,230756.9353930,147992.7191880,930343.0841450,14170.5529729,654927.5967950,11838091.7982445,121663248.1488259,855496697.2246217
0.0875000,0.0875000,0.0875000,inf,nan,640108.0761676,204246.3719576,130995.0427306,823416.7357694,12538.7758981,579659.9495449,10476286.1729380,107667379.1702634,757133857.9125736
0.0900000,0.0900000,0.0900000,inf,nan,578293.9344908,183867.6090984,117927.5043184,741238.1652832,11284.8806750,521811.2470187,9430530.9370751,96929204.0310914,681725288.0727491
0.0925000,0.0925000,0.0925000,inf,nan,581140.9413893,168429.9189542,108026.8793010,679003.0632820,10335.4197810,477999.8984748,8639535.0296722,88817674.0491377,624829214.2996353
0.0950000,0.0950000,0.0950000,inf,nan,649168.7345501,151269.4093975,96652.0123646,614629.1798860,9061.2137085,432447.1183507,7922255.7982924,81912260.7462201,578453367.8750234
0.0975000,0.0975000,0.0975000,inf,nan,623937.1999122,126418.6219674,80944.8993047,512082.0571794,7639.3859438,360410.7630162,6579371.0608221,68026857.5011538,480298614.3944866
0.1000000,0.1000000,0.1000000,inf,nan,526869.3178407,104662.2368173,67005.8506063,424170.3437712,6307.5363855,298534.7615227,5455023.6554554,56435498.6414955,398640778.1160949
0.1025000,0.1025000,0.1025000,inf,nan,488319.1396251,87158.3006188,55790.7819528,353444.2478812,5236.5507814,248754.0842121,4550695.0565056,47114980.4101128,332995707.9100588
0.1050000,0.1050000,0.1050000,inf,nan,502194.7287007,73022.2043549,46732.9850694,296330.0220712,4372.0588701,208553.4933446,3820660.3756443,39593536.9759983,280037611.2486836
0.1075000,0.1075000,0.1075000,inf,nan,570778.6294343,61562.8543663,39389.7287676,250035.6164539,3671.5939796,175967.9183293,3229194.8865284,33502573.7075133,237167994.3119954
0.1100000,0.1100000,0.1100000,inf,nan,705241.2733035,52238.4332875,33413.9170526,212371.9715113,3101.8711960,149456.6801671,2748287.4990530,28553073.7524149,202349322.3107661
0.1125000,0.1125000,0.1125000,inf,nan,928180.9185201,44622.6791873,28532.4858166,181616.7994517,2636.7127947,127807.6196750,2355897.8705547,24517614.2010271,173978229.2487488
0.1150000,0.1150000,0.1150000,inf,nan,1278965.1251608,38379.0915058,24529.8778991,156410.3861644,2255.4614450,110063.7620690,2034623.2175290,21216609.7833076,150788533.1643583
0.1175000,0.1175000,0.1175000,inf,nan,1165388.7253132,33241.1314228,21235.3585130,135675.6080354,1941.7622626,95467.0241567,1770674.9554891,18507753.5609652,131776791.2477155
0.1200000,0.1200000,0.1200000,inf,nan,942342.5881390,28996.9709267,18513.2448096,118556.3236644,1682.6247367,83414.8539290,1553090.4476796,16277883.6324559,116144959.2542271
0.1225000,0.1225000,0.1225000,inf,nan,839829.7514544,25477.7053619,16255.3543153,104369.7568070,1467.6977434,73426.7172739,1373123.7769931,14436697.1499980,103256075.3267481
0.1250000,0.1250000,0.1250000,inf,nan,839387.6275427,22548.2121640,14375.1486301,92569.5691845,1288.7073474,65118.1082899,1223773.3041523,12911875.8521441,92599895.8887849
0.1275000,0.1275000,0.1275000,inf,nan,941002.9489546,20100.0382673,12803.1767643,82717.1287990,1139.0193909,58180.3276384,1099414.1007792,11645293.8633009,83766162.4812287
0.1300000,0.1300000,0.1300000,inf,nan,1163123.7840171,18045.8480996,11483.5182236,74459.0830050,1013.2980619,52364.6982058,995511.0691196,10590058.2036129,76423740.2696491
0.1325000,0.1325000,0.1325000,inf,nan,1547354.6776502,16315.0761966,10370.9977862,67509.7984957,907.2385361,47470.2061073,908394.3548075,9708192.2428975,70304290.4775446
0.1350000,0.1350000,0.1350000,inf,nan,1079603.9250302,14850.5128620,9428.9979792,61637.5712346,817.3569809,43333.7949726,835083.0199877,8968817.3268199,65189456.2029403
0.1375000,0.1375000,0.1375000,inf,nan,516458.7502236,13605.6150014,8627.7360800,56653.7666895,740.8251286,39822.7225619,773146.2358216,8346721.7632509,60900780.4684813
0.1400000,0.1400000,0.1400000,inf,nan,274063.2340015,12542.3824973,7942.9033695,52404.2455460,675.3395992,36828.5258803,720593.7452180,7821232.0610026,57291756.5343851
0.1425000,0.1425000,0.1425000,inf,nan,158778.8897137,11629.6771191,7354.5878337,48762.5780020,619.0184036,34262.2450694,675789.2382156,7375320.8224087,52730963.8104106
0.1450000,0.1450000,0.1450000,inf,nan,98861.0873845,10841.8888496,6846.4193806,45624.6623771,570.3187783,32050.6356279,606263.2153148,6330970.8192512,45009427.8239996
0.1475000,0.1475000,0.1475000,inf,nan,65201.4193882,9630.7125170,6156.4768807,39477.6036031,527.9718139,27786.3465141,518008.0183875,5417817.7539051,38560661.5031309
0.1500000,0.1500000,0.1500000,inf,nan,44990.1614000,8218.9156199,5252.2888256,33746.4937464,459.8754481,23752.2327000,444125.6709652,4653044.8819630,33158176.9831118
0.1525000,0.1525000,0.1525000,inf,nan,32158.2092554,7035.3647225,4494.2949290,28939.1360125,389.6205737,20368.2953022,382089.8641398,4010573.6542435,28618075.1356190
0.1550000,0.1550000,0.1550000,inf,nan,23629.4327591,6040.3668031,3857.0736966,24895.0158081,330.7903499,17521.5635753,329844.0515687,3469174.5462413,24790651.6135968
0.1575000,0.1575000,0.1575000,inf,nan,17745.9073538,5201.5329938,3319.8817446,21483.1442676,281.4079462,15119.8467694,285709.8241584,3011521.4914453,21553729.8363304
0.1600000,0.1600000,0.1600000,inf,nan,13563.1826602,4492.3680359,2865.7502837,18596.3582759,239.8574708,13087.7224979,248313.9471624,2623438.8805616,18807351.5789654
0.1625000,0.1625000,0.1625000,inf,nan,10516.0872614,3891.1442577,2480.7638704,16146.7699958,204.8148627,11363.3341330,216530.1065611,2293300.3364338,16469537.5886341
0.1650000,0.1650000,0.1650000,inf,nan,8251.5048222,3380.0003759,2153.4831782,14062.1247236,187.5301345,9895.8274843,189432.2787716,2011547.4229599,14448423.2045248
0.1675000,0.1675000,0.1675000,inf,nan,6540.4235597,2944.2183970,1874.4818577,12282.8783209,162.3731042,8643.2939179,166257.3086176,1766592.1562139,12628874.7165144
0.1700000,0.1700000,0.1700000,inf,nan,5229.4970489,2571.6419621,1635.9740028,10759.8461377,140.9667899,7571.1156915,146374.8008008,1546434.1860019,11068127.3494262
0.1725000,0.1725000,0.1725000,inf,nan,4213.2122780,2252.2073044,1431.5137519,9452.3069520,122.6953913,6650.6315307,128395.1650037,1357184.4751760,9725640.9466326
0.1750000,0.1750000,0.1750000,inf,nan,3417.2698053,1977.5640867,1255.7524634,8326.4700942,107.0537502,5858.0578148,112748.0662399,1194063.9195911,8567703.6821089
0.1775000,0.1775000,0.1775000,1753.0849366,0.1146466,2788.3084605,1740.7681547,1104.2419537,7327.2207551,93.6284448,5156.5463204,99239.8726816,1053088.8337056,7566214.1649422
0.1800000,0.1800000,0.1800000,1544.2142254,0.0995259,2287.3524691,1532.3276739,973.2746813,6436.6065992,82.0803924,4529.6197062,87548.3817213,930930.6286584,6697691.7424961
0.1825000,0.1825000,0.1825000,1357.1249044,0.0913649,1885.5160245,1344.7391105,853.6273009,5665.6620712,72.1295741,3986.9291248,77403.7561609,824801.5109513,5942470.2918816
0.1850000,0.1850000,0.1850000,1194.6210194,0.0852334,1561.1185738,1182.2256847,749.7750930,4996.7587611,63.5426066,3516.0668773,68579.4862979,732361.1540697,5284039.9120586
0.1875000,0.1875000,0.1875000,1053.5250044,0.0795272,1297.7058199,1041.1293231,659.6338448,4415.0694166,56.1232293,3106.5967180,60884.9935147,651640.3155968,4708508.1213098
0.1900000,0.1900000,0.1900000,930.7627774,0.0741917,1082.6664468,918.3670725,581.2292893,3908.0946663,49.7051922,2749.7207714,54159.5632304,580978.1786489,4204157.8488677
0.1925000,0.1925000,0.1925000,823.7306345,0.0692021,906.2492118,811.3349269,512.8938379,3465.2739802,44.1468667,2438.0057351,48267.3569732,518970.8351460,3761084.0120512
0.1950000,0.1950000,0.1950000,730.2243116,0.0645357,760.8543142,717.8286035,453.2158547,3077.6651594,39.3270451,2165.1573104,43093.3024850,464428.8355541,3370894.0453171
0.1975000,0.1975000,0.1975000,648.3738451,0.0601715,640.5158952,635.9781369,400.9977779,2737.6797019,35.1416053,1925.8339594,38539.6998840,416342.1333322,3026460.5928557
0.2000000,0.2000000,0.2000000,576.5894739,0.0560897,540.5197581,564.1937657,355.2214734,2438.8638344,31.5008797,1715.4927982,34523.4131174,373851.0742652,2721716.8460020
0.2025000,0.2025000,0.2025000,513.5167740,0.0522720,457.1180618,501.1210657,315.0195084,2175.7169434,28.3276226,1530.2618131,30973.5408811,336222.3382764,2451486.8214356
0.2050000,0.2050000,0.2050000,457.9993818,0.0487009,387.3144036,445.6036735,279.6512849,1943.5407080,25.5554611,1366.8336821,27829.4811775,302828.9475999,2211344.3304435
0.2075000,0.2075000,0.2075000,409.0479603,0.0453604,328.7005576,396.6522521,248.4831704,1738.3134857,23.1276767,1222.3773688,25039.3197396,273133.6208854,1997495.5576781
0.2100000,0.2100000,0.2100000,365.8143102,0.0422354,279.3314955,353.4186020,220.9719220,1556.5855160,20.9961467,1094.4643680,22558.4854760,246674.8862014,1806681.1083179
0.2125000,0.2125000,0.2125000,327.5697306,0.0393116,237.6290348,315.1740224,209.0464111,1395.3913198,19.1203077,981.0070523,20348.6265212,223055.4735340,1636094.1414410
0.2150000,0.2150000,0.2150000,293.6868973,0.0365760,202.3070708,281.2911891,187.5136603,1252.1763320,17.4660729,880.2070355,18376.6689075,201932.5944244,1483311.8211970
0.2175000,0.2175000,0.2175000,263.6246570,0.0340161,184.7089128,251.2289489,168.4226856,1124.7353377,16.0047134,790.5118435,16614.0267128,183009.7869397,1346237.8149012
0.2200000,0.2200000,0.2200000,236.9152456,0.0316204,159.1786202,224.5195377,151.4738978,1011.1607172,14.7117467,710.5784876,15035.9380870,166030.0614846,1223053.9713895
0.2225000,0.2225000,0.2225000,213.1535229,0.0293782,137.3990783,200.7578154,136.4077942,909.7988561,13.5658780,639.2427848,13620.9060812,150770.1296237,1112179.6421034
0.2250000,0.2250000,0.2250000,191.9878896,0.0272793,118.7804695,191.9878896,122.9990807,819.2133655,12.5480171,575.4934701,12350.2268883,137035.5361576,1012237.3759645
0.2275000,0.2275000,0.2275000,173.1126080,0.0253144,102.8331116,173.1126080,111.0515883,738.1539934,11.6404237,518.4503147,11207.5911202,124656.5458259,922023.9387522
0.2300000,0.2300000,0.2300000,156.2612893,0.0234746,89.1491490,156.2612893,100.3937122,665.5302979,10.8260969,467.3455950,10178.7462130,113484.6615230,840485.7877288
0.2325000,0.2325000,0.2325000,141.2013313,0.0217515,77.3878338,141.2013313,90.8738673,600.3893143,10.0885837,421.5083729,9251.2100804,103389.6718576,766698.2801011
0.2350000,0.2350000,0.2350000,127.7290953,0.0201367,67.2636441,127.7290953,82.3545344,541.8965762,9.4123281,380.3511363,8414.0278031,94257.1431261,699848.0155930
0.2375000,0.2375000,0.2375000,115.6656259,0.0186214,58.5366554,115.6656259,74.7012255,489.3199581,8.7835107,343.3584255,7657.5645144,85986.2849757,639217.8137304
0.2400000,0.2400000,0.2400000,104.8528086,0.0171960,51.0047027,104.8528086,67.7609345,442.0158956,8.1910753,310.0771327,6973.3287799,78488.1307746,579197.7015916
0.2425000,0.2425000,0.2425000,95.1500311,0.0158506,44.4969641,95.1500311,61.3358191,399.4176125,7.6274978,280.1082145,6353.8217051,71683.9834172,524057.3115516
0.2450000,0.2450000,0.2450000,86.4315933,0.0145763,38.8686626,86.4315933,55.2028205,361.0250437,7.0889214,253.0995982,5792.4077864,65289.2369251,474540.7525578
0.2475000,0.2475000,0.2475000,78.5851167,0.0133680,33.9966294,78.5851167,49.2351728,326.3961952,6.5745798,228.7400981,5283.2041632,59114.4847015,430033.2913996
0.2500000,0.2500000,0.2500000,71.5109514,0.0122254,29.7754606,71.5109514,43.4878968,295.1397220,6.0857383,206.7541911,4820.9854698,53563.3471606,389992.1821847
0.2525000,0.2525000,0.2525000,65.1221519,0.0111531,26.1139304,65.1221519,38.0927227,266.9085398,5.6245357,199.2811783,4401.1019305,48568.4965121,353937.6510605
0.2550000,0.2550000,0.2550000,59.3442961,0.0101563,22.9313083,59.3442961,33.1348023,241.3943184,5.1930353,181.3120531,4008.0323918,44070.3750685,321445.0846224
0.2575000,0.2575000,0.2575000,54.1145382,0.0092358,20.1535313,54.1145382,28.6336631,218.3227236,4.7926288,165.0304722,3631.1877647,40016.2379544,292138.2513287
0.2600000,0.2600000,0.2600000,49.3797916,0.0083825,17.7099408,49.3797916,24.5668431,209.7657350,4.4237819,150.2453129,3291.7599104,36359.3213998,265683.4108445
0.2625000,0.2625000,0.2625000,45.0944606,0.0075757,15.5322528,45.0944606,20.8875283,190.7510932,4.0860353,136.7885793,2985.8030319,33058.1191353,241784.1877940
0.2650000,0.2650000,0.2650000,41.2183069,0.0067840,13.5576244,41.2183069,17.5295462,173.4199967,3.7781583,124.5220447,2709.8140958,30075.7519782,220177.1045771
0.2675000,0.2675000,0.2675000,37.7148457,0.0059687,11.7356645,37.7148457,14.4062132,157.5849734,3.4983679,113.3380155,2460.6799707,27379.4178731,200627.6832665
0.2700000,0.2700000,0.2700000,34.5503560,0.0050879,10.0352110,34.5503560,11.4172179,143.1113400,3.2445535,103.1518209,2235.6312709,24939.9114937,182927.0395949
0.2725000,0.2725000,0.2725000,31.6933822,0.0041011,8.4450958,31.6933822,8.4802619,129.9052806,3.0144703,93.8910774,2032.2020027,22731.2040690,166888.9030643
0.2750000,0.2750000,0.2750000,29.1145390,0.0029739,6.9676373,29.1145390,5.5746202,117.8895413,2.8058889,85.4878327,1848.1942421,20730.0754245,152347.0065622
0.2775000,0.2775000,0.2775000,26.7864627,0.0016808,5.6095504,26.7864627,2.7463814,106.9866355,2.6167009,77.8753540,1681.6471780,18915.7913546,139152.7968296
0.2800000,0.2800000,0.2800000,24.6838018,0.0002068,4.3754147,24.6838018,0.0658875,97.1144904,2.4449846,70.9880191,1530.8099498,17269.8204011,127173.4239009
0.2825000,0.2825000,0.2825000,22.7831823,-0.0014549,3.2651533,22.7831823,-2.4126068,88.1887190,2.2890368,64.7623568,1394.1177869,15775.5849327,116289.9734233
0.2850000,0.2850000,0.2850000,21.0631014,-0.0033110,2.2742453,21.0631014,-4.6622520,80.1261292,2.1473711,59.1381126,1270.1710244,14418.2421201,106395.9107005
