# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2000000,0.2000000,0.2000000,1305.6767283
0.2250000,0.2250000,0.2250000,392.0862053
0.2500000,0.2500000,0.2500000,123.5108233
0.2750000,0.2750000,0.2750000,38.6640953
0.3000000,0.3000000,0.3000000,11.4759598
0.3250000,0.3250000,0.3250000,2.7660227
0.3500000,0.3500000,0.3500000,-1.1596014
0.3750000,0.3750000,0.3750000,-2.6097663
0.4000000,0.4000000,0.4000000,-3.0413451
0.4250000,0.4250000,0.4250000,-3.2542434
0.4500000,0.4500000,0.4500000,-3.1909940
0.4750000,0.4750000,0.4750000,-2.8432275
0.5000000,0.5000000,0.5000000,-2.3799898
0.5250000,0.5250000,0.5250000,-1.9421309
0.5500000,0.5500000,0.5500000,-1.5566347
0.5750000,0.5750000,0.5750000,-1.2190412
0.6000000,0.6000000,0.6000000,-0.9461466
0.6250000,0.6250000,0.6250000,-0.7358200
0.6500000,0.6500000,0.6500000,-0.5760224
0.6750000,0.6750000,0.6750000,-0.4545752
0.7000000,0.7000000,0.7000000,-0.3617299
0.7250000,0.7250000,0.7250000,-0.2901929
0.7500000,0.7500000,0.7500000,-0.2346118
0.7750000,0.7750000,0.7750000,-0.1910677
0.8000000,0.8000000,0.8000000,-0.1566794
0.8250000,0.8250000,0.8250000,-0.1293132
0.8500000,0.8500000,0.8500000,-0.1073771
0.8750000,0.8750000,0.8750000,-0.0896727
0.9000000,0.9000000,0.9000000,-0.0752910
0.9250000,0.9250000,0.9250000,-0.0635369
0.9500000,0.9500000,0.9500000,-0.0538747
0.9750000,0.9750000,0.9750000,-0.0458888
1.0000000,1.0000000,1.0000000,-0.0392541
1.0250000,1.0250000,1.0250000,-0.0337150
1.0500000,1.0500000,1.0500000,-0.0290691
1.0750000,1.0750000,1.0750000,-0.0251551
1.1000000,1.1000000,1.1000000,-0.0218438
1.1250000,1.1250000,1.1250000,-0.0190314
1.1500000,1.1500000,1.1500000,-0.0166335
1.1750000,1.1750000,1.1750000,-0.0145815
1.2000000,1.2000000,1.2000000,-0.0128196
1.2250000,1.2250000,1.2250000,-0.0113016
1.2500000,1.2500000,1.2500000,-0.0099897
1.2750000,1.2750000,1.2750000,-0.0088525
1.3000000,1.3000000,1.3000000,-0.0078637
1.3250000,1.3250000,1.3250000,-0.0070017
1.3500000,1.3500000,1.3500000,-0.0062481
1.3750000,1.3750000,1.3750000,-0.0055877
1.4000000,1.4000000,1.4000000,-0.0050074
1.4250000,1.4250000,1.4250000,-0.0044963
1.4500000,1.4500000,1.4500000,-0.0040452
1.4750000,1.4750000,1.4750000,-0.0036461
1.5000000,1.5000000,1.5000000,-0.0032922
1.5250000,1.5250000,1.5250000,-0.0029779
1.5500000,1.5500000,1.5500000,-0.0026980
1.5750000,1.5750000,1.5750000,-0.0024484
