# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,4300108.0876767,5870217225.9992952,3760884325.0423441,23712351209.8617363,361353021.2814422,16688957826.3658295,303403619289.5698242,3130832600660.9663086,22074151847331.1757812
0.0025000,0.0025000,0.0025000,inf,nan,2895405.8522648,3426137703.1080952,2195030389.7973475,13839653545.0780544,210900916.7988245,9740468364.0427437,177080291584.3240051,1827292862618.6245117,12883428418914.9707031
0.0050000,0.0050000,0.0050000,inf,nan,2015035.9749539,2045017742.9123733,1310186273.3146155,8260696539.1436758,125883299.0810863,5813951028.0064697,105696022278.0361328,1090671726901.9564209,7689808067089.2695312
0.0075000,0.0075000,0.0075000,inf,nan,1463726.4428257,1246439771.8756959,798561225.1007231,5034871515.4464159,76726150.7070933,3543588524.8750763,64420405427.4114227,664742854390.7014160,4686745890935.8427734
0.0100000,0.0100000,0.0100000,inf,nan,1128285.6502408,774836167.7721617,496419943.2087157,3129832479.7472172,47697056.5142979,2202806783.3939295,40044388179.3743896,413201208383.5479126,2913211626641.5507812
0.0125000,0.0125000,0.0125000,inf,nan,944138.8647811,490883219.9560044,314501534.4930586,1982791109.1672435,30219482.3193162,1395510528.2928281,25366975939.3543358,261739184042.1709595,1845292748215.7150879
0.0150000,0.0150000,0.0150000,inf,nan,877540.9985989,316885012.0534192,203028406.4610661,1279899458.4437761,19510645.5598156,900810900.3003333,16372400878.9676018,168917665130.4596252,1190818500485.9479980
0.0175000,0.0175000,0.0175000,inf,nan,709226.9848594,208592147.6890563,133651270.4731328,842413989.5210646,12846699.7061787,592906706.5633391,10773572835.6491165,111135815758.9213867,783388188610.5596924
0.0200000,0.0200000,0.0200000,inf,nan,558429.4993455,140308106.6519122,89907180.7404469,566533875.4933422,8645896.5628864,398742095.0196090,7242300403.9129686,74687687762.7112274,526365627787.4782715
0.0225000,0.0225000,0.0225000,inf,nan,475595.9963028,96416921.4930346,61780426.7342827,389339678.9810058,5939695.9735625,274026800.9807989,4977862028.3022652,51339862851.2171936,361842837909.1518555
0.0250000,0.0250000,0.0250000,inf,nan,446451.8688073,66811459.6176411,42814367.4456402,269731603.8993573,4118296.4472626,189846385.4025834,3446984558.6175652,35539667503.8117218,250428022347.4362488
0.0275000,0.0275000,0.0275000,inf,nan,460916.0448349,47295093.2876373,30312101.4697571,190877736.5655568,2917925.5830707,134349138.8763345,2437557571.2252131,25120268634.6452789,176950510998.2295837
0.0300000,0.0300000,0.0300000,inf,nan,397149.5770083,34306363.4114185,21991895.1733004,138391915.9462627,2119348.9131167,97409951.5098143,1765511613.6067839,18182277026.9609108,128018679304.3582306
0.0325000,0.0325000,0.0325000,inf,nan,375946.3893186,24755960.1003896,15865572.2737271,99925262.3806443,1526506.7009710,70331859.6773072,1276372503.8272669,13155473765.1717434,92677418201.8352509
0.0350000,0.0350000,0.0350000,inf,nan,393589.3983743,18090399.5052884,11595244.2188059,72998777.3886510,1116348.2495448,51380800.3704954,931824928.0485926,9600034246.5362453,67609467872.8936844
0.0375000,0.0375000,0.0375000,inf,nan,452353.5821494,13447492.1441921,8620713.6174936,54243475.2096653,830647.3733017,38180657.5589384,691847860.5199088,7123775235.5575171,50150889142.5202942
0.0400000,0.0400000,0.0400000,inf,nan,560937.3142134,10176292.2953562,6524942.9241809,41029841.6164688,629339.0001738,28880758.7719668,522795061.2033111,5379494443.1472654,37853684537.6752396
0.0425000,0.0425000,0.0425000,inf,nan,736304.1579274,7844040.0677642,5030680.3277885,31609704.6711777,485788.7724318,22250728.1141676,402297000.2815691,4136352553.4237003,29090272549.1100693
0.0450000,0.0450000,0.0450000,inf,nan,1007466.0703125,6160245.4059712,3951822.5255012,24809577.0207506,382119.9305738,17464657.9263204,315337127.1029983,3239384191.5068440,22768017389.9917870
0.0475000,0.0475000,0.0475000,inf,nan,1422357.3555310,4928177.8981181,3162335.5890035,19834702.6758284,306227.1958499,13963195.1908273,251744638.4357809,2583625912.6452980,18146817642.1958580
0.0500000,0.0500000,0.0500000,inf,nan,1611663.9701824,4013522.5690979,2576173.5626209,16142445.1194604,249847.3162864,11364430.9424757,204574493.4523782,2097399804.3020771,14721247586.4232922
0.0525000,0.0525000,0.0525000,inf,nan,1771856.9717851,3323909.9099302,2134163.8543919,13359601.5107151,207298.9782083,9405705.2292613,169049478.8938938,1731396955.4530115,12143591143.7696228
0.0550000,0.0550000,0.0550000,inf,nan,2179954.0079605,2657239.5006767,1703070.4473157,10725059.2966964,163654.8162311,7548936.5041937,136934391.6450043,1410773545.1273284,9935457949.6068077
