# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,3956217.5217249,5870217225.9992952,3760884325.0423441,23712351209.8617363,361353021.2814422,16688957826.3658295,5870217657.4549570,5870216794.5436335,6920039846.2452984,4376617482.6513081,122400867420.8197021
0.0025000,0.0025000,0.0025000,inf,nan,2752656.0532429,3403192618.8725328,2180330030.5636606,13746969588.5168495,209488418.6846831,9675236545.7658634,3403193016.7588558,3403192220.9862099,4011815512.1656222,2537294914.1676626,70960533599.4609833
0.0050000,0.0050000,0.0050000,inf,nan,2025492.9143498,2019945067.6285868,1294122719.7848771,8159419908.8889360,124339768.8537562,5742671540.7151384,2019945435.0035858,2019944700.2535877,2381189625.0290737,1505996551.1708319,42118148452.0433655
0.0075000,0.0075000,0.0075000,inf,nan,1613665.0670812,1225350196.2652726,785049371.5828404,4949686742.3536377,75427710.6587995,3483634518.7568936,1225350535.8108757,1225349856.7196696,1444490358.2450831,913575918.0414090,25549824097.9341278
0.0100000,0.0100000,0.0100000,inf,nan,1242565.5795422,758656193.9263501,486053295.0966646,3064483238.3569703,46700685.6123728,2156813039.7188864,758656508.0063040,758655879.8463962,894333359.3038272,565626080.5739666,15818595043.5537338
0.0125000,0.0125000,0.0125000,inf,nan,939266.4264206,478923124.1211846,306838100.5525378,1934492812.1191342,29482651.7285872,1361517164.9706786,478923414.8283915,478922833.4139777,564573162.2210463,357067419.6844465,9985703992.4072113
0.0150000,0.0150000,0.0150000,inf,nan,758802.5693415,308122073.5669050,197412821.0834181,1244522876.5943780,18970306.9739442,875911643.7596326,308122342.7624289,308121804.3713810,363226256.2869191,229724455.1685437,6424157386.8345671
0.0175000,0.0175000,0.0175000,inf,nan,669646.7085196,202085398.0466181,129480502.2339358,816160742.7782007,12444809.8506998,574428110.5118897,202085647.3920695,202085148.7011667,238226108.6750296,150667420.3063782,4213006394.1201286
0.0200000,0.0200000,0.0200000,inf,nan,583314.3766404,135293828.2518184,86691703.8066449,546322366.5868875,8335287.7556993,384515156.4078920,135294059.2364306,135293597.2672062,159489614.5081366,100870088.9975894,2820141422.4712873
0.0225000,0.0225000,0.0225000,inf,nan,455796.2312043,92719472.5598862,59418528.5578033,374302814.3920872,5716700.8022886,263448159.4900434,92719686.5233048,92719258.5964677,109301312.0188301,69128219.4448480,1932209780.4456086
0.0250000,0.0250000,0.0250000,inf,nan,381800.9795405,65354982.1065567,41890277.1337533,263716687.1067023,4034622.3130744,185618797.3623632,65355180.2581380,65354783.9549754,77042988.8565210,48726264.5067155,1361393874.5092020
0.0275000,0.0275000,0.0275000,inf,nan,349257.7287213,46818848.9150321,30005075.3633918,188981615.1758167,2887358.2746081,133013411.0979323,46819030.1649479,46818667.6651163,55191875.7984646,34906407.1720545,975562990.8000174
0.0300000,0.0300000,0.0300000,inf,nan,352854.5053194,33717910.5510567,21612617.2150208,136047810.5122359,2081635.4095743,95758696.7324222,33718077.9745423,33717743.1275710,39747981.3033200,25138830.6624559,702328823.5496336
0.0325000,0.0325000,0.0325000,inf,nan,375946.3893186,24755960.1003896,15865572.2737271,99925262.3806443,1526506.7009710,70331859.6773072,24756118.7294395,24755801.4713396,29183286.3642609,18457130.9039997,515836500.4212090
0.0350000,0.0350000,0.0350000,inf,nan,393589.3983743,18090399.5052884,11595244.2188059,72998777.3886510,1116348.2495448,51380800.3704954,18090546.3245418,18090252.6860351,21325664.8930537,13487534.7359082,376844915.2681837
0.0375000,0.0375000,0.0375000,inf,nan,452353.5821494,13447492.1441921,8620713.6174936,54243475.2096653,830647.3733017,38180657.5589384,13447627.9748369,13447356.3135473,15852425.5384840,10025954.2279661,280031891.7650915
0.0400000,0.0400000,0.0400000,inf,nan,560937.3142134,10176292.2953562,6524942.9241809,41029841.6164688,629339.0001738,28880758.7719668,10176417.8974319,10176166.6932806,11996208.2253126,7587068.2555268,211824152.8285715
0.0425000,0.0425000,0.0425000,inf,nan,736304.1579274,7844040.0677642,5030680.3277885,31609704.6711777,485788.7724318,22250728.1141676,7844156.1456719,7843923.9898564,9246858.8017597,5848227.0031072,163197827.4490211
0.0450000,0.0450000,0.0450000,inf,nan,1007466.0703125,6160245.4059712,3951822.5255012,24809577.0207506,382119.9305738,17464657.9263204,6160352.6133387,6160138.1986036,7261936.3186706,4592851.7980195,128095513.2639447
0.0475000,0.0475000,0.0475000,inf,nan,1422357.3555310,4928177.8981181,3162335.5890035,19834702.6758284,306227.1958499,13963195.1908273,4928276.8421087,4928078.9541274,5809527.3328760,3674267.7001783,102414784.7367801
0.0500000,0.0500000,0.0500000,inf,nan,1611663.9701824,3889449.5977692,2493352.3777269,15690114.0389537,240006.2669484,11043945.7792840,3889551.0389282,3889348.1566102,4585034.1069694,2899830.1855159,81000570.0394421
0.0525000,0.0525000,0.0525000,inf,nan,1771856.9717851,3017376.4330122,1934532.6001702,12168990.7180442,186288.0047211,8565666.0154638,3017470.5772450,3017282.2887794,3557000.4215664,2249644.5940658,62824145.3004409
0.0550000,0.0550000,0.0550000,inf,nan,2179954.0079605,2365779.3498786,1516966.6958820,9538437.8594187,146138.2945053,6714179.9294472,2365866.6857458,2365692.0140114,2788872.4962469,1763837.8383879,49244780.4650311
0.0575000,0.0575000,0.0575000,inf,nan,2270021.3418886,1874648.9079757,1202210.2741024,7556025.8024763,115864.9931193,5318864.4122413,1874729.8918599,1874567.9240915,2209908.8741480,1397669.0927452,39011085.9405229
0.0600000,0.0600000,0.0600000,inf,nan,1623099.7444839,1501335.0363875,962940.2005463,6049452.1789724,92844.1919815,4258452.3360121,1501410.0947875,1501259.9779875,1769831.9967362,1119340.0371060,31233660.5219551
0.0625000,0.0625000,0.0625000,inf,nan,1224348.8037160,1215311.0584354,779600.1075038,4895390.8907189,75197.9561942,3446146.3074803,1215380.5900819,1215241.5267889,1432655.8330256,906091.1070974,25275912.0888622
0.0650000,0.0650000,0.0650000,inf,nan,995024.9153263,994576.2208933,638095.6453552,4004959.7338339,61572.9210521,2819390.6815642,994640.5987034,994511.8430832,1172445.0414249,741519.3524546,20679043.1128270
0.0675000,0.0675000,0.0675000,inf,nan,892424.6855755,823166.8651156,528200.0067229,3313666.3379582,50987.1290670,2332795.4508196,823226.4380011,823107.2922301,970381.0416895,613722.8579972,17110152.7855922
0.0700000,0.0700000,0.0700000,inf,nan,898407.1291070,689423.1183989,442443.4874545,2774406.0208959,42723.3702799,1953208.0977888,689478.2129419,689368.0238559,812718.7234423,514008.4526284,14326092.8259860
0.0725000,0.0725000,0.0725000,inf,nan,1014721.7437495,584774.0013444,375335.1778400,2352553.8024833,36254.4303495,1656259.3326688,584824.9233525,584723.0793362,689354.2835908,435985.9301881,12148133.1161433
0.0750000,0.0750000,0.0750000,inf,nan,806570.1787983,487835.1698900,312650.5796766,1969753.7097157,29913.2208229,1386463.8501954,487894.1145640,487776.2252159,575079.0275847,363711.9123525,10168744.7620067
0.0775000,0.0775000,0.0775000,inf,nan,634813.5691393,397700.6913798,254890.2775842,1605823.2021055,24369.4557841,1130312.4146360,397755.7011483,397645.6816113,468825.0068564,296510.9691420,8290054.1617345
0.0800000,0.0800000,0.0800000,inf,nan,493463.5025002,327287.7932322,209766.3722538,1321537.6541726,20039.3162728,930217.1373022,327339.1339995,327236.4524649,385819.5503099,244013.7089603,6822494.6251217
0.0825000,0.0825000,0.0825000,inf,nan,406582.1103151,272104.7051677,174400.9283960,1098756.1326547,16646.3264791,773410.0832881,272152.6270727,272056.7832626,320767.5848470,202871.2335336,5672422.7445558
0.0850000,0.0850000,0.0850000,inf,nan,361468.1368092,228746.3700050,146612.2243313,923727.4972906,13980.8791795,650212.8923303,228791.1083782,228701.6316318,269655.0969370,170544.8577989,4768854.8009546
0.0875000,0.0875000,0.0875000,inf,nan,351878.5203784,194617.2242099,124737.1494260,785970.5502484,11883.1764167,553248.6195259,194659.0004709,194575.4479489,229422.3355710,145099.4253040,4057686.2144839
0.0900000,0.0900000,0.0900000,inf,nan,376785.8844224,167727.6713753,107500.8133180,677451.8772961,10230.7052515,476863.0935398,167766.6938744,167688.6488762,197723.8873025,125051.5663397,3497447.6465089
0.0925000,0.0925000,0.0925000,inf,nan,440211.7115189,146543.9297915,93920.3495462,591979.2999157,8928.9981089,416698.0232980,146580.3945975,146507.4649856,172751.6707374,109257.7498259,3056174.0611756
0.0950000,0.0950000,0.0950000,inf,nan,552096.4634756,129876.7295418,83233.6083790,524752.2637976,7904.7838704,369374.5576486,129910.8211786,129842.6379051,153103.7283508,96831.2999704,2709083.8754997
0.0975000,0.0975000,0.0975000,inf,nan,730453.9143700,116798.4265479,74846.0552126,472027.0190366,7100.8877160,332257.6363224,116830.3186832,116766.5344127,137686.5173082,87080.5995580,2436850.6523005
0.1000000,0.1000000,0.1000000,inf,nan,643777.3000808,102515.8701087,65634.6292083,415455.3784896,6177.4336915,292403.4392599,102555.7572736,102475.9829438,120849.6855760,76432.0521871,2144467.7874388
0.1025000,0.1025000,0.1025000,inf,nan,558129.9625028,85751.8675786,54892.6366404,347733.4983521,5151.2861226,244736.5163076,85789.4271692,85714.3079881,101087.6289051,63933.4301212,1794866.4379737
0.1050000,0.1050000,0.1050000,inf,nan,534711.1882822,72216.0857035,46218.4485246,293059.8474155,4323.0391156,206252.9644941,72251.4765215,72180.6948855,85131.1240059,53841.6503258,1512617.6440839
0.1075000,0.1075000,0.1075000,inf,nan,547491.0188356,61245.4579249,39187.2796180,248755.7398625,3651.9442932,175067.4932331,61278.8292384,61212.0866115,72198.5222906,45662.3548273,1283894.2362273
0.1100000,0.1100000,0.1100000,inf,nan,599142.2176516,52320.2452643,33466.1698290,212721.4347279,3106.0696273,149702.2808009,52351.7373121,52288.7532165,61677.1352840,39008.0454103,1097857.5232124
0.1125000,0.1125000,0.1125000,inf,nan,719787.8799343,45031.6217090,28793.2178120,183305.1931280,2660.3052820,128994.8157964,45061.3661800,45001.8772380,53085.0230187,33573.9164763,945981.3793459
0.1150000,0.1150000,0.1150000,inf,nan,929824.8436374,39056.8962722,24961.7070664,159203.1839653,2294.8393793,112027.4500155,39085.0167606,39028.7757839,46041.7848385,29119.3815258,821535.5683551
0.1175000,0.1175000,0.1175000,inf,nan,1266371.1876225,34140.5034732,21807.9276161,139382.6913656,1993.9887071,98073.3512782,34167.1159100,34113.8910363,40246.1502376,25453.9003609,719189.3485290
0.1200000,0.1200000,0.1200000,inf,nan,1176203.6024469,30079.3665376,19201.7990893,123022.9860252,1758.0490331,86554.8882580,30104.5796013,30054.1534740,35458.7244350,22426.0664278,634706.2571500
0.1225000,0.1225000,0.1225000,inf,nan,972357.8728137,26711.5870850,17039.6249124,109469.6343196,1551.5972828,77011.4729065,26735.5025896,26687.6715805,31488.6553373,19915.1742644,564708.2592045
0.1250000,0.1250000,0.1250000,inf,nan,892507.6765769,23907.6743781,15238.4734555,98199.0665387,1379.4555331,69074.6233185,23930.3876420,23884.9611141,28183.2942390,17824.6803524,506492.8525130
0.1275000,0.1275000,0.1275000,inf,nan,922164.6756432,21563.7202813,13731.8056627,88791.0055248,1235.2690975,62448.5587883,21585.3204775,21542.1200851,25420.1501980,16077.1146179,457890.7472398
0.1300000,0.1300000,0.1300000,inf,nan,590641.3921734,19596.0702947,12466.0610956,80906.9395799,1113.9294116,56895.0488376,19616.6407821,19575.4998074,23100.6080437,14610.1073506,417154.7450042
0.1325000,0.1325000,0.1325000,inf,nan,370791.2200077,17937.1491130,11397.9835632,74273.2601069,1011.3173428,52221.5452798,17956.7677512,17917.5304747,21145.0073840,13373.2768949,382872.6965047
0.1350000,0.1350000,0.1350000,inf,nan,242322.5985898,15571.4404668,9945.8679592,63678.8344402,894.9281629,44816.8080447,15593.9694892,15548.9114444,18356.2182361,11609.4917706,328642.9813095
0.1375000,0.1375000,0.1375000,inf,nan,163505.8003321,13304.6889948,8502.4904080,54494.0131945,767.3084037,38351.8169114,13325.9980829,13283.3799067,15684.0836448,9919.4854661,281228.9905419
0.1400000,0.1400000,0.1400000,inf,nan,113247.6718628,11411.5237150,7289.9836544,46820.2488033,657.4175924,32950.3603871,11431.6918374,11391.3555925,13452.3469531,8508.0112493,241615.0999213
0.1425000,0.1425000,0.1425000,inf,nan,80179.5385160,9825.3134912,6274.0985329,40388.1094427,562.9582782,28422.8137516,9844.4146100,9806.2123723,11582.4607920,7325.3914025,208410.5737679
0.1450000,0.1450000,0.1450000,inf,nan,57846.9180373,8492.0177634,5420.2259865,34979.0532731,483.5324146,24615.3683167,8510.1211227,8473.9144042,10010.7200527,6331.3352770,180487.3578925
0.1475000,0.1475000,0.1475000,inf,nan,42426.3884011,7367.6846129,4700.2184728,30415.3197600,416.7693429,21402.9169040,7384.8550131,7350.5142128,8685.3125077,5493.0739430,156927.9000848
0.1500000,0.1500000,0.1500000,inf,nan,31572.1404661,6416.4690756,4091.1205402,26551.9226950,360.5023568,18683.4185130,6432.7671344,6400.1710168,7563.9827226,4783.8827171,136983.8193378
