# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,6095573065.1195498
0.0050000,0.0050000,0.0050000,2075856537.7281241
0.0100000,0.0100000,0.0100000,798096361.2218581
0.0150000,0.0150000,0.0150000,376254248.3484687
0.0200000,0.0200000,0.0200000,230977781.0446959
0.0250000,0.0250000,0.0250000,150898782.8035637
0.0300000,0.0300000,0.0300000,100542941.1297610
0.0350000,0.0350000,0.0350000,65729452.6552147
0.0400000,0.0400000,0.0400000,45174877.2303966
0.0450000,0.0450000,0.0450000,31347084.2564912
0.0500000,0.0500000,0.0500000,19711463.7877667
0.0550000,0.0550000,0.0550000,13174635.4762141
0.0600000,0.0600000,0.0600000,9347621.4736893
0.0650000,0.0650000,0.0650000,6891972.1613284
0.0700000,0.0700000,0.0700000,4728038.7102613
0.0750000,0.0750000,0.0750000,3143590.1668453
0.0800000,0.0800000,0.0800000,2134179.6714013
0.0850000,0.0850000,0.0850000,1475981.4215542
0.0900000,0.0900000,0.0900000,1037429.7223407
0.0950000,0.0950000,0.0950000,739424.7174030
0.1000000,0.1000000,0.1000000,533326.4006288
0.1050000,0.1050000,0.1050000,388559.4435980
0.1100000,0.1100000,0.1100000,285491.5907895
0.1150000,0.1150000,0.1150000,211258.5312047
0.1200000,0.1200000,0.1200000,150345.0141211
0.1250000,0.1250000,0.1250000,102709.0994134
0.1300000,0.1300000,0.1300000,70981.9637922
0.1350000,0.1350000,0.1350000,49591.5985841
0.1400000,0.1400000,0.1400000,35002.4946197
0.1450000,0.1450000,0.1450000,24942.5030923
0.1500000,0.1500000,0.1500000,17933.3199132
0.1550000,0.1550000,0.1550000,13001.7070360
0.1600000,0.1600000,0.1600000,9499.6511073
0.1650000,0.1650000,0.1650000,6990.9981731
0.1700000,0.1700000,0.1700000,5179.1478728
0.1750000,0.1750000,0.1750000,3860.4098187
0.1800000,0.1800000,0.1800000,2893.5839571
0.1850000,0.1850000,0.1850000,2179.9124842
0.1900000,0.1900000,0.1900000,1659.8907365
0.1950000,0.1950000,0.1950000,1263.6669286
0.2000000,0.2000000,0.2000000,965.8997114
0.2050000,0.2050000,0.2050000,740.9633395
0.2100000,0.2100000,0.2100000,570.2294738
0.2150000,0.2150000,0.2150000,440.0661118
0.2200000,0.2200000,0.2200000,340.4341560
0.2250000,0.2250000,0.2250000,263.8957692
0.2300000,0.2300000,0.2300000,204.9086702
0.2350000,0.2350000,0.2350000,159.3204696
0.2400000,0.2400000,0.2400000,124.0039484
0.2450000,0.2450000,0.2450000,96.5922610
0.2500000,0.2500000,0.2500000,75.2851079
0.2550000,0.2550000,0.2550000,58.7050234
0.2600000,0.2600000,0.2600000,45.7895863
0.2650000,0.2650000,0.2650000,35.7120617
0.2700000,0.2700000,0.2700000,27.8270580
0.2750000,0.2750000,0.2750000,21.6357936
0.2800000,0.2800000,0.2800000,16.7603983
0.2850000,0.2850000,0.2850000,12.9174199
0.2900000,0.2900000,0.2900000,9.8901772
0.2950000,0.2950000,0.2950000,7.5065670
0.3000000,0.3000000,0.3000000,5.6257512
0.3050000,0.3050000,0.3050000,4.1316885
0.3100000,0.3100000,0.3100000,2.9306277
0.3150000,0.3150000,0.3150000,1.9507034
0.3200000,0.3200000,0.3200000,1.1413984
0.3250000,0.3250000,0.3250000,0.4702625
0.3300000,0.3300000,0.3300000,-0.0835831
0.3350000,0.3350000,0.3350000,-0.5365211
0.3400000,0.3400000,0.3400000,-0.9048648
