# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol]
0.1850000,0.1850000,0.1850000,1657.3753842,-1.0682907,89.6700575
0.1875000,0.1875000,0.1875000,1429.6119675,-1.0589586,77.5671491
0.1900000,0.1900000,0.1900000,1234.9309315,-1.0497643,67.2371691
0.1925000,0.1925000,0.1925000,1068.2738195,-1.0407054,58.3928765
0.1950000,0.1950000,0.1950000,925.3955283,-1.0317789,50.7942752
0.1975000,0.1975000,0.1975000,802.7270122,-1.0229812,44.2419739
0.2000000,0.2000000,0.2000000,697.2622877,-1.0143086,38.5719842
0.2025000,0.2025000,0.2025000,606.4652337,-1.0057568,33.6508245
0.2050000,0.2050000,0.2050000,528.1925552,-0.9973217,29.3703188
0.2075000,0.2075000,0.2075000,460.6299745,-0.9889989,25.6422520
0.2100000,0.2100000,0.2100000,402.2392723,-0.9807842,22.3934687
0.2125000,0.2125000,0.2125000,351.7142483,-0.9726734,19.5618380
0.2150000,0.2150000,0.2150000,307.9440274,-0.9646630,17.0931362
0.2175000,0.2175000,0.2175000,269.9824232,-0.9567505,14.9387564
0.2200000,0.2200000,0.2200000,237.0222976,-0.9489364,13.0542785
0.2225000,0.2225000,0.2225000,208.3740405,-0.9412270,11.3989969
0.2250000,0.2250000,0.2250000,183.4474587,-0.9336393,9.9363022
0.2275000,0.2275000,0.2275000,161.7365168,-0.9262038,8.6344386
0.2300000,0.2300000,0.2300000,142.8065049,-0.9189656,7.4669777
0.2325000,0.2325000,0.2325000,126.2833100,-0.9119786,6.4126045
0.2350000,0.2350000,0.2350000,111.8445142,-0.9052951,5.4543367
0.2375000,0.2375000,0.2375000,99.2120457,-0.8989525,4.5786429
0.2400000,0.2400000,0.2400000,88.1460861,-0.8929608,3.7748260
0.2425000,0.2425000,0.2425000,78.4399237,-0.8872978,3.0346984
0.2450000,0.2450000,0.2450000,69.9154805,-0.8819124,2.3523353
0.2475000,0.2475000,0.2475000,62.4193374,-0.8767365,1.7237018
0.2500000,0.2500000,0.2500000,55.8192074,-0.8716984,1.1461067
0.2525000,0.2525000,0.2525000,50.0008848,-0.8667337,0.6175723
0.2550000,0.2550000,0.2550000,44.8656784,-0.8617912,0.1362554
0.2575000,0.2575000,0.2575000,40.3282665,-0.8568336,-0.2999741
0.2600000,0.2600000,0.2600000,36.3148524,-0.8518379,-0.6937428
0.2625000,0.2625000,0.2625000,32.7615123,-0.8467961,-1.0481717
0.2650000,0.2650000,0.2650000,29.6126893,-0.8417188,-1.3667134
0.2675000,0.2675000,0.2675000,26.8198376,-0.8366391,-1.6529107
0.2700000,0.2700000,0.2700000,24.3402439,-0.8316179,-1.9101613
0.2725000,0.2725000,0.2725000,22.1360332,-0.8267480,-2.1415483
0.2750000,0.2750000,0.2750000,20.1733539,-0.8221578,-2.3497531
0.2775000,0.2775000,0.2775000,18.4217296,-0.8180068,-2.5370385
0.2800000,0.2800000,0.2800000,16.8535656,-0.8144701,-2.7052730
0.2825000,0.2825000,0.2825000,15.4438112,-0.8117053,-2.8559801
0.2850000,0.2850000,0.2850000,14.1698004,-0.8098083,-2.9904020
0.2875000,0.2875000,0.2875000,13.0113071,-0.8087689,-3.1095749
0.2900000,0.2900000,0.2900000,11.9508041,-0.8084463,-3.2144069
0.2925000,0.2925000,0.2925000,10.9738131,-0.8085813,-3.3057479
0.2950000,0.2950000,0.2950000,10.0691373,-0.8088476,-3.3844423
0.2975000,0.2975000,0.2975000,9.2287693,-0.8089273,-3.4513599
0.3000000,0.3000000,0.3000000,8.4474047,-0.8085812,-3.5074040
0.3025000,0.3025000,0.3025000,7.7216672,-0.8076896,-3.5535003
0.3050000,0.3050000,0.3050000,7.0492639,-0.8062567,-3.5905719
0.3075000,0.3075000,0.3075000,6.4282718,-0.8043859,-3.6195060
0.3100000,0.3100000,0.3100000,5.8566636,-0.8022426,-3.6411217
0.3125000,0.3125000,0.3125000,5.3320783,-0.8000169,-3.6561494
0.3150000,0.3150000,0.3150000,4.8517829,-0.7978929,-3.6652323
0.3175000,0.3175000,0.3175000,4.4127489,-0.7960267,-3.6689512
0.3200000,0.3200000,0.3200000,4.0117817,-0.7945319,-3.6678646
0.3225000,0.3225000,0.3225000,3.6456583,-0.7934728,-3.6625422
0.3250000,0.3250000,0.3250000,3.3112505,-0.7928638,-3.6535780
0.3275000,0.3275000,0.3275000,3.0056203,-0.7926738,-3.6415783
0.3300000,0.3300000,0.3300000,2.7260834,-0.7928367,-3.6271372
0.3325000,0.3325000,0.3325000,2.4702377,-0.7932643,-3.6108153
0.3350000,0.3350000,0.3350000,2.2359623,-0.7938601,-3.5931263
0.3375000,0.3375000,0.3375000,2.0213966,-0.7945313,-3.5745276
0.3400000,0.3400000,0.3400000,1.8249097,-0.7951979,-3.5553999
0.3425000,0.3425000,0.3425000,1.6450688,-0.7957963,-3.5360132
0.3450000,0.3450000,0.3450000,1.4806112,-0.7962805,-3.5164864
0.3475000,0.3475000,0.3475000,1.3304188,-0.7966203,-3.4967568
0.3500000,0.3500000,0.3500000,1.1934936,-0.7967986,-3.4765788
0.3525000,0.3525000,0.3525000,1.0689341,-0.7968079,-3.4555538
0.3550000,0.3550000,0.3550000,0.9559128,-0.7966486,-3.4331893
0.3575000,0.3575000,0.3575000,0.8536565,-0.7963251,-3.4089748
0.3600000,0.3600000,0.3600000,0.7614318,-0.7958451,-3.3824621
0.3625000,0.3625000,0.3625000,0.6785363,-0.7952168,-3.3533446
0.3650000,0.3650000,0.3650000,0.6042956,-0.7944481,-3.3215244
0.3675000,0.3675000,0.3675000,0.5380643,-0.7935456,-3.2871612
0.3700000,0.3700000,0.3700000,0.4792297,-0.7925139,-3.2506938
0.3725000,0.3725000,0.3725000,0.4272158,-0.7913558,-3.2128307
0.3750000,0.3750000,0.3750000,0.3814860,-0.7900722,-3.1745141
0.3775000,0.3775000,0.3775000,0.3415447,-0.7886627,-3.1368601
0.3800000,0.3800000,0.3800000,0.3069362,-0.7871262,-3.1010759
0.3825000,0.3825000,0.3825000,0.2772419,-0.7854613,-3.0683509
0.3850000,0.3850000,0.3850000,0.2520770,-0.7836672,-3.0397284
0.3875000,0.3875000,0.3875000,0.2310858,-0.7817439,-3.0159731
0.3900000,0.3900000,0.3900000,0.2139368,-0.7796929,-2.9974650
0.3925000,0.3925000,0.3925000,0.2003184,-0.7775174,-2.9841457
0.3950000,0.3950000,0.3950000,0.1899340,-0.7752230,-2.9755346
0.3975000,0.3975000,0.3975000,0.1824978,-0.7728176,-2.9708127
0.4000000,0.4000000,0.4000000,0.1777291,-0.7703121,-2.9689543
0.4025000,0.4025000,0.4025000,0.1753489,-0.7677205,-2.9688794
0.4050000,0.4050000,0.4050000,0.1750759,-0.7650601,-2.9695997
0.4075000,0.4075000,0.4075000,0.1766274,-0.7623508,-2.9703385
0.4100000,0.4100000,0.4100000,0.1797223,-0.7596138,-2.9706140
0.4125000,0.4125000,0.4125000,0.1840881,-0.7568698,-2.9702826
0.4150000,0.4150000,0.4150000,0.1894699,-0.7541370,-2.9695356
0.4175000,0.4175000,0.4175000,0.1956378,-0.7514296,-2.9688492
0.4200000,0.4200000,0.4200000,0.2023922,-0.7487561,-2.9688838
0.4225000,0.4225000,0.4225000,0.2095643,-0.7461195,-2.9703452
0.4250000,0.4250000,0.4250000,0.2170127,-0.7435183,-2.9738277
0.4275000,0.4275000,0.4275000,0.2246169,-0.7409480,-2.9796718
0.4300000,0.4300000,0.4300000,0.2322693,-0.7384033,-2.9878692
0.4325000,0.4325000,0.4325000,0.2398666,-0.7358809,-2.9980374
0.4350000,0.4350000,0.4350000,0.2473017,-0.7333820,-3.0094699
0.4375000,0.4375000,0.4375000,0.2544589,-0.7309143,-3.0212470
0.4400000,0.4400000,0.4400000,0.2612124,-0.7284929,-3.0323769
0.4425000,0.4425000,0.4425000,0.2674310,-0.7261398,-3.0419340
0.4450000,0.4450000,0.4450000,0.2729857,-0.7238822,-3.0491633
0.4475000,0.4475000,0.4475000,0.2777606,-0.7217501,-3.0535366
0.4500000,0.4500000,0.4500000,0.2816608,-0.7197739,-3.0547604
0.4525000,0.4525000,0.4525000,0.2846157,-0.7179826,-3.0527480
0.4550000,0.4550000,0.4550000,0.2865777,-0.7164031,-3.0475727
0.4575000,0.4575000,0.4575000,0.2875169,-0.7150595,-3.0394201
0.4600000,0.4600000,0.4600000,0.2874148,-0.7139724,-3.0285462
0.4625000,0.4625000,0.4625000,0.2862622,-0.7131577,-3.0152501
0.4650000,0.4650000,0.4650000,0.2840616,-0.7126240,-2.9998590
0.4675000,0.4675000,0.4675000,0.2808344,-0.7123693,-2.9827265
0.4700000,0.4700000,0.4700000,0.2766321,-0.7123787,-2.9642399
0.4725000,0.4725000,0.4725000,0.2715443,-0.7126221,-2.9448323
0.4750000,0.4750000,0.4750000,0.2657032,-0.7130548,-2.9249948
0.4775000,0.4775000,0.4775000,0.2592807,-0.7136203,-2.9052804
0.4800000,0.4800000,0.4800000,0.2524784,-0.7142546,-2.8862947
0.4825000,0.4825000,0.4825000,0.2455128,-0.7148924,-2.8686706
0.4850000,0.4850000,0.4850000,0.2385981,-0.7154728,-2.8530290
0.4875000,0.4875000,0.4875000,0.2319290,-0.7159451,-2.8399342
0.4900000,0.4900000,0.4900000,0.2256661,-0.7162727,-2.8298537
0.4925000,0.4925000,0.4925000,0.2199259,-0.7164357,-2.8231321
0.4950000,0.4950000,0.4950000,0.2147737,-0.7164319,-2.8199804
0.4975000,0.4975000,0.4975000,0.2102232,-0.7162762,-2.8204790
0.5000000,0.5000000,0.5000000,0.2062384,-0.7159985,-2.8245858
0.5025000,0.5025000,0.5025000,0.2027407,-0.7156407,-2.8321456
0.5050000,0.5050000,0.5050000,0.1996185,-0.7152518,-2.8428949
0.5075000,0.5075000,0.5075000,0.1967394,-0.7148838,-2.8564639
0.5100000,0.5100000,0.5100000,0.1939634,-0.7145860,-2.8723797
0.5125000,0.5125000,0.5125000,0.1911548,-0.7144007,-2.8900750
0.5150000,0.5150000,0.5150000,0.1881920,-0.7143609,-2.9089133
0.5175000,0.5175000,0.5175000,0.1849744,-0.7144881,-2.9282422
0.5200000,0.5200000,0.5200000,0.1814240,-0.7147933,-2.9474849
0.5225000,0.5225000,0.5225000,0.1774851,-0.7152786,-2.9662687
0.5250000,0.5250000,0.5250000,0.1731217,-0.7159390,-2.9845602
0.5275000,0.5275000,0.5275000,0.1683138,-0.7167644,-3.0027574
0.5300000,0.5300000,0.5300000,0.1630563,-0.7177406,-3.0216850
0.5325000,0.5325000,0.5325000,0.1573571,-0.7188498,-3.0424662
0.5350000,0.5350000,0.5350000,0.1512372,-0.7200704,-3.0662908
0.5375000,0.5375000,0.5375000,0.1447302,-0.7213778,-3.0941400
0.5400000,0.5400000,0.5400000,0.1378803,-0.7227460,-3.1265449
0.5425000,0.5425000,0.5425000,0.1307384,-0.7241494,-3.1634437
0.5450000,0.5450000,0.5450000,0.1233580,-0.7255655,-3.2041659
0.5475000,0.5475000,0.5475000,0.1157907,-0.7269762,-3.2475317
0.5500000,0.5500000,0.5500000,0.1080822,-0.7283694,-3.2920259
0.5525000,0.5525000,0.5525000,0.1002710,-0.7297379,-3.3359958
0.5550000,0.5550000,0.5550000,0.0923873,-0.7310791,-3.3778302
0.5575000,0.5575000,0.5575000,0.0844539,-0.7323930,-3.4160957
0.5600000,0.5600000,0.5600000,0.0764858,-0.7336819,-3.4496200
0.5625000,0.5625000,0.5625000,0.0684902,-0.7349500,-3.4775274
0.5650000,0.5650000,0.5650000,0.0604632,-0.7362046,-3.4992380
0.5675000,0.5675000,0.5675000,0.0523837,-0.7374608,-3.5144419
0.5700000,0.5700000,0.5700000,0.0442005,-0.7387478,-3.5230601
