# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,15174584272.2454281
0.0050000,0.0050000,0.0050000,5148516098.0275373
0.0100000,0.0100000,0.0100000,1908586710.8574483
0.0150000,0.0150000,0.0150000,765078998.4917126
0.0200000,0.0200000,0.0200000,330789142.1815881
0.0250000,0.0250000,0.0250000,156270240.8355793
0.0300000,0.0300000,0.0300000,84137106.8778325
0.0350000,0.0350000,0.0350000,55511938.9120871
0.0400000,0.0400000,0.0400000,30978591.7129311
0.0450000,0.0450000,0.0450000,18628095.3952065
0.0500000,0.0500000,0.0500000,12133881.3034401
0.0550000,0.0550000,0.0550000,8520949.0216451
0.0600000,0.0600000,0.0600000,6226768.7112998
0.0650000,0.0650000,0.0650000,4171655.4391233
0.0700000,0.0700000,0.0700000,2584576.6188973
0.0750000,0.0750000,0.0750000,1645598.5690278
0.0800000,0.0800000,0.0800000,1077733.7983485
0.0850000,0.0850000,0.0850000,726907.3652409
0.0900000,0.0900000,0.0900000,505730.8096945
0.0950000,0.0950000,0.0950000,363662.7740532
0.1000000,0.1000000,0.1000000,268538.2872549
0.1050000,0.1050000,0.1050000,200271.4332604
0.1100000,0.1100000,0.1100000,147288.3962699
0.1150000,0.1150000,0.1150000,110521.6920255
0.1200000,0.1200000,0.1200000,82406.0802146
0.1250000,0.1250000,0.1250000,60714.0549567
0.1300000,0.1300000,0.1300000,45176.3906183
0.1350000,0.1350000,0.1350000,34021.1988033
0.1400000,0.1400000,0.1400000,25959.4977720
0.1450000,0.1450000,0.1450000,19730.9564341
0.1500000,0.1500000,0.1500000,14690.5168980
0.1550000,0.1550000,0.1550000,11034.5155603
0.1600000,0.1600000,0.1600000,8356.4686066
0.1650000,0.1650000,0.1650000,6366.0648497
0.1700000,0.1700000,0.1700000,4869.1426294
0.1750000,0.1750000,0.1750000,3747.9008171
0.1800000,0.1800000,0.1800000,2901.5478864
0.1850000,0.1850000,0.1850000,2258.0504143
0.1900000,0.1900000,0.1900000,1779.0835887
0.1950000,0.1950000,0.1950000,1399.6452228
0.2000000,0.2000000,0.2000000,1105.6418721
0.2050000,0.2050000,0.2050000,866.9179681
0.2100000,0.2100000,0.2100000,674.4638875
0.2150000,0.2150000,0.2150000,526.5871675
0.2200000,0.2200000,0.2200000,412.5028711
0.2250000,0.2250000,0.2250000,324.1433360
0.2300000,0.2300000,0.2300000,255.4503918
0.2350000,0.2350000,0.2350000,201.8236285
0.2400000,0.2400000,0.2400000,159.7656746
0.2450000,0.2450000,0.2450000,126.6682142
0.2500000,0.2500000,0.2500000,100.5964973
0.2550000,0.2550000,0.2550000,80.0697330
0.2600000,0.2600000,0.2600000,63.9165491
0.2650000,0.2650000,0.2650000,51.1985269
0.2700000,0.2700000,0.2700000,41.1635058
0.2750000,0.2750000,0.2750000,33.2114216
0.2800000,0.2800000,0.2800000,26.8694338
0.2850000,0.2850000,0.2850000,21.7741086
0.2900000,0.2900000,0.2900000,17.6548003
0.2950000,0.2950000,0.2950000,14.3137244
0.3000000,0.3000000,0.3000000,11.6040027
0.3050000,0.3050000,0.3050000,9.4103684
0.3100000,0.3100000,0.3100000,7.6359512
0.3150000,0.3150000,0.3150000,6.1955409
0.3200000,0.3200000,0.3200000,5.0142462
0.3250000,0.3250000,0.3250000,4.0298293
0.3300000,0.3300000,0.3300000,3.1957019
