# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,4953539.6151814,7906006916.4487600,5094305291.6267900,31512726892.9061203,506089222.9677308,22197448977.3541336,7906007354.7875366,7906006478.1099834,9319907727.4696598,5894427200.2815905,162832120182.1541138
0.0025000,0.0025000,0.0025000,inf,nan,3227259.5599009,4550808896.9165831,2932350661.4056945,18139206905.5293350,291308094.5335426,12777189510.3481445,4550809303.8555927,4550808489.9775734,5364670111.3261566,3392915289.4439445,93728644629.0482483
0.0050000,0.0050000,0.0050000,inf,nan,2147821.8969568,2682836581.3106751,1728705151.5660677,10693628172.9720325,171731733.4017127,7532550841.2936487,2682836959.7552538,2682836202.8660965,3162631863.3334694,2000224017.7512252,55255951073.7022552
0.0075000,0.0075000,0.0075000,inf,nan,1459545.3796018,1616976622.2410295,1041908772.2559311,6445195542.3708496,103502383.5729836,4539970480.3214016,1616976974.7316062,1616976269.7504528,1906154785.3453145,1205558138.9041080,33303509219.6770897
0.0100000,0.0100000,0.0100000,inf,nan,1013471.3260508,994926098.5171436,641085319.9312892,3965747881.5649519,63683226.7030963,2793456773.8505917,994926427.2839745,994925769.7503127,1172857490.7440462,741780208.3082078,20491743036.3236732
0.0125000,0.0125000,0.0125000,inf,nan,720897.3399605,624306627.2814451,402273822.5108609,2488483016.3954082,39959170.5582728,1752876993.3262389,624306934.2892483,624306320.2736419,735956877.0178133,465459998.2081437,12858442199.9223175
0.0150000,0.0150000,0.0150000,inf,nan,528035.7294275,399290472.2589554,257283122.4264717,1591581279.8563497,25555685.3971349,1121102871.7043927,399290759.2435611,399290185.2743496,470699102.2445011,297696251.1378195,8223985633.9051132
0.0175000,0.0175000,0.0175000,inf,nan,401862.9631787,260340694.4863266,167750014.9466335,1037733716.5361667,16661551.2451752,730974834.0872270,260340962.9849555,260340425.9876976,306899712.5805460,194100421.0011114,5362153654.5645895
0.0200000,0.0200000,0.0200000,inf,nan,322068.1930327,173259853.6154952,111639058.2890956,690632247.0441754,11087653.3166606,486477963.5116488,173260104.9919153,173259602.2390751,204245438.3908685,129176157.4029482,3568617000.3437552
0.0225000,0.0225000,0.0225000,inf,nan,276426.1538943,118023990.2534626,76047633.9138248,470462995.4048722,7552187.1259922,331391657.9247012,118024225.7189976,118023754.7879276,139131259.3594515,87994334.6606973,2430962518.0485182
