# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1775000,0.1775000,0.1775000,1645.3356708
0.2025000,0.2025000,0.2025000,464.3194482
0.2275000,0.2275000,0.2275000,143.9831537
0.2525000,0.2525000,0.2525000,46.6774981
0.2775000,0.2775000,0.2775000,13.1526458
0.3025000,0.3025000,0.3025000,3.0232291
0.3275000,0.3275000,0.3275000,0.0700124
0.3525000,0.3525000,0.3525000,-0.7142727
0.3775000,0.3775000,0.3775000,-0.9601591
0.4025000,0.4025000,0.4025000,-1.1099677
0.4275000,0.4275000,0.4275000,-1.2068494
0.4525000,0.4525000,0.4525000,-1.1644598
0.4775000,0.4775000,0.4775000,-1.0471654
0.5025000,0.5025000,0.5025000,-0.8990286
0.5275000,0.5275000,0.5275000,-0.7337037
0.5525000,0.5525000,0.5525000,-0.5768629
0.5775000,0.5775000,0.5775000,-0.4468441
0.6025000,0.6025000,0.6025000,-0.3458892
0.6275000,0.6275000,0.6275000,-0.2691953
0.6525000,0.6525000,0.6525000,-0.2111211
0.6775000,0.6775000,0.6775000,-0.1669612
0.7025000,0.7025000,0.7025000,-0.1331419
0.7275000,0.7275000,0.7275000,-0.1070296
0.7525000,0.7525000,0.7525000,-0.0866980
0.7775000,0.7775000,0.7775000,-0.0707366
0.8025000,0.8025000,0.8025000,-0.0581063
0.8275000,0.8275000,0.8275000,-0.0480361
0.8525000,0.8525000,0.8525000,-0.0399494
0.8775000,0.8775000,0.8775000,-0.0334116
0.9025000,0.9025000,0.9025000,-0.0280920
0.9275000,0.9275000,0.9275000,-0.0237376
0.9525000,0.9525000,0.9525000,-0.0201529
0.9775000,0.9775000,0.9775000,-0.0171858
1.0025000,1.0025000,1.0025000,-0.0147175
1.0275000,1.0275000,1.0275000,-0.0126541
1.0525000,1.0525000,1.0525000,-0.0109213
1.0775000,1.0775000,1.0775000,-0.0094598
1.1025000,1.1025000,1.1025000,-0.0082220
1.1275000,1.1275000,1.1275000,-0.0071695
1.1525000,1.1525000,1.1525000,-0.0062713
1.1775000,1.1775000,1.1775000,-0.0055019
1.2025000,1.2025000,1.2025000,-0.0048407
1.2275000,1.2275000,1.2275000,-0.0042705
1.2525000,1.2525000,1.2525000,-0.0037773
1.2775000,1.2775000,1.2775000,-0.0033494
1.3025000,1.3025000,1.3025000,-0.0029771
1.3275000,1.3275000,1.3275000,-0.0026523
1.3525000,1.3525000,1.3525000,-0.0023682
1.3775000,1.3775000,1.3775000,-0.0021190
1.4025000,1.4025000,1.4025000,-0.0018999
1.4275000,1.4275000,1.4275000,-0.0017068
1.4525000,1.4525000,1.4525000,-0.0015363
1.4775000,1.4775000,1.4775000,-0.0013853
1.5025000,1.5025000,1.5025000,-0.0012514
1.5275000,1.5275000,1.5275000,-0.0011324
1.5525000,1.5525000,1.5525000,-0.0010264
1.5775000,1.5775000,1.5775000,-0.0009318
