# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol],UMincline(d)[kj/mol]
0.0000000,0.0000000,0.0000000,18306010.4897707,18306010.4897707
0.0050000,0.0050000,0.0050000,10162112.6520439,10162112.6520439
0.0100000,0.0100000,0.0100000,5914565.7605909,5914565.7605909
0.0150000,0.0150000,0.0150000,3604827.8193866,3604827.8193866
0.0200000,0.0200000,0.0200000,2298287.2056338,2298287.2056338
0.0250000,0.0250000,0.0250000,1533470.4369544,1533470.4369544
0.0300000,0.0300000,0.0300000,1075078.0284119,1075078.0284119
0.0350000,0.0350000,0.0350000,799781.6752363,799781.6752363
0.0400000,0.0400000,0.0400000,642054.4146337,642054.4146337
0.0450000,0.0450000,0.0450000,556855.0417644,556855.0417644
0.0500000,0.0500000,0.0500000,474790.0402959,474790.0402959
0.0550000,0.0550000,0.0550000,399732.1273007,399732.1273007
0.0600000,0.0600000,0.0600000,332538.7290095,332538.7290095
0.0650000,0.0650000,0.0650000,288834.4028872,288834.4028872
0.0700000,0.0700000,0.0700000,233343.2620624,233343.2620624
0.0750000,0.0750000,0.0750000,184617.2519189,184617.2519189
0.0800000,0.0800000,0.0800000,148898.3376451,148898.3376451
0.0850000,0.0850000,0.0850000,122524.5527092,122524.5527092
0.0900000,0.0900000,0.0900000,102951.5847440,102951.5847440
0.0950000,0.0950000,0.0950000,88441.9264315,88441.9264315
0.1000000,0.1000000,0.1000000,76516.0479421,76516.0479421
0.1050000,0.1050000,0.1050000,63641.0314369,63641.0314369
0.1100000,0.1100000,0.1100000,56025.2258003,56025.2258003
0.1150000,0.1150000,0.1150000,53072.7579052,53072.7579052
0.1200000,0.1200000,0.1200000,54705.9513202,54705.9513202
0.1250000,0.1250000,0.1250000,56694.3553353,56694.3553353
0.1300000,0.1300000,0.1300000,56736.7660200,56736.7660200
0.1350000,0.1350000,0.1350000,57739.1907162,57739.1907162
0.1400000,0.1400000,0.1400000,49149.3414997,49149.3414997
0.1450000,0.1450000,0.1450000,39607.1477823,39607.1477823
0.1500000,0.1500000,0.1500000,29150.3415190,29150.3415190
0.1550000,0.1550000,0.1550000,21676.0867424,21676.0867424
0.1600000,0.1600000,0.1600000,16267.8770535,16267.8770535
