# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,147986919.1785989,147986919.1785989
0.0050000,0.0050000,0.0050000,72187780.1334566,72187780.1334566
0.0100000,0.0100000,0.0100000,39710979.5419165,39710979.5419165
0.0150000,0.0150000,0.0150000,25889839.9174360,25889839.9174360
0.0200000,0.0200000,0.0200000,21005060.2488241,21005060.2488241
0.0250000,0.0250000,0.0250000,19827980.9230554,19827980.9230554
0.0300000,0.0300000,0.0300000,19410139.4448618,19410139.4448618
0.0350000,0.0350000,0.0350000,22162980.3037978,22162980.3037978
0.0400000,0.0400000,0.0400000,17205905.2895409,17205905.2895409
0.0450000,0.0450000,0.0450000,10392136.7591870,10392136.7591870
0.0500000,0.0500000,0.0500000,6600763.6289327,6600763.6289327
0.0550000,0.0550000,0.0550000,4387383.1864252,4387383.1864252
0.0600000,0.0600000,0.0600000,3049567.4707001,3049567.4707001
0.0650000,0.0650000,0.0650000,2208194.7868101,2208194.7868101
0.0700000,0.0700000,0.0700000,1660618.9237755,1660618.9237755
0.0750000,0.0750000,0.0750000,1293979.6981101,1293979.6981101
0.0800000,0.0800000,0.0800000,1014553.5168212,1014553.5168212
0.0850000,0.0850000,0.0850000,819209.3409499,819209.3409499
0.0900000,0.0900000,0.0900000,694629.1773819,694629.1773819
0.0950000,0.0950000,0.0950000,618950.2682623,618950.2682623
0.1000000,0.1000000,0.1000000,579900.5573408,579900.5573408
0.1050000,0.1050000,0.1050000,520317.4293251,520317.4293251
0.1100000,0.1100000,0.1100000,475856.1447846,475856.1447846
0.1150000,0.1150000,0.1150000,443172.4940175,443172.4940175
0.1200000,0.1200000,0.1200000,403810.5439591,403810.5439591
0.1250000,0.1250000,0.1250000,347680.1787560,347680.1787560
0.1300000,0.1300000,0.1300000,242436.8785910,242436.8785910
0.1350000,0.1350000,0.1350000,170263.1938443,170263.1938443
0.1400000,0.1400000,0.1400000,120457.9457169,120457.9457169
0.1450000,0.1450000,0.1450000,85860.6609339,85860.6609339
0.1500000,0.1500000,0.1500000,61662.1934399,61662.1934399
0.1550000,0.1550000,0.1550000,44617.8876717,44617.8876717
0.1600000,0.1600000,0.1600000,32527.2039553,32527.2039553
0.1650000,0.1650000,0.1650000,23889.1844545,23889.1844545
0.1700000,0.1700000,0.1700000,17673.8142638,17673.8142638
0.1750000,0.1750000,0.1750000,13169.7904137,13169.7904137
0.1800000,0.1800000,0.1800000,9882.7441144,9882.7441144
0.1850000,0.1850000,0.1850000,7426.0135822,7426.0135822
0.1900000,0.1900000,0.1900000,5549.4327959,5549.4327959
0.1950000,0.1950000,0.1950000,4172.5165618,4172.5165618
0.2000000,0.2000000,0.2000000,3155.9229250,3155.9229250
0.2050000,0.2050000,0.2050000,2400.6842701,2400.6842701
0.2100000,0.2100000,0.2100000,1836.1230931,1836.1230931
0.2150000,0.2150000,0.2150000,1437.8557908,1411.4903139
0.2200000,0.2200000,0.2200000,1116.3468555,1090.1493323
0.2250000,0.2250000,0.2250000,865.6350759,839.4827652
0.2300000,0.2300000,0.2300000,670.7381102,644.3824894
0.2350000,0.2350000,0.2350000,522.1127835,495.7509421
0.2400000,0.2400000,0.2400000,408.3303973,382.0147275
0.2450000,0.2450000,0.2450000,320.5613153,294.6187985
0.2500000,0.2500000,0.2500000,252.0242134,227.2054890
0.2550000,0.2550000,0.2550000,198.2845002,175.0252753
0.2600000,0.2600000,0.2600000,156.3658469,133.6302652
0.2650000,0.2650000,0.2650000,123.7633045,101.2692356
0.2700000,0.2700000,0.2700000,98.3958194,76.2303316
0.2750000,0.2750000,0.2750000,78.6122036,56.8295294
0.2800000,0.2800000,0.2800000,63.1249873,41.7854787
0.2850000,0.2850000,0.2850000,50.9373875,30.1087543
0.2900000,0.2900000,0.2900000,41.2844026,21.0343733
0.2950000,0.2950000,0.2950000,33.5881930,14.0197917
0.3000000,0.3000000,0.3000000,27.4193205,8.6121322
0.3050000,0.3050000,0.3050000,22.4568317,4.4602460
0.3100000,0.3100000,0.3100000,18.4509120,1.2910033
0.3150000,0.3150000,0.3150000,15.1997809,-1.1086594
0.3200000,0.3200000,0.3200000,12.5435318,-2.9053917
0.3250000,0.3250000,0.3250000,10.3617906,-4.2298537
0.3300000,0.3300000,0.3300000,8.5642046,-5.1847075
0.3350000,0.3350000,0.3350000,7.0779240,-5.8507670
0.3400000,0.3400000,0.3400000,5.8403008,-6.2917469
0.3450000,0.3450000,0.3450000,4.7980624,-6.5579431
0.3500000,0.3500000,0.3500000,3.9091265,-6.6890950
0.3550000,0.3550000,0.3550000,3.1432427,-6.7236648
0.3600000,0.3600000,0.3600000,2.4802016,-6.6890170
0.3650000,0.3650000,0.3650000,1.9064793,-6.5946102
0.3700000,0.3700000,0.3700000,1.4116902,-6.4531192
0.3750000,0.3750000,0.3750000,0.9859137,-6.2884459
0.3800000,0.3800000,0.3800000,0.6184842,-6.1102380
0.3850000,0.3850000,0.3850000,0.2982594,-6.0098828
0.3900000,0.3900000,0.3900000,0.0148735,-5.9317267
0.3950000,0.3950000,0.3950000,-0.2398195,-5.8118179
0.4000000,0.4000000,0.4000000,-0.4708998,-5.6610378
0.4050000,0.4050000,0.4050000,-0.6806117,-5.4880658
0.4100000,0.4100000,0.4100000,-0.8694930,-5.3832770
0.4150000,0.4150000,0.4150000,-1.0376535,-5.3937045
0.4200000,0.4200000,0.4200000,-1.1855650,-5.4340445
0.4250000,0.4250000,0.4250000,-1.3143278,-5.4801584
0.4300000,0.4300000,0.4300000,-1.4256687,-5.4512879
0.4350000,0.4350000,0.4350000,-1.5218189,-5.3667634
0.4400000,0.4400000,0.4400000,-1.6052816,-5.2696604
0.4450000,0.4450000,0.4450000,-1.6785134,-5.1485987
0.4500000,0.4500000,0.4500000,-1.7435228,-4.9970690
0.4550000,0.4550000,0.4550000,-1.8014738,-4.8248639
0.4600000,0.4600000,0.4600000,-1.8525910,-4.6394759
0.4650000,0.4650000,0.4650000,-1.8964764,-4.4466132
0.4700000,0.4700000,0.4700000,-1.9325383,-4.3368284
0.4750000,0.4750000,0.4750000,-1.9602394,-4.3095473
0.4800000,0.4800000,0.4800000,-1.9791639,-4.2568454
0.4850000,0.4850000,0.4850000,-1.9890260,-4.2196573
0.4900000,0.4900000,0.4900000,-1.9897416,-4.2367308
0.4950000,0.4950000,0.4950000,-1.9815070,-4.2410964
0.5000000,0.5000000,0.5000000,-1.9647983,-4.1901161
0.5050000,0.5050000,0.5050000,-1.9403862,-4.0994638
0.5100000,0.5100000,0.5100000,-1.9094113,-3.9810464
0.5150000,0.5150000,0.5150000,-1.8733891,-3.8438980
0.5200000,0.5200000,0.5200000,-1.8340537,-3.6948557
0.5250000,0.5250000,0.5250000,-1.7930870,-3.5472164
0.5300000,0.5300000,0.5300000,-1.7518461,-3.3992436
0.5350000,0.5350000,0.5350000,-1.7111947,-3.2492407
0.5400000,0.5400000,0.5400000,-1.6714793,-3.0995385
0.5450000,0.5450000,0.5450000,-1.6326360,-2.9518818
0.5500000,0.5500000,0.5500000,-1.5943723,-2.8749360
0.5550000,0.5550000,0.5550000,-1.5563345,-2.9347131
0.5600000,0.5600000,0.5600000,-1.5181867,-2.9446785
0.5650000,0.5650000,0.5650000,-1.4796132,-2.9174593
0.5700000,0.5700000,0.5700000,-1.4402908,-2.8815230
0.5750000,0.5750000,0.5750000,-1.3998698,-2.9405389
0.5800000,0.5800000,0.5800000,-1.3580146,-2.9491207
0.5850000,0.5850000,0.5850000,-1.3145008,-2.9201287
0.5900000,0.5900000,0.5900000,-1.2692999,-2.8635614
0.5950000,0.5950000,0.5950000,-1.2225963,-2.7871820
0.6000000,0.6000000,0.6000000,-1.1747477,-2.6970045
0.6050000,0.6050000,0.6050000,-1.1262223,-2.5976738
0.6100000,0.6100000,0.6100000,-1.0775327,-2.4927612
0.6150000,0.6150000,0.6150000,-1.0291782,-2.3852346
0.6200000,0.6200000,0.6200000,-0.9816029,-2.2798734
0.6250000,0.6250000,0.6250000,-0.9351740,-2.1744669
0.6300000,0.6300000,0.6300000,-0.8901742,-2.0703457
