# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,30912009.9565616,8916259314.8435459,5744389830.5450678,35552159023.1160278,570164795.1051804,25042250942.7739067,8916258801.0979424,8916259828.5891495,10510832455.2111816,6647634132.5774155,183699592789.7840271,8916259314.8435459,5744389830.5450678,35552159023.1160278,570164795.1051804,25042250942.7739067,8916258801.0979424,8916259828.5891495,10510832455.2111816,6647634132.5774155,183699592789.7840271
0.0025000,0.0025000,0.0025000,inf,nan,28759674.6085943,5097965618.4868746,3284411533.8058143,20327362696.4605217,325993397.5649120,14318198161.9364643,5097965109.9045048,5097966127.0692444,6009679685.8675537,3800855163.0773392,105032375875.7469940,5097965618.4868746,3284411533.8058143,20327362696.4605217,325993397.5649120,14318198161.9364643,5097965109.9045048,5097966127.0692444,6009679685.8675537,3800855163.0773392,105032375875.7469940
0.0050000,0.0050000,0.0050000,inf,nan,33728173.4223250,2988728778.8437881,1925512982.4815683,11917131291.5682659,191113331.5231762,8394193728.8607998,2988728274.7079759,2988729282.9796004,3523229455.2265615,2228285959.5820327,61576329370.0221405,2988728778.8437881,1925512982.4815683,11917131291.5682659,191113331.5231762,8394193728.8607998,2988728274.7079759,2988729282.9796004,3523229455.2265615,2228285959.5820327,61576329370.0221405
0.0075000,0.0075000,0.0075000,inf,nan,47421249.1853163,1793203055.7852228,1155283223.4329472,7150165214.6927233,114663312.9099788,5036435178.6915293,1793202555.4662788,1793203556.1041667,2113897343.2674229,1336946068.9007723,36945201678.3236008,1793203055.7852228,1155283223.4329472,7150165214.6927233,114663312.9099788,5036435178.6915293,1793202555.4662788,1793203556.1041667,2113897343.2674229,1336946068.9007723,36945201678.3236008
0.0100000,0.0100000,0.0100000,inf,nan,74885322.7360655,1099534454.6883380,708380482.0035532,4384269326.3959980,70305906.5187658,3088191849.0445256,1099533957.6293433,1099534951.7473328,1296173880.0845878,819772340.9370524,22653694805.2892075,1099534454.6883380,708380482.0035532,4384269326.3959980,70305906.5187658,3088191849.0445256,1099533957.6293433,1099534951.7473328,1296173880.0845878,819772340.9370524,22653694805.2892075
0.0125000,0.0125000,0.0125000,inf,nan,122155098.2952788,688466435.8874738,443546196.0863658,2745196443.2454219,44020037.1859667,1933660857.9851079,688465941.5928106,688466930.1821370,811590948.9759612,513295185.4283074,14184533380.6832027,688466435.8874738,443546196.0863658,2745196443.2454219,44020037.1859667,1933660857.9851079,688465941.5928106,688466930.1821370,811590948.9759612,513295185.4283074,14184533380.6832027
0.0150000,0.0150000,0.0150000,inf,nan,83385909.5860636,440283552.0501178,283652330.1331552,1755601837.2389138,28150140.7072700,1236609780.3680840,440283060.0761589,440284044.0240766,519023335.3442169,328259179.6930196,9071255347.7991505,440283552.0501178,283652330.1331552,1755601837.2389138,28150140.7072700,1236609780.3680840,440283060.0761589,440284044.0240766,519023335.3442169,328259179.6930196,9071255347.7991505
0.0175000,0.0175000,0.0175000,inf,nan,77172983.8741482,288097497.2089660,185605351.6452462,1148779722.1107852,18418864.0386363,809176207.9104151,288097007.1564738,288097987.2614582,339620508.6686903,214794869.4996041,5935779761.5694523,288097497.2089660,185605351.6452462,1148779722.1107852,18418864.0386363,809176207.9104151,288097007.1564738,288097987.2614582,339620508.6686903,214794869.4996041,5935779761.5694523
0.0200000,0.0200000,0.0200000,inf,nan,99387916.6515924,193756442.5368650,124825534.0506543,772606018.6767032,12386499.7320035,544206879.7649271,193755954.0447673,193756931.0289628,228407612.7342285,144457658.2323683,3992074616.3326192,193756442.5368650,124825534.0506543,772606018.6767032,12386499.7320035,544206879.7649271,193755954.0447673,193756931.0289628,228407612.7342285,144457658.2323683,3992074616.3326192
0.0225000,0.0225000,0.0225000,inf,nan,161924275.8393724,135110683.3912483,87042699.8032153,538762373.3704437,8636643.0047722,379492057.8964867,135110196.1315370,135111170.6509595,159273716.2399828,100733542.9435391,2783795007.3519945,135110683.3912483,87042699.8032153,538762373.3704437,8636643.0047722,379492057.8964867,135110196.1315370,135111170.6509595,159273716.2399828,100733542.9435391,2783795007.3519945
