# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2525000,0.2525000,0.2525000,820.4854048
0.2775000,0.2775000,0.2775000,238.7797069
0.3025000,0.3025000,0.3025000,60.2505450
0.3275000,0.3275000,0.3275000,14.2371027
0.3525000,0.3525000,0.3525000,2.3045220
0.3775000,0.3775000,0.3775000,-0.9240779
0.4025000,0.4025000,0.4025000,-1.7974499
0.4275000,0.4275000,0.4275000,-2.1158769
0.4525000,0.4525000,0.4525000,-2.3703235
0.4775000,0.4775000,0.4775000,-2.6077787
0.5025000,0.5025000,0.5025000,-2.6826394
0.5275000,0.5275000,0.5275000,-2.3737965
0.5525000,0.5525000,0.5525000,-1.9164627
0.5775000,0.5775000,0.5775000,-1.4922572
0.6025000,0.6025000,0.6025000,-1.1515442
0.6275000,0.6275000,0.6275000,-0.8906391
0.6525000,0.6525000,0.6525000,-0.6934575
0.6775000,0.6775000,0.6775000,-0.5443941
0.7025000,0.7025000,0.7025000,-0.4310643
0.7275000,0.7275000,0.7275000,-0.3442263
0.7525000,0.7525000,0.7525000,-0.2771184
0.7775000,0.7775000,0.7775000,-0.2248111
0.8025000,0.8025000,0.8025000,-0.1836983
0.8275000,0.8275000,0.8275000,-0.1511249
0.8525000,0.8525000,0.8525000,-0.1251206
0.8775000,0.8775000,0.8775000,-0.1042112
0.9025000,0.9025000,0.9025000,-0.0872842
0.9275000,0.9275000,0.9275000,-0.0734934
0.9525000,0.9525000,0.9525000,-0.0621897
0.9775000,0.9775000,0.9775000,-0.0528719
1.0025000,1.0025000,1.0025000,-0.0451496
1.0275000,1.0275000,1.0275000,-0.0387171
1.0525000,1.0525000,1.0525000,-0.0333330
1.0775000,1.0775000,1.0775000,-0.0288059
1.1025000,1.1025000,1.1025000,-0.0249828
1.1275000,1.1275000,1.1275000,-0.0217410
1.1525000,1.1525000,1.1525000,-0.0189812
1.1775000,1.1775000,1.1775000,-0.0166230
1.2025000,1.2025000,1.2025000,-0.0146008
1.2275000,1.2275000,1.2275000,-0.0128608
1.2525000,1.2525000,1.2525000,-0.0113587
1.2775000,1.2775000,1.2775000,-0.0100580
1.3025000,1.3025000,1.3025000,-0.0089282
1.3275000,1.3275000,1.3275000,-0.0079442
1.3525000,1.3525000,1.3525000,-0.0070848
1.3775000,1.3775000,1.3775000,-0.0063322
1.4025000,1.4025000,1.4025000,-0.0056715
1.4275000,1.4275000,1.4275000,-0.0050900
1.4525000,1.4525000,1.4525000,-0.0045771
1.4775000,1.4775000,1.4775000,-0.0041236
1.5025000,1.5025000,1.5025000,-0.0037218
1.5275000,1.5275000,1.5275000,-0.0033651
1.5525000,1.5525000,1.5525000,-0.0030477
1.5775000,1.5775000,1.5775000,-0.0027647
