# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,12549158.4824284
0.0050000,0.0050000,0.0050000,7870679.7391376
0.0100000,0.0100000,0.0100000,5186351.0725004
0.0150000,0.0150000,0.0150000,3563064.9462222
0.0200000,0.0200000,0.0200000,2545855.1182350
0.0250000,0.0250000,0.0250000,1883767.6314262
0.0300000,0.0300000,0.0300000,1435059.2149155
0.0350000,0.0350000,0.0350000,1118927.9845780
0.0400000,0.0400000,0.0400000,888234.7868984
0.0450000,0.0450000,0.0450000,714779.3727291
0.0500000,0.0500000,0.0500000,579294.7559895
0.0550000,0.0550000,0.0550000,469271.8893064
0.0600000,0.0600000,0.0600000,383357.5277307
0.0650000,0.0650000,0.0650000,316410.8890869
0.0700000,0.0700000,0.0700000,264709.3391958
0.0750000,0.0750000,0.0750000,225500.5868808
0.0800000,0.0800000,0.0800000,193532.7006202
0.0850000,0.0850000,0.0850000,164562.0252271
0.0900000,0.0900000,0.0900000,140833.4673743
0.0950000,0.0950000,0.0950000,121318.1070552
0.1000000,0.1000000,0.1000000,105187.7909202
0.1050000,0.1050000,0.1050000,91774.5489083
0.1100000,0.1100000,0.1100000,80538.9471581
0.1150000,0.1150000,0.1150000,71045.0157449
0.1200000,0.1200000,0.1200000,62940.4803027
0.1250000,0.1250000,0.1250000,55941.4546180
0.1300000,0.1300000,0.1300000,49820.8200343
0.1350000,0.1350000,0.1350000,44399.4403645
0.1400000,0.1400000,0.1400000,39539.2918012
0.1450000,0.1450000,0.1450000,35137.6247316
0.1500000,0.1500000,0.1500000,31121.4550657
0.1550000,0.1550000,0.1550000,27441.9795892
0.1600000,0.1600000,0.1600000,24068.8470278
0.1650000,0.1650000,0.1650000,20984.5012008
0.1700000,0.1700000,0.1700000,18178.9726595
0.1750000,0.1750000,0.1750000,15645.5051364
0.1800000,0.1800000,0.1800000,13377.2883760
0.1850000,0.1850000,0.1850000,11365.3885301
0.1900000,0.1900000,0.1900000,9597.7868796
0.1950000,0.1950000,0.1950000,8059.3059588
0.2000000,0.2000000,0.2000000,6732.1402448
0.2050000,0.2050000,0.2050000,5596.7118451
0.2100000,0.2100000,0.2100000,4632.6198951
0.2150000,0.2150000,0.2150000,3819.5212925
0.2200000,0.2200000,0.2200000,3137.8496673
0.2250000,0.2250000,0.2250000,2569.3365161
