# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,632649.2489057,485620717.6687064,314630538.0296971,1913518191.6821485,32472816.5162753,1348779545.7250619,485621106.6210087,485620328.7164041,572468545.3795319,362060898.4405563,9895642979.5788918,485620717.6687064,314630538.0296971,1913518191.6821485,32472816.5162753,1348779545.7250619,485621106.6210087,485620328.7164041,572468545.3795319,362060898.4405563,9895642979.5788918
0.0025000,0.0025000,0.0025000,inf,nan,609276.6833189,438256628.6263086,286107856.3881320,1695949779.5892565,30688305.6834245,1196765770.8436928,438257027.3624974,438256229.8901198,516633919.3621432,326747980.3368275,8782582926.7674770,438256628.6263086,286107856.3881320,1695949779.5892565,30688305.6834245,1196765770.8436928,438257027.3624974,438256229.8901198,516633919.3621432,326747980.3368275,8782582926.7674770
0.0050000,0.0050000,0.0050000,inf,nan,649157.1768843,428865917.6083510,280052502.5763716,1659517267.1928802,30039797.8293681,1171060878.3946283,428866316.5915123,428865518.6251897,505563784.8292973,319746612.5111721,8593951839.7294655,428865917.6083510,280052502.5763716,1659517267.1928802,30039797.8293681,1171060878.3946283,428866316.5915123,428865518.6251897,505563784.8292973,319746612.5111721,8593951839.7294655
0.0075000,0.0075000,0.0075000,inf,nan,756850.8674310,414314825.6525075,270559056.3604877,1601212139.2717419,29015041.5940628,1130005488.0104625,414315225.5709912,414314425.7340237,488410393.0101939,308897854.9620389,8292808852.3926744,414314825.6525075,270559056.3604877,1601212139.2717419,29015041.5940628,1130005488.0104625,414315225.5709912,414314425.7340237,488410393.0101939,308897854.9620389,8292808852.3926744
0.0100000,0.0100000,0.0100000,inf,nan,947410.5110895,394820472.5255778,257757443.8937557,1526043683.2871985,27654829.9394626,1076993207.3648136,394820871.9984801,394820073.0526756,465429693.1107681,294363584.1806414,7903824571.9009085,394820472.5255778,257757443.8937557,1526043683.2871985,27654829.9394626,1076993207.3648136,394820871.9984801,394820073.0526756,465429693.1107681,294363584.1806414,7903824571.9009085
0.0125000,0.0125000,0.0125000,inf,nan,1249386.1952764,371380342.9352185,242472006.9173914,1436979944.7297280,26099738.1893063,1014281260.2181314,371380742.9942573,371379942.8761796,437797558.8094981,276887487.9799056,7443833213.0828514,371380342.9352185,242472006.9173914,1436979944.7297280,26099738.1893063,1014281260.2181314,371380742.9942573,371379942.8761796,437797558.8094981,276887487.9799056,7443833213.0828514
0.0150000,0.0150000,0.0150000,inf,nan,1710911.9861073,345446031.1952857,225811456.1403099,1333559704.9382157,24179104.5268034,941184386.1419187,345446433.2368006,345445629.1537708,407225185.8093266,257551821.5485502,6907210597.7710819,345446031.1952857,225811456.1403099,1333559704.9382157,24179104.5268034,941184386.1419187,345446433.2368006,345445629.1537708,407225185.8093266,257551821.5485502,6907210597.7710819
0.0175000,0.0175000,0.0175000,inf,nan,2410635.6271735,318630782.7779408,207642362.5106532,1228557628.1859004,22181713.1674905,867269198.5238945,318631182.2056578,318630383.3502237,375614330.4711063,237559361.2175765,6365075664.2320471,318630782.7779408,207642362.5106532,1228557628.1859004,22181713.1674905,867269198.5238945,318631182.2056578,318630383.3502237,375614330.4711063,237559361.2175765,6365075664.2320471
0.0200000,0.0200000,0.0200000,inf,nan,3476866.4446899,287845972.6997886,187749048.7428191,1116870211.5545809,20160892.4716465,788000602.3895720,287846373.9125473,287845571.4870300,339324001.8174436,214607342.1012473,5782602166.0820732,287845972.6997886,187749048.7428191,1116870211.5545809,20160892.4716465,788000602.3895720,287846373.9125473,287845571.4870300,339324001.8174436,214607342.1012473,5782602166.0820732
0.0225000,0.0225000,0.0225000,inf,nan,5121301.3155239,257774031.9011993,168283638.6372853,998127619.9972994,18163033.4768328,704313467.6287123,257774434.8966349,257773628.9057637,303874031.1317775,192186812.0306661,5168629411.6956301,257774031.9011993,168283638.6372853,998127619.9972994,18163033.4768328,704313467.6287123,257774434.8966349,257773628.9057637,303874031.1317775,192186812.0306661,5168629411.6956301
0.0250000,0.0250000,0.0250000,inf,nan,7699460.0810533,228953319.3409321,149598436.0151406,884736142.6147381,16226688.4807138,624379890.1538923,228953724.0940778,228952914.5877865,269899056.8444706,170699151.5919570,4582165253.2120810,228953319.3409321,149598436.0151406,884736142.6147381,16226688.4807138,624379890.1538923,228953724.0940778,228952914.5877865,269899056.8444706,170699151.5919570,4582165253.2120810
0.0275000,0.0275000,0.0275000,inf,nan,11821507.4598503,201789100.3951313,131960600.7440647,778229236.6038010,14382300.0133058,549283510.0725423,201789506.8601275,201788693.9301352,237876821.5063102,150446511.7042532,4031164637.2385025,201789100.3951313,131960600.7440647,778229236.6038010,14382300.0133058,549283510.0725423,201789506.8601275,201788693.9301352,237876821.5063102,150446511.7042532,4031164637.2385025
0.0300000,0.0300000,0.0300000,inf,nan,18560992.2127484,176562342.5379535,115557345.4360077,679642503.7590635,12534160.4371723,479757395.6503408,176562750.6499589,176561934.4259482,208138540.4781264,131638371.3548063,3521011037.5410724,176562342.5379535,115557345.4360077,679642503.7590635,12534160.4371723,479757395.6503408,176562750.6499589,176561934.4259482,208138540.4781264,131638371.3548063,3521011037.5410724
0.0325000,0.0325000,0.0325000,inf,nan,29860010.2328974,153443331.4097298,100504305.0360599,589573590.2820574,10795839.2672267,416225993.5083472,153443741.0869523,153442921.7325073,180884953.0802832,114401689.2372770,3054823783.2686243,153443331.4097298,100504305.0360599,589573590.2820574,10795839.2672267,416225993.5083472,153443741.0869523,153442921.7325073,180884953.0802832,114401689.2372770,3054823783.2686243
0.0350000,0.0350000,0.0350000,inf,nan,49342300.8814054,132507914.3336813,86855692.7969163,508251278.0264565,9228528.3277970,358853608.0151282,132508325.4794564,132507503.1879063,156205471.0804740,98793014.3187722,2633813373.7271543,132507914.3336813,86855692.7969163,508251278.0264565,9228528.3277970,358853608.0151282,132508325.4794564,132507503.1879063,156205471.0804740,98793014.3187722,2633813373.7271543
0.0375000,0.0375000,0.0375000,inf,nan,84006590.3611676,113754656.3507216,74615147.7511204,435606785.8333508,7834888.4992890,307594498.6660513,113755068.8555768,113754243.8458664,134098402.8932473,84811276.7467150,2257648763.5647464,113754656.3507216,74615147.7511204,435606785.8333508,7834888.4992890,307594498.6660513,113755068.8555768,113754243.8458664,134098402.8932473,84811276.7467150,2257648763.5647464
0.0400000,0.0400000,0.0400000,inf,nan,147901925.7469791,96790515.1024931,62901999.1962100,371342333.3818820,6610853.9498244,262241108.5157535,96790921.1078343,96790109.0971519,114100414.9354694,72163438.6332755,1924811036.3994851,96790515.1024931,62901999.1962100,371342333.3818820,6610853.9498244,262241108.5157535,96790921.1078343,96790109.0971519,114100414.9354694,72163438.6332755,1924811036.3994851
0.0425000,0.0425000,0.0425000,inf,nan,95695881.6288738,81051398.2693961,52689700.5518335,314993748.8830602,5547470.7963949,222468148.6148407,81051805.5851676,81050990.9536247,95546533.2924948,60428933.5474782,1632916765.0018885,81051398.2693961,52689700.5518335,314993748.8830602,5547470.7963949,222468148.6148407,81051805.5851676,81050990.9536247,95546533.2924948,60428933.5474782,1632916765.0018885
0.0450000,0.0450000,0.0450000,inf,nan,57754251.2830878,67542342.4992902,43921324.7081851,263920870.4395099,4632550.4660670,186126564.2460823,67542751.0488507,67541933.9497298,79621534.1629492,50357079.7503655,1365721694.9576950,67542342.4992902,43921324.7081851,263920870.4395099,4632550.4660670,186126564.2460823,67542751.0488507,67541933.9497298,79621534.1629492,50357079.7503655,1365721694.9576950
0.0475000,0.0475000,0.0475000,inf,nan,36382639.9293928,56046200.8777116,36456859.4538947,218846313.4485367,3852062.7110460,154345170.8558256,56046610.5718303,56045791.1835928,66069436.3381774,41785980.5104270,1132533765.1222637,56046200.8777116,36456859.4538947,218846313.4485367,3852062.7110460,154345170.8558256,56046610.5718303,56045791.1835928,66069436.3381774,41785980.5104270,1132533765.1222637
0.0500000,0.0500000,0.0500000,inf,nan,24419232.6381547,46336345.4910185,30150010.1814247,180806315.6764245,3191241.6964010,127522392.3245025,46336756.2293536,46335934.7526833,54623082.0398051,34546670.4128041,935726185.9167665,46336345.4910185,30150010.1814247,180806315.6764245,3191241.6964010,127522392.3245025,46336756.2293536,46335934.7526833,54623082.0398051,34546670.4128041,935726185.9167665
0.0525000,0.0525000,0.0525000,inf,nan,18361880.2104028,38189000.4713727,24856193.8294131,148913590.3738731,2635413.2582092,105033048.3856652,38189412.1439211,38188588.7988243,45018675.5917184,28472310.4228117,770712571.2740257,38189000.4713727,24856193.8294131,148913590.3738731,2635413.2582092,105033048.3856652,38189412.1439211,38188588.7988243,45018675.5917184,28472310.4228117,770712571.2740257
0.0550000,0.0550000,0.0550000,inf,nan,16790230.1730403,31391749.1091387,20438063.2953381,122327318.0131752,2170573.0453977,86284637.8688789,31392161.5976368,31391336.6206407,37005811.9342587,23404530.4752197,633146170.2132872,31391749.1091387,20438063.2953381,122327318.0131752,2170573.0453977,86284637.8688789,31392161.5976368,31391336.6206407,37005811.9342587,23404530.4752197,633146170.2132872
0.0575000,0.0575000,0.0575000,inf,nan,20254741.1824741,25748866.1837389,16768980.0861383,100273910.6105382,1783756.1019896,70731985.5431063,25749279.3629993,25748453.0044785,30353762.5827431,19197405.0634927,519027344.6651278,25748866.1837389,16768980.0861383,100273910.6105382,1783756.1019896,70731985.5431063,25749279.3629993,25748453.0044785,30353762.5827431,19197405.0634927,519027344.6651278
0.0600000,0.0600000,0.0600000,inf,nan,32110287.6494811,21084160.5325632,13734875.8183439,82057938.5240208,1463241.3666625,57884955.9707453,21084574.2717381,21083746.7933883,24854826.5579955,15719572.5543418,424760183.7089815,21084160.5325632,13734875.8183439,82057938.5240208,1463241.3666625,57884955.9707453,21084574.2717381,21083746.7933883,24854826.5579955,15719572.5543418,424760183.7089815
