# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,28653182045.6042137
0.0050000,0.0050000,0.0050000,9981069187.2052612
0.0100000,0.0100000,0.0100000,3803725214.1238232
0.0150000,0.0150000,0.0150000,1585290333.9490147
0.0200000,0.0200000,0.0200000,719043839.3939251
0.0250000,0.0250000,0.0250000,364531899.9664923
0.0300000,0.0300000,0.0300000,196200865.4283698
0.0350000,0.0350000,0.0350000,112522649.7955130
0.0400000,0.0400000,0.0400000,64722393.0516899
0.0450000,0.0450000,0.0450000,39519245.2410114
0.0500000,0.0500000,0.0500000,24955313.6016780
0.0550000,0.0550000,0.0550000,15152204.9242710
0.0600000,0.0600000,0.0600000,9539691.1618538
0.0650000,0.0650000,0.0650000,6232841.9897411
0.0700000,0.0700000,0.0700000,4235367.7132241
0.0750000,0.0750000,0.0750000,3004813.8605286
0.0800000,0.0800000,0.0800000,2237193.2817412
0.0850000,0.0850000,0.0850000,1697579.2726887
0.0900000,0.0900000,0.0900000,1264690.3886402
0.0950000,0.0950000,0.0950000,962770.8771124
0.1000000,0.1000000,0.1000000,721405.2716287
0.1050000,0.1050000,0.1050000,537258.5454504
0.1100000,0.1100000,0.1100000,405467.6549875
0.1150000,0.1150000,0.1150000,314400.1679360
0.1200000,0.1200000,0.1200000,235016.9731063
0.1250000,0.1250000,0.1250000,175869.5735534
0.1300000,0.1300000,0.1300000,131629.6675872
0.1350000,0.1350000,0.1350000,99479.4484752
0.1400000,0.1400000,0.1400000,76448.8221233
0.1450000,0.1450000,0.1450000,59757.1765708
0.1500000,0.1500000,0.1500000,46343.6221726
0.1550000,0.1550000,0.1550000,34686.3437444
0.1600000,0.1600000,0.1600000,26220.0543564
0.1650000,0.1650000,0.1650000,20009.2249993
0.1700000,0.1700000,0.1700000,15347.1575892
0.1750000,0.1750000,0.1750000,11713.5652877
0.1800000,0.1800000,0.1800000,9003.7688481
0.1850000,0.1850000,0.1850000,6966.3491553
0.1900000,0.1900000,0.1900000,5422.4098392
0.1950000,0.1950000,0.1950000,4243.6157540
0.2000000,0.2000000,0.2000000,3337.1670903
0.2050000,0.2050000,0.2050000,2635.4340478
0.2100000,0.2100000,0.2100000,2088.7500531
0.2150000,0.2150000,0.2150000,1672.3323572
0.2200000,0.2200000,0.2200000,1309.4382151
0.2250000,0.2250000,0.2250000,1017.8376021
0.2300000,0.2300000,0.2300000,792.7070639
0.2350000,0.2350000,0.2350000,618.1940983
0.2400000,0.2400000,0.2400000,482.4271855
0.2450000,0.2450000,0.2450000,376.4549996
0.2500000,0.2500000,0.2500000,293.4707449
0.2550000,0.2550000,0.2550000,228.2724729
0.2600000,0.2600000,0.2600000,176.9097260
0.2650000,0.2650000,0.2650000,136.3993317
0.2700000,0.2700000,0.2700000,104.4588229
0.2750000,0.2750000,0.2750000,79.3049825
0.2800000,0.2800000,0.2800000,59.5286583
0.2850000,0.2850000,0.2850000,44.0136417
0.2900000,0.2900000,0.2900000,31.8757538
0.2950000,0.2950000,0.2950000,22.4133179
0.3000000,0.3000000,0.3000000,15.0666260
0.3050000,0.3050000,0.3050000,9.3858553
0.3100000,0.3100000,0.3100000,5.0073053
0.3150000,0.3150000,0.3150000,1.6379545
0.3200000,0.3200000,0.3200000,-0.9531606
0.3250000,0.3250000,0.3250000,-2.9414160
0.3300000,0.3300000,0.3300000,-4.4558142
0.3350000,0.3350000,0.3350000,-5.5912779
0.3400000,0.3400000,0.3400000,-6.4204721
0.3450000,0.3450000,0.3450000,-7.0023832
0.3500000,0.3500000,0.3500000,-7.3877767
0.3550000,0.3550000,0.3550000,-7.6227191
0.3600000,0.3600000,0.3600000,-7.7502224
0.3650000,0.3650000,0.3650000,-7.8090790
0.3700000,0.3700000,0.3700000,-7.8300467
0.3750000,0.3750000,0.3750000,-7.8320974
0.3800000,0.3800000,0.3800000,-7.8221715
0.3850000,0.3850000,0.3850000,-7.7989567
0.3900000,0.3900000,0.3900000,-7.7580081
0.3950000,0.3950000,0.3950000,-7.6957323
0.4000000,0.4000000,0.4000000,-7.6115384
0.4050000,0.4050000,0.4050000,-7.5082631
0.4100000,0.4100000,0.4100000,-7.3915797
0.4150000,0.4150000,0.4150000,-7.2694997
0.4200000,0.4200000,0.4200000,-7.1516056
0.4250000,0.4250000,0.4250000,-7.0463934
0.4300000,0.4300000,0.4300000,-6.9576813
0.4350000,0.4350000,0.4350000,-6.8836502
0.4400000,0.4400000,0.4400000,-6.8193064
