# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,417063.5422104,159950188.6430877,104168875.3957491,621910087.0317171,11005330.3787330,438753832.8558944,7327012131.4080601,71543267495.8287964,485217617513.8943481
0.0025000,0.0025000,0.0025000,inf,nan,316328.7875979,112758226.1149280,73435254.3554602,438410385.6810007,7758432.5260783,309296361.5778676,5164773931.1061125,50427962679.5610809,341997940117.2252808
0.0050000,0.0050000,0.0050000,inf,nan,244650.0620928,81331751.2667725,52969209.0015931,316208110.5103706,5596517.8412194,223083897.4094573,3724717238.9690537,36364459231.5187225,246605797955.0135498
0.0075000,0.0075000,0.0075000,inf,nan,193860.3303666,60409413.4542259,39344448.9796048,234842946.7423037,4157679.2018563,165681965.8648059,2765687440.5132027,26997319304.1262436,183062684567.3432007
0.0100000,0.0100000,0.0100000,inf,nan,158513.9596659,46830782.6186058,30502724.9882141,182026318.4764360,3224442.5024819,128421068.5707572,2142890287.7543676,20912587418.1582985,141778237309.8265991
0.0125000,0.0125000,0.0125000,inf,nan,135034.8746357,38578293.1583663,25130201.1854477,149911789.4038313,2658059.6163911,105765674.6234115,1763831378.1067238,17206761149.1140060,116623032249.5776978
0.0150000,0.0150000,0.0150000,inf,nan,121189.3858362,34445039.8737232,22440433.6520194,133812692.1853209,2375163.2227914,94409106.4642291,1573329863.2226028,15340569053.5370750,103937402451.8177490
0.0175000,0.0175000,0.0175000,inf,nan,115775.7039516,30194214.6973578,19670029.7020902,117312984.0174532,2081244.4494320,82767415.6656900,1379772261.5216131,13456764679.1379604,91190542310.6998138
0.0200000,0.0200000,0.0200000,inf,nan,118470.0978947,27421666.1479053,17865494.4018643,106517626.7947464,1891300.5983173,75152025.2234093,1252205762.9139080,12208718717.2062111,82714585519.5204926
0.0225000,0.0225000,0.0225000,inf,nan,129802.0096464,25371026.6287709,16529648.2013681,98549408.1348678,1749968.4350231,69530271.6860200,1158460348.5576022,11294256531.7008877,76516957864.9772339
0.0250000,0.0250000,0.0250000,inf,nan,151256.0330489,22934713.0066160,14938794.8589070,89134793.7147018,1579323.6993896,62885752.6487742,1049018749.6892526,10235245553.7023315,69380215211.8035889
0.0275000,0.0275000,0.0275000,inf,nan,185524.1523640,19606026.7251012,12771168.1816985,76189628.5536374,1350466.4381553,53753131.8585473,896443171.3958524,8745080939.6076279,59272044709.2213745
0.0300000,0.0300000,0.0300000,inf,nan,236963.7108454,16953850.7269159,11044092.4072611,65875310.4451870,1168134.7862664,46476537.1493893,774875630.6010095,7557775639.6488276,51218336150.3948135
0.0325000,0.0325000,0.0325000,inf,nan,312364.2058801,14830017.2397709,9661068.3278522,57615782.7485740,1022130.5201502,40649562.2242853,677530116.6148919,6607072991.3553219,44769744806.1878586
0.0350000,0.0350000,0.0350000,inf,nan,422203.6194197,13115572.5877454,8544623.7246558,50948565.2856737,904266.5094929,35945928.8183032,598958479.4395064,5839778363.1634378,39565509007.3175735
0.0375000,0.0375000,0.0375000,inf,nan,582708.0610298,11665421.6754407,7600071.1153433,45312202.0337290,804420.4193589,31969413.4914960,532615917.9985829,5192460352.1143837,35177763522.3306503
0.0400000,0.0400000,0.0400000,inf,nan,819264.1532633,10390226.0540402,6768897.7967303,40363888.1357317,716202.9229409,28477968.6593584,474578913.0783270,4627563244.5180893,31355420144.4523239
0.0425000,0.0425000,0.0425000,inf,nan,1172161.7918003,9198309.9820339,5992589.8891503,35730671.4070954,634174.3332740,25209207.2096303,420032697.5868690,4095290654.0913949,27747300980.2590866
0.0450000,0.0450000,0.0450000,inf,nan,1706442.0630355,8184971.8053907,5332550.8031108,31792238.3656833,564409.7755626,22430591.8129526,373683903.5334706,3643143584.4506207,24683029597.7275810
0.0475000,0.0475000,0.0475000,inf,nan,2529146.3300843,7161772.0761994,4665138.9185739,27828607.0272332,493271.4500897,19633619.6182217,327371979.9241226,3193552043.9720583,21646654858.8856430
0.0500000,0.0500000,0.0500000,inf,nan,3820242.9175730,6235196.2898705,4061557.2240823,24228220.7843616,429444.9220686,17093462.2743277,285026465.6949922,2780655493.4493346,18849467761.9220963
0.0525000,0.0525000,0.0525000,inf,nan,5889515.2305258,5440938.1994583,3544131.8216501,21142552.0811940,374710.6617865,14916423.9383638,248752370.9255855,2427101039.3456311,16455078263.3656406
0.0550000,0.0550000,0.0550000,inf,nan,9284183.2988270,4756253.8483899,3098052.1080600,18483148.4119617,327505.0506220,13040102.7222599,217507216.4346610,2122708647.3804252,14394445988.5150719
0.0575000,0.0575000,0.0575000,inf,nan,14998881.8414707,4163017.3548462,2711514.7524747,16179517.5531732,286582.0534828,11414767.4008354,190460260.9210354,1859366853.7809718,12612565825.8376942
0.0600000,0.0600000,0.0600000,inf,nan,24899531.6480525,3646772.3084745,2375105.8471436,14175440.0506562,250947.8960810,10000755.8591634,166949074.2696116,1630608837.2086484,11065593255.6187115
0.0625000,0.0625000,0.0625000,inf,nan,18311145.1068180,3125450.2570258,2035003.2253551,12156442.2196604,214641.4518285,8576020.2989133,143350293.1603916,1401257121.3431363,9514551537.0353279
0.0650000,0.0650000,0.0650000,inf,nan,13719482.2721831,2666952.7634949,1736270.6205066,10375925.6775223,183027.2074603,7319773.5708877,122446108.0871096,1197757259.0174685,8137850107.1342278
0.0675000,0.0675000,0.0675000,inf,nan,10341778.2312438,2277850.6883065,1482727.3791575,8865310.1072352,156184.2978626,6253936.4556784,104724820.9053832,1025367620.0557443,6972343700.6077366
0.0700000,0.0700000,0.0700000,inf,nan,7394610.0144386,1947354.2659011,1267346.3846137,7582646.7996921,133370.2992862,5348914.1869095,89692377.1701190,879265873.6680470,5985337912.7858944
0.0725000,0.0725000,0.0725000,inf,nan,5651963.8179696,1666452.3707484,1084258.7950273,6492903.7343789,113965.1092172,4579991.6373469,76936231.5464753,755425616.5422716,5149536267.5624580
0.0750000,0.0750000,0.0750000,inf,nan,3838909.3016749,1427601.0915392,928551.2726084,5566753.9652448,97449.5466323,3926478.5671969,66111049.8112299,650476571.2065279,4442090995.5401688
0.0775000,0.0775000,0.0775000,inf,nan,2651463.8172931,1224467.5866287,796099.2177310,4779578.9140722,83387.7579577,3371006.4899565,56926941.7387866,561589487.1750549,3827959629.2733297
0.0800000,0.0800000,0.0800000,inf,nan,1860452.1908475,1051720.2465205,683430.1616663,4110651.7025768,71412.8099774,2898952.5550095,49101243.1270020,479602539.4654133,3254179887.3990149
0.0825000,0.0825000,0.0825000,inf,nan,1325468.8072820,904857.1534926,587612.0997756,3542469.4033407,61214.9173999,2497968.4909756,41996245.5507614,410538289.0260247,2785760928.0668774
0.0850000,0.0850000,0.0850000,inf,nan,958823.7690102,773542.4191293,503282.5333563,3012372.5345877,52531.8270610,2124933.5161593,35602101.3022572,348576834.7606151,2369946796.7752423
0.0875000,0.0875000,0.0875000,inf,nan,704799.1150870,658382.3951866,428295.8683157,2564577.2466408,44931.6135474,1809017.7138100,30329951.5520267,297148010.8765190,2021473493.6013508
0.0900000,0.0900000,0.0900000,inf,nan,527458.3002972,563519.9997768,366526.8369421,2195717.9017456,38421.1985716,1548790.1128361,25988155.3738828,254806909.3846773,1734657787.3277600
0.0925000,0.0925000,0.0925000,inf,nan,403345.4749014,485488.4407218,315717.1947347,1892322.8340937,33066.9868279,1334746.1529667,22418269.3808862,220008873.0828041,1499037760.3895795
0.0950000,0.0950000,0.0950000,inf,nan,317042.3722494,418058.9161327,271595.3582164,1633514.2957559,28302.0790608,1152005.9205513,19476553.5886900,191478548.4749860,1305981094.9146380
0.0975000,0.0975000,0.0975000,inf,nan,256008.5310813,355268.2994624,230704.5412336,1389471.1661416,23990.4795763,979830.7571660,16607816.0372184,164231885.3775438,1126164383.4418633
0.1000000,0.1000000,0.1000000,inf,nan,207267.3961926,302987.8780643,196658.0282088,1186295.7728537,20400.9988824,836487.5329808,14220435.8752220,140986856.8053192,968912849.9822890
0.1025000,0.1025000,0.1025000,inf,nan,174780.3301405,259416.6965824,168282.7712369,1016988.6246712,17409.6818895,717038.0004301,12232058.7072608,121637144.4372507,838076001.3193418
0.1050000,0.1050000,0.1050000,inf,nan,155298.7710256,223067.1700797,144609.7647701,875769.3434101,14914.1083281,617403.9563859,10574716.8327683,105520309.3578383,729168206.3738608
0.1075000,0.1075000,0.1075000,inf,nan,147007.0032741,192710.7532301,124838.6572618,757865.4928340,12829.6514801,534218.2585929,9192343.8088823,92090363.8084334,638495097.3699875
0.1100000,0.1100000,0.1100000,inf,nan,149280.3712438,167333.0236688,108308.4942270,659338.0064667,11086.3849590,464701.6626270,8038720.0713775,80897732.3272281,563017785.3061461
0.1125000,0.1125000,0.1125000,inf,nan,162619.9405292,146096.5957642,94473.5613022,576937.0561556,9626.5285525,406561.1348594,7075777.0434468,71572712.0028742,500240799.4001008
0.1150000,0.1150000,0.1150000,inf,nan,188754.7250869,127895.1082918,82608.0040273,506421.6763659,8310.7471004,356804.0991817,6252009.4241924,63565173.2699669,446039529.0179697
0.1175000,0.1175000,0.1175000,inf,nan,230935.9708655,109992.1654553,70962.6323639,436677.8286440,7148.7633611,307607.6723735,5427528.9985135,55494416.6400691,391185411.0860297
0.1200000,0.1200000,0.1200000,inf,nan,292176.2958905,94886.6502721,61140.1932036,377789.1028153,6121.3747665,266070.5531978,4730057.1265584,48655405.2018671,344634920.4315054
0.1225000,0.1225000,0.1225000,inf,nan,326404.9410140,82113.5895944,52837.7794119,327949.3003509,5254.6916807,230918.3913615,4138381.9532740,42841661.2312443,304991500.8995448
0.1250000,0.1250000,0.1250000,inf,nan,348761.9476316,71287.8117771,45804.4377076,285662.7679177,4522.1830738,201095.9120709,3634958.9319543,37882594.2066541,270861078.6362184
0.1275000,0.1275000,0.1275000,inf,nan,256606.1371269,62090.0722565,39832.1361889,249690.3980434,3901.8434546,175728.8223853,3205272.7775459,33637253.5611465,232995195.2755790
0.1300000,0.1300000,0.1300000,inf,nan,191202.4208313,54255.6044382,34748.3116553,219005.0552528,3375.4073317,154092.3673986,2837310.3187522,29109357.3246377,200804163.7309195
0.1325000,0.1325000,0.1325000,inf,nan,144114.3254615,47564.6695490,30409.7189125,192754.7723738,2927.7012983,135585.3683298,2505197.8036860,25090782.3605064,173388741.0913937
0.1350000,0.1350000,0.1350000,inf,nan,109767.1005931,41834.7540477,26697.3530563,170232.3530134,2546.1094748,119708.7801182,2165275.6351247,21665835.9358041,149997876.7822250
0.1375000,0.1375000,0.1375000,inf,nan,84412.5371193,36914.1252936,23512.2561900,149361.3007799,2220.1323243,105104.9484916,1868640.1175083,18741730.1044921,130003702.5279987
0.1400000,0.1400000,0.1400000,inf,nan,65490.1478445,32234.6449264,20623.3409303,130081.8004235,1941.0223922,91516.5128947,1615324.0868005,16240805.0805572,112880794.8787670
0.1425000,0.1425000,0.1425000,inf,nan,51225.0976881,28042.5404486,17912.4728451,113528.8754995,1701.4834461,79851.5944638,1398643.9773598,14097993.2517663,98188977.0749566
0.1450000,0.1450000,0.1450000,inf,nan,40370.4985093,24442.6989831,15586.9753883,98728.8333106,1483.6957727,69526.6112713,1212993.0640430,12258715.1651307,85559052.7036775
0.1475000,0.1475000,0.1475000,inf,nan,32039.4342353,21344.3562975,13587.6585054,85468.5974840,1282.2844671,60177.9676068,1053662.5199249,10677133.3208854,74680967.9461243
0.1500000,0.1500000,0.1500000,inf,nan,25593.7559976,18628.2663709,11865.0049237,74097.3301938,1109.7419255,52161.7482536,916692.8048656,9314702.3765832,65293985.7470537
0.1525000,0.1525000,0.1525000,inf,nan,20363.6951398,16143.7109176,10344.9972544,64331.2651759,961.6693463,45277.7482611,798750.1844753,8138964.9377545,57178526.9312238
