# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,43586779.3700125
0.0050000,0.0050000,0.0050000,24977765.5362260
0.0100000,0.0100000,0.0100000,15096195.9309682
0.0150000,0.0150000,0.0150000,9633056.7261982
0.0200000,0.0200000,0.0200000,6494120.2629032
0.0250000,0.0250000,0.0250000,4629853.3131862
0.0300000,0.0300000,0.0300000,3500438.4676569
0.0350000,0.0350000,0.0350000,2823187.1118762
0.0400000,0.0400000,0.0400000,2437013.6309870
0.0450000,0.0450000,0.0450000,2168763.8495454
0.0500000,0.0500000,0.0500000,1841522.7110499
0.0550000,0.0550000,0.0550000,1588349.7953544
0.0600000,0.0600000,0.0600000,1370307.5325908
0.0650000,0.0650000,0.0650000,1201723.1281547
0.0700000,0.0700000,0.0700000,990078.1177193
0.0750000,0.0750000,0.0750000,787284.3657709
0.0800000,0.0800000,0.0800000,631360.3806733
0.0850000,0.0850000,0.0850000,510476.7812486
0.0900000,0.0900000,0.0900000,415918.4542918
0.0950000,0.0950000,0.0950000,341252.1429843
0.1000000,0.1000000,0.1000000,279604.7937608
0.1050000,0.1050000,0.1050000,223533.0436751
0.1100000,0.1100000,0.1100000,179466.1086970
0.1150000,0.1150000,0.1150000,144639.9237830
0.1200000,0.1200000,0.1200000,116968.6970365
0.1250000,0.1250000,0.1250000,94871.3795631
0.1300000,0.1300000,0.1300000,77143.2705459
0.1350000,0.1350000,0.1350000,62861.0621500
0.1400000,0.1400000,0.1400000,51312.6123377
0.1450000,0.1450000,0.1450000,41944.9702458
0.1500000,0.1500000,0.1500000,34192.7667394
0.1550000,0.1550000,0.1550000,26516.1368236
0.1600000,0.1600000,0.1600000,20625.8646657
0.1650000,0.1650000,0.1650000,16091.3445566
0.1700000,0.1700000,0.1700000,12589.0956888
0.1750000,0.1750000,0.1750000,9875.3949770
0.1800000,0.1800000,0.1800000,7766.0477849
0.1850000,0.1850000,0.1850000,6121.4086832
0.1900000,0.1900000,0.1900000,4835.2665117
0.1950000,0.1950000,0.1950000,3826.5773336
0.2000000,0.2000000,0.2000000,3033.2997087
0.2050000,0.2050000,0.2050000,2407.7850094
0.2100000,0.2100000,0.2100000,1913.3205851
0.2150000,0.2150000,0.2150000,1533.4158614
0.2200000,0.2200000,0.2200000,1222.2962372
0.2250000,0.2250000,0.2250000,974.7354317
0.2300000,0.2300000,0.2300000,777.3840336
0.2350000,0.2350000,0.2350000,619.7974727
0.2400000,0.2400000,0.2400000,493.7804688
0.2450000,0.2450000,0.2450000,392.8846970
0.2500000,0.2500000,0.2500000,312.0226709
0.2550000,0.2550000,0.2550000,247.1700500
0.2600000,0.2600000,0.2600000,195.1354272
0.2650000,0.2650000,0.2650000,153.3817094
0.2700000,0.2700000,0.2700000,119.8867552
0.2750000,0.2750000,0.2750000,93.0334738
0.2800000,0.2800000,0.2800000,71.5228128
0.2850000,0.2850000,0.2850000,54.3071844
0.2900000,0.2900000,0.2900000,40.5427291
0.2950000,0.2950000,0.2950000,29.5548289
0.3000000,0.3000000,0.3000000,20.8087198
0.3050000,0.3050000,0.3050000,13.8807675
0.3100000,0.3100000,0.3100000,8.4314776
0.3150000,0.3150000,0.3150000,4.1826003
0.3200000,0.3200000,0.3200000,0.8995216
0.3250000,0.3250000,0.3250000,-1.6196211
0.3300000,0.3300000,0.3300000,-3.5466599
0.3350000,0.3350000,0.3350000,-5.0202062
0.3400000,0.3400000,0.3400000,-6.1439782
0.3450000,0.3450000,0.3450000,-6.9932312
0.3500000,0.3500000,0.3500000,-7.6274151
0.3550000,0.3550000,0.3550000,-8.1005974
0.3600000,0.3600000,0.3600000,-8.4632316
0.3650000,0.3650000,0.3650000,-8.7559190
0.3700000,0.3700000,0.3700000,-9.0020248
0.3750000,0.3750000,0.3750000,-9.2066048
0.3800000,0.3800000,0.3800000,-9.3627827
0.3850000,0.3850000,0.3850000,-9.4605337
0.3900000,0.3900000,0.3900000,-9.4931412
0.3950000,0.3950000,0.3950000,-9.4601770
0.4000000,0.4000000,0.4000000,-9.3677574
0.4050000,0.4050000,0.4050000,-9.2271171
0.4100000,0.4100000,0.4100000,-9.0525134
0.4150000,0.4150000,0.4150000,-8.8591643
0.4200000,0.4200000,0.4200000,-8.6615220
0.4250000,0.4250000,0.4250000,-8.4719985
0.4300000,0.4300000,0.4300000,-8.3000673
0.4350000,0.4350000,0.4350000,-8.1515149
0.4400000,0.4400000,0.4400000,-8.0279099
0.4450000,0.4450000,0.4450000,-7.9266707
0.4500000,0.4500000,0.4500000,-7.8417757
0.4550000,0.4550000,0.4550000,-7.7650271
0.4600000,0.4600000,0.4600000,-7.6880071
0.4650000,0.4650000,0.4650000,-7.6042224
0.4700000,0.4700000,0.4700000,-7.5106320
0.4750000,0.4750000,0.4750000,-7.4086693
0.4800000,0.4800000,0.4800000,-7.3045784
0.4850000,0.4850000,0.4850000,-7.2073663
0.4900000,0.4900000,0.4900000,-7.1237781
