# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol]
0.1400000,0.1400000,0.1400000,1762.9455138,-2.3827970,1458.8638787
0.1425000,0.1425000,0.1425000,1558.1038142,-2.3609675,1223.2728936
0.1450000,0.1450000,0.1450000,1377.8566031,-2.3390651,1028.7694476
0.1475000,0.1475000,0.1475000,1219.1673206,-2.3171172,867.6088178
0.1500000,0.1500000,0.1500000,1079.3838644,-2.2951490,733.6161128
0.1525000,0.1525000,0.1525000,956.1888366,-2.2731836,621.8463352
0.1550000,0.1550000,0.1550000,847.5563592,-2.2512421,528.3226078
0.1575000,0.1575000,0.1575000,751.7145743,-2.2293441,449.8335800
0.1600000,0.1600000,0.1600000,667.1130626,-2.2075072,383.7758785
0.1625000,0.1625000,0.1625000,592.3945251,-2.1857478,328.0310193
0.1650000,0.1650000,0.1650000,526.3701570,-2.1640807,280.8688108
0.1675000,0.1675000,0.1675000,467.9982257,-2.1425193,240.8712197
0.1700000,0.1700000,0.1700000,416.3654274,-2.1210758,206.8721142
0.1725000,0.1725000,0.1725000,370.6706556,-2.0997614,177.9093818
0.1750000,0.1750000,0.1750000,330.2108647,-2.0785860,153.1867315
0.1775000,0.1775000,0.1775000,294.3687522,-2.0575586,132.0431079
0.1800000,0.1800000,0.1800000,262.6020223,-2.0366874,113.9281100
0.1825000,0.1825000,0.1825000,234.4340248,-2.0159796,98.3821674
0.1850000,0.1850000,0.1850000,209.4455874,-1.9954417,85.0204982
0.1875000,0.1875000,0.1875000,187.2678900,-1.9750793,73.5200840
0.1900000,0.1900000,0.1900000,167.5762418,-1.9548975,63.6090609
0.1925000,0.1925000,0.1925000,150.0846475,-1.9349007,55.0580518
0.1950000,0.1950000,0.1950000,134.5410591,-1.9150928,47.6730631
0.1975000,0.1975000,0.1975000,120.7232249,-1.8954770,41.2896450
0.2000000,0.2000000,0.2000000,108.4350594,-1.8760562,35.7680731
0.2025000,0.2025000,0.2025000,97.5034670,-1.8568326,30.9893459
0.2050000,0.2050000,0.2050000,87.7755580,-1.8378080,26.8518266
0.2075000,0.2075000,0.2075000,79.1162057,-1.8189837,23.2683874
0.2100000,0.2100000,0.2100000,71.4058906,-1.8003603,20.1639628
0.2125000,0.2125000,0.2125000,64.5387874,-1.7819383,17.4734645
0.2150000,0.2150000,0.2150000,58.4210544,-1.7637184,15.1400451
0.2175000,0.2175000,0.2175000,52.9692992,-1.7457030,13.1137101
0.2200000,0.2200000,0.2200000,48.1092121,-1.7278968,11.3502838
0.2225000,0.2225000,0.2225000,43.7743755,-1.7103081,9.8106935
0.2250000,0.2250000,0.2250000,39.9052633,-1.6929483,8.4604582
0.2275000,0.2275000,0.2275000,36.4484395,-1.6758313,7.2692069
0.2300000,0.2300000,0.2300000,33.3559469,-1.6589741,6.2101438
0.2325000,0.2325000,0.2325000,30.5848542,-1.6423993,5.2596074
0.2350000,0.2350000,0.2350000,28.0969131,-1.6261393,4.3970087
