# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.2025000,0.2025000,0.2025000,1805.9035872,0.0446017,1490.5462572,1805.9035872,1097.0731300,inf
0.2050000,0.2050000,0.2050000,1637.4117389,0.0394601,1224.2696418,1637.4117389,994.2910275,inf
0.2075000,0.2075000,0.2075000,1483.2751952,0.0344031,1011.4285985,1483.2751952,900.3178490,inf
0.2100000,0.2100000,0.2100000,1342.4977310,0.0294351,839.9901595,1342.4977310,814.5361222,inf
0.2125000,0.2125000,0.2125000,1214.1178451,0.0245598,700.9163855,1214.1178451,736.3510673,inf
0.2150000,0.2150000,0.2150000,1097.2128491,0.0197807,587.3535157,1097.2128491,665.1928739,inf
0.2175000,0.2175000,0.2175000,990.9020625,0.0151006,494.0566728,990.9020625,600.5184631,inf
0.2200000,0.2200000,0.2200000,894.3491423,0.0105221,416.9774753,894.3491423,541.8127451,inf
0.2225000,0.2225000,0.2225000,806.7636004,0.0060473,352.9655019,806.7636004,488.5894055,inf
0.2250000,0.2250000,0.2250000,727.4015818,0.0016780,299.5501284,727.4015818,440.3912592,inf
0.2275000,0.2275000,0.2275000,655.5659879,-0.0025845,254.7796526,655.5659879,396.7902224,inf
0.2300000,0.2300000,0.2300000,590.6060337,-0.0067390,217.1016314,590.6060337,357.3869528,inf
0.2325000,0.2325000,0.2325000,531.9163271,-0.0107848,185.2731328,531.9163271,321.8102130,inf
0.2350000,0.2350000,0.2350000,478.9355594,-0.0147214,158.2928863,478.9355594,289.7160032,inf
0.2375000,0.2375000,0.2375000,431.1448851,-0.0185486,135.3495977,431.1448851,260.7865061,inf
0.2400000,0.2400000,0.2400000,388.0660665,-0.0222665,115.7822892,388.0660665,234.7288693,1782.6222634
0.2425000,0.2425000,0.2425000,349.2594486,-0.0258750,99.0496540,349.2594486,211.2738280,1605.0562904
0.2450000,0.2450000,0.2450000,314.3218140,-0.0293736,84.7062187,314.3218140,190.1741677,1444.9948470
0.2475000,0.2475000,0.2475000,282.8841500,-0.0327579,72.3836817,282.8841500,171.2030550,1300.7789806
0.2500000,0.2500000,0.2500000,254.6093201,-0.0360104,61.7762159,254.6093201,154.1523521,1170.8927647
0.2525000,0.2525000,0.2525000,229.1896097,-0.0390797,52.6288236,229.1896097,138.8311187,1053.9536635
0.2550000,0.2550000,0.2550000,206.3441381,-0.0418461,44.7280614,206.3441381,125.0645302,948.7030427
0.2575000,0.2575000,0.2575000,185.8162566,-0.0440820,37.8946103,185.8162566,112.6933164,853.9969368
0.2600000,0.2600000,0.2600000,167.3712304,-0.0454344,31.9772963,167.3712304,101.5735931,768.7971512
0.2625000,0.2625000,0.2625000,150.7946015,-0.0454633,26.8482532,150.7946015,91.5767143,692.1627628
0.2650000,0.2650000,0.2650000,135.8914817,-0.0437582,22.3989920,135.8914817,82.5887195,623.2420574
0.2675000,0.2675000,0.2675000,122.4865921,-0.0401026,18.5371917,122.4865921,74.5091271,561.2649255
0.2700000,0.2700000,0.2700000,110.4243755,-0.0346048,15.1840638,110.4243755,67.2491334,505.5356876
0.2725000,0.2725000,0.2725000,99.5683519,-0.0277096,12.2721633,99.5683519,60.7294899,455.4261971
0.2750000,0.2750000,0.2750000,89.7992944,-0.0200737,9.7435457,89.7992944,54.8784247,410.3688452
0.2775000,0.2775000,0.2775000,81.0124854,-0.0123765,7.5482082,81.0124854,49.6300026,369.8489995
0.2800000,0.2800000,0.2800000,73.1147168,-0.0051598,5.6428045,73.1147168,44.9232491,333.3970233
0.2825000,0.2825000,0.2825000,66.0216163,0.0012566,3.9896274,66.0216163,40.7020871,300.5816632
0.2850000,0.2850000,0.2850000,59.6556160,0.0067820,2.5558253,59.6556160,36.9157544,271.0082023
0.2875000,0.2875000,0.2875000,53.9447218,0.0115043,1.3127803,53.9447218,33.5191664,244.3234354
0.2900000,0.2900000,0.2900000,48.8221335,0.0156015,0.2355778,48.8221335,30.4728146,220.2234130
0.2925000,0.2925000,0.2925000,44.2265388,0.0192468,-0.6974663,44.2265388,27.7421067,198.4546899
0.2950000,0.2950000,0.2950000,40.1026518,0.0225379,-1.5052183,40.1026518,25.2963048,178.8046872
0.2975000,0.2975000,0.2975000,36.4015028,0.0254755,-2.2040624,36.4015028,23.1072788,161.0872293
0.3000000,0.3000000,0.3000000,33.0801883,0.0279848,-2.8081740,33.0801883,21.1482377,145.1316151
0.3025000,0.3025000,0.3025000,30.1010928,0.0299543,-3.3297661,30.1010928,19.3925983,130.7777592
0.3050000,0.3050000,0.3050000,27.4307883,0.0312615,-3.7793532,27.4307883,17.8132419,117.8753138
0.3075000,0.3075000,0.3075000,25.0388372,0.0317652,-4.1660455,25.0388372,16.3825227,106.2841765
0.3100000,0.3100000,0.3100000,22.8966525,0.0312672,-4.4978545,22.8966525,15.0733439,95.8749592
0.3125000,0.3125000,0.3125000,20.9765391,0.0294618,-4.7819626,20.9765391,13.8612595,86.5289908
0.3150000,0.3150000,0.3150000,19.2510751,0.0259107,-5.0249081,19.2510751,12.7269350,78.1379245
0.3175000,0.3175000,0.3175000,17.6930431,0.0200839,-5.2326642,17.6930431,11.6578311,70.6031873
0.3200000,0.3200000,0.3200000,16.2760825,0.0114903,-5.4106318,16.2760825,10.6481941,63.8354683
0.3225000,0.3225000,0.3225000,14.9760339,-0.0001223,-5.5635917,14.9760339,9.6973595,57.7543063
0.3250000,0.3250000,0.3250000,13.7726001,-0.0145808,-5.6956642,13.7726001,8.8072586,52.2877054
0.3275000,0.3275000,0.3275000,12.6506595,-0.0312290,-5.8103009,12.6506595,7.9801781,47.3716636
0.3300000,0.3300000,0.3300000,11.6006035,-0.0490545,-5.9103057,11.6006035,7.2173522,42.9495347
0.3325000,0.3325000,0.3325000,10.6175184,-0.0669447,-5.9978750,10.6175184,6.5184128,38.9712206
0.3350000,0.3350000,0.3350000,9.6995897,-0.0839398,-6.0746481,9.6995897,5.8814281,35.3922475
0.3375000,0.3375000,0.3375000,8.8463758,-0.0993772,-6.1417737,8.8463758,5.3032325,32.1727957
0.3400000,0.3400000,0.3400000,8.0574660,-0.1129084,-6.1999960,8.0574660,4.7798359,29.2767464
0.3425000,0.3425000,0.3425000,7.3317130,-0.1244335,-6.2497588,7.3317130,4.3067989,26.6708110
0.3450000,0.3450000,0.3450000,6.6669714,-0.1340101,-6.2913190,6.6669714,3.8795321,24.3238202
0.3475000,0.3475000,0.3475000,6.0601679,-0.1417735,-6.3248711,6.0601679,3.4935148,22.2062726
0.3500000,0.3500000,0.3500000,5.5075336,-0.1478837,-6.3506908,5.5075336,3.1444501,20.2902330
0.3525000,0.3525000,0.3525000,5.0048789,-0.1524969,-6.3692923,5.0048789,2.8283727,18.5496207
0.3550000,0.3550000,0.3550000,4.5478494,-0.1557555,-6.3815577,4.5478494,2.5417201,16.9608168
0.3575000,0.3575000,0.3575000,4.1321328,-0.1577886,-6.3887721,4.1321328,2.2813705,15.5033923
0.3600000,0.3600000,0.3600000,3.7536166,-0.1587161,-6.3925161,3.7536166,2.0446447,14.1606645
0.3625000,0.3625000,0.3625000,3.4084997,-0.1586542,-6.3944306,3.4084997,1.8292699,12.9198274
0.3650000,0.3650000,0.3650000,3.0933638,-0.1577181,-6.3959268,3.0933638,1.6333142,11.7715584
0.3675000,0.3675000,0.3675000,2.8052047,-0.1560220,-6.3979403,2.8052047,1.4551035,10.7092166
0.3700000,0.3700000,0.3700000,2.5414258,-0.1536762,-6.4008061,2.5414258,1.2931430,9.7278769
0.3725000,0.3725000,0.3725000,2.2997964,-0.1507823,-6.4042810,2.2997964,1.1460561,8.8234485
0.3750000,0.3750000,0.3750000,2.0783874,-0.1474297,-6.4076858,2.0783874,1.0125501,7.9920280
0.3775000,0.3775000,0.3775000,1.8754989,-0.1436933,-6.4101092,1.8754989,0.8914052,7.2295267
0.3800000,0.3800000,0.3800000,1.6895973,-0.1396343,-6.4106105,1.6895973,0.7814800,6.5315323
0.3825000,0.3825000,0.3825000,1.5192707,-0.1353037,-6.4083763,1.5192707,0.6817210,5.8933359
0.3850000,0.3850000,0.3850000,1.3632068,-0.1307452,-6.4028128,1.3632068,0.5911695,5.3100535
0.3875000,0.3875000,0.3875000,1.2201873,-0.1259995,-6.3935749,1.2201873,0.5089593,4.7767897
0.3900000,0.3900000,0.3900000,1.0890911,-0.1211050,-6.3805480,1.0890911,0.4343032,4.2888042
0.3925000,0.3925000,0.3925000,0.9688974,-0.1160985,-6.3637990,0.9688974,0.3664689,3.8416569
0.3950000,0.3950000,0.3950000,0.8586836,-0.1110140,-6.3435192,0.8586836,0.3047415,3.4313124
0.3975000,0.3975000,0.3975000,0.7576164,-0.1058822,-6.3199723,0.7576164,0.2483712,3.0541980
0.4000000,0.4000000,0.4000000,0.6649349,-0.1007297,-6.2934574,0.6649349,0.1965123,2.7072096
0.4025000,0.4025000,0.4025000,0.5799246,-0.0955796,-6.2642823,0.5799246,0.1481750,2.3876760
0.4050000,0.4050000,0.4050000,0.5018793,-0.0904504,-6.2327455,0.5018793,0.1022184,2.0932941
0.4075000,0.4075000,0.4075000,0.4300480,-0.0853550,-6.1991211,0.4300480,0.0574109,1.8220540
0.4100000,0.4100000,0.4100000,0.3635755,-0.0802976,-6.1636500,0.3635755,0.0125540,1.5721707
0.4125000,0.4125000,0.4125000,0.3014585,-0.0752722,-6.1265405,0.3014585,-0.0333611,1.3420310
0.4150000,0.4150000,0.4150000,0.2425463,-0.0702639,-6.0879739,0.2425463,-0.0810124,1.1301626
0.4175000,0.4175000,0.4175000,0.1856045,-0.0652555,-6.0481102,0.1856045,-0.1306638,0.9352181
0.4200000,0.4200000,0.4200000,0.1294357,-0.0602368,-6.0070877,0.1294357,-0.1821601,0.7559705
0.4225000,0.4225000,0.4225000,0.0730268,-0.0552142,-5.9650215,0.0730268,-0.2349953,0.5913096
0.4250000,0.4250000,0.4250000,0.0156792,-0.0502162,-5.9220059,0.0156792,-0.2884258,0.4402345
0.4275000,0.4275000,0.4275000,-0.0429150,-0.0452920,-5.8781278,-0.0429150,-0.3415989,0.3018378
0.4300000,0.4300000,0.4300000,-0.1026694,-0.0405053,-5.8334859,-0.1026694,-0.3936649,0.1752822
0.4325000,0.4325000,0.4325000,-0.1631647,-0.0359227,-5.7882104,-0.1631647,-0.4438590,0.0597683
0.4350000,0.4350000,0.4350000,-0.2237533,-0.0316036,-5.7424739,-0.2237533,-0.4915470,-0.0455040
0.4375000,0.4375000,0.4375000,-0.2836770,-0.0275913,-5.6964922,-0.2836770,-0.5362397,-0.1413801
0.4400000,0.4400000,0.4400000,-0.3421717,-0.0239098,-5.6505164,-0.3421717,-0.5775855,-0.2287951
0.4425000,0.4425000,0.4425000,-0.3985443,-0.0205631,-5.6048169,-0.3985443,-0.6153524,-0.3088065
0.4450000,0.4450000,0.4450000,-0.4522165,-0.0175394,-5.5596613,-0.4522165,-0.6494058,-0.3826011
0.4475000,0.4475000,0.4475000,-0.5027400,-0.0148156,-5.5152896,-0.5027400,-0.6796898,-0.4514627
0.4500000,0.4500000,0.4500000,-0.5497915,-0.0123631,-5.4718891,-0.5497915,-0.7062132,-0.5166998
0.4525000,0.4525000,0.4525000,-0.5931563,-0.0101514,-5.4295761,-0.5931563,-0.7290418,-0.5795439
0.4550000,0.4550000,0.4550000,-0.6327083,-0.0081520,-5.3883877,-0.6327083,-0.7482951,-0.6410416
0.4575000,0.4575000,0.4575000,-0.6683920,-0.0063404,-5.3482879,-0.6683920,-0.7641466,-0.7019648
0.4600000,0.4600000,0.4600000,-0.7002080,-0.0046968,-5.3091847,-0.7002080,-0.7768250,-0.7627605
0.4625000,0.4625000,0.4625000,-0.7282036,-0.0032073,-5.2709525,-0.7282036,-0.7866131,-0.8235480
0.4650000,0.4650000,0.4650000,-0.7524675,-0.0018635,-5.2334488,-0.7524675,-0.7938421,-0.8841614
0.4675000,0.4675000,0.4675000,-0.7731280,-0.0006635,-5.1965190,-0.7731280,-0.7988802,-0.9442213
0.4700000,0.4700000,0.4700000,-0.7903536,0.0003890,-5.1599894,-0.7903536,-0.8021142,-1.0032202
0.4725000,0.4725000,0.4725000,-0.8043529,0.0012853,-5.1236550,-0.8043529,-0.8039273,-1.0606021
0.4750000,0.4750000,0.4750000,-0.8153735,0.0020125,-5.0872721,-0.8153735,-0.8046756,-1.1158272
0.4775000,0.4775000,0.4775000,-0.8236985,0.0025565,-5.0505610,-0.8236985,-0.8046698,-1.1684145
0.4800000,0.4800000,0.4800000,-0.8296374,0.0029041,-5.0132210,-0.8296374,-0.8041619,-1.2179646
0.4825000,0.4825000,0.4825000,-0.8335153,0.0030459,-4.9749523,-0.8335153,-0.8033419,-1.2641660
0.4850000,0.4850000,0.4850000,-0.8356591,0.0029796,-4.9354799,-0.8356591,-0.8023398,-1.3067913
0.4875000,0.4875000,0.4875000,-0.8363842,0.0027113,-4.8945743,-0.8363842,-0.8012345,-1.3456872
0.4900000,0.4900000,0.4900000,-0.8359832,0.0022569,-4.8520655,-0.8359832,-0.8000646,-1.3807639
0.4925000,0.4925000,0.4925000,-0.8347187,0.0016412,-4.8078496,-0.8347187,-0.7988397,-1.4119843
