# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,91139300509.9927368
0.0050000,0.0050000,0.0050000,25707198740.4861488
0.0100000,0.0100000,0.0100000,8176823786.7171507
0.0150000,0.0150000,0.0150000,2872732903.2471814
0.0200000,0.0200000,0.0200000,1097325366.2668610
0.0250000,0.0250000,0.0250000,450178192.7768270
0.0300000,0.0300000,0.0300000,196448668.5945585
0.0350000,0.0350000,0.0350000,90488791.6072557
0.0400000,0.0400000,0.0400000,43728357.7277403
0.0450000,0.0450000,0.0450000,22062013.9992445
0.0500000,0.0500000,0.0500000,11576827.4861621
0.0550000,0.0550000,0.0550000,6299890.8516118
0.0600000,0.0600000,0.0600000,3547659.8252826
0.0650000,0.0650000,0.0650000,2064244.2675254
0.0700000,0.0700000,0.0700000,1239841.9794496
0.0750000,0.0750000,0.0750000,768285.6736653
0.0800000,0.0800000,0.0800000,491074.2700825
0.0850000,0.0850000,0.0850000,323797.3965412
0.0900000,0.0900000,0.0900000,220297.7161772
0.0950000,0.0950000,0.0950000,154695.9890624
0.1000000,0.1000000,0.1000000,112130.0494920
0.1050000,0.1050000,0.1050000,83864.0720274
0.1100000,0.1100000,0.1100000,63540.4790933
0.1150000,0.1150000,0.1150000,48080.2687380
0.1200000,0.1200000,0.1200000,37103.7831397
0.1250000,0.1250000,0.1250000,29157.8960761
0.1300000,0.1300000,0.1300000,23300.0384628
0.1350000,0.1350000,0.1350000,18906.2470824
0.1400000,0.1400000,0.1400000,15555.3736216
0.1450000,0.1450000,0.1450000,12958.0174591
0.1500000,0.1500000,0.1500000,10912.1171761
0.1550000,0.1550000,0.1550000,9274.6697885
0.1600000,0.1600000,0.1600000,7943.3554713
0.1650000,0.1650000,0.1650000,6844.3442236
0.1700000,0.1700000,0.1700000,5924.0286819
0.1750000,0.1750000,0.1750000,5143.2997279
0.1800000,0.1800000,0.1800000,4473.5056253
0.1850000,0.1850000,0.1850000,3893.5531770
0.1900000,0.1900000,0.1900000,3387.8035862
0.1950000,0.1950000,0.1950000,2944.5352457
0.2000000,0.2000000,0.2000000,2475.0790178
0.2050000,0.2050000,0.2050000,1969.9469080
0.2100000,0.2100000,0.2100000,1574.3344479
0.2150000,0.2150000,0.2150000,1247.0361524
0.2200000,0.2200000,0.2200000,985.7519906
0.2250000,0.2250000,0.2250000,778.0548809
0.2300000,0.2300000,0.2300000,613.5052664
0.2350000,0.2350000,0.2350000,483.4637027
0.2400000,0.2400000,0.2400000,380.8718393
0.2450000,0.2450000,0.2450000,300.0246847
0.2500000,0.2500000,0.2500000,236.3512328
0.2550000,0.2550000,0.2550000,186.2142549
0.2600000,0.2600000,0.2600000,146.7347336
0.2650000,0.2650000,0.2650000,115.6424954
0.2700000,0.2700000,0.2700000,91.1520528
0.2750000,0.2750000,0.2750000,71.8612429
0.2800000,0.2800000,0.2800000,56.6696143
0.2850000,0.2850000,0.2850000,44.7133972
0.2900000,0.2900000,0.2900000,35.3139961
0.2950000,0.2950000,0.2950000,27.9369832
0.3000000,0.3000000,0.3000000,22.1587106
0.3050000,0.3050000,0.3050000,17.6390739
0.3100000,0.3100000,0.3100000,14.1017736
0.3150000,0.3150000,0.3150000,11.3240005
0.3200000,0.3200000,0.3200000,9.1329050
0.3250000,0.3250000,0.3250000,7.4008341
0.3300000,0.3300000,0.3300000,6.0333304
0.3350000,0.3350000,0.3350000,4.9533935
0.3400000,0.3400000,0.3400000,4.0909636
0.3450000,0.3450000,0.3450000,3.3814523
0.3500000,0.3500000,0.3500000,2.7702722
0.3550000,0.3550000,0.3550000,2.2184800
0.3600000,0.3600000,0.3600000,1.7044418
0.3650000,0.3650000,0.3650000,1.2180438
0.3700000,0.3700000,0.3700000,0.7513815
0.3750000,0.3750000,0.3750000,0.2960970
0.3800000,0.3800000,0.3800000,-0.1497763
0.3850000,0.3850000,0.3850000,-0.5759858
0.3900000,0.3900000,0.3900000,-0.9642372
0.3950000,0.3950000,0.3950000,-1.2981095
0.4000000,0.4000000,0.4000000,-1.5699406
0.4050000,0.4050000,0.4050000,-1.7817703
0.4100000,0.4100000,0.4100000,-1.9424261
