# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,14738317717.7137547
0.0050000,0.0050000,0.0050000,5500535431.7198353
0.0100000,0.0100000,0.0100000,2211252989.4520288
0.0150000,0.0150000,0.0150000,948281856.7413417
0.0200000,0.0200000,0.0200000,430666381.0930631
0.0250000,0.0250000,0.0250000,206091934.7255728
0.0300000,0.0300000,0.0300000,103629650.9360653
0.0350000,0.0350000,0.0350000,54724875.1613416
0.0400000,0.0400000,0.0400000,30397748.1240249
0.0450000,0.0450000,0.0450000,17811957.5064081
0.0500000,0.0500000,0.0500000,11040433.8556962
0.0550000,0.0550000,0.0550000,7243430.0334201
0.0600000,0.0600000,0.0600000,5015295.3303965
0.0650000,0.0650000,0.0650000,3616948.3583774
0.0700000,0.0700000,0.0700000,2641693.1896377
0.0750000,0.0750000,0.0750000,1989392.3864120
0.0800000,0.0800000,0.0800000,1530226.9275623
0.0850000,0.0850000,0.0850000,1189637.9933951
0.0900000,0.0900000,0.0900000,941164.6927394
0.0950000,0.0950000,0.0950000,755676.3343439
0.1000000,0.1000000,0.1000000,614724.1457585
0.1050000,0.1050000,0.1050000,506093.6865133
0.1100000,0.1100000,0.1100000,416782.8711777
0.1150000,0.1150000,0.1150000,344237.9147710
0.1200000,0.1200000,0.1200000,285954.6434674
0.1250000,0.1250000,0.1250000,238772.2106392
0.1300000,0.1300000,0.1300000,200253.0655429
0.1350000,0.1350000,0.1350000,164229.0991764
0.1400000,0.1400000,0.1400000,133349.9780735
0.1450000,0.1450000,0.1450000,108320.2697424
0.1500000,0.1500000,0.1500000,88012.5842650
0.1550000,0.1550000,0.1550000,71518.6642363
0.1600000,0.1600000,0.1600000,58108.8397420
0.1650000,0.1650000,0.1650000,47197.5029838
0.1700000,0.1700000,0.1700000,38314.3289665
0.1750000,0.1750000,0.1750000,31045.0565898
0.1800000,0.1800000,0.1800000,24152.4119257
0.1850000,0.1850000,0.1850000,18836.8433699
0.1900000,0.1900000,0.1900000,14721.9891070
0.1950000,0.1950000,0.1950000,11526.6063696
