# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol]
0.1750000,0.1750000,0.1750000,1818.1287216,-0.3487706,645.6763305
0.1775000,0.1775000,0.1775000,1607.5256828,-0.3383594,547.8817994
0.1800000,0.1800000,0.1800000,1422.6937158,-0.3283016,466.1721815
0.1825000,0.1825000,0.1825000,1260.2872319,-0.3185848,397.6750812
0.1850000,0.1850000,0.1850000,1117.4241693,-0.3091969,340.0734398
0.1875000,0.1875000,0.1875000,991.6172431,-0.3001265,291.4900355
0.1900000,0.1900000,0.1900000,880.7161172,-0.2913622,250.3976552
0.1925000,0.1925000,0.1925000,782.8586384,-0.2828933,215.5488785
0.1950000,0.1950000,0.1950000,696.4296014,-0.2747096,185.9209223
0.1975000,0.1975000,0.1975000,620.0257616,-0.2668022,160.6721131
0.2000000,0.2000000,0.2000000,552.4260211,-0.2591649,139.1073803
0.2025000,0.2025000,0.2025000,492.5658712,-0.2517978,120.6507807
0.2050000,0.2050000,0.2050000,439.5138760,-0.2447556,104.8235017
0.2075000,0.2075000,0.2075000,392.4249877,-0.2389017,91.2259057
0.2100000,0.2100000,0.2100000,350.3244804,-0.2405115,79.5213963
0.2125000,0.2125000,0.2125000,311.8415162,-0.2578320,69.4183291
0.2150000,0.2150000,0.2150000,276.4614810,-0.2705448,60.6483264
0.2175000,0.2175000,0.2175000,244.7152199,-0.2708788,52.9518946
0.2200000,0.2200000,0.2200000,216.6364846,-0.2663529,46.0958695
0.2225000,0.2225000,0.2225000,191.8935728,-0.2604613,39.9217054
0.2250000,0.2250000,0.2250000,170.0988415,-0.2542421,34.3641136
0.2275000,0.2275000,0.2275000,150.8917611,-0.2480134,29.4072147
0.2300000,0.2300000,0.2300000,133.9529267,-0.2418829,25.0332215
0.2325000,0.2325000,0.2325000,119.0028959,-0.2358896,21.2052584
0.2350000,0.2350000,0.2350000,105.7979759,-0.2300471,17.8726005
0.2375000,0.2375000,0.2375000,94.1257285,-0.2243586,14.9796488
