# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.2025000,0.2025000,0.2025000,1772.3881720,-0.1146905,881.2161004,1772.3881720,1090.2357055,inf,78.1288672,inf,inf,inf,inf
0.2050000,0.2050000,0.2050000,1578.1001332,-0.1089578,747.0648778,1578.1001332,969.5559998,inf,68.7275631,inf,inf,inf,inf
0.2075000,0.2075000,0.2075000,1405.3301872,-0.1035100,635.0726456,1405.3301872,862.3588782,inf,60.4477823,inf,inf,inf,inf
0.2100000,0.2100000,0.2100000,1251.6595828,-0.0983332,541.2734138,1251.6595828,767.1156537,inf,53.1559763,inf,inf,inf,inf
0.2125000,0.2125000,0.2125000,1114.9489312,-0.0934141,462.4676174,1114.9489312,682.4759063,inf,46.7351380,inf,inf,inf,inf
0.2150000,0.2150000,0.2150000,993.3042164,-0.0887400,396.0631588,993.3042164,607.2455732,inf,41.0825538,inf,inf,inf,inf
0.2175000,0.2175000,0.2175000,885.0473270,-0.0842989,339.9516189,885.0473270,540.3679696,inf,36.1079026,inf,inf,inf,inf
0.2200000,0.2200000,0.2200000,788.6904324,-0.0800791,292.4113830,788.6904324,480.9072903,inf,31.7316440,inf,inf,inf,inf
0.2225000,0.2225000,0.2225000,702.9136364,-0.0760697,252.0314715,702.9136364,428.0342122,inf,27.8836486,inf,inf,inf,inf
0.2250000,0.2250000,0.2250000,626.5454376,-0.0722601,217.6513785,626.5454376,381.0132825,inf,24.5020257,inf,inf,inf,inf
0.2275000,0.2275000,0.2275000,558.5455958,-0.0686404,188.3133473,558.5455958,339.1918442,inf,21.5321129,1762.3238147,inf,inf,inf
0.2300000,0.2300000,0.2300000,497.9900657,-0.0652010,163.2243506,497.9900657,301.9903120,inf,18.9256006,1575.0693611,inf,inf,inf
0.2325000,0.2325000,0.2325000,444.0577037,-0.0619331,141.7256672,444.0577037,268.8936705,inf,16.6397667,1407.9676610,inf,inf,inf
0.2350000,0.2350000,0.2350000,396.0185063,-0.0588283,123.2683969,396.0185063,239.4440958,1799.3091419,14.6368074,1258.8292115,inf,inf,inf
0.2375000,0.2375000,0.2375000,353.2231903,-0.0558789,107.3935848,353.2231903,213.2345963,1609.0774772,12.8832501,1125.7039636,inf,inf,inf
0.2400000,0.2400000,0.2400000,315.0939832,-0.0530780,93.7158325,315.0939832,189.9035397,1439.2270218,11.3494390,1006.8549482,inf,inf,inf
0.2425000,0.2425000,0.2425000,281.1165335,-0.0504192,81.9085044,281.1165335,169.1298998,1287.5505261,10.0090835,900.7348605,inf,inf,inf
0.2450000,0.2450000,0.2450000,250.8328682,-0.0478969,71.6842406,250.8328682,150.6290379,1152.0814079,8.8388603,805.9652529,inf,inf,inf
0.2475000,0.2475000,0.2475000,223.8353034,-0.0455056,62.7598082,223.8353034,134.1488626,1031.0674159,7.8180603,721.3180308,inf,inf,inf
0.2500000,0.2500000,0.2500000,199.7611751,-0.0432399,54.8200376,199.7611751,119.4662615,922.9471939,6.9282720,645.6989794,inf,inf,inf
0.2525000,0.2525000,0.2525000,178.2882187,-0.0410941,47.5685421,178.2882187,106.3837742,826.3294185,6.1530925,578.1330789,inf,inf,inf
0.2550000,0.2550000,0.2550000,159.1304228,-0.0390623,40.8807916,159.1304228,94.7265225,739.9742161,5.4778598,517.7513922,inf,inf,inf
0.2575000,0.2575000,0.2575000,142.0342115,-0.0371378,34.8109504,142.0342115,84.3394360,662.7765991,4.8894048,463.7793432,inf,inf,inf
