# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,520795258.7450066,2462741.8395227,1572319.8290781,10019438.0183639,148033.4953651,7048339.0857922,2462488.5160954,2462995.1629499,2903175.6414451,1836129.4948973,51689145.0868665,2462741.8395227,1572319.8290781,10019438.0183639,148033.4953651,7048339.0857922,2462488.5160954,2462995.1629499,2903175.6414451,1836129.4948973,51689145.0868665
0.0025000,0.0025000,0.0025000,inf,nan,266812858.8532502,2327483.8681248,1486661.4178151,9458327.4707288,140356.1128447,6654076.4162041,2327229.7599366,2327737.9763129,2743728.2963877,1735286.1394477,48798606.1786942,2327483.8681248,1486661.4178151,9458327.4707288,140356.1128447,6654076.4162041,2327229.7599366,2327737.9763129,2743728.2963877,1735286.1394477,48798606.1786942
0.0050000,0.0050000,0.0050000,inf,nan,143229881.7414046,2274629.4945833,1453505.5398190,9234367.9275450,137517.4904192,6496913.9389405,2274374.5902630,2274884.3989037,2681421.5099650,1695879.8676914,47646704.2338974,2274629.4945833,1453505.5398190,9234367.9275450,137517.4904192,6496913.9389405,2274374.5902630,2274884.3989037,2681421.5099650,1695879.8676914,47646704.2338974
0.0075000,0.0075000,0.0075000,inf,nan,80083043.0295433,2246714.8453334,1435775.5894213,9119351.1311615,135880.2657343,6416064.1453545,2246460.2014550,2246969.4892117,2648514.6382656,1675067.7346432,47053896.9822086,2246714.8453334,1435775.5894213,9119351.1311615,135880.2657343,6416064.1453545,2246460.2014550,2246969.4892117,2648514.6382656,1675067.7346432,47053896.9822086
0.0100000,0.0100000,0.0100000,inf,nan,46415408.3771145,2202622.8249069,1407509.5397732,8941555.2866808,133220.5203303,6290916.6283894,2202369.0694140,2202876.5803998,2596537.2536977,1642194.3502326,46136010.7974610,2202622.8249069,1407509.5397732,8941555.2866808,133220.5203303,6290916.6283894,2202369.0694140,2202876.5803998,2596537.2536977,1642194.3502326,46136010.7974610
0.0125000,0.0125000,0.0125000,inf,nan,27784991.3886021,2162997.0559942,1381738.7241716,8787248.2899206,130535.5315734,6182060.3223643,2162745.0936267,2163249.0183617,2549824.8597169,1612650.8382449,45337208.8042205,2162997.0559942,1381738.7241716,8787248.2899206,130535.5315734,6182060.3223643,2162745.0936267,2163249.0183617,2549824.8597169,1612650.8382449,45337208.8042205
0.0150000,0.0150000,0.0150000,inf,nan,17135204.2227917,2090823.4988236,1335766.9870653,8491808.5151350,126269.3846202,5974300.2239574,2090572.3516906,2091074.6459567,2464743.8699958,1558840.8956249,43813729.9157786,2090823.4988236,1335766.9870653,8491808.5151350,126269.3846202,5974300.2239574,2090572.3516906,2091074.6459567,2464743.8699958,1558840.8956249,43813729.9157786
0.0175000,0.0175000,0.0175000,inf,nan,10874871.1436116,2015929.8749394,1288040.2236546,8185573.2678184,121828.1490597,5758933.7866110,2015679.7172435,2016180.0326352,2376456.3600867,1503002.9715735,42234450.0278035,2015929.8749394,1288040.2236546,8185573.2678184,121828.1490597,5758933.7866110,2015679.7172435,2016180.0326352,2376456.3600867,1503002.9715735,42234450.0278035
0.0200000,0.0200000,0.0200000,inf,nan,7109934.6639036,1938818.9822800,1238879.5183683,7870588.6039044,117242.0709403,5537400.3774641,1938569.9842013,1939067.9803587,2285555.0477095,1445511.9336914,40609924.7181536,1938818.9822800,1238879.5183683,7870588.6039044,117242.0709403,5537400.3774641,1938569.9842013,1939067.9803587,2285555.0477095,1445511.9336914,40609924.7181536
0.0225000,0.0225000,0.0225000,inf,nan,4810274.2525708,1859958.4748907,1188583.8239485,7548752.9059166,112539.4792544,5311035.6828003,1859710.8020833,1860206.1476982,2192591.2215990,1386716.4475888,38949949.5633613,1859958.4748907,1188583.8239485,7548752.9059166,112539.4792544,5311035.6828003,1859710.8020833,1860206.1476982,2192591.2215990,1386716.4475888,38949949.5633613
0.0250000,0.0250000,0.0250000,inf,nan,3401829.6814585,1779785.5573503,1137432.9234020,7221836.5251005,107747.0458304,5081085.5021991,1779539.3704717,1780031.7442289,2098080.2754773,1326942.4768763,37263661.2583830,1779785.5573503,1137432.9234020,7221836.5251005,107747.0458304,5081085.5021991,1779539.3704717,1780031.7442289,2098080.2754773,1326942.4768763,37263661.2583830
0.0275000,0.0275000,0.0275000,inf,nan,2560367.6945596,1698712.1336170,1085690.6801925,6891503.3019523,102890.0713165,4848720.8628254,1698467.5878926,1698956.6793414,2002507.7777133,1266497.1219552,35559648.4154340,1698712.1336170,1085690.6801925,6891503.3019523,102890.0713165,4848720.8628254,1698467.5878926,1698956.6793414,2002507.7777133,1266497.1219552,35559648.4154340
0.0300000,0.0300000,0.0300000,inf,nan,2104771.5351912,1617129.7728548,1033608.1707792,6559331.3532841,97992.7596303,4615052.6172483,1616887.0176786,1617372.5280311,1906335.3252315,1205672.3223539,33846058.5744760,1617129.7728548,1033608.1707792,6559331.3532841,97992.7596303,4615052.6172483,1616887.0176786,1617372.5280311,1906335.3252315,1205672.3223539,33846058.5744760
0.0325000,0.0325000,0.0325000,inf,nan,1941718.9620924,1535413.9643314,981426.3632913,6226830.9637144,93078.4496668,4381144.0043905,1535173.1429060,1535654.7857569,1810005.5593507,1144748.0290231,32130690.2765595,1535413.9643314,981426.3632913,6226830.9637144,93078.4496668,4381144.0043905,1535173.1429060,1535654.7857569,1810005.5593507,1144748.0290231,32130690.2765595
0.0350000,0.0350000,0.0350000,inf,nan,2038742.7682040,1453927.2725269,929378.0947110,5895457.9885180,88169.7813022,4148020.0533827,1453688.5215435,1454166.0235104,1713945.8851485,1083994.5566685,30421061.9856467,1453927.2725269,929378.0947110,5895457.9885180,88169.7813022,4148020.0533827,1453688.5215435,1454166.0235104,1713945.8851485,1083994.5566685,30421061.9856467
0.0375000,0.0375000,0.0375000,inf,nan,2415157.9778274,1373021.1580864,877689.1974502,5566621.8057743,83288.7819337,3916673.1538964,1372784.6074459,1373257.7087269,1618570.6180708,1023673.9413861,28724452.8989649,1373021.1580864,877689.1974502,5566621.8057743,83288.7819337,3916673.1538964,1372784.6074459,1373257.7087269,1618570.6180708,1023673.9413861,28724452.8989649
0.0400000,0.0400000,0.0400000,inf,nan,3147443.4917975,1293036.3858595,826578.7254822,5241687.4905034,78456.8691069,3688064.5629965,1292802.1584362,1293270.6132827,1524281.4649452,964040.2448810,27047913.9599922,1293036.3858595,826578.7254822,5241687.4905034,78456.8691069,3688064.5629965,1292802.1584362,1293270.6132827,1524281.4649452,964040.2448810,27047913.9599922
0.0425000,0.0425000,0.0425000,inf,nan,4391093.9336985,1214302.0847738,776258.3217787,4921972.4683500,73694.7733899,3463122.0299649,1214070.2962214,1214533.8733261,1431466.4157224,905338.8535441,25398250.4051706,1214302.0847738,776258.3217787,4921972.4683500,73694.7733899,3463122.0299649,1214070.2962214,1214533.8733261,1431466.4157224,905338.8535441,25398250.4051706
