# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,492394.2043111,394900300.4042471,252886862.6552812,1596984713.7387254,24244020.1395658,1123887460.9451706,20492295273.2225952,211934557617.7804871,1496842217519.1938477
0.0025000,0.0025000,0.0025000,inf,nan,511230.3761698,381394131.2071150,244440673.5612282,1539396589.6927261,23517159.4110397,1083489979.5473466,19671894855.1247673,202893624694.3601074,1430255439037.2246094
0.0050000,0.0050000,0.0050000,inf,nan,588731.8804140,366608906.0248114,234940315.5154879,1480074995.0761056,22619225.2838687,1041721392.6318562,18921013360.8818283,195104377010.9204102,1375126541025.1738281
0.0075000,0.0075000,0.0075000,inf,nan,737241.5334667,348510531.8486843,223422712.8925687,1405827103.5999968,21555545.1564072,989515492.8141360,17941807238.1348839,184890506761.0137634,1302562360947.5109863
0.0100000,0.0100000,0.0100000,inf,nan,981888.2345160,327940281.7631031,210130302.6633548,1323692417.6651211,20214044.8165660,931751400.2407115,16863718520.0812912,173575808796.8845215,1221839246473.0170898
0.0125000,0.0125000,0.0125000,inf,nan,1366622.3586333,302956797.9604195,194150579.2780927,1223073521.6761096,18692817.3807934,860837110.6502948,15636922030.0794220,161327406679.7329712,1136382262141.7517090
0.0150000,0.0150000,0.0150000,inf,nan,1965455.1581029,276490494.3544495,177215314.2575904,1115848355.5575309,17062004.6233886,785385331.5392950,14255658438.9796200,147005502474.8233032,1036158608251.5577393
0.0175000,0.0175000,0.0175000,inf,nan,2902813.5935995,249422779.7648141,159889039.3719962,1006277096.3035593,15354730.6987372,708278693.4974964,12846651205.1390343,132412806656.8539734,932993462404.7006836
0.0200000,0.0200000,0.0200000,inf,nan,4390660.9648497,222539439.0835786,142675408.1056564,897530906.7033242,13655171.1985264,631749209.7505975,11450413122.4850616,117967088658.7791748,830939725822.8806152
0.0225000,0.0225000,0.0225000,inf,nan,6797575.7432206,196083227.7585002,125524268.5318882,792268423.1502225,12008848.8052278,557668369.3637745,10100774441.3854542,104016282020.2711487,732445216478.7741699
0.0250000,0.0250000,0.0250000,inf,nan,10780776.4192380,170672036.4552273,109255522.2441941,690775329.8117204,10451453.1504717,486111992.8006498,8824145353.0296974,90831141013.1917725,639410491677.2164307
0.0275000,0.0275000,0.0275000,inf,nan,17546387.3431042,147121212.6684031,94178523.5299197,595468922.8986783,9008545.6751695,419042458.3567287,7639458752.8725376,78604918258.3852692,553187895661.8601074
0.0300000,0.0300000,0.0300000,inf,nan,29380692.7157067,125694625.0721331,80461932.7755891,508751854.8680631,7696118.1512477,358017770.5772411,6540167068.5348644,67458546610.2513962,474619271900.5445557
0.0325000,0.0325000,0.0325000,inf,nan,50777552.0604546,106518291.8596541,68186211.1642512,431137232.1894513,6521749.8402339,303398878.0797951,5542446826.8886337,57390683253.0746613,404100081065.7510986
0.0350000,0.0350000,0.0350000,inf,nan,90937523.4633214,89604801.4509973,57359256.0231872,362678353.7748696,5486104.7791735,255223185.3277146,4662346847.6302080,48277510147.2443771,341269873724.7687988
0.0375000,0.0375000,0.0375000,inf,nan,99930777.7519895,74879659.0974325,47933263.4478943,303075394.3535347,4584543.3365808,213279625.6488115,3896058756.6842647,40342615453.0565338,285180842436.1681519
0.0400000,0.0400000,0.0400000,inf,nan,62981145.5138397,62206706.5107197,39820994.2214167,251778384.1434600,3808674.8145667,177181125.7756807,3236543023.7550144,33513315144.4079819,236907089656.1015930
0.0425000,0.0425000,0.0425000,inf,nan,49834178.2340299,51410716.8057589,32910230.1143843,208078776.0266754,3147736.1240739,146429038.3112586,2674709261.8489108,27695605354.3410339,195784747028.9193726
0.0450000,0.0450000,0.0450000,inf,nan,31397699.8695474,42296146.0790438,27075769.8405335,171185456.9702106,2589735.0533028,120466627.3191707,2200396547.6588945,22784334828.6219292,161070841002.3388062
0.0475000,0.0475000,0.0475000,inf,nan,21207834.8656262,34661728.3244735,22188764.9674515,140283923.0969659,2122339.5070312,98720706.4097933,1803136957.3136718,18671130238.8682632,131999407697.1104889
0.0500000,0.0500000,0.0500000,inf,nan,14473890.2235087,28311098.3286817,18123514.4011885,114579359.6150471,1733524.3034962,80631951.1926649,1472711679.2476599,15250170162.9896946,107822383208.2120972
0.0525000,0.0525000,0.0525000,inf,nan,11333075.7262490,23059928.6263805,14762028.7108164,93325591.5324402,1412005.3678769,65675269.6182445,1199524938.1302319,12422068767.2780018,87837113298.7047882
0.0550000,0.0550000,0.0550000,inf,nan,9058981.5983986,18740207.3020468,11996765.4313439,75842443.5176501,1147499.6469404,53372016.4355014,974828403.1296365,10096207807.1942730,71402877572.4190826
0.0575000,0.0575000,0.0575000,inf,nan,5892799.6267212,15202307.8698207,9731952.0287229,61524147.7211979,930850.4982212,43295908.6169927,790830086.5940849,8191869648.5980644,57948924177.9119110
0.0600000,0.0600000,0.0600000,inf,nan,4012726.7110332,12315453.0968703,7883881.5747769,49841239.0559082,754055.2610077,35074358.3184793,640719190.3527124,6638497710.6907740,46976325649.7039413
0.0625000,0.0625000,0.0625000,inf,nan,2925779.5985360,9967086.2360468,6380509.6007599,40338019.4947167,610226.3084447,28386688.0581445,518633751.2641993,5375363014.7970152,38055629064.4118042
0.0650000,0.0650000,0.0650000,inf,nan,2382589.0096848,8061560.9874200,5160615.2419514,32627259.0317461,493510.6452282,22960401.5433886,419592603.3078236,4350860196.4300184,30821882154.3283806
0.0675000,0.0675000,0.0675000,inf,nan,2290006.3828450,6518461.9558580,4172726.0981079,26383397.4167128,398987.0448885,18566399.6240954,339407969.2305195,3521602334.1998620,24968234711.6884651
0.0700000,0.0700000,0.0700000,inf,nan,2690384.3750366,5270779.5106432,3373950.0304654,21335154.5669897,322554.3658099,15013780.2087159,274590399.1611103,2851436248.3291359,20238976855.2181664
0.0725000,0.0725000,0.0725000,inf,nan,1829568.6191241,4263090.6519132,2728810.8672527,17258164.4123548,260820.2797935,12144654.7075310,222253990.7094317,2310460649.1038122,16422597600.6537895
0.0750000,0.0750000,0.0750000,inf,nan,1258099.4152662,3449841.2308002,2208149.0039648,13968018.8161090,210996.2195753,9829253.0593547,180026881.0517375,1874098947.2880404,13345230652.3908615
0.0775000,0.0775000,0.0775000,inf,nan,901029.5374298,2793783.2140712,1788121.2392655,11313939.3084973,170801.8140034,7961470.5479825,145969821.3676073,1522255898.1223164,10864693930.9310570
0.0800000,0.0800000,0.0800000,inf,nan,698313.9751379,2264591.3023339,1449315.3932540,9173175.2305371,138380.2895807,6454925.7847973,118504106.1287924,1238571277.0003290,8865216151.5389061
0.0825000,0.0825000,0.0825000,inf,nan,639250.9441413,1837663.5573623,1175982.6833084,7446147.1955770,112225.1196699,5239543.1604798,96349100.9916320,1009773097.1069462,7252868003.5944090
0.0850000,0.0850000,0.0850000,inf,nan,785796.6863473,1493098.3857321,955382.9594667,6052304.8691510,91117.4526959,4258637.9524561,78468968.7492765,825126184.1407099,5951668002.0601950
0.0875000,0.0875000,0.0875000,inf,nan,595061.1663933,1214833.2248481,777233.4228478,4926639.6815536,74073.4240365,3466462.3010765,64027826.3541341,675968115.1129376,4900306073.7585516
0.0900000,0.0900000,0.0900000,inf,nan,421228.0544661,989926.9466202,633249.3198630,4016779.5844388,60300.2532881,2826160.7660864,52352391.7989700,555322719.0891817,4049415122.2311082
0.0925000,0.0925000,0.0925000,inf,nan,302095.8715794,807967.0811590,516764.5208718,3280589.2647256,49159.9729296,2308081.5726848,42901132.1372189,457580848.0601431,3359317378.7483821
0.0950000,0.0950000,0.0950000,inf,nan,219297.5744089,660583.5489321,422420.2666665,2684201.6099514,40139.6701048,1888391.3314558,35238955.0421326,378238456.6856081,2798174758.3329039
