# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,605286688.9915862
0.0050000,0.0050000,0.0050000,567225588.5997716
0.0100000,0.0100000,0.0100000,502465059.9674843
0.0150000,0.0150000,0.0150000,421821035.1114358
0.0200000,0.0200000,0.0200000,337292114.6470086
0.0250000,0.0250000,0.0250000,258306310.7474162
0.0300000,0.0300000,0.0300000,190585678.5431606
0.0350000,0.0350000,0.0350000,136294165.3010851
0.0400000,0.0400000,0.0400000,95019209.6129340
0.0450000,0.0450000,0.0450000,64928188.4898465
0.0500000,0.0500000,0.0500000,43697521.5254063
0.0550000,0.0550000,0.0550000,29090093.3772228
0.0600000,0.0600000,0.0600000,19226821.6937651
0.0650000,0.0650000,0.0650000,12656416.6972337
0.0700000,0.0700000,0.0700000,8319542.4923580
0.0750000,0.0750000,0.0750000,5472934.6306309
0.0800000,0.0800000,0.0800000,3607649.3991404
0.0850000,0.0850000,0.0850000,2387625.3904030
0.0900000,0.0900000,0.0900000,1588690.2031740
0.0950000,0.0950000,0.0950000,1063761.8252988
0.1000000,0.1000000,0.1000000,717276.4697034
0.1050000,0.1050000,0.1050000,487287.4901487
0.1100000,0.1100000,0.1100000,333480.7291570
0.1150000,0.1150000,0.1150000,229878.6595744
0.1200000,0.1200000,0.1200000,159687.7788229
0.1250000,0.1250000,0.1250000,111779.5202140
0.1300000,0.1300000,0.1300000,78832.9948382
0.1350000,0.1350000,0.1350000,56004.2604336
0.1400000,0.1400000,0.1400000,40067.8084066
0.1450000,0.1450000,0.1450000,28861.1910485
0.1500000,0.1500000,0.1500000,20924.3845236
0.1550000,0.1550000,0.1550000,15264.4985262
0.1600000,0.1600000,0.1600000,11201.4213796
0.1650000,0.1650000,0.1650000,8265.9412977
0.1700000,0.1700000,0.1700000,6132.0626140
0.1750000,0.1750000,0.1750000,4571.7323795
0.1800000,0.1800000,0.1800000,3424.3462903
0.1850000,0.1850000,0.1850000,2576.0660460
0.1900000,0.1900000,0.1900000,1945.6945749
0.1950000,0.1950000,0.1950000,1486.8507232
0.2000000,0.2000000,0.2000000,1133.7036068
0.2050000,0.2050000,0.2050000,867.6080346
0.2100000,0.2100000,0.2100000,666.2789710
0.2150000,0.2150000,0.2150000,513.3641667
0.2200000,0.2200000,0.2200000,396.8029119
0.2250000,0.2250000,0.2250000,307.6542881
0.2300000,0.2300000,0.2300000,239.2557630
0.2350000,0.2350000,0.2350000,186.6176509
0.2400000,0.2400000,0.2400000,145.9879601
0.2450000,0.2450000,0.2450000,114.5379792
0.2500000,0.2500000,0.2500000,90.1295271
0.2550000,0.2550000,0.2550000,71.1380241
0.2600000,0.2600000,0.2600000,56.3186062
0.2650000,0.2650000,0.2650000,44.7073090
0.2700000,0.2700000,0.2700000,35.5508638
0.2750000,0.2750000,0.2750000,28.2633345
0.2800000,0.2800000,0.2800000,22.4049799
0.2850000,0.2850000,0.2850000,17.6647697
