# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,4812509.4579305,1464209.3551661,942898.0281246,5844471.5144085,93068.8529100,4116566.4847821,1464262.4533779,1464156.2569542,1726066.8031360,1091660.4983030,30197026.1821164,1464209.3551661,942898.0281246,5844471.5144085,93068.8529100,4116566.4847821,1464262.4533779,1464156.2569542,1726066.8031360,1091660.4983030,30197026.1821164
0.0025000,0.0025000,0.0025000,inf,nan,3252126.7150295,1167369.7888297,751674.4746923,4660687.7822013,74115.3274305,3282736.0594499,1167421.7562454,1167317.8214140,1376140.8041641,870347.8644508,24080400.5340402,1167369.7888297,751674.4746923,4660687.7822013,74115.3274305,3282736.0594499,1167421.7562454,1167317.8214140,1376140.8041641,870347.8644508,24080400.5340402
0.0050000,0.0050000,0.0050000,inf,nan,2258434.5211144,941540.1779740,606194.7459878,3760104.7473955,59697.2217997,2648384.5033756,941591.0725157,941489.2834323,1109924.0960903,701977.6347098,19427065.5093910,941540.1779740,606194.7459878,3760104.7473955,59697.2217997,2648384.5033756,941591.0725157,941489.2834323,1109924.0960903,701977.6347098,19427065.5093910
0.0075000,0.0075000,0.0075000,inf,nan,1621681.6766023,768567.7661569,494764.2826788,3070335.5971106,48654.3594679,2162524.1490561,768617.6486848,768517.8836290,906017.5052449,573015.7833115,15862997.0038048,768567.7661569,494764.2826788,3070335.5971106,48654.3594679,2162524.1490561,768617.6486848,768517.8836290,906017.5052449,573015.7833115,15862997.0038048
0.0100000,0.0100000,0.0100000,inf,nan,1217381.4651032,635282.3034826,408898.4604361,2538861.4805839,40145.0650781,1788161.9011481,635331.2381457,635233.3688194,748895.4300095,473643.0576242,13116829.2444733,635282.3034826,408898.4604361,2538861.4805839,40145.0650781,1788161.9011481,635331.2381457,635233.3688194,748895.4300095,473643.0576242,13116829.2444733
0.0125000,0.0125000,0.0125000,inf,nan,971551.5001414,532074.4472897,342406.7288796,2127362.9028014,33555.2790784,1498306.3875367,532122.5018563,532026.3927230,627230.0043865,396695.0861318,10990564.9149097,532074.4472897,342406.7288796,2127362.9028014,33555.2790784,1498306.3875367,532122.5018563,532026.3927230,627230.0043865,396695.0861318,10990564.9149097
0.0150000,0.0150000,0.0150000,inf,nan,841507.1457887,451898.5529302,290750.1650536,1807743.3380780,28434.8069425,1273167.0762136,451945.7990998,451851.3067607,532715.5490750,336918.8960128,9339029.0458800,451898.5529302,290750.1650536,1807743.3380780,28434.8069425,1273167.0762136,451945.7990998,451851.3067607,532715.5490750,336918.8960128,9339029.0458800
0.0175000,0.0175000,0.0175000,inf,nan,805428.7934052,389568.9515768,250588.1063714,1559323.1026486,24452.3328683,1098177.6990030,389615.4652747,389522.4378789,459238.9964432,290448.2438261,8055369.6787963,389568.9515768,250588.1063714,1559323.1026486,24452.3328683,1098177.6990030,389615.4652747,389522.4378789,459238.9964432,290448.2438261,8055369.6787963
0.0200000,0.0200000,0.0200000,inf,nan,857257.6582712,341260.7687917,219456.5589407,1366848.8226292,21363.5106839,962594.1640991,341306.6304487,341214.9071347,402291.4360885,254431.4442440,7060772.7400880,341260.7687917,219456.5589407,1366848.8226292,21363.5106839,962594.1640991,341306.6304487,341214.9071347,402291.4360885,254431.4442440,7060772.7400880
0.0225000,0.0225000,0.0225000,inf,nan,1005318.0757830,304154.4519097,195539.1900165,1219075.9361718,18988.2423939,858496.1021427,304199.7467265,304109.1570930,358549.0699230,226766.3427784,6297137.8031446,304154.4519097,195539.1900165,1219075.9361718,18988.2423939,858496.1021427,304199.7467265,304109.1570930,358549.0699230,226766.3427784,6297137.8031446
0.0250000,0.0250000,0.0250000,inf,nan,1274252.4556379,276182.1709611,177503.9520414,1107757.4157977,17194.4694725,780074.5453601,276226.9891593,276137.3527629,325574.2597410,205911.2416609,5721852.8030959,276182.1709611,177503.9520414,1107757.4157977,17194.4694725,780074.5453601,276226.9891593,276137.3527629,325574.2597410,205911.2416609,5721852.8030959
0.0275000,0.0275000,0.0275000,inf,nan,1710882.7737399,255847.2079852,164386.7289104,1026923.5342634,15886.6300465,723124.6116214,255891.6450461,255802.7709243,301602.6163336,190750.2431760,5304072.5820124,255847.2079852,164386.7289104,1026923.5342634,15886.6300465,723124.6116214,255891.6450461,255802.7709243,301602.6163336,190750.2431760,5304072.5820124
