# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
0.0000000,0.0000000,0.0000000,53674066.0965891,53674066.0965891
0.0050000,0.0050000,0.0050000,33884829.4200747,33884829.4200747
0.0100000,0.0100000,0.0100000,22800598.1651037,22800598.1651037
0.0150000,0.0150000,0.0150000,15828969.1436712,15828969.1436712
0.0200000,0.0200000,0.0200000,11724722.9332717,11724722.9332717
0.0250000,0.0250000,0.0250000,9566143.9337626,9566143.9337626
0.0300000,0.0300000,0.0300000,8552068.1308187,8552068.1308187
0.0350000,0.0350000,0.0350000,8091266.9505634,8091266.9505634
0.0400000,0.0400000,0.0400000,7554554.4246236,7554554.4246236
0.0450000,0.0450000,0.0450000,5110848.2012164,5110848.2012164
0.0500000,0.0500000,0.0500000,3477992.7848033,3477992.7848033
0.0550000,0.0550000,0.0550000,2387605.9236988,2387605.9236988
0.0600000,0.0600000,0.0600000,1658166.3039951,1658166.3039951
0.0650000,0.0650000,0.0650000,1168238.6691233,1168238.6691233
0.0700000,0.0700000,0.0700000,837143.9174433,837143.9174433
0.0750000,0.0750000,0.0750000,611495.1503739,611495.1503739
0.0800000,0.0800000,0.0800000,456039.5621942,456039.5621942
0.0850000,0.0850000,0.0850000,347521.8911546,347521.8911546
0.0900000,0.0900000,0.0900000,270607.5893295,270607.5893295
0.0950000,0.0950000,0.0950000,215184.9439649,215184.9439649
0.1000000,0.1000000,0.1000000,174581.2797144,174581.2797144
0.1050000,0.1050000,0.1050000,144382.9032527,144382.9032527
0.1100000,0.1100000,0.1100000,121654.2482946,121654.2482946
0.1150000,0.1150000,0.1150000,104421.9934872,104421.9934872
0.1200000,0.1200000,0.1200000,91335.7807846,91335.7807846
0.1250000,0.1250000,0.1250000,81446.8089187,81446.8089187
0.1300000,0.1300000,0.1300000,69302.9414861,69302.9414861
0.1350000,0.1350000,0.1350000,58222.8649882,58222.8649882
0.1400000,0.1400000,0.1400000,49147.3598059,49147.3598059
0.1450000,0.1450000,0.1450000,41631.2348670,41631.2348670
0.1500000,0.1500000,0.1500000,35350.4397467,35350.4397467
0.1550000,0.1550000,0.1550000,29562.0286185,29562.0286185
0.1600000,0.1600000,0.1600000,22475.9910911,22475.9910911
0.1650000,0.1650000,0.1650000,17201.2091644,17201.2091644
0.1700000,0.1700000,0.1700000,13240.7673857,13240.7673857
0.1750000,0.1750000,0.1750000,10243.6202821,10243.6202821
0.1800000,0.1800000,0.1800000,7959.2640523,7959.2640523
0.1850000,0.1850000,0.1850000,6084.7759636,6084.7759636
0.1900000,0.1900000,0.1900000,4596.2321870,4596.2321870
0.1950000,0.1950000,0.1950000,3489.0732293,3489.0732293
0.2000000,0.2000000,0.2000000,2660.4522464,2660.4522464
0.2050000,0.2050000,0.2050000,2036.6593063,2036.6593063
0.2100000,0.2100000,0.2100000,1591.6529268,1564.4843719
0.2150000,0.2150000,0.2150000,1232.2794097,1205.2466399
0.2200000,0.2200000,0.2200000,957.4756000,930.6369578
0.2250000,0.2250000,0.2250000,746.4454035,719.8018922
0.2300000,0.2300000,0.2300000,583.7645994,557.2841447
0.2350000,0.2350000,0.2350000,457.9115790,431.5577173
0.2400000,0.2400000,0.2400000,360.2346809,333.9790086
0.2450000,0.2450000,0.2450000,284.2062726,258.0307674
0.2500000,0.2500000,0.2500000,224.8745784,198.7736328
0.2550000,0.2550000,0.2550000,178.4445045,152.4457817
0.2600000,0.2600000,0.2600000,141.9186600,116.1689275
0.2650000,0.2650000,0.2650000,112.8597641,87.7311604
0.2700000,0.2700000,0.2700000,89.4853487,65.4256491
0.2750000,0.2750000,0.2750000,70.7051543,47.9301875
0.2800000,0.2800000,0.2800000,55.7403501,34.2167812
0.2850000,0.2850000,0.2850000,43.8875981,23.4834443
0.2900000,0.2900000,0.2900000,34.5196088,15.1025098
0.2950000,0.2950000,0.2950000,27.1119659,8.5812756
0.3000000,0.3000000,0.3000000,21.2447171,3.5319160
0.3050000,0.3050000,0.3050000,16.5868921,-0.3516202
0.3100000,0.3100000,0.3100000,12.8760858,-3.3114148
0.3150000,0.3150000,0.3150000,9.9046867,-5.5393551
0.3200000,0.3200000,0.3200000,7.5153089,-7.1878286
0.3250000,0.3250000,0.3250000,5.5959209,-8.3780543
0.3300000,0.3300000,0.3300000,4.0671342,-9.2203531
0.3350000,0.3350000,0.3350000,2.8662504,-9.7924441
0.3400000,0.3400000,0.3400000,1.9358093,-10.1368702
0.3450000,0.3450000,0.3450000,1.2186059,-10.3032048
0.3500000,0.3500000,0.3500000,0.6575214,-10.3364197
